date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-09,"Carrier Dome, Syracuse, New York",ALBANY-NY,SYRACUSE,Home,66.7,10,9.3,4,91.5,58.8,22,0.318,55,0.273,15,0.255,14,0.571,8,1,200.0,52.4,30.0,10,27,43,14.6,12,0.509,28.0,0.179,5.0,43.2,32,0.349,34.3,32,27.0,0.37,10.0,0.0,0
2009-11-13,"SEFCU Arena, Albany, New York",MORGAN-STATE,ALBANY-NY,Away,54.2,13,11.5,6,100.0,52.5,25,0.509,53,0.453,24,0.302,16,0.688,11,2,200.0,94.2,40.0,8,19,65,5.8,4,0.283,15.0,0.4,6.0,47.1,33,0.536,25.0,20,38.0,0.474,18.0,0.0,0
2009-11-16,"Bender Arena, Washington, District of Columbia",ALBANY-NY,AMERICAN,Away,42.9,9,9.8,4,84.7,72.4,24,0.443,53,0.396,21,0.132,7,0.571,4,2,200.0,86.4,34.5,7,13,51,13.6,8,0.283,15.0,0.333,5.0,53.4,31,0.453,16.4,11,38.0,0.421,16.0,0.333,1
2009-11-20,"SEFCU Arena, Albany, New York",ALCORN-STATE,ALBANY-NY,Home,80.8,21,16.3,7,76.4,73.7,28,0.527,56,0.464,26,0.339,19,0.632,12,2,200.0,98.6,48.4,15,17,71,12.5,9,0.304,17.0,0.412,7.0,62.3,43,0.546,24.6,20,39.0,0.487,19.0,0.5,2
2009-11-21,"SEFCU Arena, Albany, New York",DETROIT-MERCY,ALBANY-NY,Away,58.8,10,2.9,1,103.1,60.6,21,0.447,47,0.362,17,0.34,16,0.75,12,3,200.0,84.4,31.3,9,23,54,14.1,9,0.383,18.0,0.444,8.0,46.2,30,0.495,27.0,18,29.0,0.31,9.0,0.4,2
2009-11-22,"SEFCU Arena, Albany, New York",ROBERT-MORRIS,ALBANY-NY,Home,52.2,12,8.8,3,101.5,65.9,29,0.557,44,0.523,23,0.636,28,0.786,22,3,200.0,109.2,43.8,7,15,71,3.1,2,0.318,14.0,0.214,3.0,60.0,36,0.62,21.0,14,30.0,0.667,20.0,0.5,3
2009-11-28,"New UCF Arena, Orlando, Florida",ALBANY-NY,CENTRAL-FLORIDA,Home,35.7,10,2.6,1,120.6,43.5,15,0.527,56,0.5,28,0.232,13,1.0,13,4,200.0,114.3,50.0,7,17,72,7.9,5,0.214,12.0,0.25,3.0,46.8,22,0.579,16.3,12,44.0,0.568,25.0,0.429,3
2009-11-30,"FAU Arena, Boca Raton, Florida",ALBANY-NY,FLORIDA-ATLANTIC,Home,47.8,11,2.4,1,122.7,67.7,24,0.481,53,0.434,23,0.377,20,0.7,14,5,200.0,98.5,40.0,9,20,65,12.1,8,0.245,13.0,0.385,5.0,54.1,33,0.52,17.4,13,40.0,0.45,18.0,0.375,3
2009-12-05,"Times Union Center , Albany, New York",ALBANY-NY,SIENA,Home,39.1,9,2.7,1,115.3,52.0,17,0.391,64,0.359,23,0.109,7,0.571,4,6,200.0,75.0,42.5,13,21,54,5.6,4,0.25,16.0,0.25,4.0,46.2,30,0.401,23.8,21,48.0,0.396,19.0,0.333,3
2009-12-08,"The Palestra, Philadelphia, Pennsylvania",ALBANY-NY,PENNSYLVANIA,Away,51.5,17,6.3,2,92.3,81.5,24,0.59,61,0.541,33,0.164,10,0.6,6,6,200.0,120.0,46.2,10,17,78,6.2,4,0.213,13.0,0.462,6.0,64.2,34,0.593,14.4,11,48.0,0.563,27.0,0.4,4
