date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Moody Coliseum , Abilene, Texas","Arlington Baptist
			",Abilene Christian,Home,55.6,20,7.1,2,50.0,81.1,30,0.52,75,0.48,36,0.227,17,0.706,12,0,200,115.4,30.8,12,21,90,20.5,16,0.36,27,0.222,6,55.3,42,0.542,7.8,7,48,0.625,30,1.0,1
2019-11-10,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Abilene Christian,Drexel,Home,43.3,13,6.3,2,107.5,65.2,15,0.531,65,0.462,30,0.308,20,0.7,14,1,225,103.8,8.8,3,26,83,15.0,12,0.385,25,0.36,9,31.6,18,0.557,9.8,8,40,0.525,21,0.5,1
2019-11-16,"Moody Coliseum , Abilene, Texas",Pepperdine,Abilene Christian,Away,45.0,9,0.0,0,100.0,81.5,22,0.45,50,0.4,20,0.66,33,0.727,24,2,200,94.5,30.0,9,20,69,13.7,10,0.36,18,0.278,5,54.4,31,0.525,18.9,15,32,0.469,15,0.333,1
2019-11-18,"Thomas & Mack Center, Las Vegas, Nevada",Abilene Christian,UNLV,Home,72.7,16,3.6,1,112.5,69.6,16,0.432,59,0.373,22,0.153,9,0.778,7,3,200,90.6,29.0,9,17,58,9.4,6,0.441,26,0.269,7,46.3,25,0.458,14.9,11,33,0.455,15,0.25,1
2019-11-21,"Moody Coliseum , Abilene, Texas","Champion Christian
			",Abilene Christian,Home,66.7,22,10.3,3,78.4,82.8,24,0.545,67,0.493,33,0.343,23,0.739,17,3,200,121.6,44.4,16,17,90,8.1,6,0.373,25,0.28,7,61.5,40,0.577,14.4,13,42,0.619,26,0.4,2
2019-11-25,"Strahan Coliseum, San Marcos, Texas",Abilene Christian,Texas State,Home,36.8,7,14.3,5,89.7,82.1,23,0.384,56,0.339,19,0.304,17,0.765,13,4,200,82.4,32.4,11,20,56,7.4,5,0.232,13,0.385,5,54.8,34,0.437,20.1,16,43,0.326,14,0.333,2
2019-11-29,"Moody Coliseum, Dallas, Texas",Abilene Christian,SMU,Home,47.1,8,0.0,0,116.7,77.8,14,0.375,52,0.327,17,0.288,15,0.8,12,5,200,85.0,20.6,7,16,51,11.7,7,0.365,19,0.263,5,40.4,21,0.431,13.3,9,33,0.364,12,0.286,2
2019-12-05,"Moody Coliseum , Abilene, Texas",Southeast Missouri State,Abilene Christian,Home,47.8,11,4.9,2,86.5,80.0,28,0.455,56,0.411,23,0.482,27,0.815,22,5,200,98.6,23.3,7,20,73,10.8,8,0.339,19,0.263,5,53.8,35,0.53,16.1,13,37,0.486,18,0.375,3
2019-12-07,"Moody Coliseum , Abilene, Texas","Dallas Christian
			",Abilene Christian,Home,62.8,27,5.7,2,44.2,81.6,31,0.582,79,0.544,43,0.203,16,0.625,10,5,200,132.5,44.4,16,17,102,11.7,9,0.342,27,0.222,6,63.5,47,0.589,9.5,9,52,0.712,37,0.444,4
2019-12-12,"Moody Coliseum , Abilene, Texas","Howard Payne
			",Abilene Christian,Home,65.8,25,10.0,2,47.4,86.7,26,0.583,78,0.487,38,0.218,17,0.824,14,5,200,138.2,50.0,21,13,105,25.0,19,0.526,41,0.366,15,65.3,47,0.61,10.5,10,37,0.622,23,0.5,5
