date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Coleman Coliseum , Tuscaloosa, Alabama",Penn,Alabama,Away,37.0,10,11.9,5,94.2,75.8,25,0.428,76,0.355,27,0.289,22,0.682,15,1,200,93.0,38.3,18,18,80,11.6,10,0.5,38,0.289,11,53.8,43,0.463,18.2,19,38,0.421,16,0.0,0
2019-11-11,"Coleman Coliseum , Tuscaloosa, Alabama",Florida Atlantic,Alabama,Home,80.8,21,12.2,5,77.6,73.3,33,0.517,59,0.441,26,0.373,22,0.773,17,1,200,102.6,40.0,12,18,78,6.6,5,0.492,29,0.31,9,60.0,45,0.562,21.7,19,30,0.567,17,0.5,1
2019-11-15,"Ryan Center, Kingston, Rhode Island",Alabama,Rhode Island,Home,51.6,16,10.6,5,109.4,87.5,28,0.508,66,0.47,31,0.242,16,0.75,12,2,200,92.9,25.0,8,22,79,4.7,4,0.333,22,0.227,5,56.3,36,0.537,23.1,22,44,0.591,26,0.333,1
2019-11-19,"Coleman Coliseum , Tuscaloosa, Alabama",Furman,Alabama,Home,40.7,11,22.2,6,89.0,74.4,32,0.575,53,0.509,27,0.509,27,0.741,20,2,200,98.8,16.7,4,19,81,8.5,7,0.396,21,0.333,7,53.7,36,0.615,24.5,21,32,0.625,20,0.5,2
2019-11-27,"Imperial Arena at Atlantis Resort, Paradise Island",UNC,Alabama,Away,46.2,12,7.0,4,95.0,50.0,19,0.463,68,0.382,26,0.132,9,0.444,4,3,200,83.8,20.0,8,23,67,7.5,6,0.456,31,0.355,11,34.6,27,0.464,16.3,14,37,0.405,15,0.4,2
2019-11-28,"Imperial Arena at Atlantis Resort, Paradise Island",Alabama,Iowa State,Home,41.9,13,7.5,3,126.8,76.5,26,0.5,74,0.419,31,0.243,18,0.833,15,4,200,108.5,43.9,18,20,89,9.8,8,0.351,26,0.462,12,58.7,44,0.539,17.2,17,48,0.396,19,0.333,2
2019-11-29,"Imperial Arena at Atlantis Resort, Paradise Island",Southern Miss,Alabama,Home,57.1,16,2.4,1,98.6,76.0,19,0.683,52,0.538,28,0.423,22,0.545,12,4,200,120.3,34.5,10,18,83,10.1,7,0.635,33,0.455,15,53.7,29,0.665,19.6,15,19,0.684,13,0.429,3
2019-12-06,"Coleman Coliseum , Tuscaloosa, Alabama",Stephen F. Austin,Alabama,Home,61.9,13,16.7,8,87.2,67.6,23,0.564,47,0.447,21,0.745,35,0.714,25,4,200,100.0,24.1,7,19,78,14.1,11,0.681,32,0.344,11,47.6,30,0.613,24.3,20,15,0.667,10,0.5,4
2019-12-14,"Bryce Jordan Center, University Park, Pennsylvania",Alabama,Penn State,Home,44.4,12,5.6,2,89.0,80.0,32,0.414,76,0.355,27,0.184,14,0.571,8,5,200,86.6,26.5,13,22,71,6.1,5,0.434,33,0.273,9,50.6,45,0.43,10.9,10,43,0.419,18,0.444,4
2019-12-18,"Legacy Arena, Birmingham, Alabama",Alabama,Samford,Away,60.6,20,10.0,4,102.4,76.5,26,0.648,64,0.516,33,0.406,26,0.846,22,5,200,123.5,28.1,9,17,105,11.8,10,0.531,34,0.5,17,53.0,35,0.688,17.5,16,30,0.533,16,0.5,5
2019-12-21,"Von Braun Center, Hunstville, Alabama",Belmont,Alabama,Home,58.8,20,9.5,4,90.0,80.5,33,0.612,67,0.507,34,0.239,16,0.625,10,5,200,115.0,22.6,7,14,92,5.0,4,0.478,32,0.438,14,55.6,40,0.617,14.9,13,35,0.571,20,0.545,6
2019-12-29,"Coleman Coliseum , Tuscaloosa, Alabama",Richmond,Alabama,Home,45.2,14,13.3,6,100.0,75.6,31,0.561,66,0.47,31,0.318,21,0.762,16,5,200,115.4,39.5,15,19,90,5.1,4,0.455,30,0.4,12,58.2,46,0.592,16.6,15,36,0.528,19,0.583,7
2020-01-04,"Stephen C. O'Connell Center, Gainesville, Florida",Alabama,Florida,Home,35.5,11,3.8,2,110.6,72.1,31,0.493,76,0.408,31,0.447,34,0.676,23,6,250,104.3,21.7,10,29,98,7.4,7,0.447,34,0.382,13,46.1,41,0.532,11.7,12,42,0.429,18,0.538,7
2020-01-08,"Coleman Coliseum , Tuscaloosa, Alabama",Mississippi State,Alabama,Home,50.0,14,11.1,6,89.6,73.2,30,0.579,57,0.491,28,0.596,34,0.706,24,6,200,116.9,28.1,9,17,90,3.9,3,0.421,24,0.417,10,53.4,39,0.615,12.2,10,33,0.545,18,0.571,8
2020-01-11,"Rupp Arena, Lexington, Kentucky",Alabama,Kentucky,Home,50.0,14,12.5,6,98.7,74.2,23,0.395,76,0.368,28,0.158,12,0.583,7,7,200,87.0,28.9,13,14,67,3.9,3,0.276,21,0.19,4,47.4,36,0.41,9.0,8,55,0.436,24,0.533,8
2020-01-15,"Coleman Coliseum , Tuscaloosa, Alabama",Auburn,Alabama,Home,37.5,9,8.6,3,75.3,72.3,34,0.482,56,0.429,24,0.661,37,0.784,29,7,200,97.6,12.1,4,23,83,8.2,7,0.375,21,0.286,6,47.5,38,0.564,17.2,15,35,0.514,18,0.562,9
2020-01-18,"Coleman Coliseum , Tuscaloosa, Alabama",Missouri,Alabama,Home,72.0,18,12.2,5,97.4,70.0,28,0.563,56,0.446,25,0.536,30,0.833,25,7,200,115.8,26.7,8,21,88,9.2,7,0.696,39,0.333,13,51.4,36,0.626,16.8,14,17,0.706,12,0.588,10
2020-01-22,"Memorial Gymnasium, Nashville, Tennessee",Alabama,Vanderbilt,Away,50.0,12,17.9,7,79.5,84.4,38,0.558,52,0.462,24,0.558,29,0.655,19,7,200,98.7,33.3,11,22,77,6.4,5,0.558,29,0.345,10,62.8,49,0.585,27.0,24,23,0.609,14,0.611,11
2020-01-25,"Coleman Coliseum , Tuscaloosa, Alabama",Kansas State,Alabama,Home,42.9,9,17.8,8,98.7,57.4,27,0.581,43,0.488,21,0.86,37,0.73,27,7,200,102.7,8.7,2,17,77,12.0,9,0.512,22,0.364,8,41.4,29,0.636,21.3,16,21,0.619,13,0.632,12
2020-01-29,"Maravich Assembly Center, Baton Rouge, Louisiana",Alabama,LSU,Home,46.7,14,9.8,5,115.4,66.7,20,0.479,73,0.411,30,0.137,10,0.6,6,8,200,97.4,22.2,10,17,76,3.8,3,0.521,38,0.263,10,40.0,30,0.489,10.4,9,35,0.571,20,0.6,12
2020-02-01,"Coleman Coliseum , Tuscaloosa, Alabama",Arkansas,Alabama,Away,40.7,11,14.0,6,110.8,75.0,24,0.517,60,0.45,27,0.4,24,0.667,16,9,200,105.4,44.1,15,25,78,9.5,7,0.517,31,0.258,8,59.1,39,0.546,19.4,17,29,0.655,19,0.571,12
2020-02-04,"Coleman Coliseum , Tuscaloosa, Alabama",Tennessee,Alabama,Away,53.8,14,9.1,4,93.2,58.5,24,0.553,57,0.456,26,0.14,8,0.625,5,10,200,91.9,20.7,6,26,68,12.2,9,0.474,27,0.407,11,42.9,30,0.559,24.8,20,30,0.5,15,0.545,12
2020-02-08,"Stegeman Coliseum, Athens, Georgia",Alabama,Georgia,Away,44.7,17,5.7,3,113.3,66.7,26,0.583,72,0.528,38,0.417,30,0.7,21,10,225,116.7,24.3,9,19,105,6.7,6,0.347,25,0.32,8,46.1,35,0.609,13.2,13,47,0.638,30,0.565,13
2020-02-12,"Auburn Arena, Auburn, Alabama",Alabama,Auburn,Home,66.7,20,14.0,6,111.8,57.8,26,0.488,84,0.357,30,0.19,16,0.563,9,11,225,107.1,24.5,12,27,91,3.5,3,0.702,59,0.373,22,40.4,38,0.497,8.1,8,25,0.32,8,0.542,13
2020-02-15,"Coleman Coliseum , Tuscaloosa, Alabama",LSU,Alabama,Home,53.6,15,10.0,4,107.9,73.0,27,0.523,66,0.424,28,0.394,26,0.731,19,11,200,115.8,29.3,12,16,88,7.9,6,0.53,35,0.371,13,50.0,39,0.562,10.4,9,31,0.484,15,0.56,14
2020-02-19,"Coleman Coliseum , Tuscaloosa, Alabama",Texas A&M,Alabama,Away,70.8,17,12.5,3,102.8,70.8,17,0.542,59,0.407,24,0.153,9,0.444,4,12,200,94.4,28.6,10,21,68,15.3,11,0.746,44,0.364,16,45.8,27,0.537,22.2,18,15,0.533,8,0.538,14
2020-02-22,"The Pavilion at Ole Miss, Oxford, Mississippi",Alabama,Ole Miss,Away,67.6,25,13.8,4,98.7,87.0,20,0.649,67,0.552,37,0.418,28,0.571,16,12,200,130.4,33.3,10,22,103,5.1,4,0.448,30,0.433,13,56.6,30,0.641,12.2,11,37,0.649,24,0.556,15
2020-02-25,"Humphrey Coliseum, Starkville, Mississippi",Alabama,Mississippi State,Home,44.4,12,9.3,4,111.1,71.4,20,0.464,70,0.386,27,0.214,15,0.533,8,13,200,101.4,33.3,14,15,73,11.1,8,0.457,32,0.344,11,48.6,34,0.473,12.6,11,38,0.421,16,0.536,15
2020-02-29,"Coleman Coliseum , Tuscaloosa, Alabama",South Carolina,Alabama,Home,45.8,11,5.4,3,108.9,75.6,31,0.518,55,0.436,24,0.855,47,0.702,33,13,200,113.9,33.3,11,23,90,7.6,6,0.436,24,0.375,9,56.8,42,0.582,12.7,11,31,0.484,15,0.552,16
