date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Wells Fargo Arena, Tempe, Arizona",Western Illinois,Arizona State,Home,60.7,17,9.8,4,56.5,64.1,27,0.64,50,0.56,28,0.56,28,0.821,23,0,200.0,140.3,52.4,9,10,87,16.1,10,0.32,16.0,0.5,8.0,60.0,36,0.687,13.8,10,34.0,0.588,20.0,1.0,1
2009-11-16,"Wells Fargo Arena, Tempe, Arizona",Texas State,Arizona State,Home,68.0,17,8.6,3,80.5,56.1,24,0.615,48,0.521,25,0.792,38,0.658,25,0,200.0,109.1,38.5,9,21,84,22.1,17,0.333,16.0,0.563,9.0,49.3,33,0.636,23.6,20,32.0,0.5,16.0,1.0,2
2009-11-17,"Wells Fargo Arena, Tempe, Arizona",TCU,Arizona State,Home,60.0,12,4.3,1,98.0,62.1,20,0.457,47,0.426,20,0.34,16,0.563,9,0,200.0,104.0,51.6,14,14,52,6.0,3,0.277,13.0,0.231,3.0,56.7,34,0.476,16.9,11,34.0,0.5,17.0,1.0,3
2009-11-20,"Wells Fargo Arena, Tempe, Arizona",San Francisco,Arizona State,Home,76.3,29,6.8,3,95.6,62.2,23,0.758,62,0.613,38,0.21,13,0.769,10,0,200.0,152.9,52.4,11,16,104,5.9,4,0.516,32.0,0.563,18.0,58.6,34,0.763,15.1,12,30.0,0.667,20.0,1.0,4
2009-11-25,"Madison Square Garden (IV), New York, New York",Duke,Arizona State,Away,33.3,6,2.7,1,98.5,58.6,17,0.413,46,0.391,18,0.478,22,0.682,15,1,200.0,81.5,30.8,8,18,53,10.8,7,0.283,13.0,0.154,2.0,45.5,25,0.469,21.2,14,33.0,0.485,16.0,0.8,4
2009-11-27,"Madison Square Garden (IV), New York, New York",Arizona State,LSU,Away,36.0,9,2.9,1,91.2,60.7,18,0.683,41,0.61,25,0.537,22,0.682,15,1,200.0,124.6,35.0,6,19,71,14.0,8,0.341,14.0,0.429,6.0,50.0,24,0.69,19.1,12,27.0,0.704,19.0,0.833,5
2009-11-30,"Wells Fargo Arena, Tempe, Arizona",Arkansas-Pine Bluff,Arizona State,Home,58.3,14,3.0,1,89.1,54.3,19,0.614,44,0.545,24,0.75,33,0.606,20,1,200.0,115.6,18.5,5,17,74,10.9,7,0.364,16.0,0.375,6.0,38.7,24,0.62,14.6,10,28.0,0.643,18.0,0.857,6
2009-12-03,"Wells Fargo Arena, Tempe, Arizona",Baylor,Arizona State,Away,70.0,14,0.0,0,116.4,50.0,9,0.5,50,0.4,20,0.24,12,0.917,11,2,200.0,110.9,25.9,5,14,61,9.1,5,0.6,30.0,0.333,10.0,34.1,14,0.548,11.2,7,20.0,0.5,10.0,0.75,6
2009-12-08,"Marriott Center, Provo, Utah",Arizona State,BYU,Home,47.6,10,8.8,3,120.9,72.7,24,0.532,47,0.447,21,0.489,23,0.783,18,3,200.0,101.5,7.4,2,19,68,3.0,2,0.426,20.0,0.4,8.0,43.3,26,0.587,17.4,12,27.0,0.481,13.0,0.667,6
2009-12-12,"Wells Fargo Arena, Tempe, Arizona",Delaware State,Arizona State,Home,71.4,20,20.6,7,63.0,69.7,24,0.673,49,0.571,28,0.224,11,0.909,10,3,200.0,140.7,47.6,9,10,76,9.3,5,0.429,21.0,0.476,10.0,61.1,33,0.701,15.7,10,28.0,0.643,18.0,0.7,7
2009-12-19,"Wells Fargo Arena, Tempe, Arizona",San Diego State,Arizona State,Home,55.6,10,3.4,1,81.3,52.0,16,0.449,49,0.367,18,0.388,19,0.579,11,3,200.0,85.9,22.9,5,20,55,20.3,13,0.531,26.0,0.308,8.0,35.0,21,0.474,17.3,12,23.0,0.435,10.0,0.727,8
2009-12-21,"Wells Fargo Arena, Tempe, Arizona",UCSB,Arizona State,Home,82.6,19,3.7,1,70.0,71.0,23,0.587,52,0.442,23,0.212,11,0.727,8,3,200.0,115.0,30.8,7,14,69,18.3,11,0.692,36.0,0.417,15.0,52.6,30,0.603,15.0,9,16.0,0.5,8.0,0.75,9
2009-12-23,"Wells Fargo Arena, Tempe, Arizona","USC Upstate
			",Arizona State,Home,76.2,16,3.8,1,94.5,75.0,22,0.472,54,0.389,21,0.259,14,0.714,10,3,200.0,110.9,40.6,12,12,61,10.9,6,0.5,27.0,0.333,9.0,56.7,34,0.503,13.0,9,27.0,0.444,12.0,0.769,10
2009-12-31,"Pauley Pavilion, Los Angeles, California",Arizona State,UCLA,Home,44.0,11,11.1,2,120.0,82.4,15,0.527,56,0.446,25,0.25,14,0.786,11,4,200.0,116.7,26.7,7,20,70,5.0,3,0.446,25.0,0.36,9.0,46.8,22,0.559,8.8,6,31.0,0.516,16.0,0.714,10
2010-01-02,"Galen Center, Los Angeles, California",Arizona State,USC,Home,63.6,7,2.9,1,79.7,69.0,20,0.3,45,0.244,11,0.311,14,0.714,10,5,200.0,62.7,26.9,7,21,37,3.4,2,0.511,23.0,0.217,5.0,49.1,27,0.358,22.7,12,22.0,0.273,6.0,0.667,10
