date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2020-12-04,"Cameron Indoor Stadium, Durham, North Carolina",BELLARMINE,DUKE,Home,56.5,13,0.0,0,108.6,67.9,19,0.462,53,0.434,23,0.226,12,0.417,5,1,200.0,77.1,18.2,6,12,54,5.7,4,0.17,9.0,0.333,3.0,41.0,25,0.46,23.6,18,44.0,0.455,20.0,0.0,0
2020-12-06,"Burr Gymnasium, Washington, District of Columbia",BELLARMINE,HOWARD,Away,69.0,20,4.8,1,90.0,87.1,27,0.618,55,0.527,29,0.418,23,0.696,16,1,200.0,120.0,33.3,8,19,84,7.1,5,0.382,21.0,0.476,10.0,63.6,35,0.637,15.6,12,34.0,0.559,19.0,0.5,1
2020-12-09,"Freedom Hall Civic Center, Johnson City, Tennessee",CHATTANOOGA,BELLARMINE,Away,61.5,16,6.3,1,111.6,81.8,18,0.491,56,0.464,26,0.268,15,0.867,13,2,200.0,98.6,13.3,4,13,68,8.7,6,0.196,11.0,0.273,3.0,42.3,22,0.539,13.8,10,45.0,0.511,23.0,0.333,1
2020-12-23,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",BELLARMINE,NOTRE-DAME,Home,66.7,18,4.3,1,130.6,71.4,15,0.602,54,0.5,27,0.111,6,0.833,5,3,200.0,112.9,0.0,0,20,70,4.8,3,0.37,20.0,0.55,11.0,31.3,15,0.616,9.6,6,34.0,0.471,16.0,0.25,1
2021-01-01,"Freedom Hall Civic Center, Johnson City, Tennessee","Transylvania
			",BELLARMINE,Home,61.1,22,10.3,3,61.5,90.9,30,0.718,55,0.655,36,0.309,17,0.647,11,3,200.0,138.5,57.1,12,13,90,21.5,14,0.364,20.0,0.35,7.0,77.8,42,0.713,16.1,12,35.0,0.829,29.0,0.4,2
2021-01-02,"Freedom Hall Civic Center, Johnson City, Tennessee","Mt. St. Joseph
			",BELLARMINE,Home,57.1,20,9.5,2,63.3,92.6,25,0.7,55,0.636,35,0.327,18,0.722,13,3,200.0,150.0,42.1,8,10,90,16.7,10,0.255,14.0,0.5,7.0,71.7,33,0.708,6.0,4,41.0,0.683,28.0,0.5,3
2021-01-08,"Freedom Hall Civic Center, Johnson City, Tennessee",LIPSCOMB,BELLARMINE,Away,60.7,17,8.7,2,114.9,87.0,20,0.542,60,0.467,28,0.183,11,0.636,7,4,200.0,107.5,32.4,11,16,72,9.0,6,0.4,24.0,0.375,9.0,54.4,31,0.552,16.7,13,36.0,0.528,19.0,0.429,3
2021-01-09,"Freedom Hall Civic Center, Johnson City, Tennessee",LIPSCOMB,BELLARMINE,Away,31.6,6,6.7,2,108.3,59.3,16,0.422,51,0.373,19,0.373,19,0.789,15,5,200.0,96.7,36.7,11,20,58,8.3,5,0.294,15.0,0.333,5.0,47.4,27,0.483,14.4,10,36.0,0.389,14.0,0.375,3
2021-01-15,"Alico Arena, Fort Myers, Florida",BELLARMINE,FLORIDA-GULF-COAST,Away,52.0,13,13.3,4,77.9,87.9,29,0.483,58,0.431,25,0.362,21,0.857,18,5,200.0,96.1,25.0,8,17,74,13.0,10,0.448,26.0,0.231,6.0,56.9,37,0.544,18.2,15,32.0,0.594,19.0,0.444,4
2021-01-16,"Alico Arena, Fort Myers, Florida",BELLARMINE,FLORIDA-GULF-COAST,Away,60.7,17,0.0,0,95.5,63.3,19,0.625,52,0.538,28,0.385,20,0.75,15,5,200.0,121.2,36.0,9,18,80,10.6,7,0.385,20.0,0.45,9.0,50.9,28,0.65,17.6,13,32.0,0.594,19.0,0.5,5
2021-01-22,"Freedom Hall Civic Center, Johnson City, Tennessee",STETSON,BELLARMINE,Home,44.0,11,14.7,5,103.3,71.9,23,0.548,52,0.481,25,0.25,13,0.769,10,5,200.0,111.7,25.9,7,13,67,5.0,3,0.327,17.0,0.412,7.0,50.8,30,0.576,12.2,8,35.0,0.514,18.0,0.545,6
2021-01-23,"Freedom Hall Civic Center, Johnson City, Tennessee",STETSON,BELLARMINE,Home,61.3,19,4.5,1,106.6,71.4,20,0.603,58,0.534,31,0.172,10,0.6,6,5,200.0,124.6,32.1,9,13,76,4.9,3,0.31,18.0,0.444,8.0,51.8,29,0.606,11.4,8,40.0,0.575,23.0,0.583,7
