date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Marriott Center, Provo, Utah",Bradley,BYU,Home,50.0,11,9.1,3,90.9,73.0,28,0.464,55,0.4,22,0.491,27,0.704,19,0,200.0,106.1,43.8,13,24,70,7.6,5,0.345,19.0,0.368,7.0,59.4,41,0.516,14.1,11,36.0,0.417,15.0,1.0,1
2009-11-20,"Stan Sheriff Center, Honolulu, Hawaii",BYU,Hawaii,Away,44.1,15,7.3,3,98.5,44.1,16,0.607,61,0.557,34,0.18,11,0.818,9,0,200.0,125.8,45.8,10,19,83,16.7,11,0.279,17.0,0.353,6.0,44.8,26,0.627,13.2,10,44.0,0.636,28.0,1.0,3
2009-11-27,"Marriott Center, Provo, Utah",Weber State,BYU,Home,48.0,12,7.7,3,100.0,56.8,22,0.578,51,0.49,25,0.647,33,0.848,28,0,200.0,124.3,32.0,7,16,87,15.7,11,0.314,16.0,0.563,9.0,46.8,29,0.652,14.4,11,35.0,0.457,16.0,1.0,5
2009-12-02,"Dee Glen Smith Spectrum, Logan, Utah",BYU,Utah State,Home,38.1,8,7.7,3,109.2,72.7,25,0.444,54,0.389,21,0.315,17,0.765,13,1,200.0,93.8,20.0,6,21,61,6.2,4,0.333,18.0,0.333,6.0,45.6,31,0.491,12.8,9,36.0,0.417,15.0,0.833,5
2009-12-08,"Marriott Center, Provo, Utah",Arizona State,BYU,Home,76.0,19,3.7,1,101.5,92.6,26,0.509,57,0.439,25,0.439,25,0.92,23,1,200.0,120.9,27.3,8,18,81,9.0,6,0.404,23.0,0.348,8.0,56.7,34,0.588,8.1,6,34.0,0.5,17.0,0.875,7
2009-12-17,"Marriott Center, Provo, Utah",Wagner,BYU,Home,78.6,22,17.4,8,81.3,60.4,31,0.492,59,0.475,28,0.508,30,0.633,19,1,200.0,102.7,42.3,9,17,77,10.7,8,0.203,12.0,0.167,2.0,54.1,40,0.526,15.3,13,47.0,0.553,26.0,0.9,9
2009-12-23,"Orleans Arena, Paradise, Nevada",BYU,Nebraska,Away,53.3,16,5.3,2,93.0,75.9,24,0.684,49,0.612,30,0.653,32,0.656,21,1,200.0,123.9,38.1,6,19,88,7.0,5,0.327,16.0,0.438,7.0,60.0,30,0.685,19.2,15,33.0,0.697,23.0,0.923,12
2009-12-28,"McKale Center, Tucson, Arizona",BYU,Arizona,Away,59.5,22,5.1,2,94.5,66.7,23,0.677,65,0.569,37,0.215,14,0.786,11,1,200.0,135.6,42.3,10,21,99,11.0,8,0.385,25.0,0.56,14.0,55.9,33,0.691,13.4,11,40.0,0.575,23.0,0.929,13
2010-01-06,"Marriott Center, Provo, Utah",UNLV,BYU,Home,52.0,13,8.5,4,100.0,66.7,23,0.426,68,0.368,25,0.353,24,0.792,19,1,200.0,105.5,45.2,16,13,77,9.6,7,0.309,21.0,0.381,8.0,54.2,39,0.485,13.3,12,47.0,0.362,17.0,0.938,15
2010-01-09,"Don Haskins Center, El Paso, Texas",BYU,UTEP,Away,60.7,17,8.3,3,96.3,67.6,28,0.608,51,0.549,28,0.549,28,0.75,21,1,200.0,103.8,31.8,4,27,83,12.5,10,0.294,15.0,0.4,6.0,54.2,32,0.645,25.8,21,36.0,0.611,22.0,0.941,16
2010-01-16,"Marriott Center, Provo, Utah",Colorado State,BYU,Home,58.8,20,18.4,7,62.7,71.4,26,0.647,58,0.586,34,0.431,25,0.64,16,1,200.0,121.3,27.6,7,20,91,12.0,9,0.293,17.0,0.412,7.0,51.6,33,0.651,15.9,13,41.0,0.659,27.0,0.947,18
2010-01-23,"Viejas Arena, San Diego, California",BYU,San Diego State,Away,59.3,16,20.0,9,104.5,55.3,23,0.525,60,0.45,27,0.133,8,1.0,8,1,200.0,107.6,37.0,8,11,71,9.1,6,0.35,21.0,0.429,9.0,47.7,31,0.556,14.8,10,39.0,0.462,18.0,0.952,20
2010-01-27,"The Pit/Bob King Court, Albuquerque, New Mexico",BYU,New Mexico,Home,58.3,14,10.9,5,102.7,62.8,29,0.444,63,0.381,24,0.317,20,0.8,16,2,200.0,97.3,32.3,8,23,72,12.2,9,0.302,19.0,0.421,8.0,50.0,37,0.497,13.3,11,44.0,0.364,16.0,0.909,20
