date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Alltel Pavilion at the Stuart C. Siegel Center, Richmond, Virginia",Bethune-Cookman,VCU,Home,29.4,5,3.8,1,114.9,55.6,17,0.388,49,0.347,17,0.388,19,0.684,13,1,200.0,76.1,36.7,9,20,51,7.5,5,0.224,11.0,0.364,4.0,45.6,26,0.439,25.9,19,38.0,0.342,13.0,0.0,0
2009-11-15,"Ted Constant Convocation Ctr., Norfolk, Virginia",Bethune-Cookman,Old Dominion,Home,26.7,4,10.0,4,125.5,44.0,14,0.395,43,0.349,15,0.163,7,0.571,4,2,200.0,69.1,20.0,3,23,38,5.5,3,0.279,12.0,0.333,4.0,30.9,17,0.41,23.3,13,31.0,0.355,11.0,0.0,0
2009-11-21,"Humphrey Coliseum, Starkville, Mississippi",Bethune-Cookman,Mississippi State,Home,50.0,9,11.1,4,100.0,71.0,23,0.385,52,0.346,18,0.25,13,0.846,11,3,200.0,76.1,21.2,6,15,51,13.4,9,0.231,12.0,0.333,4.0,45.3,29,0.438,20.6,15,40.0,0.35,14.0,0.25,1
2009-11-28,"South Padre Island Convention Centre, South Padre Island, Texas",Bethune-Cookman,Texas-Rio Grande Valley,Away,52.0,13,5.6,1,112.3,78.9,16,0.616,43,0.581,25,0.558,24,0.583,14,3,200.0,117.5,25.0,5,22,67,12.3,7,0.14,6.0,0.5,3.0,48.8,21,0.616,18.3,11,37.0,0.595,22.0,0.5,3
2009-12-12,"New UCF Arena, Orlando, Florida",Bethune-Cookman,UCF,Home,50.0,11,3.0,1,98.4,61.9,16,0.426,54,0.407,22,0.204,11,0.364,4,4,200.0,78.1,32.4,9,20,50,14.1,9,0.111,6.0,0.333,2.0,43.1,25,0.422,22.4,17,48.0,0.417,20.0,0.556,5
2009-12-16,"Moore Gymnasium, Daytona Beach, Florida",Jacksonville,Bethune-Cookman,Away,50.0,8,6.7,2,94.9,68.4,13,0.34,50,0.32,16,0.36,18,0.778,14,5,200.0,81.4,22.9,8,13,48,15.3,9,0.22,11.0,0.182,2.0,38.9,21,0.41,14.7,10,39.0,0.359,14.0,0.545,6
2009-12-30,"BankUnited Center, Coral Gables, Florida",Bethune-Cookman,Miami (FL),Home,44.4,8,12.1,4,115.9,54.5,18,0.385,52,0.346,18,0.423,22,0.682,15,6,200.0,87.3,37.1,7,21,55,6.3,4,0.231,12.0,0.333,4.0,43.9,25,0.44,18.5,14,40.0,0.35,14.0,0.538,7
2010-01-04,"Moore Gymnasium, Daytona Beach, Florida",LIU,Bethune-Cookman,Home,41.4,13,17.1,6,94.5,67.6,28,0.525,61,0.475,29,0.393,24,0.583,14,6,200.0,106.8,45.5,12,18,78,11.0,8,0.213,13.0,0.462,6.0,57.1,40,0.539,16.4,14,48.0,0.479,23.0,0.571,8
2010-01-18,"Moore Gymnasium, Daytona Beach, Florida",Maryland-Eastern Shore,Bethune-Cookman,Home,28.6,6,29.2,7,85.0,70.8,22,0.404,57,0.368,21,0.386,22,0.773,17,7,200.0,105.0,45.5,10,16,63,5.0,3,0.281,16.0,0.25,4.0,56.1,32,0.467,11.9,9,41.0,0.415,17.0,0.611,11
2010-01-23,"Convocation Center, Hampton, Virginia",Bethune-Cookman,Hampton,Away,36.4,8,5.7,2,85.2,47.8,15,0.533,45,0.489,22,0.289,13,0.692,9,7,200.0,93.4,30.4,3,15,57,14.8,9,0.244,11.0,0.364,4.0,39.1,18,0.557,25.1,16,34.0,0.529,18.0,0.632,12
