date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"ExtraMile Arena, Boise, Idaho","Life Pacific
			",Boise State,Home,56.8,25,2.8,1,60.5,87.8,36,0.739,71,0.62,44,0.408,29,0.724,21,0,200,155.6,38.5,10,12,126,11.1,9,0.437,31,0.548,17,68.7,46,0.743,8.7,8,40,0.675,27,1.0,1
2019-11-09,"Matthew Knight Arena, Eugene, Oregon",Boise State,Oregon,Home,51.9,14,2.4,1,139.5,86.7,13,0.476,63,0.429,27,0.365,23,0.652,15,1,200,98.7,28.6,12,13,75,6.6,5,0.365,23,0.261,6,43.9,25,0.507,15.1,13,40,0.525,21,0.5,1
2019-11-15,"ExtraMile Arena, Boise, Idaho",UC-Irvine,Boise State,Away,52.9,9,4.8,2,90.8,80.0,20,0.345,55,0.309,17,0.527,29,0.759,22,2,200,78.9,15.8,6,14,60,11.8,9,0.382,21,0.19,4,41.3,26,0.436,16.1,13,34,0.382,13,0.333,1
2019-11-20,"ExtraMile Arena, Boise, Idaho",BYU,Boise State,Home,28.0,7,6.0,3,86.1,80.4,37,0.434,61,0.41,25,0.443,27,0.704,19,2,225,91.1,13.5,5,11,72,8.9,7,0.311,19,0.158,3,50.6,42,0.488,12.1,10,42,0.524,22,0.5,2
2019-11-23,"A.G. Spanos Center, Stockton, California",Boise State,Pacific,Away,40.0,10,0.0,0,89.4,64.1,25,0.477,64,0.391,25,0.438,28,0.75,21,2,275,96.5,19.0,8,25,82,11.8,10,0.359,23,0.478,11,40.7,33,0.53,19.1,18,41,0.341,14,0.6,3
2019-11-29,"ExtraMile Arena, Boise, Idaho",UNC Wilmington,Boise State,Home,56.7,17,9.3,4,83.1,85.7,24,0.533,61,0.492,30,0.361,22,0.682,15,2,200,112.7,17.2,5,16,80,5.6,4,0.361,22,0.227,5,50.9,29,0.56,9.0,7,39,0.641,25,0.667,4
2019-12-04,"The Pit, Albuquerque, New Mexico",Boise State,New Mexico,Home,70.4,19,4.7,2,121.2,67.9,19,0.642,53,0.509,27,0.264,14,0.714,10,3,200,118.2,23.8,5,20,78,1.5,1,0.528,28,0.5,14,49.0,24,0.654,16.9,12,25,0.52,13,0.571,4
2019-12-07,"ExtraMile Arena, Boise, Idaho",Colorado State,Boise State,Home,48.1,13,0.0,0,86.5,86.1,31,0.516,62,0.435,27,0.194,12,0.917,11,3,200,101.4,12.1,4,12,75,6.8,5,0.452,28,0.357,10,50.7,35,0.554,12.9,10,34,0.5,17,0.625,5
2019-12-11,"Donald W. Reynolds Center, Tulsa, Oklahoma",Boise State,Tulsa,Home,52.6,10,2.3,1,103.0,70.0,21,0.44,50,0.38,19,0.36,18,0.667,12,4,200,83.6,17.6,6,14,56,7.5,5,0.58,29,0.207,6,42.2,27,0.478,19.5,14,21,0.619,13,0.556,5
2019-12-14,"ExtraMile Arena, Boise, Idaho",Alabama State,Boise State,Home,50.0,18,2.8,1,77.0,86.5,32,0.713,61,0.59,36,0.279,17,0.765,13,4,200,135.1,28.6,8,12,100,6.8,5,0.475,29,0.517,15,61.5,40,0.724,14.9,12,32,0.656,21,0.6,6
2019-12-22,"Stan Sheriff Center, Honolulu, Hawaii",Georgia Tech,Boise State,Away,47.4,9,9.1,3,97.4,63.0,17,0.386,57,0.333,19,0.386,22,0.727,16,5,200,78.9,16.2,6,21,60,11.8,9,0.351,20,0.3,6,35.9,23,0.445,19.4,16,37,0.351,13,0.545,6
2019-12-23,"Stan Sheriff Center, Honolulu, Hawaii",Portland,Boise State,Home,60.7,17,2.6,1,98.6,90.0,27,0.57,57,0.491,28,0.456,26,0.769,20,5,200,121.4,32.1,9,18,85,8.6,6,0.456,26,0.346,9,62.1,36,0.613,11.6,9,31,0.613,19,0.583,7
2019-12-25,"Stan Sheriff Center, Honolulu, Hawaii",Boise State,UTEP,Away,48.1,13,0.0,0,94.4,82.4,28,0.483,60,0.45,27,0.3,18,0.778,14,5,200,101.4,37.5,12,11,72,5.6,4,0.333,20,0.2,4,60.6,40,0.525,16.1,13,40,0.575,23,0.615,8
2019-12-28,"ExtraMile Arena, Boise, Idaho",Cal State Northridge,Boise State,Home,52.8,19,8.6,3,87.8,86.5,32,0.659,63,0.571,36,0.476,30,0.667,20,5,200,125.6,28.6,8,19,103,6.1,5,0.365,23,0.478,11,61.5,40,0.667,15.5,14,40,0.625,25,0.643,9
2020-01-01,"ExtraMile Arena, Boise, Idaho",Wyoming,Boise State,Home,15.0,3,4.8,1,78.3,91.7,22,0.422,51,0.392,20,0.51,26,0.846,22,5,200,94.2,31.0,9,20,65,13.0,9,0.294,15,0.2,3,58.5,31,0.513,18.3,14,36,0.472,17,0.667,10
2020-01-04,"Lawlor Events Center, Reno, Nevada",Boise State,Nevada,Home,23.8,5,3.3,1,125.8,65.2,15,0.405,58,0.362,21,0.397,23,0.826,19,6,200,100.0,23.7,9,13,66,7.6,5,0.448,26,0.192,5,39.3,24,0.479,8.1,6,32,0.5,16,0.625,10
