date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",Wake Forest,Boston College,Home,48.1,13,6.3,3,93.3,67.6,23,0.484,62,0.435,27,0.435,27,0.63,17,0,200,102.7,19.4,7,20,77,12.0,9,0.29,18,0.333,6,42.9,30,0.515,7.5,6,44,0.477,21,1.0,1
2019-11-10,"Sun Dome, Tampa, Florida",Boston College,South Florida,Away,64.0,16,14.7,5,78.9,71.1,27,0.58,50,0.5,25,0.48,24,0.667,16,0,200,97.4,39.3,11,15,74,11.8,9,0.42,21,0.381,8,57.6,38,0.603,29.2,25,29,0.586,17,1.0,2
2019-11-13,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",High Point,Boston College,Home,54.2,13,10.3,3,45.8,74.3,26,0.392,65,0.369,24,0.2,13,0.615,8,0,200,81.9,25.0,10,13,59,22.2,16,0.385,25,0.12,3,48.0,36,0.414,15.5,13,40,0.525,21,1.0,3
2019-11-16,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",Belmont,Boston College,Away,54.5,18,2.8,1,131.6,65.5,19,0.627,59,0.559,33,0.22,13,0.846,11,1,200,111.8,4.5,1,15,85,9.2,7,0.305,18,0.444,8,39.2,20,0.652,15.6,12,41,0.61,25,0.75,3
2019-11-20,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",Eastern Washington,Boston College,Home,60.9,14,12.9,4,87.2,82.1,32,0.465,57,0.404,23,0.456,26,0.731,19,1,200,92.3,22.9,8,11,72,12.8,10,0.333,19,0.368,7,54.1,40,0.519,17.0,14,38,0.421,16,0.8,4
2019-11-23,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",DePaul,Boston College,Away,60.0,12,15.6,7,96.0,56.3,18,0.446,56,0.357,20,0.339,19,0.895,17,2,200,89.3,11.8,4,15,67,10.7,8,0.429,24,0.417,10,33.3,22,0.515,19.9,16,32,0.313,10,0.667,4
2019-11-27,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",Saint Louis,Boston College,Away,47.4,9,6.7,3,86.5,66.7,30,0.407,54,0.352,19,0.296,16,0.625,10,3,200,73.0,16.2,6,19,54,12.2,9,0.333,18,0.333,6,43.9,36,0.438,22.8,18,36,0.361,13,0.571,4
2019-11-30,"Robins Center, Richmond, Virginia",Boston College,Richmond,Home,68.8,11,8.8,3,94.1,90.6,29,0.355,55,0.291,16,0.2,11,0.455,5,4,200,64.7,23.8,10,6,44,2.9,2,0.509,28,0.25,7,52.7,39,0.365,21.1,16,27,0.333,9,0.5,4
2019-12-03,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",Northwestern,Boston College,Away,53.8,14,2.9,1,120.6,66.7,12,0.517,58,0.448,26,0.155,9,0.444,4,5,200,94.1,16.1,5,12,64,7.4,5,0.466,27,0.296,8,34.7,17,0.514,15.1,11,31,0.581,18,0.444,4
2019-12-07,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",Boston College,Notre Dame,Away,43.3,13,0.0,0,100.0,71.0,22,0.582,61,0.492,30,0.066,4,0.5,2,5,200,101.4,28.1,9,21,73,9.7,7,0.377,23,0.478,11,49.2,31,0.58,20.3,16,38,0.5,19,0.5,5
