date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Case Gym, Boston, Massachusetts",Northeastern,Boston University,Away,40.7,11,10.3,4,104.3,82.1,23,0.564,55,0.491,27,0.218,12,0.417,5,1,200,97.1,23.3,7,15,67,7.2,5,0.473,26,0.308,8,51.7,30,0.552,19.9,15,29,0.655,19,0.0,0
2019-11-09,"Case Gym, Boston, Massachusetts","SUNY-Polytechnic
			",Boston University,Home,51.4,18,2.2,1,86.3,77.4,24,0.587,69,0.507,35,0.203,14,0.714,10,1,200,124.7,30.3,10,16,91,9.6,7,0.362,25,0.44,11,53.1,34,0.601,9.6,8,44,0.545,24,0.5,1
2019-11-13,"Roy L. Patrick Gymnasium, Burlington, Vermont",Boston University,Vermont,Home,41.2,7,3.0,1,89.9,80.6,25,0.333,57,0.298,17,0.263,15,0.6,9,2,200,68.1,21.6,8,19,47,14.5,10,0.281,16,0.25,4,48.5,33,0.366,17.0,13,41,0.317,13,0.333,1
2019-11-16,"Case Gym, Boston, Massachusetts",New Hampshire,Boston University,Home,41.9,13,3.2,1,98.6,82.1,23,0.596,57,0.544,31,0.421,24,0.667,16,2,200,118.3,22.6,7,16,84,9.9,7,0.368,21,0.286,6,50.8,30,0.614,11.8,9,36,0.694,25,0.5,2
2019-11-19,"The Colonial Life Arena, Columbia, South Carolina",Boston University,South Carolina,Away,55.6,15,4.4,2,94.6,62.5,25,0.492,64,0.422,27,0.344,22,0.682,15,2,200,105.4,30.6,11,17,78,9.5,7,0.391,25,0.36,9,47.4,36,0.524,12.0,10,39,0.462,18,0.6,3
2019-11-22,"WVU Coliseum, Morgantown, West Virginia",Boston University,West Virginia,Home,47.1,8,0.0,0,101.5,65.7,23,0.385,52,0.327,17,0.115,6,0.667,4,3,200,64.7,26.5,9,16,44,7.4,5,0.385,20,0.3,6,46.4,32,0.401,28.7,22,32,0.344,11,0.5,3
2019-11-26,"Hard Rock Hotel Riviera Maya, Cancun",Boston University,Northern Colorado,Home,18.2,4,8.6,3,116.4,69.6,16,0.412,57,0.386,22,0.211,12,0.667,8,4,200,82.1,18.2,6,13,55,10.4,7,0.228,13,0.231,3,39.3,22,0.439,12.6,9,44,0.432,19,0.429,3
2019-11-27,"Hard Rock Hotel Riviera Maya, Cancun",UT-Martin,Boston University,Away,53.8,14,2.6,1,118.8,74.2,23,0.554,56,0.464,26,0.25,14,0.786,11,5,200,114.1,34.5,10,11,73,3.1,2,0.536,30,0.333,10,55.0,33,0.583,15.0,11,26,0.615,16,0.375,3
2019-12-04,"Charles E. Smith Center, Washington, District of Columbia",Boston University,George Washington,Home,57.7,15,8.3,3,94.1,70.6,24,0.491,57,0.456,26,0.211,12,0.583,7,6,200,92.6,32.3,10,16,63,10.3,7,0.263,15,0.267,4,52.3,34,0.502,18.4,14,42,0.524,22,0.333,3
2019-12-07,"Binghamton University Events Center, Vestal, New York",Boston University,Binghamton,Home,28.1,9,2.9,1,113.5,68.8,22,0.415,82,0.39,32,0.195,16,0.688,11,7,225,106.8,44.2,23,15,79,6.8,5,0.354,29,0.138,4,53.6,45,0.441,8.2,8,53,0.528,28,0.3,3
2019-12-14,"Case Gym, Boston, Massachusetts",Dartmouth,Boston University,Home,51.9,14,9.1,4,113.4,65.7,23,0.663,46,0.587,27,0.609,28,0.607,17,7,200,116.4,19.0,4,17,78,1.5,1,0.348,16,0.438,7,48.2,27,0.658,15.9,11,30,0.667,20,0.364,4
2019-12-21,"Tsongas Center, Lowell, Massachusetts",Boston University,UMass-Lowell,Away,41.4,12,4.3,2,83.8,75.6,34,0.492,64,0.453,29,0.219,14,0.786,11,7,200,100.0,26.5,9,17,74,5.4,4,0.313,20,0.25,5,54.4,43,0.524,15.6,13,44,0.545,24,0.417,5
2019-12-29,"Hammel Court, North Andover, Massachusetts",Boston University,Merrimack,Away,53.6,15,10.5,4,109.8,81.5,22,0.653,49,0.571,28,0.265,13,0.385,5,7,200,113.1,26.9,7,15,69,6.6,4,0.347,17,0.471,8,54.7,29,0.625,18.0,12,32,0.625,20,0.462,6
2020-01-02,"Case Gym, Boston, Massachusetts",Lafayette,Boston University,Home,41.4,12,0.0,0,105.9,92.6,25,0.541,61,0.475,29,0.197,12,0.583,7,7,200,107.4,23.5,8,14,73,10.3,7,0.393,24,0.333,8,54.1,33,0.547,12.0,9,37,0.568,21,0.5,7
2020-01-05,"Bender Arena, Washington, District of Columbia",Boston University,American,Home,22.7,5,8.0,2,97.1,74.2,23,0.426,54,0.407,22,0.5,27,0.63,17,8,200,91.3,22.9,8,18,63,13.0,9,0.241,13,0.154,2,47.0,31,0.471,15.4,12,41,0.488,20,0.467,7
2020-01-08,"Case Gym, Boston, Massachusetts",Lehigh,Boston University,Home,53.3,16,7.3,3,91.8,87.1,27,0.515,65,0.462,30,0.4,26,0.654,17,8,200,115.1,26.3,10,11,84,6.8,5,0.415,27,0.259,7,53.6,37,0.543,9.5,8,38,0.605,23,0.5,8
2020-01-11,"Case Gym, Boston, Massachusetts",Army,Boston University,Home,52.9,18,5.9,2,90.8,84.8,28,0.679,56,0.607,34,0.161,9,0.556,5,8,200,124.6,36.0,9,15,81,6.2,4,0.268,15,0.533,8,63.8,37,0.672,18.9,14,41,0.634,26,0.529,9
2020-01-13,"Reitz Arena, Baltimore, Maryland",Boston University,Loyola (MD),Away,54.5,18,2.8,1,71.6,83.3,30,0.581,62,0.532,33,0.29,18,0.722,13,8,200,114.9,28.6,8,18,85,10.8,8,0.339,21,0.286,6,59.4,38,0.602,15.7,13,41,0.659,27,0.556,10
2020-01-18,"Cotterell Court, Hamilton, New York",Boston University,Colgate,Home,44.4,12,6.7,2,121.5,72.2,26,0.464,70,0.386,27,0.1,7,0.714,5,9,200,107.7,29.3,12,17,70,3.1,2,0.414,29,0.379,11,49.4,38,0.477,5.2,4,41,0.39,16,0.526,10
2020-01-22,"Case Gym, Boston, Massachusetts",Navy,Boston University,Away,40.9,9,0.0,0,90.9,84.6,22,0.456,57,0.386,22,0.158,9,0.667,6,10,225,87.9,20.6,7,18,58,12.1,8,0.421,24,0.333,8,48.3,29,0.473,15.3,11,33,0.424,14,0.5,10
2020-01-25,"Hart Recreation Center, Worcester, Massachusetts",Boston University,Holy Cross,Away,58.1,18,8.6,3,94.1,86.5,32,0.548,62,0.5,31,0.242,15,0.733,11,10,200,116.2,28.1,9,10,79,4.4,3,0.258,16,0.375,6,59.4,41,0.571,13.8,11,46,0.543,25,0.524,11
2020-01-29,"Case Gym, Boston, Massachusetts",Loyola (MD),Boston University,Home,48.4,15,6.1,2,108.5,70.4,19,0.595,58,0.534,31,0.534,31,0.742,23,10,200,129.6,37.9,11,16,92,11.3,8,0.31,18,0.389,7,53.6,30,0.633,12.2,10,40,0.6,24,0.545,12
2020-02-01,"Sojka Pavilion, Lewisburg, Pennsylvania",Boston University,Bucknell,Away,48.5,16,5.9,2,86.4,75.0,24,0.61,59,0.559,33,0.119,7,0.714,5,10,200,116.7,30.8,8,11,77,15.2,10,0.22,13,0.462,6,55.2,32,0.618,15.1,11,46,0.587,27,0.565,13
2020-02-05,"Christl Arena, West Point, New York",Boston University,Army,Away,57.1,16,2.4,1,100.0,73.3,22,0.6,55,0.509,28,0.364,20,0.7,14,10,200,121.2,18.5,5,15,80,9.1,6,0.473,26,0.385,10,47.4,27,0.62,9.9,7,29,0.621,18,0.583,14
2020-02-08,"Case Gym, Boston, Massachusetts",Holy Cross,Boston University,Home,40.7,11,8.8,3,107.9,71.0,22,0.556,54,0.5,27,0.5,27,0.63,17,10,200,122.2,35.7,10,14,77,7.9,5,0.352,19,0.316,6,54.2,32,0.576,10.8,8,35,0.6,21,0.6,15
2020-02-10,"Case Gym, Boston, Massachusetts",Colgate,Boston University,Away,38.5,10,14.6,6,117.9,67.9,19,0.467,60,0.433,26,0.117,7,1.0,7,11,200,94.0,32.3,10,16,63,7.5,5,0.35,21,0.19,4,49.2,29,0.497,18.2,14,39,0.564,22,0.577,15
2020-02-15,"Alumni Hall, Annapolis, Maryland",Boston University,Navy,Away,54.8,17,7.3,3,88.5,79.4,27,0.627,55,0.564,31,0.218,12,0.667,8,11,200,126.2,43.5,10,20,77,1.6,1,0.309,17,0.412,7,64.9,37,0.634,14.2,10,38,0.632,24,0.593,16
2020-02-19,"Kirby Sports Center, Easton, Pennsylvania",Boston University,Lafayette,Home,23.8,5,5.7,2,93.8,89.7,26,0.429,56,0.375,21,0.286,16,0.688,11,12,200,90.8,25.0,7,11,59,6.2,4,0.393,22,0.273,6,57.9,33,0.464,13.7,10,34,0.441,15,0.571,16
2020-02-23,"Case Gym, Boston, Massachusetts",American,Boston University,Home,48.0,12,7.3,3,87.0,69.7,23,0.474,58,0.431,25,0.259,15,0.6,9,12,200,92.8,38.2,13,13,64,7.2,5,0.241,14,0.357,5,53.7,36,0.491,19.9,16,44,0.455,20,0.586,17
2020-02-26,"Stabler Arena, Bethlehem, Pennsylvania",Boston University,Lehigh,Home,55.0,11,6.5,3,77.0,82.9,29,0.321,70,0.286,20,0.257,18,0.556,10,13,225,74.3,28.0,14,16,55,8.1,6,0.3,21,0.238,5,50.6,43,0.35,9.3,8,49,0.306,15,0.567,17
2020-02-29,"Case Gym, Boston, Massachusetts",Bucknell,Boston University,Home,37.9,11,10.8,4,107.6,77.4,24,0.583,54,0.537,29,0.315,17,0.647,11,13,200,112.1,25.9,7,15,74,6.1,4,0.259,14,0.357,5,53.4,31,0.596,12.8,9,40,0.6,24,0.581,18
2020-03-05,"Case Gym, Boston, Massachusetts",Navy,Boston University,Home,50.0,12,5.4,2,94.0,75.0,24,0.491,57,0.421,24,0.351,20,0.65,13,13,200,103.0,23.5,8,13,69,9.0,6,0.421,24,0.333,8,48.5,32,0.519,13.2,10,33,0.485,16,0.594,19
