date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Hagan Arena, Philadelphia, Pennsylvania",Bradley,St. Joseph's,Home,56.7,17,19.4,6,103.6,71.0,22,0.448,77,0.39,30,0.195,15,0.8,12,1,200,97.6,45.7,16,28,81,8.4,7,0.26,20,0.45,9,57.6,38,0.481,14.3,14,57,0.368,21,0.0,0
2019-11-09,"Carver Arena, Peoria, Illinois",IUPUI,Bradley,Home,59.4,19,6.7,2,80.0,82.4,28,0.545,67,0.478,32,0.328,22,0.773,17,1,200,128.6,40.5,15,15,90,5.7,4,0.403,27,0.333,9,60.6,43,0.581,8.4,7,40,0.575,23,0.5,1
2019-11-16,"Carver Arena, Peoria, Illinois",UIC,Bradley,Home,50.0,11,4.8,1,81.2,81.8,27,0.397,58,0.379,22,0.431,25,0.76,19,1,200,94.2,26.3,10,9,65,10.1,7,0.224,13,0.154,2,52.1,37,0.465,10.4,8,45,0.444,20,0.667,2
2019-11-19,"Carver Arena, Peoria, Illinois",Norfolk State,Bradley,Home,79.2,19,18.8,6,86.4,67.9,19,0.474,57,0.421,24,0.404,23,0.652,15,1,200,104.5,40.0,14,16,69,6.1,4,0.421,24,0.25,6,52.4,33,0.508,15.2,12,33,0.545,18,0.75,3
2019-11-22,"Carver Arena, Peoria, Illinois",Radford,Bradley,Home,54.2,13,3.2,1,96.8,66.7,20,0.561,49,0.49,24,0.51,25,0.6,15,1,200,111.1,53.3,16,19,70,7.9,5,0.388,19,0.368,7,60.0,36,0.575,21.1,16,30,0.567,17,0.8,4
2019-11-25,"Suncoast Credit Union Arena, Fort Myers, Florida",Bradley,Northwestern,Home,56.3,9,10.8,4,123.8,60.0,15,0.365,48,0.333,16,0.417,20,0.8,16,2,200,81.0,21.2,7,15,51,7.9,5,0.208,10,0.3,3,37.9,22,0.443,18.6,13,38,0.342,13,0.667,4
2019-11-27,"Suncoast Credit Union Arena, Fort Myers, Florida",Kansas State,Bradley,Home,62.5,15,7.7,3,84.5,73.0,27,0.635,48,0.5,24,0.354,17,0.706,12,2,200,102.8,23.1,6,16,73,7.0,5,0.479,23,0.565,13,52.4,33,0.651,27.5,21,25,0.44,11,0.714,5
2019-12-03,"FedExForum, Memphis, Tennessee",Bradley,Memphis,Home,36.4,8,4.7,2,93.4,75.0,30,0.28,82,0.268,22,0.22,18,0.556,10,3,200,73.7,35.2,19,19,56,3.9,3,0.28,23,0.087,2,52.1,49,0.309,7.2,7,59,0.339,20,0.625,5
2019-12-07,"Carver Arena, Peoria, Illinois",North Carolina A&T,Bradley,Home,66.7,20,15.4,4,76.5,64.9,24,0.589,56,0.536,30,0.375,21,0.81,17,3,200,122.1,37.5,9,17,83,7.4,5,0.25,14,0.429,6,54.1,33,0.629,14.4,11,42,0.571,24,0.667,6
2019-12-10,"Carver Arena, Peoria, Illinois","Maryville (MO)
			",Bradley,Home,73.0,27,17.1,7,78.4,88.9,32,0.645,62,0.597,37,0.21,13,0.846,11,3,200,123.0,33.3,8,9,91,9.5,7,0.226,14,0.429,6,66.7,40,0.667,18.1,15,48,0.646,31,0.7,7
2019-12-15,"Carver Arena, Peoria, Illinois",Georgia Southern,Bradley,Home,71.9,23,18.8,6,75.0,85.4,35,0.633,60,0.533,32,0.133,8,0.625,5,3,200,119.1,24.1,7,7,81,11.8,8,0.3,18,0.667,12,60.0,42,0.635,13.6,10,42,0.476,20,0.727,8
2019-12-21,"Millett Hall, Oxford, Ohio",Bradley,Miami (OH),Home,33.3,6,9.7,3,107.6,80.6,29,0.382,55,0.327,18,0.473,26,0.5,13,4,200,83.3,30.2,13,19,55,1.5,1,0.309,17,0.353,6,53.2,42,0.408,15.3,12,38,0.316,12,0.667,8
2019-12-28,"Carver Arena, Peoria, Illinois",Toledo,Bradley,Home,43.5,10,8.8,3,93.0,73.2,30,0.455,56,0.411,23,0.571,32,0.844,27,4,200,109.9,33.3,12,19,78,8.5,6,0.268,15,0.333,5,54.5,42,0.548,13.6,11,41,0.439,18,0.692,9
2019-12-31,"Carver Arena, Peoria, Illinois",Drake,Bradley,Home,57.7,15,11.5,3,102.9,83.3,25,0.492,62,0.419,26,0.355,22,0.864,19,4,200,114.3,36.4,12,14,80,12.9,9,0.339,21,0.429,9,58.7,37,0.552,12.2,10,41,0.415,17,0.714,10
2020-01-04,"McLeod Center, Cedar Falls, Iowa",Bradley,Northern Iowa,Home,45.5,10,8.8,3,103.0,69.4,25,0.463,54,0.407,22,0.463,25,0.56,14,5,200,95.5,24.2,8,21,64,7.5,5,0.389,21,0.286,6,47.8,33,0.486,11.0,8,33,0.485,16,0.667,10
2020-01-08,"Ford Center, Evansville, Indiana",Bradley,Evansville,Away,37.9,11,14.3,4,76.5,91.4,32,0.464,70,0.414,29,0.114,8,0.875,7,5,200,105.9,36.8,14,16,72,10.3,7,0.271,19,0.368,7,63.0,46,0.488,9.8,8,51,0.431,22,0.688,11
2020-01-11,"Carver Arena, Peoria, Illinois",Southern Illinois,Bradley,Home,41.7,10,30.0,9,75.0,69.2,27,0.491,56,0.429,24,0.232,13,0.923,12,5,200,104.7,40.6,13,11,67,7.8,5,0.411,23,0.304,7,56.3,40,0.539,19.6,15,33,0.515,17,0.706,12
2020-01-15,"JQH Arena, Springfield, Missouri",Bradley,Missouri State,Away,51.6,16,17.6,6,105.4,85.7,30,0.598,66,0.47,31,0.227,15,0.8,12,5,200,123.0,25.7,9,19,91,2.7,2,0.455,30,0.567,17,55.7,39,0.622,12.1,10,36,0.389,14,0.722,13
2020-01-18,"Carver Arena, Peoria, Illinois",Northern Iowa,Bradley,Away,42.3,11,14.3,5,122.9,71.0,22,0.518,56,0.464,26,0.321,18,0.722,13,6,200,101.4,24.1,7,17,71,4.3,3,0.304,17,0.353,6,48.3,29,0.55,15.8,12,39,0.513,20,0.684,13
2020-01-22,"Carver Arena, Peoria, Illinois",Illinois State,Bradley,Home,46.4,13,17.9,5,96.9,75.7,28,0.525,59,0.475,28,0.254,15,0.867,13,6,200,115.4,32.1,9,14,75,4.6,3,0.254,15,0.4,6,56.9,37,0.567,9.6,7,44,0.5,22,0.7,14
2020-01-25,"Hulman Center, Terre Haute, Indiana",Bradley,Indiana State,Home,71.4,15,13.3,4,100.0,72.7,24,0.533,45,0.467,21,0.267,12,0.417,5,7,200,86.9,20.0,5,16,53,9.8,6,0.289,13,0.462,6,50.0,29,0.523,23.0,15,32,0.469,15,0.667,14
2020-01-29,"Carver Arena, Peoria, Illinois",Valparaiso,Bradley,Home,63.0,17,9.7,3,98.6,71.8,28,0.588,51,0.529,27,0.49,25,0.8,20,7,200,114.3,38.1,8,18,80,4.3,3,0.235,12,0.5,6,60.0,36,0.636,21.5,17,39,0.538,21,0.682,15
2020-02-01,"Joseph J. Gentile Center, Chicago, Illinois",Bradley,Loyola (IL),Home,73.7,14,10.7,3,105.1,61.5,16,0.511,45,0.422,19,0.111,5,1.0,5,8,200,86.4,17.4,4,23,51,3.4,2,0.489,22,0.364,8,40.8,20,0.538,26.5,17,23,0.478,11,0.652,15
2020-02-05,"Knapp Center, Des Moines, Iowa",Bradley,Drake,Home,26.3,5,3.2,1,112.3,64.0,16,0.413,52,0.365,19,0.385,20,0.85,17,9,200,92.3,33.3,10,24,60,9.2,6,0.385,20,0.25,5,47.3,26,0.488,18.7,14,32,0.438,14,0.625,15
2020-02-09,"Carver Arena, Peoria, Illinois",Evansville,Bradley,Home,20.0,5,6.7,2,87.9,88.6,31,0.5,51,0.49,25,0.471,24,0.75,18,9,200,104.5,22.6,7,15,69,4.5,3,0.216,11,0.091,1,57.6,38,0.553,12.8,9,40,0.6,24,0.64,16
2020-02-12,"Carver Arena, Peoria, Illinois",Indiana State,Bradley,Home,40.7,11,8.8,3,96.8,77.1,27,0.61,50,0.54,27,0.36,18,0.611,11,9,200,114.3,10.7,3,18,72,9.5,6,0.34,17,0.412,7,47.6,30,0.615,10.8,7,33,0.606,20,0.654,17
2020-02-15,"The SIU Arena, Carbondale, Illinois",Bradley,Southern Illinois,Away,51.9,14,6.9,2,98.5,91.2,31,0.517,58,0.466,27,0.259,15,0.6,9,9,200,101.5,27.3,9,15,69,5.9,4,0.241,14,0.429,6,59.7,40,0.53,14.6,11,44,0.477,21,0.667,18
2020-02-19,"Carver Arena, Peoria, Illinois",Missouri State,Bradley,Home,50.0,13,5.7,3,97.5,66.0,33,0.538,53,0.491,26,0.679,36,0.722,26,9,225,102.5,23.3,7,25,83,2.5,2,0.245,13,0.385,5,50.0,40,0.592,19.8,17,40,0.525,21,0.679,19
2020-02-22,"Athletics-Recreation Center, Valparaiso, Indiana",Bradley,Valparaiso,Home,46.7,14,11.5,3,140.6,81.8,18,0.507,69,0.435,30,0.145,10,0.8,8,10,200,121.9,37.8,14,12,78,4.7,3,0.348,24,0.417,10,54.2,32,0.529,3.9,3,45,0.444,20,0.655,19
2020-02-26,"Redbird Arena, Normal, Illinois",Bradley,Illinois State,Away,40.7,11,13.8,4,88.8,78.8,26,0.383,77,0.351,27,0.26,20,0.75,15,10,225,92.5,31.8,14,22,74,10.0,8,0.286,22,0.227,5,51.9,40,0.428,8.5,8,55,0.4,22,0.667,20
2020-02-29,"Carver Arena, Peoria, Illinois",Loyola (IL),Bradley,Away,66.7,16,24.2,8,104.7,74.1,20,0.548,52,0.462,24,0.231,12,0.75,9,11,200,103.1,20.0,6,13,66,9.4,6,0.404,21,0.429,9,45.6,26,0.572,16.1,11,31,0.484,15,0.645,20
2020-03-06,"Scottrade Center, St. Louis, Missouri",Southern Illinois,Bradley,Home,60.9,14,32.4,12,89.4,87.9,29,0.448,58,0.397,23,0.224,13,0.923,12,11,200,97.0,32.3,10,14,64,4.5,3,0.31,18,0.333,6,60.9,39,0.499,16.9,13,40,0.425,17,0.656,21
2020-03-07,"Scottrade Center, St. Louis, Missouri",Drake,Bradley,Home,35.7,10,13.9,5,97.1,76.7,23,0.526,57,0.491,28,0.421,24,0.667,16,11,200,111.8,14.8,4,15,76,7.4,5,0.193,11,0.364,4,47.4,27,0.556,6.9,5,46,0.522,24,0.667,22
2020-03-08,"Scottrade Center, St. Louis, Missouri",Valparaiso,Bradley,Home,51.7,15,6.7,2,97.1,81.3,26,0.55,60,0.483,29,0.267,16,0.875,14,11,200,117.6,28.6,8,12,80,7.4,5,0.283,17,0.471,8,56.7,34,0.592,10.7,8,43,0.488,21,0.676,23
