date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Webster Bank Arena, Bridgeport, Connecticut",Bucknell,Fairfield,Away,63.6,14,10.6,5,90.1,72.2,26,0.491,55,0.4,22,0.309,17,0.824,14,0,199,95.8,12.9,4,20,68,5.6,4,0.418,23,0.435,10,44.8,30,0.539,17.2,13,32,0.375,12,1.0,1
2019-11-10,"Sojka Pavilion, Lewisburg, Pennsylvania",Vermont,Bucknell,Away,34.8,8,10.3,4,85.7,71.4,30,0.454,54,0.426,23,0.407,22,0.636,14,1,200,81.8,12.9,4,21,63,2.6,2,0.407,22,0.136,3,46.6,34,0.489,19.1,15,32,0.625,20,0.5,1
2019-11-13,"Sojka Pavilion, Lewisburg, Pennsylvania",Hofstra,Bucknell,Home,61.3,19,15.9,7,94.7,75.0,30,0.575,67,0.463,31,0.164,11,0.818,9,1,200,114.7,37.5,12,22,86,6.7,5,0.418,28,0.536,15,58.3,42,0.595,16.3,14,39,0.41,16,0.667,2
2019-11-16,"Koessler Athletic Center, Buffalo, New York",Bucknell,Canisius,Home,51.9,14,4.7,2,116.9,75.0,21,0.627,55,0.491,27,0.273,15,0.8,12,2,200,114.1,60.0,15,18,81,9.9,7,0.545,30,0.5,15,67.9,36,0.652,27.2,23,25,0.48,12,0.5,2
2019-11-19,"Bryce Jordan Center, University Park, Pennsylvania",Bucknell,Penn State,Home,43.3,13,2.0,1,130.7,62.1,18,0.479,70,0.429,30,0.071,5,0.6,3,3,200,93.3,28.6,10,19,70,6.7,5,0.386,27,0.259,7,43.8,28,0.484,16.2,14,43,0.535,23,0.4,2
2019-11-23,"Carrier Dome, Syracuse, New York",Bucknell,Syracuse,Home,66.7,10,5.4,2,126.0,62.1,18,0.289,57,0.263,15,0.298,17,0.765,13,4,200,59.7,21.6,8,13,46,7.8,6,0.421,24,0.125,3,39.4,26,0.353,26.3,23,33,0.364,12,0.333,2
2019-11-25,"HP Field House, Orlando, Florida",Seattle,Bucknell,Home,34.6,9,2.2,1,101.4,75.7,28,0.483,58,0.448,26,0.534,31,0.677,21,4,200,111.6,32.4,11,16,77,5.8,4,0.328,19,0.211,4,54.9,39,0.529,7.7,6,39,0.564,22,0.429,3
2019-11-26,"HP Field House, Orlando, Florida",Yale,Bucknell,Away,57.1,12,2.7,1,115.7,76.2,16,0.466,59,0.356,21,0.169,10,0.6,6,5,200,87.1,13.9,5,16,61,7.1,5,0.576,34,0.382,13,36.8,21,0.478,17.0,13,25,0.32,8,0.375,3
2019-11-30,"Sojka Pavilion, Lewisburg, Pennsylvania",Princeton,Bucknell,Away,37.0,10,11.8,4,122.5,75.0,18,0.526,58,0.466,27,0.362,21,0.762,16,6,200,108.5,12.5,4,20,77,7.0,5,0.328,19,0.368,7,39.3,22,0.566,9.4,7,39,0.513,20,0.333,3
2019-12-03,"Alumni Gymnasium, Lawrenceville, New Jersey",Bucknell,Rider,Home,54.5,12,4.8,2,120.3,76.0,19,0.464,55,0.4,22,0.455,25,0.72,18,7,200,93.2,30.3,10,19,69,9.5,7,0.364,20,0.35,7,50.0,29,0.516,17.5,14,35,0.429,15,0.3,3
2019-12-07,"Sojka Pavilion, Lewisburg, Pennsylvania",Albany (NY),Bucknell,Home,45.0,9,12.5,3,88.9,76.9,20,0.435,54,0.37,20,0.407,22,0.818,18,7,200,90.3,14.7,5,23,65,18.1,13,0.519,28,0.25,7,41.7,25,0.504,19.1,15,26,0.5,13,0.364,4
2019-12-21,"Times Union Center , Albany, New York",Bucknell,Siena,Home,35.7,10,10.5,4,111.0,72.4,21,0.508,63,0.444,28,0.143,9,0.778,7,8,200,97.3,18.2,6,27,71,8.2,6,0.381,24,0.333,8,43.5,27,0.528,14.1,11,39,0.513,20,0.333,4
2019-12-28,"The Palestra, Philadelphia, Pennsylvania",Bucknell,La Salle,Home,38.9,7,2.9,1,93.4,84.8,28,0.402,51,0.353,18,0.353,18,1.0,18,9,201,77.6,15.4,4,22,59,14.5,11,0.373,19,0.263,5,54.2,32,0.495,27.2,22,32,0.406,13,0.308,4
