date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-15,"Alumni Arena, Buffalo, New York",Vermont,Buffalo,Away,58.8,10,17.1,7,85.3,66.7,27,0.336,55,0.309,17,0.473,26,0.769,20,1,200.0,83.8,34.3,11,19,57,8.8,6,0.291,16.0,0.188,3.0,51.4,38,0.423,16.4,13,39.0,0.359,14.0,0.0,0
2009-11-19,"Alumni Hall, Annapolis, Maryland",Buffalo,Navy,Away,50.0,11,13.0,6,71.6,69.0,31,0.461,51,0.431,22,0.49,25,0.64,16,1,200.0,85.1,40.6,11,14,63,13.5,10,0.255,13.0,0.231,3.0,56.8,42,0.501,27.9,24,38.0,0.5,19.0,0.5,1
2009-11-21,"Towson Center, Towson, Maryland",Buffalo,Towson,Away,58.1,18,0.0,0,89.6,63.4,28,0.493,67,0.463,31,0.284,19,0.632,12,1,225.0,101.3,42.9,13,18,78,14.3,11,0.254,17.0,0.235,4.0,53.9,41,0.513,18.4,16,50.0,0.54,27.0,0.667,2
2009-11-24,"Alumni Arena, Buffalo, New York",Canisius,Buffalo,Away,50.0,13,11.4,4,98.6,80.0,26,0.508,59,0.441,26,0.339,20,0.55,11,2,200.0,95.9,32.3,8,20,71,5.4,4,0.356,21.0,0.381,8.0,55.7,34,0.518,19.1,15,38.0,0.474,18.0,0.5,2
2009-12-03,"Alumni Arena, Buffalo, New York",Army,Buffalo,Home,77.8,14,10.3,4,95.7,64.7,23,0.548,42,0.429,18,0.833,35,0.8,28,2,200.0,105.7,46.2,11,14,74,10.0,7,0.548,23.0,0.435,10.0,56.7,34,0.631,27.7,22,19.0,0.421,8.0,0.6,3
2009-12-05,"Mackey Arena, West Lafayette, Indiana",Buffalo,Purdue,Home,60.9,14,4.4,2,126.3,53.6,19,0.381,67,0.343,23,0.313,21,0.667,14,3,200.0,81.3,40.0,12,16,65,8.8,7,0.239,16.0,0.313,5.0,45.6,31,0.422,19.9,19,51.0,0.353,18.0,0.5,3
2009-12-09,"Gallagher Center, Niagara University, New York",Buffalo,Niagara,Away,61.3,19,15.8,6,103.9,66.7,33,0.596,57,0.544,31,0.421,24,0.75,18,3,200.0,111.7,50.0,12,22,86,10.4,8,0.228,13.0,0.462,6.0,60.8,45,0.629,22.8,19,44.0,0.568,25.0,0.571,4
2009-12-29,"New UCF Arena, Orlando, Florida",Jacksonville,Buffalo,Away,36.0,9,0.0,0,116.9,60.0,19,0.453,64,0.391,25,0.313,20,0.75,15,4,200.0,102.8,45.7,15,24,73,7.0,5,0.406,26.0,0.308,8.0,52.3,34,0.497,18.0,16,38.0,0.447,17.0,0.6,6
2009-12-30,"New UCF Arena, Orlando, Florida",Buffalo,Liberty,Away,60.0,15,5.6,2,91.4,66.7,21,0.585,53,0.472,25,0.415,22,0.864,19,4,200.0,115.7,37.0,7,19,81,11.4,8,0.604,32.0,0.375,12.0,51.9,28,0.638,21.3,17,21.0,0.619,13.0,0.636,7
2010-01-09,"Alumni Arena, Buffalo, New York",Miami (OH),Buffalo,Home,50.0,13,5.4,2,88.7,67.6,27,0.567,52,0.5,26,0.385,20,0.7,14,4,200.0,117.7,46.2,10,18,73,9.7,6,0.346,18.0,0.389,7.0,58.7,37,0.593,17.6,13,34.0,0.559,19.0,0.667,8
