date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"Hinkle Fieldhouse, Indianapolis, Indiana",IUPUI,Butler,Home,60.0,21,11.1,4,75.8,65.7,23,0.644,59,0.593,35,0.153,9,0.444,4,0,200,129.0,39.3,11,13,80,9.7,6,0.237,14,0.429,6,54.0,34,0.632,11.3,8,45,0.644,29,1.0,1
2019-11-09,"Hinkle Fieldhouse, Indianapolis, Indiana",New Orleans,Butler,Home,62.1,18,5.3,2,82.8,92.3,24,0.558,60,0.483,29,0.333,20,0.6,12,0,200,123.4,42.4,14,14,79,9.4,6,0.317,19,0.474,9,64.4,38,0.568,6.8,5,41,0.488,20,1.0,2
2019-11-12,"Hinkle Fieldhouse, Indianapolis, Indiana",Minnesota,Butler,Home,38.1,8,10.7,3,82.4,73.3,22,0.409,55,0.382,21,0.473,26,0.731,19,0,200,94.1,27.3,9,20,64,10.3,7,0.255,14,0.214,3,49.2,31,0.475,11.9,9,41,0.439,18,1.0,3
2019-11-16,"Hinkle Fieldhouse, Indianapolis, Indiana",Wofford,Butler,Home,65.5,19,10.0,3,91.0,82.4,28,0.615,52,0.558,29,0.365,19,0.842,16,0,200,119.4,17.4,4,15,80,3.0,2,0.308,16,0.375,6,56.1,32,0.655,11.7,8,36,0.639,23,1.0,4
2019-11-22,"Hinkle Fieldhouse, Indianapolis, Indiana",Morehead State,Butler,Home,53.8,14,11.1,3,79.4,81.5,22,0.535,57,0.456,26,0.158,9,0.778,7,0,200,107.9,22.2,6,16,68,11.1,7,0.456,26,0.346,9,51.9,28,0.555,12.9,9,31,0.548,17,1.0,5
2019-11-25,"Sprint Center, Kansas City, Missouri",Butler,Missouri,Away,56.5,13,8.6,3,89.7,81.0,17,0.563,48,0.479,23,0.208,10,0.9,9,0,200,108.6,45.5,10,12,63,10.3,6,0.5,24,0.333,8,62.8,27,0.597,21.1,14,24,0.625,15,1.0,6
2019-11-26,"Sprint Center, Kansas City, Missouri",Stanford,Butler,Home,32.1,9,3.4,1,108.1,73.9,17,0.534,58,0.483,28,0.138,8,0.75,6,0,200,109.7,38.5,10,16,68,11.3,7,0.397,23,0.261,6,55.1,27,0.55,14.0,10,35,0.629,22,1.0,7
2019-12-03,"The Pavilion at Ole Miss, Oxford, Mississippi",Butler,Ole Miss,Away,58.3,14,0.0,0,90.6,78.4,29,0.596,47,0.511,24,0.319,15,0.733,11,0,200,104.7,12.5,3,15,67,7.8,5,0.362,17,0.471,8,52.5,32,0.619,19.5,13,30,0.533,16,1.0,8
2019-12-07,"Hinkle Fieldhouse, Indianapolis, Indiana",Florida,Butler,Home,76.0,19,9.1,2,95.4,85.7,24,0.615,48,0.521,25,0.458,22,0.773,17,0,200,116.9,10.0,2,18,76,4.6,3,0.417,20,0.45,9,54.2,26,0.65,13.5,9,28,0.571,16,1.0,9
2019-12-10,"Ferrell Center, Waco, Texas",Butler,Baylor,Home,45.0,9,15.2,5,85.5,69.7,23,0.441,51,0.392,20,0.196,10,0.7,7,1,200,83.9,23.1,6,16,52,6.5,4,0.294,15,0.333,5,49.2,29,0.466,15.3,10,36,0.417,15,0.9,9
2019-12-14,"Hinkle Fieldhouse, Indianapolis, Indiana",Southern,Butler,Home,65.0,13,9.7,3,62.1,90.3,28,0.545,44,0.455,20,0.614,27,0.667,18,1,200,100.0,19.2,5,17,66,9.1,6,0.5,22,0.364,8,57.9,33,0.581,18.9,13,22,0.545,12,0.909,10
2019-12-21,"Bankers Life Fieldhouse, Indianapolis, Indiana",Butler,Purdue,Away,76.2,16,8.1,3,91.0,68.6,24,0.544,45,0.467,21,0.711,32,0.656,21,1,200,104.5,26.1,6,20,70,4.5,3,0.422,19,0.368,7,51.7,30,0.581,16.9,12,26,0.538,14,0.917,11
2019-12-28,"Hinkle Fieldhouse, Indianapolis, Indiana",Louisiana-Monroe,Butler,Home,63.0,17,6.8,3,51.4,81.0,34,0.517,59,0.458,27,0.136,8,0.75,6,1,200,95.7,10.7,3,15,67,7.1,5,0.424,25,0.28,7,52.9,37,0.533,13.8,10,34,0.588,20,0.923,12
2019-12-31,"Carnesecca Arena, Jamaica, New York",Butler,St. John's (NY),Away,57.1,12,5.6,2,86.6,88.9,32,0.5,52,0.404,21,0.192,10,0.8,8,1,200,89.6,43.3,13,12,60,3.0,2,0.519,27,0.37,10,68.2,45,0.529,28.1,22,25,0.44,11,0.929,13
2020-01-04,"Hinkle Fieldhouse, Indianapolis, Indiana",Creighton,Butler,Home,32.1,9,6.3,2,81.4,87.5,28,0.508,61,0.459,28,0.262,16,0.563,9,1,200,101.4,18.8,6,18,71,4.3,3,0.311,19,0.316,6,53.1,34,0.517,9.3,7,42,0.524,22,0.933,14
2020-01-10,"Dunkin' Donuts Center, Providence, Rhode Island",Butler,Providence,Away,24.0,6,2.9,1,87.9,77.3,34,0.622,45,0.556,25,0.467,21,0.667,14,1,200,106.1,34.8,8,18,70,4.5,3,0.267,12,0.5,6,62.7,42,0.637,23.9,17,33,0.576,19,0.938,15
2020-01-15,"Hinkle Fieldhouse, Indianapolis, Indiana",Seton Hall,Butler,Away,58.3,14,7.4,2,114.7,74.2,23,0.474,57,0.421,24,0.333,19,0.842,16,2,200,102.9,26.5,9,21,70,5.9,4,0.368,21,0.286,6,49.2,32,0.53,13.3,10,36,0.5,18,0.882,15
2020-01-18,"Wintrust Arena, Chicago, Illinois",Butler,DePaul,Home,36.4,8,14.3,4,112.9,78.3,18,0.481,53,0.415,22,0.358,19,0.789,15,3,200,94.3,36.7,11,23,66,10.0,7,0.396,21,0.333,7,54.7,29,0.532,21.7,17,32,0.469,15,0.833,15
2020-01-21,"Finneran Pavilion, Villanova, Pennsylvania",Butler,Villanova,Home,50.0,13,8.3,3,111.8,79.4,27,0.445,64,0.406,26,0.125,8,0.5,4,4,200,89.7,18.4,7,19,61,7.4,5,0.313,20,0.25,5,47.2,34,0.45,6.9,5,44,0.477,21,0.789,15
2020-01-24,"Hinkle Fieldhouse, Indianapolis, Indiana",Marquette,Butler,Home,42.9,12,16.1,5,106.3,75.7,28,0.492,63,0.444,28,0.492,31,0.871,27,4,225,111.3,20.6,7,14,89,10.0,8,0.238,15,0.4,6,49.3,35,0.573,9.5,8,48,0.458,22,0.8,16
