date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Comcast Center, College Park, Maryland",CHARLESTON-SOUTHERN,MARYLAND,Home,44.4,8,5.2,3,117.1,57.6,24,0.358,60,0.3,18,0.283,17,0.471,8,1,200.0,67.1,43.9,13,11,51,7.9,6,0.283,17.0,0.412,7.0,50.0,37,0.375,26.2,24,43.0,0.256,11.0,0.0,0
2009-11-21,"CSU Fieldhouse, Charleston, South Carolina",STETSON,CHARLESTON-SOUTHERN,Home,61.5,16,26.2,11,92.8,59.6,28,0.6,50,0.52,26,0.6,30,0.667,20,1,200.0,115.9,33.3,8,15,80,10.1,7,0.3,15.0,0.533,8.0,50.7,36,0.623,16.0,12,35.0,0.514,18.0,0.667,2
2009-12-03,"Vines Center, Lynchburg, Virginia",CHARLESTON-SOUTHERN,LIBERTY,Home,41.2,7,3.0,1,104.5,74.2,25,0.313,64,0.266,17,0.328,21,0.619,13,3,200.0,80.3,43.5,18,22,53,4.5,3,0.406,26.0,0.231,6.0,55.8,43,0.358,13.1,11,38.0,0.289,11.0,0.571,4
2009-12-16,"Carolina First Arena, Charleston, South Carolina",CHARLESTON-SOUTHERN,COLLEGE-OF-CHARLESTON,Home,42.3,11,5.4,2,114.5,68.8,23,0.518,56,0.464,26,0.446,25,0.64,16,5,200.0,97.4,33.3,10,18,74,9.2,7,0.25,14.0,0.429,6.0,50.8,33,0.545,21.2,17,42.0,0.476,20.0,0.444,4
2009-12-19,"Cassell Coliseum, Blacksburg, Virginia",CHARLESTON-SOUTHERN,VIRGINIA-TECH,Home,64.7,11,7.1,2,109.0,57.9,16,0.38,50,0.34,17,0.38,19,0.632,12,6,200.0,74.6,42.9,10,15,50,13.4,9,0.24,12.0,0.333,4.0,48.1,26,0.424,28.3,23,38.0,0.342,13.0,0.4,4
2009-12-29,"Beard-Eaves-Memorial, Auburn, Alabama",CHARLESTON-SOUTHERN,AUBURN,Home,47.8,11,2.3,1,110.0,55.3,21,0.519,52,0.442,23,0.192,10,0.8,8,7,200.0,88.6,32.1,9,20,62,11.4,8,0.423,22.0,0.364,8.0,45.5,30,0.546,28.1,22,30.0,0.5,15.0,0.417,5
2010-01-04,"CSU Fieldhouse, Charleston, South Carolina",WINTHROP,CHARLESTON-SOUTHERN,Home,59.1,13,5.4,2,94.7,57.1,20,0.554,46,0.478,22,0.174,8,0.75,6,7,200.0,100.0,33.3,7,17,57,12.3,7,0.348,16.0,0.438,7.0,48.2,27,0.572,23.2,15,30.0,0.5,15.0,0.5,7
2010-01-09,"Charlie Justice Center, Asheville, North Carolina",CHARLESTON-SOUTHERN,NORTH-CAROLINA-ASHEVILLE,Away,44.4,12,7.3,4,105.7,42.5,18,0.583,54,0.5,27,0.333,18,0.778,14,8,225.0,110.0,25.0,6,18,77,11.4,8,0.352,19.0,0.474,9.0,35.3,24,0.616,18.4,14,35.0,0.514,18.0,0.5,8
2010-01-28,"Winthrop Coliseum, Rock Hill, South Carolina",CHARLESTON-SOUTHERN,WINTHROP,Home,29.4,5,17.5,7,88.7,61.9,28,0.343,54,0.315,17,0.389,21,0.762,16,10,200.0,85.5,40.0,12,15,53,12.9,8,0.296,16.0,0.188,3.0,51.9,40,0.414,17.1,13,38.0,0.368,14.0,0.5,10
2010-02-04,"CSU Fieldhouse, Charleston, South Carolina",NORTH-CAROLINA-ASHEVILLE,CHARLESTON-SOUTHERN,Home,52.0,13,10.8,4,78.3,64.5,21,0.548,52,0.481,25,0.192,10,0.5,5,11,200.0,89.9,35.7,9,17,62,14.5,10,0.308,16.0,0.438,7.0,50.8,30,0.546,26.2,20,36.0,0.5,18.0,0.5,11
2010-02-27,"CSU Fieldhouse, Charleston, South Carolina",LIBERTY,CHARLESTON-SOUTHERN,Away,30.4,7,3.2,1,119.4,38.1,10,0.446,56,0.411,23,0.393,22,0.5,11,16,200.0,98.4,51.4,16,26,61,12.9,8,0.339,19.0,0.211,4.0,46.4,26,0.459,16.5,13,37.0,0.514,19.0,0.448,13
2010-11-12,"Alexander Memorial Coliseum, Atlanta, Georgia",CHARLESTON-SOUTHERN,GEORGIA-TECH,Home,64.3,9,5.4,2,72.2,68.8,33,0.308,52,0.269,14,0.231,12,0.583,7,1,200.0,54.2,40.6,13,22,39,13.9,10,0.462,24.0,0.167,4.0,57.5,46,0.338,32.0,27,28.0,0.357,10.0,0.0,0
2010-11-16,"CSU Fieldhouse, Charleston, South Carolina",CITADEL,CHARLESTON-SOUTHERN,Home,29.6,8,7.9,3,95.3,64.3,18,0.537,54,0.5,27,0.296,16,0.625,10,1,200.0,106.3,29.0,9,18,68,12.5,8,0.167,9.0,0.444,4.0,45.8,27,0.552,15.3,11,45.0,0.511,23.0,0.5,1
2010-11-21,"Robins Center, Richmond, Virginia",CHARLESTON-SOUTHERN,RICHMOND,Home,38.5,10,0.0,0,128.1,78.9,15,0.574,54,0.481,26,0.204,11,0.818,9,2,200.0,110.9,29.6,8,17,71,6.3,4,0.37,20.0,0.5,10.0,50.0,23,0.599,18.1,13,34.0,0.471,16.0,0.5,2
