date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"War Memorial Gymnasium, San Francisco, California",Cal Poly,San Francisco,Home,26.3,5,3.2,1,112.3,55.6,15,0.396,53,0.358,19,0.509,27,0.741,20,1,200.0,95.4,35.3,12,21,62,6.2,4,0.208,11.0,0.364,4.0,44.3,27,0.471,16.7,13,42.0,0.357,15.0,0.0,0
2009-11-15,"Maples Pavilion, Stanford, California",Cal Poly,Stanford,Home,11.8,2,7.3,3,102.9,67.6,26,0.409,44,0.386,17,0.614,27,0.63,17,2,200.0,77.9,28.6,7,19,53,4.4,3,0.182,8.0,0.25,2.0,50.8,33,0.466,25.4,18,36.0,0.417,15.0,0.0,0
2009-11-21,"Peter W. Stott Center, Portland, Oregon",Cal Poly,Portland State,Home,48.1,13,3.0,1,129.6,76.9,12,0.47,67,0.403,27,0.388,26,0.769,20,3,200.0,116.9,58.8,18,26,83,9.9,7,0.313,21.0,0.429,9.0,63.8,30,0.523,12.3,11,46.0,0.391,18.0,0.0,0
2009-11-23,"McKeon Pavilion, Moraga, California",Cal Poly,Saint Mary's,Home,44.4,12,2.6,1,133.3,47.6,13,0.46,62,0.435,27,0.387,24,0.417,10,4,200.0,97.1,39.0,13,19,67,10.1,7,0.258,16.0,0.188,3.0,41.9,26,0.456,13.2,11,46.0,0.522,24.0,0.0,0
2009-11-28,"Jack Stephens Center, Little Rock, Arkansas",Cal Poly,Little Rock,Home,68.2,15,13.3,4,114.5,63.0,18,0.51,51,0.431,22,0.294,15,0.667,10,5,200.0,100.0,25.9,6,18,62,6.5,4,0.412,21.0,0.381,8.0,44.4,24,0.533,16.0,11,30.0,0.467,14.0,0.0,0
2009-12-03,"Robert A. Mott Gymnasium, San Luis Obispo, California","Seattle
			",Cal Poly,Home,68.0,17,9.3,4,83.1,69.6,33,0.539,51,0.49,25,0.824,42,0.714,30,5,200.0,95.5,21.9,6,33,85,7.9,7,0.294,15.0,0.333,5.0,50.0,39,0.599,27.2,26,36.0,0.556,20.0,0.167,1
2009-12-05,"Robert A. Mott Gymnasium, San Luis Obispo, California",Pepperdine,Cal Poly,Home,55.6,15,9.7,3,106.9,62.1,23,0.491,58,0.466,27,0.534,31,0.839,26,5,200.0,115.3,44.8,8,24,83,15.3,11,0.276,16.0,0.188,3.0,53.4,31,0.571,14.3,12,42.0,0.571,24.0,0.286,2
2009-12-15,"Frost Arena, Brookings, South Dakota",Cal Poly,South Dakota State,Away,35.7,10,21.1,8,97.1,66.7,26,0.543,58,0.483,28,0.241,14,0.714,10,5,200.0,107.4,50.0,12,24,73,5.9,4,0.276,16.0,0.438,7.0,59.4,38,0.565,20.0,16,42.0,0.5,21.0,0.375,3
2009-12-16,"Kohl Center, Madison, Wisconsin",Cal Poly,Wisconsin,Home,52.9,9,7.4,2,138.5,73.7,15,0.404,47,0.362,17,0.106,5,0.8,4,6,200.0,64.6,17.2,4,19,42,3.1,2,0.298,14.0,0.286,4.0,39.6,19,0.425,30.9,22,33.0,0.394,13.0,0.333,3
2009-12-21,"Robert A. Mott Gymnasium, San Luis Obispo, California",Montana State,Cal Poly,Away,65.4,17,3.1,1,110.1,78.3,20,0.467,61,0.426,26,0.295,18,0.833,15,7,200.0,104.3,42.4,12,21,72,10.1,7,0.295,18.0,0.278,5.0,57.1,32,0.518,16.9,14,43.0,0.488,21.0,0.3,3
