date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Marriott Center, Provo, Utah",Cal State Fullerton,BYU,Home,19.0,4,2.9,1,100.0,89.3,25,0.412,57,0.368,21,0.316,18,0.611,11,1,200,76.3,15.2,5,21,58,9.2,7,0.246,14,0.357,5,49.2,30,0.442,19.8,16,43,0.372,16,0.0,0
2019-11-09,"Maples Pavilion, Stanford, California",Cal State Fullerton,Stanford,Home,30.0,6,3.0,1,97.2,87.9,29,0.373,59,0.339,20,0.322,19,0.526,10,2,200,75.0,32.5,13,19,54,8.3,6,0.373,22,0.182,4,57.5,42,0.397,19.2,16,37,0.432,16,0.0,0
2019-11-13,"Arena-Auditorium, Laramie, Wyoming",Cal State Fullerton,Wyoming,Away,61.9,13,12.1,4,79.1,81.5,22,0.472,54,0.389,21,0.296,16,0.563,9,2,200,89.6,20.0,7,18,60,11.9,8,0.444,24,0.375,9,46.8,29,0.487,15.3,11,30,0.4,12,0.333,1
2019-11-16,"Titan Gym, Fullerton, California","Cal State Stanislaus
			",Cal State Fullerton,Home,50.0,15,5.1,2,80.5,85.3,29,0.559,59,0.508,30,0.339,20,0.8,16,2,200,106.5,21.4,6,13,82,7.8,6,0.322,19,0.316,6,56.5,35,0.599,18.1,15,40,0.6,24,0.5,2
2019-11-24,"Titan Gym, Fullerton, California",Hofstra,Cal State Fullerton,Away,52.4,11,7.5,3,109.7,57.1,16,0.383,60,0.35,21,0.2,12,0.917,11,3,200,79.2,18.9,7,15,57,9.7,7,0.383,23,0.174,4,35.4,23,0.434,18.7,15,37,0.459,17,0.4,2
2019-11-27,"Leavey Center, Santa Clara, California",Southeast Missouri State,Cal State Fullerton,Home,54.5,12,16.3,7,79.2,81.6,31,0.462,52,0.423,22,0.5,26,0.615,16,3,200,88.9,17.2,5,19,64,8.3,6,0.231,12,0.333,4,53.7,36,0.497,15.9,12,40,0.45,18,0.5,3
2019-11-29,"Leavey Center, Santa Clara, California",Denver,Cal State Fullerton,Away,45.5,10,5.3,2,97.0,79.3,23,0.48,50,0.44,22,0.42,21,0.667,14,4,200,92.5,19.4,6,22,62,7.5,5,0.4,20,0.2,4,48.3,29,0.517,16.8,12,30,0.6,18,0.429,3
2019-11-30,"Leavey Center, Santa Clara, California",Cal State Fullerton,Santa Clara,Home,36.8,7,7.4,2,101.4,83.9,26,0.382,55,0.345,19,0.291,16,0.813,13,5,200,79.7,23.7,9,17,55,5.8,4,0.291,16,0.25,4,50.7,35,0.439,18.4,14,39,0.385,15,0.375,3
2019-12-04,"A.G. Spanos Center, Stockton, California",Cal State Fullerton,Pacific,Home,21.7,5,5.1,2,105.1,71.4,20,0.531,48,0.479,23,0.313,15,0.533,8,6,200,100.0,16.7,5,20,59,5.1,3,0.313,15,0.333,5,43.1,25,0.535,14.2,9,33,0.545,18,0.333,3
2019-12-07,"Titan Gym, Fullerton, California",Sacramento State,Cal State Fullerton,Away,50.0,10,7.5,3,91.2,75.9,22,0.415,53,0.377,20,0.377,20,0.75,15,7,200,86.8,20.6,7,22,59,5.9,4,0.264,14,0.286,4,46.0,29,0.472,17.4,13,39,0.41,16,0.3,3
2019-12-11,"Titan Gym, Fullerton, California",San Diego,Cal State Fullerton,Away,61.9,13,12.2,5,93.0,80.0,28,0.408,60,0.35,21,0.133,8,0.625,5,8,199,76.1,7.7,3,13,54,9.9,7,0.417,25,0.28,7,41.9,31,0.423,11.2,8,35,0.4,14,0.273,3
2019-12-14,"Titan Gym, Fullerton, California",San Francisco,Cal State Fullerton,Away,48.1,13,2.7,1,123.0,80.6,25,0.558,52,0.519,27,0.269,14,0.786,11,9,200,93.2,0.0,0,14,69,8.1,6,0.25,13,0.308,4,43.9,25,0.588,20.5,15,39,0.59,23,0.25,3
2019-12-22,"Albert Gersten Pavilion, Los Angeles, California",Cal State Fullerton,Loyola Marymount,Home,86.7,13,18.2,8,82.8,71.0,22,0.398,44,0.341,15,0.432,19,0.579,11,10,200,71.9,29.6,8,17,46,7.8,5,0.455,20,0.25,5,51.7,30,0.434,24.5,17,24,0.417,10,0.231,3
2019-12-28,"Pauley Pavilion, Los Angeles, California",Cal State Fullerton,UCLA,Away,55.2,16,2.4,1,107.2,61.8,21,0.632,57,0.509,29,0.14,8,0.625,5,10,200,111.6,10.7,3,16,77,7.2,5,0.421,24,0.583,14,38.7,24,0.633,15.4,11,33,0.455,15,0.286,4
2020-01-03,"Titan Gym, Fullerton, California","St. Katherine
			",Cal State Fullerton,Home,57.9,22,7.9,3,70.3,79.1,34,0.718,62,0.613,38,0.274,17,0.824,14,10,200,139.2,26.1,6,20,103,5.4,4,0.387,24,0.542,13,60.6,40,0.735,12.6,10,38,0.658,25,0.333,5
2020-01-09,"Titan Gym, Fullerton, California",Hawaii,Cal State Fullerton,Away,28.0,7,14.6,7,107.1,71.4,25,0.509,53,0.472,25,0.434,23,0.652,15,11,200,98.6,21.2,7,16,69,4.3,3,0.264,14,0.286,4,47.1,32,0.54,16.0,12,39,0.538,21,0.312,5
2020-01-11,"UC Riverside Student Recreation Center, Riverside, California",Cal State Fullerton,UC-Riverside,Home,45.0,9,2.9,1,98.5,72.2,26,0.442,52,0.385,20,0.346,18,0.722,13,12,200,89.4,12.1,4,21,59,6.1,4,0.25,13,0.462,6,43.5,30,0.487,13.1,9,39,0.359,14,0.294,5
2020-01-15,"Titan Gym, Fullerton, California",UC-Irvine,Cal State Fullerton,Away,20.0,4,5.7,2,102.8,66.7,22,0.423,52,0.385,20,0.577,30,0.567,17,13,200,84.7,20.0,7,19,61,6.9,5,0.269,14,0.286,4,42.6,29,0.46,16.6,13,38,0.421,16,0.278,5
2020-01-18,"The Walter Pyramid, Long Beach, California",Cal State Fullerton,Long Beach State,Away,52.4,11,6.5,2,87.3,67.9,19,0.455,55,0.382,21,0.455,25,0.64,16,13,200,93.0,30.3,10,22,66,14.1,10,0.473,26,0.308,8,47.5,29,0.493,17.5,14,29,0.448,13,0.316,6
2020-01-22,"The Pavilion, Davis, California",Cal State Fullerton,UC-Davis,Away,53.8,14,7.7,3,102.8,67.6,25,0.536,55,0.473,26,0.473,26,0.731,19,13,200,108.3,23.5,8,15,78,11.1,8,0.382,21,0.333,7,46.5,33,0.579,16.4,13,34,0.559,19,0.35,7
2020-01-25,"Titan Gym, Fullerton, California",Cal State Northridge,Cal State Fullerton,Home,61.5,16,10.5,4,94.9,76.5,26,0.428,69,0.377,26,0.42,29,0.793,23,13,200,103.8,33.3,13,12,82,7.6,6,0.377,26,0.269,7,53.4,39,0.495,9.9,9,43,0.442,19,0.381,8
2020-01-30,"Robert A. Mott Gymnasium, San Luis Obispo, California",Cal State Fullerton,Cal Poly,Home,54.3,19,12.8,5,120.2,84.6,22,0.672,61,0.574,35,0.475,29,0.621,18,14,225,119.0,19.2,5,22,100,9.5,8,0.393,24,0.5,12,51.9,27,0.669,15.0,13,37,0.622,23,0.364,8
2020-02-01,"Bren Events Center, Irvine, California",Cal State Fullerton,UC-Irvine,Home,52.6,10,6.7,3,124.7,63.6,14,0.422,51,0.373,19,0.569,29,0.621,18,15,200,83.6,9.1,3,20,61,2.7,2,0.294,15,0.333,5,30.9,17,0.471,15.8,12,36,0.389,14,0.348,8
2020-02-05,"Titan Gym, Fullerton, California",UC-Riverside,Cal State Fullerton,Home,45.8,11,6.3,2,77.4,94.4,17,0.54,50,0.48,24,0.18,9,0.778,7,15,200,98.4,19.2,5,10,61,16.1,10,0.28,14,0.429,6,50.0,22,0.562,18.2,12,36,0.5,18,0.375,9
2020-02-08,"Titan Gym, Fullerton, California",UC-Davis,Cal State Fullerton,Away,40.0,10,2.3,1,127.9,71.0,22,0.5,55,0.455,25,0.618,34,0.765,26,16,200,119.1,45.2,14,20,81,2.9,2,0.345,19,0.263,5,58.1,36,0.569,14.6,12,36,0.556,20,0.36,9
2020-02-15,"Titan Gym, Fullerton, California",Cal Poly,Cal State Fullerton,Home,58.6,17,5.6,3,102.0,86.0,37,0.523,65,0.446,29,0.815,53,0.698,37,16,300,106.1,17.9,7,28,105,2.0,2,0.292,19,0.526,10,53.7,44,0.582,15.3,16,46,0.413,19,0.385,10
2020-02-20,"Titan Gym, Fullerton, California",UCSB,Cal State Fullerton,Away,46.4,13,12.2,5,113.6,75.0,21,0.5,61,0.459,28,0.131,8,0.625,5,17,200,100.0,26.7,8,20,66,3.0,2,0.23,14,0.357,5,50.0,29,0.509,13.4,10,47,0.489,23,0.37,10
2020-02-27,"Stan Sheriff Center, Honolulu, Hawaii",Cal State Fullerton,Hawaii,Home,35.0,7,0.0,0,98.6,84.6,22,0.561,41,0.488,20,0.537,22,0.591,13,18,200,83.1,12.0,3,24,59,0.0,0,0.439,18,0.333,6,49.0,25,0.573,30.3,22,23,0.609,14,0.357,10
2020-02-29,"The Matadome, Northridge, California",Cal State Fullerton,Cal State Northridge,Home,35.3,12,3.8,2,119.3,74.4,29,0.48,75,0.453,34,0.4,30,0.667,20,19,200,110.8,37.8,17,23,92,2.4,2,0.267,20,0.2,4,54.8,46,0.515,11.1,11,55,0.545,30,0.345,10
2020-03-05,"The Thunderdome, Santa Barbara, California",Cal State Fullerton,UCSB,Home,33.3,7,12.9,4,82.1,70.0,21,0.405,58,0.362,21,0.224,13,0.462,6,20,200,79.1,20.5,8,18,53,7.5,5,0.414,24,0.208,5,42.0,29,0.413,15.8,12,34,0.471,16,0.333,10
2020-03-07,"Titan Gym, Fullerton, California",Long Beach State,Cal State Fullerton,Home,75.0,21,11.1,4,97.2,74.1,20,0.533,60,0.467,28,0.283,17,0.647,11,20,200,105.6,24.2,8,18,75,8.5,6,0.333,20,0.4,8,46.7,28,0.551,14.0,11,40,0.5,20,0.355,11
