date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"CBU Events Center, Riverside, California",Jackson State,California Baptist,Home,53.3,16,7.5,4,86.4,75.6,34,0.589,62,0.484,30,0.419,26,0.769,20,0,200,114.8,33.3,11,18,93,2.5,2,0.484,30,0.433,13,57.7,45,0.625,18.8,17,32,0.531,17,1.0,1
2019-11-08,"CBU Events Center, Riverside, California","Cal Lutheran
			",California Baptist,Home,58.3,21,12.5,3,74.7,79.5,31,0.708,60,0.6,36,0.55,33,0.818,27,0,200,149.3,40.7,11,22,112,14.7,11,0.517,31,0.419,13,63.6,42,0.74,12.9,11,29,0.793,23,1.0,2
2019-11-12,"Frank Erwin Center, Austin, Texas",California Baptist,Texas,Home,35.0,7,2.6,1,94.4,66.7,22,0.414,58,0.345,20,0.276,16,0.375,6,1,200,76.1,23.5,8,10,54,4.2,3,0.397,23,0.348,8,44.8,30,0.412,19.7,16,35,0.343,12,0.667,2
2019-11-15,"Haas Pavilion, Berkeley, California",California Baptist,California,Home,50.0,10,4.4,2,115.5,69.6,16,0.4,60,0.333,20,0.233,14,1.0,14,2,200,87.3,22.2,8,15,62,4.2,3,0.517,31,0.258,8,40.7,24,0.465,16.4,13,29,0.414,12,0.5,2
2019-11-22,"CBU Events Center, Riverside, California",Central Arkansas,California Baptist,Home,76.7,23,11.4,5,108.9,74.2,23,0.543,69,0.435,30,0.551,38,0.763,29,2,225,115.6,27.5,11,27,104,6.7,6,0.536,37,0.405,15,47.9,34,0.597,14.9,15,32,0.469,15,0.6,3
2019-11-23,"CBU Events Center, Riverside, California",Georgia State,California Baptist,Away,55.0,11,6.6,4,93.2,76.6,36,0.445,55,0.364,20,0.273,15,0.733,11,3,200,81.1,23.5,8,18,60,1.4,1,0.564,31,0.29,9,54.3,44,0.483,23.6,19,24,0.458,11,0.5,3
2019-11-27,"CBU Events Center, Riverside, California",South Dakota,California Baptist,Away,50.0,15,2.2,1,113.5,83.9,26,0.522,68,0.441,30,0.206,14,0.857,12,4,200,112.2,18.4,7,19,83,1.4,1,0.397,27,0.407,11,47.8,33,0.556,9.7,8,41,0.463,19,0.429,3
2019-12-04,"CBU Events Center, Riverside, California",UC-Riverside,California Baptist,Home,42.3,11,13.3,4,98.5,84.4,27,0.5,58,0.448,26,0.431,25,0.84,21,4,200,116.2,42.4,14,18,79,5.9,4,0.31,18,0.333,6,63.1,41,0.565,13.8,11,40,0.5,20,0.5,4
2019-12-07,"Bren Events Center, Irvine, California",California Baptist,UC-Irvine,Away,30.4,7,7.0,3,87.0,78.6,33,0.473,55,0.418,23,0.382,21,0.762,16,4,200,98.6,23.3,7,18,68,4.3,3,0.236,13,0.462,6,55.6,40,0.523,14.6,11,42,0.405,17,0.556,5
2019-12-14,"CBU Events Center, Riverside, California",Bethune-Cookman,California Baptist,Home,71.9,23,8.9,4,89.5,79.2,38,0.642,60,0.533,32,0.2,12,0.833,10,4,200,114.5,17.9,5,19,87,1.3,1,0.5,30,0.433,13,56.6,43,0.662,19.7,16,30,0.633,19,0.6,6
2019-12-18,"CBU Events Center, Riverside, California",Southern,California Baptist,Home,39.3,11,9.1,4,96.8,64.9,24,0.492,63,0.444,28,0.349,22,0.727,16,4,200,123.8,51.5,17,15,78,6.3,4,0.27,17,0.353,6,58.6,41,0.531,7.6,6,46,0.478,22,0.636,7
2019-12-22,"CBU Events Center, Riverside, California",Mississippi Valley State,California Baptist,Home,75.8,25,11.4,4,81.5,75.5,40,0.703,59,0.559,33,0.441,26,0.769,20,4,200,127.2,31.0,9,14,103,6.2,5,0.593,35,0.486,17,59.8,49,0.722,22.1,20,24,0.667,16,0.667,8
2019-12-28,"CBU Events Center, Riverside, California","Ottawa
			",California Baptist,Home,72.2,26,12.8,5,91.5,89.7,35,0.547,75,0.48,36,0.173,13,0.769,10,4,200,112.2,33.3,12,22,92,4.9,4,0.413,31,0.323,10,62.7,47,0.567,14.8,14,44,0.591,26,0.692,9
2020-01-02,"CBU Events Center, Riverside, California",Texas-Rio Grande Valley,California Baptist,Home,50.0,11,5.1,3,90.5,60.4,29,0.554,46,0.478,22,0.63,29,0.862,25,4,200,102.7,44.0,11,24,76,10.8,8,0.326,15,0.467,7,54.8,40,0.636,28.1,23,31,0.484,15,0.714,10
2020-01-04,"CBU Events Center, Riverside, California",New Mexico State,California Baptist,Away,63.6,14,5.3,2,126.5,53.6,15,0.565,46,0.478,22,0.522,24,0.792,19,5,200,104.4,32.0,8,15,71,7.4,5,0.565,26,0.308,8,43.4,23,0.618,23.1,17,20,0.7,14,0.667,10
2020-01-08,"Icardo Center, Bakersfield, California",California Baptist,Cal State Bakersfield,Away,45.8,11,10.3,6,102.7,73.7,28,0.625,44,0.545,24,0.773,34,0.824,28,5,200,113.7,23.8,5,19,83,1.4,1,0.341,15,0.467,7,55.9,33,0.69,21.3,16,29,0.586,17,0.688,11
2020-01-11,"Grand Canyon University Arena, Phoenix, Arizona",California Baptist,Grand Canyon,Away,45.8,11,1.9,1,76.0,84.4,38,0.403,67,0.358,24,0.134,9,0.778,7,5,200,81.3,17.6,6,16,61,5.3,4,0.388,26,0.231,6,55.7,44,0.428,13.4,11,41,0.439,18,0.706,12
2020-01-17,"CBU Events Center, Riverside, California","Bethesda University (CA)
			",California Baptist,Home,69.4,25,5.9,2,79.5,82.9,29,0.589,73,0.493,36,0.205,15,0.667,10,5,200,123.1,42.5,17,17,96,14.1,11,0.493,36,0.389,14,61.3,46,0.599,16.7,16,37,0.595,22,0.722,13
2020-01-22,"CBU Events Center, Riverside, California",Chicago State,California Baptist,Home,43.8,14,8.8,3,80.3,75.0,24,0.545,66,0.485,32,0.318,21,0.619,13,5,200,128.8,44.4,16,18,85,6.1,4,0.394,26,0.308,8,58.8,40,0.559,7.4,6,40,0.6,24,0.737,14
2020-01-25,"CBU Events Center, Riverside, California",UMKC,California Baptist,Away,55.6,10,13.9,5,106.3,81.3,26,0.382,55,0.327,18,0.309,17,0.882,15,6,200,90.5,22.2,8,14,57,6.3,4,0.436,24,0.25,6,50.0,34,0.452,12.6,9,31,0.387,12,0.7,14
2020-01-29,"UCCU Center, Orem, Utah",California Baptist,Utah Valley,Away,40.0,10,14.9,7,95.3,72.2,26,0.451,61,0.41,25,0.23,14,0.714,10,6,200,101.6,29.7,11,17,65,4.7,3,0.279,17,0.294,5,50.7,37,0.48,9.4,7,44,0.455,20,0.714,15
2020-02-01,"Connolly Center, Seattle, Washington",California Baptist,Seattle,Away,50.0,11,15.0,6,91.5,76.7,33,0.433,60,0.367,22,0.45,27,0.741,20,6,200,101.4,35.0,14,27,72,0.0,0,0.367,22,0.364,8,56.6,47,0.494,14.3,12,38,0.368,14,0.727,16
2020-02-06,"CBU Events Center, Riverside, California",Cal State Bakersfield,California Baptist,Home,39.1,9,15.4,6,111.3,63.0,17,0.491,56,0.411,23,0.429,24,0.792,19,6,200,119.4,43.2,16,17,74,8.1,5,0.375,21,0.429,9,51.6,33,0.549,13.1,10,35,0.4,14,0.739,17
2020-02-08,"CBU Events Center, Riverside, California",Grand Canyon,California Baptist,Away,65.6,21,6.1,2,139.2,87.0,20,0.61,68,0.471,32,0.309,21,0.714,15,7,200,132.4,31.4,11,29,98,5.4,4,0.529,36,0.528,19,53.4,31,0.628,9.4,8,32,0.406,13,0.708,17
2020-02-13,"CBU Events Center, Riverside, California","Westcliff
			",California Baptist,Home,80.0,28,14.3,5,56.3,86.3,44,0.645,69,0.507,35,0.333,23,0.783,18,7,200,133.8,57.1,20,17,107,7.5,6,0.652,45,0.422,19,74.4,64,0.669,17.7,17,24,0.667,16,0.72,18
2020-02-19,"Swinney Recreation Center, Kansas City, Missouri",California Baptist,UMKC,Home,15.0,3,11.1,4,107.8,82.6,19,0.395,57,0.351,20,0.368,21,0.857,18,8,200,98.4,37.9,11,15,63,4.7,3,0.439,25,0.2,5,57.7,30,0.47,12.0,9,32,0.469,15,0.692,18
2020-02-22,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",California Baptist,Chicago State,Away,50.0,16,0.0,0,84.1,86.7,26,0.759,54,0.593,32,0.259,14,0.929,13,8,200,150.8,9.5,2,16,95,14.3,9,0.537,29,0.621,18,54.9,28,0.783,7.7,5,25,0.56,14,0.704,19
2020-02-26,"CBU Events Center, Riverside, California",Utah Valley,California Baptist,Home,38.5,10,23.8,10,88.0,91.7,33,0.438,65,0.4,26,0.277,18,0.889,16,8,200,97.3,15.8,6,17,73,9.3,7,0.323,21,0.238,5,52.7,39,0.496,7.6,6,44,0.477,21,0.714,20
2020-02-29,"CBU Events Center, Riverside, California",Seattle,California Baptist,Home,55.2,16,2.4,1,119.2,75.0,27,0.567,60,0.483,29,0.4,24,0.833,20,8,225,120.5,36.7,11,19,88,2.7,2,0.317,19,0.526,10,57.6,38,0.616,15.6,13,41,0.463,19,0.724,21
2020-03-05,"Pan American Center, Las Cruces, New Mexico",California Baptist,New Mexico State,Home,33.3,5,0.0,0,129.7,65.5,19,0.346,52,0.288,15,0.327,17,0.824,14,9,200,78.1,21.9,7,18,50,6.3,4,0.442,23,0.261,6,42.6,26,0.416,15.6,11,29,0.31,9,0.7,21
2020-03-07,"UTRGV Fieldhouse, Edinburg, Texas",California Baptist,Texas-Rio Grande Valley,Home,56.0,14,1.9,1,97.5,82.5,33,0.455,67,0.373,25,0.269,18,0.833,15,10,225,93.8,43.2,16,21,76,1.2,1,0.388,26,0.423,11,63.6,49,0.503,21.1,20,41,0.341,14,0.677,21
