date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-17,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",EAST-CAROLINA,CAMPBELL,Home,69.2,18,12.1,4,94.4,70.4,21,0.468,63,0.413,26,0.286,18,0.833,15,0,200.0,102.8,34.4,9,25,74,15.3,11,0.365,23.0,0.304,7.0,50.8,30,0.517,13.4,11,40.0,0.475,19.0,1.0,2
2009-11-21,"Charlie Justice Center, Asheville, North Carolina",CAMPBELL,NORTH-CAROLINA-ASHEVILLE,Away,61.5,16,0.0,0,93.0,62.5,25,0.636,44,0.591,26,0.886,39,0.744,29,0,200.0,119.7,50.0,10,21,85,18.3,13,0.182,8.0,0.5,4.0,58.3,35,0.68,23.7,19,36.0,0.611,22.0,1.0,3
2009-11-23,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",VIRGINIA-TECH,CAMPBELL,Away,54.5,12,2.8,1,116.4,54.5,19,0.557,44,0.5,22,0.432,19,0.579,11,1,200.0,98.4,28.6,7,21,60,11.5,7,0.25,11.0,0.455,5.0,42.6,26,0.566,22.3,15,33.0,0.515,17.0,0.75,3
2009-11-27,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",NORTH-FLORIDA,CAMPBELL,Home,64.7,11,6.5,2,98.3,50.0,14,0.5,39,0.436,17,0.615,24,0.833,20,1,200.0,100.0,50.0,7,16,59,15.3,9,0.282,11.0,0.455,5.0,50.0,21,0.585,27.7,18,28.0,0.429,12.0,0.8,4
2009-12-10,"Ramsey Center, Cullowhee, North Carolina",CAMPBELL,WESTERN-CAROLINA,Home,15.0,3,13.3,4,97.1,69.2,21,0.347,59,0.339,20,0.407,24,0.75,18,2,200.0,86.8,34.2,10,16,59,20.6,14,0.169,10.0,0.1,1.0,48.4,31,0.419,14.7,10,49.0,0.388,19.0,0.714,5
2009-12-14,"Trask Coliseum, Wilmington, North Carolina",CAMPBELL,NORTH-CAROLINA-WILMINGTON,Home,31.8,7,12.0,3,116.2,72.0,18,0.355,62,0.355,22,0.468,29,0.517,15,3,200.0,86.8,40.9,18,19,59,10.3,7,0.097,6.0,0.0,0.0,52.2,36,0.389,11.8,10,56.0,0.393,22.0,0.625,5
2009-12-19,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",JACKSONVILLE,CAMPBELL,Home,60.0,12,4.9,2,83.8,51.4,18,0.489,45,0.444,20,0.844,38,0.763,29,3,200.0,107.4,33.3,9,16,73,19.1,13,0.244,11.0,0.364,4.0,43.5,27,0.579,18.5,14,34.0,0.471,16.0,0.667,6
2009-12-22,"Willett Hall, Farmville, Virginia",CAMPBELL,LONGWOOD,Home,39.3,11,2.6,1,111.4,58.1,20,0.518,57,0.491,28,0.474,27,0.778,21,4,200.0,101.3,33.3,8,17,80,8.9,7,0.211,12.0,0.25,3.0,45.9,28,0.573,21.6,19,45.0,0.556,25.0,0.6,6
2009-12-30,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",APPALACHIAN-STATE,CAMPBELL,Home,82.4,28,13.8,4,94.0,59.3,17,0.672,58,0.586,34,0.276,16,0.875,14,4,200.0,137.3,26.3,4,18,92,16.4,11,0.328,19.0,0.526,10.0,45.7,21,0.701,9.7,7,39.0,0.615,24.0,0.636,7
2010-01-02,"G.B. Hodge Center, Spartanburg, South Carolina",CAMPBELL,"USC Upstate
			",Away,82.1,23,2.9,1,101.5,50.0,18,0.561,57,0.491,28,0.439,25,0.72,18,4,200.0,120.6,43.8,9,21,82,16.2,11,0.298,17.0,0.471,8.0,46.6,27,0.595,16.0,13,40.0,0.5,20.0,0.667,8
