date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Littlejohn Coliseum, Clemson, South Carolina","Presbyterian
			",Clemson,Home,70.0,21,20.0,6,60.3,75.0,21,0.529,70,0.429,30,0.186,13,0.769,10,0,200.0,123.5,50.0,19,11,84,27.9,19,0.429,30.0,0.467,14.0,60.6,40,0.551,12.7,11,40.0,0.4,16.0,1.0,1
2009-11-17,"Vines Center, Lynchburg, Virginia",Clemson,Liberty,Away,62.5,20,11.8,4,52.7,81.8,29,0.561,66,0.485,32,0.167,11,0.455,5,0,200.0,106.8,43.2,14,16,79,25.7,19,0.364,24.0,0.417,10.0,61.4,43,0.555,19.4,17,42.0,0.524,22.0,1.0,2
2009-11-20,"Fleming Gymnasium, Greensboro, North Carolina",Clemson,UNC Greensboro,Away,38.9,14,6.7,3,91.8,42.9,18,0.606,66,0.545,36,0.197,13,0.692,9,0,200.0,121.9,53.3,13,17,89,21.9,16,0.258,17.0,0.471,8.0,47.7,31,0.617,20.9,19,49.0,0.571,28.0,1.0,3
2009-11-23,"Littlejohn Coliseum, Clemson, South Carolina",Winthrop,Clemson,Home,57.1,20,12.8,6,82.5,65.6,22,0.591,66,0.53,35,0.561,37,0.649,24,0,200.0,127.5,58.8,19,23,102,20.0,16,0.258,17.0,0.471,8.0,62.1,41,0.61,17.1,17,49.0,0.551,27.0,1.0,4
2009-11-26,"Honda Center, Anaheim, California",Texas A&M,Clemson,Away,50.0,10,8.8,3,93.2,58.6,21,0.364,59,0.339,20,0.475,28,0.607,17,1,200.0,81.1,34.1,10,28,60,16.2,12,0.305,18.0,0.167,3.0,44.3,31,0.415,20.2,18,41.0,0.415,17.0,0.8,4
2009-11-27,"Honda Center, Anaheim, California",Clemson,Long Beach State,Away,52.6,20,4.3,2,102.6,66.7,29,0.614,66,0.576,38,0.121,8,0.75,6,1,200.0,113.0,28.6,7,26,87,5.2,4,0.258,17.0,0.294,5.0,51.4,36,0.623,17.7,15,49.0,0.673,33.0,0.833,5
2009-11-29,"Honda Center, Anaheim, California",Clemson,Butler,Away,44.0,11,6.7,2,113.1,65.4,17,0.546,54,0.463,25,0.315,17,0.647,11,1,200.0,114.8,32.3,10,15,70,9.8,6,0.444,24.0,0.375,9.0,47.4,27,0.564,14.0,10,30.0,0.533,16.0,0.857,6
2009-12-02,"Littlejohn Coliseum, Clemson, South Carolina",Illinois,Clemson,Away,45.8,11,7.5,3,115.2,46.2,17,0.459,61,0.393,24,0.41,25,0.72,18,2,200.0,112.1,48.8,15,22,74,12.1,8,0.361,22.0,0.364,8.0,47.8,32,0.508,15.3,13,39.0,0.41,16.0,0.75,6
2009-12-06,"Littlejohn Coliseum, Clemson, South Carolina",South Carolina,Clemson,Home,61.5,16,14.6,7,84.7,70.5,32,0.535,57,0.456,26,0.246,14,0.786,11,2,200.0,100.0,36.7,10,10,72,9.7,7,0.386,22.0,0.409,9.0,56.8,42,0.566,23.1,19,35.0,0.486,17.0,0.778,7
2009-12-13,"Littlejohn Coliseum, Clemson, South Carolina",Furman,Clemson,Home,42.9,15,19.5,8,65.4,67.4,30,0.538,65,0.538,35,0.385,25,0.48,12,2,200.0,101.2,32.4,10,13,82,18.5,15,0.169,11.0,0.0,0.0,51.9,40,0.533,15.6,14,54.0,0.648,35.0,0.8,8
