date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"Cotterell Court, Hamilton, New York",NJIT,Colgate,Home,48.1,13,2.6,1,107.1,79.4,27,0.574,54,0.5,27,0.389,21,0.857,18,0,200,114.3,26.9,7,11,80,8.6,6,0.37,20,0.4,8,56.7,34,0.625,14.8,11,34,0.559,19,1.0,1
2019-11-10,"Littlejohn Coliseum, Clemson, South Carolina",Colgate,Clemson,Home,53.8,14,5.0,2,112.5,71.4,20,0.553,57,0.456,26,0.088,5,1.0,5,1,200,94.4,14.3,4,16,68,2.8,2,0.579,33,0.333,11,42.9,24,0.573,23.3,18,24,0.625,15,0.5,1
2019-11-13,"Carrier Dome, Syracuse, New York",Colgate,Syracuse,Home,77.8,14,10.5,4,106.1,62.5,15,0.408,60,0.3,18,0.117,7,0.714,5,2,200,81.8,26.8,11,14,54,9.1,6,0.683,41,0.317,13,40.0,26,0.426,19.2,15,19,0.263,5,0.333,1
2019-11-18,"Auburn Arena, Auburn, Alabama",Colgate,Auburn,Home,26.9,7,0.0,0,126.4,65.6,21,0.438,65,0.4,26,0.108,7,0.714,5,3,200,86.1,25.0,8,14,62,9.7,7,0.369,24,0.208,5,45.3,29,0.454,13.9,11,41,0.512,21,0.25,1
2019-11-21,"Cotterell Court, Hamilton, New York","SUNY-Cortland
			",Colgate,Home,65.7,23,9.7,3,68.5,78.4,29,0.621,66,0.53,35,0.152,10,0.7,7,3,200,121.9,28.1,9,19,89,13.7,10,0.485,32,0.375,12,55.1,38,0.629,14.6,12,34,0.676,23,0.4,2
2019-11-24,"Kress Events Center, Green Bay, Wisconsin",Cal State Northridge,Colgate,Home,59.1,13,0.0,0,84.8,82.8,24,0.431,65,0.338,22,0.154,10,0.8,8,3,200,97.0,35.0,14,13,64,7.6,5,0.677,44,0.273,12,55.1,38,0.459,12.6,10,21,0.476,10,0.5,3
2019-11-26,"Kress Events Center, Green Bay, Wisconsin",Colgate,Green Bay,Away,67.6,25,6.7,3,112.5,82.9,29,0.738,63,0.587,37,0.095,6,1.0,6,3,200,137.5,27.3,6,21,99,1.4,1,0.556,35,0.543,19,61.4,35,0.752,14.4,11,28,0.643,18,0.571,4
2019-11-30,"Cotterell Court, Hamilton, New York",Siena,Colgate,Home,38.5,10,13.5,5,84.9,77.4,24,0.491,58,0.448,26,0.328,19,0.789,15,3,200,98.6,18.2,6,16,72,13.7,10,0.397,23,0.217,5,46.9,30,0.537,14.2,11,35,0.6,21,0.625,5
2019-12-04,"Binghamton University Events Center, Vestal, New York",Colgate,Binghamton,Away,35.5,11,5.0,2,101.4,70.5,31,0.573,62,0.5,31,0.226,14,0.786,11,3,200,112.3,23.3,7,14,82,4.1,3,0.419,26,0.346,9,51.4,38,0.597,13.9,11,36,0.611,22,0.667,6
2019-12-08,"Gallagher Center, Niagara University, New York",Colgate,Niagara,Home,40.6,13,2.6,1,117.7,89.3,25,0.574,68,0.471,32,0.088,6,0.667,4,4,225,103.8,26.3,10,18,82,6.3,5,0.544,37,0.378,14,53.0,35,0.579,20.3,18,31,0.581,18,0.6,6
