date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"TD Arena, Charleston, South Carolina",USC Upstate,College of Charleston,Home,28.0,7,2.8,1,78.6,82.1,32,0.473,56,0.446,25,0.5,28,0.75,21,0,200,105.7,26.7,8,15,74,8.6,6,0.321,18,0.167,3,58.0,40,0.534,12.8,10,38,0.579,22,1.0,1
2019-11-09,"TD Arena, Charleston, South Carolina",Georgia State,College of Charleston,Home,44.0,11,9.3,4,101.3,58.6,17,0.566,53,0.472,25,0.547,29,0.828,24,0,200,106.3,17.2,5,22,84,11.4,9,0.491,26,0.385,10,37.9,22,0.629,18.6,15,27,0.556,15,1.0,2
2019-11-13,"TD Arena, Charleston, South Carolina",Oklahoma State,College of Charleston,Away,52.9,9,3.0,1,114.1,73.9,17,0.375,52,0.327,17,0.308,16,0.938,15,1,200,84.4,27.3,9,12,54,10.9,7,0.519,27,0.185,5,46.4,26,0.453,19.2,14,25,0.48,12,0.667,2
2019-11-19,"Henderson Center, Huntington, West Virginia",College of Charleston,Marshall,Away,26.7,8,7.1,3,84.6,66.7,28,0.508,62,0.484,30,0.355,22,0.591,13,1,200,97.4,21.9,7,20,76,11.5,9,0.226,14,0.214,3,47.3,35,0.524,15.4,13,48,0.563,27,0.75,3
2019-11-23,"CFE Arena, Orlando, Florida",College of Charleston,UCF,Home,50.0,14,0.0,0,105.9,63.0,17,0.543,58,0.483,28,0.207,12,0.667,8,2,200,104.4,25.0,8,22,71,8.8,6,0.293,17,0.412,7,42.4,25,0.557,15.9,12,41,0.512,21,0.6,3
2019-11-28,"Anaheim Convention Center, Anaheim, California",Wake Forest,College of Charleston,Away,42.9,9,9.4,3,100.0,66.7,24,0.445,55,0.382,21,0.255,14,0.5,7,3,200,86.2,16.7,6,23,56,7.7,5,0.327,18,0.389,7,41.7,30,0.454,14.1,10,37,0.378,14,0.5,3
2019-11-29,"Anaheim Convention Center, Anaheim, California",Providence,College of Charleston,Home,50.0,10,10.8,4,85.9,79.4,27,0.563,40,0.5,20,0.475,19,0.947,18,3,200,98.4,35.0,7,20,63,9.4,6,0.375,15,0.333,5,63.0,34,0.643,26.0,17,25,0.6,15,0.571,4
2019-12-01,"Anaheim Convention Center, Anaheim, California",College of Charleston,UCF,Home,50.0,11,10.3,4,124.2,64.3,18,0.424,59,0.373,22,0.169,10,0.6,6,4,200,90.3,30.6,11,17,56,4.8,3,0.339,20,0.3,6,45.3,29,0.439,13.6,10,39,0.41,16,0.5,4
2019-12-08,"TD Arena, Charleston, South Carolina","Coker
			",College of Charleston,Home,48.0,12,5.7,2,67.6,74.4,29,0.444,62,0.403,25,0.468,29,0.724,21,4,200,102.7,29.7,11,13,76,9.5,7,0.306,19,0.263,5,52.6,40,0.501,9.7,8,43,0.465,20,0.556,5
2019-12-14,"Robins Center, Richmond, Virginia",College of Charleston,Richmond,Home,22.2,6,2.9,1,114.7,75.0,21,0.492,61,0.443,27,0.23,14,0.786,11,5,200,104.4,25.7,9,11,71,11.8,8,0.426,26,0.231,6,47.6,30,0.525,14.1,11,35,0.6,21,0.5,5
2019-12-18,"TD Arena, Charleston, South Carolina",VCU,College of Charleston,Away,41.7,10,4.7,2,111.8,67.6,23,0.598,51,0.471,24,0.275,14,0.714,10,6,200,104.4,13.3,4,17,71,8.8,6,0.51,26,0.5,13,42.2,27,0.616,20.8,15,25,0.44,11,0.455,5
2019-12-21,"TD Arena, Charleston, South Carolina",South Carolina State,College of Charleston,Home,50.0,14,14.7,5,88.4,71.0,22,0.543,58,0.483,28,0.276,16,0.625,10,6,200,105.8,3.2,1,19,73,10.1,7,0.362,21,0.333,7,37.1,23,0.556,8.4,6,37,0.568,21,0.5,6
2019-12-28,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",College of Charleston,Drexel,Away,55.2,16,11.8,4,95.6,60.0,18,0.639,54,0.537,29,0.148,8,0.875,7,6,200,111.8,25.0,6,16,76,13.2,9,0.37,20,0.55,11,44.4,24,0.657,20.7,15,34,0.529,18,0.538,7
2019-12-30,"Bob Carpenter Center, Newark, Delaware",College of Charleston,Delaware,Away,42.3,11,3.4,1,90.0,81.8,27,0.492,60,0.433,26,0.35,21,0.762,16,6,200,107.1,22.9,8,17,75,8.6,6,0.383,23,0.304,7,51.5,35,0.536,10.4,8,37,0.514,19,0.571,8
2020-01-02,"TD Arena, Charleston, South Carolina",Towson,College of Charleston,Home,40.0,10,6.5,2,104.5,70.3,26,0.483,60,0.417,25,0.467,28,0.821,23,6,200,122.7,27.0,10,18,81,0.0,0,0.4,24,0.333,8,48.6,36,0.553,2.7,2,36,0.472,17,0.6,9
2020-01-04,"TD Arena, Charleston, South Carolina",James Madison,College of Charleston,Home,51.9,14,8.7,4,94.5,63.4,26,0.657,51,0.529,27,0.451,23,0.783,18,6,200,116.4,28.0,7,21,85,11.0,8,0.451,23,0.565,13,50.0,33,0.686,21.8,17,28,0.5,14,0.625,10
2020-01-09,"Schar Center, Elon, North Carolina",College of Charleston,Elon,Away,55.0,11,8.7,2,97.0,83.3,25,0.523,44,0.455,20,0.75,33,0.818,27,6,200,109.0,20.8,5,18,73,7.5,5,0.432,19,0.316,6,55.6,30,0.612,17.0,12,25,0.56,14,0.647,11
2020-01-11,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",College of Charleston,William & Mary,Home,36.8,7,14.7,5,108.1,77.4,24,0.391,55,0.345,19,0.309,17,0.765,13,7,200,90.3,25.0,9,18,56,4.8,3,0.364,20,0.25,5,49.3,33,0.444,11.4,8,35,0.4,14,0.611,11
2020-01-16,"TD Arena, Charleston, South Carolina",Northeastern,College of Charleston,Away,55.6,15,9.4,3,111.3,83.3,25,0.561,57,0.474,27,0.263,15,0.8,12,8,200,107.0,17.2,5,14,76,12.7,9,0.386,22,0.455,10,50.8,30,0.593,17.0,13,35,0.486,17,0.579,11
2020-01-18,"TD Arena, Charleston, South Carolina",Hofstra,College of Charleston,Home,48.0,12,9.1,3,106.3,87.0,20,0.492,59,0.424,25,0.22,13,0.846,11,8,200,109.5,31.3,10,12,69,9.5,6,0.441,26,0.308,8,54.5,30,0.529,12.2,9,33,0.515,17,0.6,12
2020-01-25,"TD Arena, Charleston, South Carolina",UNC Wilmington,College of Charleston,Away,32.0,8,2.8,1,100.0,84.6,33,0.389,72,0.347,25,0.222,16,0.875,14,9,200,97.2,27.9,12,25,70,4.2,3,0.458,33,0.182,6,54.9,45,0.44,5.9,5,39,0.487,19,0.571,12
2020-01-30,"JMU Convocation Center, Harrisonburg, Virginia",College of Charleston,James Madison,Away,41.9,13,8.1,3,97.1,68.6,24,0.615,61,0.508,31,0.262,16,0.75,12,9,200,124.3,21.9,7,14,87,14.3,10,0.393,24,0.542,13,46.3,31,0.634,10.5,8,37,0.486,18,0.591,13
