date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-17,"Allstate Arena, Rosemont, Illinois",COLUMBIA,DEPAUL,Home,40.0,8,0.0,0,101.7,65.4,18,0.469,48,0.417,20,0.354,17,0.471,8,1,200.0,91.4,31.3,9,20,53,10.3,6,0.292,14.0,0.357,5.0,46.6,27,0.473,15.3,10,34.0,0.441,15.0,0.0,0
2009-11-20,"Levien Gym, New York, New York",LONGWOOD,COLUMBIA,Home,57.1,16,5.0,2,89.7,69.2,28,0.517,58,0.483,28,0.293,17,0.706,12,1,200.0,105.9,45.8,10,17,72,7.4,5,0.121,7.0,0.571,4.0,60.3,38,0.545,16.6,13,51.0,0.471,24.0,0.5,1
2009-11-24,"Levien Gym, New York, New York",BUCKNELL,COLUMBIA,Home,56.0,14,10.7,3,100.0,69.6,20,0.573,55,0.455,25,0.327,18,0.556,10,1,200.0,123.7,44.1,11,20,73,11.9,7,0.327,18.0,0.722,13.0,54.4,31,0.574,12.5,9,37.0,0.324,12.0,0.667,2
2009-11-27,"Carrier Dome, Syracuse, New York",COLUMBIA,SYRACUSE,Home,81.8,18,2.8,1,119.7,58.6,17,0.457,58,0.379,22,0.172,10,0.7,7,2,200.0,84.5,36.1,13,16,60,12.7,9,0.362,21.0,0.429,9.0,46.2,30,0.478,24.3,19,37.0,0.351,13.0,0.5,2
2009-11-30,"William H. Pitt Center, Fairfield, Connecticut",COLUMBIA,SACRED-HEART,Home,44.4,8,6.1,2,89.6,57.1,18,0.406,48,0.375,18,0.375,18,0.889,16,3,200.0,82.1,27.6,6,16,55,13.4,9,0.229,11.0,0.273,3.0,42.1,24,0.486,23.3,17,37.0,0.405,15.0,0.4,2
2009-12-03,"Levien Gym, New York, New York",LEHIGH,COLUMBIA,Home,55.6,15,5.0,2,95.9,77.4,25,0.547,53,0.509,27,0.491,26,0.654,17,3,200.0,102.7,29.6,7,20,75,6.8,5,0.132,7.0,0.571,4.0,55.2,32,0.574,17.8,14,46.0,0.5,23.0,0.5,3
2009-12-05,"Pritchard Gymnasium, Stony Brook, New York",COLUMBIA,STONY-BROOK,Home,28.6,6,5.6,2,95.5,65.0,26,0.418,55,0.382,21,0.4,22,0.636,14,4,200.0,90.9,30.0,9,18,60,10.6,7,0.2,11.0,0.364,4.0,50.0,35,0.458,13.4,10,44.0,0.386,17.0,0.429,3
2009-12-08,"Spiro Sports Center, Staten Island, New York",COLUMBIA,WAGNER,Away,45.9,17,2.9,1,109.6,58.3,24,0.664,61,0.607,37,0.443,27,0.778,21,4,200.0,122.9,32.1,6,24,102,14.5,12,0.246,15.0,0.467,7.0,46.9,30,0.691,19.8,18,46.0,0.652,30.0,0.5,4
2009-12-12,"Chace Athletic Center , Smithfield, Rhode Island",COLUMBIA,"Bryant
			",Away,34.8,8,0.0,0,91.9,68.2,16,0.48,51,0.451,23,0.49,25,0.8,20,4,200.0,111.3,51.7,14,18,69,22.6,14,0.118,6.0,0.5,3.0,58.8,30,0.549,19.5,15,45.0,0.444,20.0,0.556,5
2009-12-23,"TD Bank Sports Center, Hamden, Connecticut",COLUMBIA,QUINNIPIAC,Home,41.2,7,4.2,2,87.5,62.2,23,0.394,47,0.362,17,0.596,28,0.5,14,5,200.0,70.8,25.0,8,19,51,9.7,7,0.128,6.0,0.5,3.0,44.9,31,0.423,24.3,19,41.0,0.341,14.0,0.5,5
