date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-08,"Alumni Arena, Buffalo, New York",Dartmouth,Buffalo,Away,55.6,15,9.1,3,82.9,69.8,30,0.492,59,0.458,27,0.254,15,0.667,10,0,200,89.5,22.6,7,19,68,10.5,8,0.271,16,0.25,4,50.0,37,0.514,19.6,16,43,0.535,23,1.0,1
2019-11-11,"Leede Arena, Hanover, New Hampshire",Florida Gulf Coast,Dartmouth,Home,70.0,14,16.7,4,74.2,87.5,28,0.421,57,0.351,20,0.228,13,0.538,7,0,200,83.3,23.7,9,14,55,9.1,6,0.491,28,0.286,8,52.9,37,0.435,16.1,12,29,0.414,12,1.0,2
2019-11-15,"Costello Athletic Center, Lowell, Massachusetts",Merrimack,Dartmouth,Home,60.0,12,8.7,2,75.4,93.9,31,0.479,48,0.417,20,0.333,16,0.563,9,0,200,90.2,36.7,11,10,55,3.3,2,0.396,19,0.316,6,66.7,42,0.495,22.5,16,29,0.483,14,1.0,3
2019-11-16,"Costello Athletic Center, Lowell, Massachusetts",Jacksonville,Dartmouth,Away,42.9,6,3.1,1,93.4,79.3,23,0.337,52,0.269,14,0.077,4,0.5,2,1,200,60.7,18.8,6,15,37,3.3,2,0.615,32,0.219,7,47.5,29,0.343,21.8,15,20,0.35,7,0.75,3
2019-11-17,"Costello Athletic Center, Lowell, Massachusetts",Dartmouth,UMass-Lowell,Away,63.0,17,6.5,2,97.4,83.9,26,0.57,57,0.474,27,0.421,24,0.625,15,1,225,103.9,18.2,6,19,80,7.8,6,0.421,24,0.458,11,50.0,32,0.585,17.2,14,33,0.485,16,0.8,4
2019-11-19,"Leede Arena, Hanover, New Hampshire","Thomas (ME)
			",Dartmouth,Home,61.0,25,12.8,6,77.6,76.9,40,0.731,65,0.631,41,0.277,18,0.722,13,1,200,142.1,8.3,2,10,108,5.3,4,0.385,25,0.52,13,55.3,42,0.734,4.0,3,40,0.7,28,0.833,5
2019-11-30,"Stroh Center, Bowling Green, Ohio",Dartmouth,Bowling Green State,Home,42.3,11,9.4,3,107.0,81.3,26,0.56,58,0.448,26,0.103,6,0.667,4,2,200,97.2,9.7,3,20,69,5.6,4,0.586,34,0.382,13,46.0,29,0.567,16.5,12,24,0.542,13,0.714,5
2019-12-03,"GSU Sports Arena, Atlanta, Georgia",Dartmouth,Georgia State,Home,69.0,20,10.3,4,110.7,65.8,25,0.625,56,0.518,29,0.304,17,0.588,10,3,225,106.7,14.3,4,19,80,6.7,5,0.536,30,0.4,12,43.9,29,0.624,17.0,13,26,0.654,17,0.625,5
2019-12-06,"Sun Dome, Tampa, Florida",Dartmouth,South Florida,Home,53.3,8,0.0,0,98.4,70.8,17,0.409,44,0.341,15,0.227,10,0.8,8,4,200,68.8,18.5,5,19,44,7.8,5,0.477,21,0.286,6,43.1,22,0.451,28.2,19,23,0.391,9,0.556,5
2019-12-11,"Cross Insurance Center, Bangor, Maine",Dartmouth,Maine,Away,44.8,13,9.7,3,73.3,73.3,22,0.623,53,0.547,29,0.34,18,0.611,11,4,200,128.3,23.1,6,15,77,13.3,8,0.377,20,0.4,8,50.0,28,0.626,7.6,5,33,0.636,21,0.6,6
2019-12-14,"Case Gym, Boston, Massachusetts",Dartmouth,Boston University,Home,34.5,10,6.7,2,116.4,81.0,17,0.485,65,0.446,29,0.277,18,0.722,13,5,200,113.4,34.3,12,25,76,7.5,5,0.323,21,0.238,5,51.8,29,0.517,8.8,7,44,0.545,24,0.545,6
2019-12-18,"Leede Arena, Hanover, New Hampshire",Central Connecticut,Dartmouth,Home,67.9,19,13.2,5,83.3,89.7,35,0.553,57,0.491,28,0.386,22,0.591,13,5,200,105.6,21.2,7,17,76,2.8,2,0.491,28,0.25,7,58.3,42,0.563,13.0,10,29,0.724,21,0.583,7
