date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-09,"University of Dayton Arena, Dayton, Ohio",Indiana State,Dayton,Home,62.1,18,11.9,5,109.5,75.9,22,0.542,60,0.483,29,0.5,30,0.7,21,0,200,116.2,23.7,9,19,86,6.8,5,0.45,27,0.259,7,46.3,31,0.579,10.9,9,33,0.667,22,1.0,1
2019-11-16,"University of Dayton Arena, Dayton, Ohio",Charleston Southern,Dayton,Home,73.0,27,4.4,2,87.1,70.3,26,0.68,61,0.607,37,0.148,9,0.778,7,0,200,128.6,50.0,12,10,90,8.6,6,0.393,24,0.375,9,62.3,38,0.689,20.7,17,37,0.757,28,1.0,2
2019-11-19,"University of Dayton Arena, Dayton, Ohio",Omaha,Dayton,Home,56.8,21,12.2,5,98.6,69.0,20,0.656,64,0.578,37,0.234,15,0.6,9,0,200,134.8,35.5,11,11,93,8.7,6,0.422,27,0.37,10,51.7,31,0.654,12.4,10,37,0.73,27,1.0,3
2019-11-25,"Lahaina Civic Center, Lahaina, Hawaii",Georgia,Dayton,Home,37.0,10,21.2,7,83.6,73.9,17,0.582,55,0.491,27,0.345,19,0.842,16,0,200,109.6,24.0,6,17,80,8.2,6,0.491,27,0.37,10,47.9,23,0.625,18.1,14,28,0.607,17,1.0,4
2019-11-26,"Lahaina Civic Center, Lahaina, Hawaii",Dayton,Virginia Tech,Away,62.9,22,3.3,1,91.2,90.0,27,0.736,55,0.636,35,0.255,14,0.571,8,0,200,130.9,26.1,6,21,89,2.9,2,0.436,24,0.458,11,62.3,33,0.722,18.6,14,31,0.774,24,1.0,5
2019-11-27,"Lahaina Civic Center, Lahaina, Hawaii",Dayton,Kansas,Home,70.4,19,10.4,5,113.9,80.0,24,0.565,62,0.435,27,0.306,19,0.737,14,1,225,106.3,9.7,3,25,84,7.6,6,0.532,33,0.485,16,44.3,27,0.591,14.6,12,29,0.379,11,0.833,5
2019-12-03,"University of Dayton Arena, Dayton, Ohio",Houston Baptist,Dayton,Home,73.2,30,11.1,4,87.2,75.0,27,0.659,69,0.594,41,0.203,14,0.571,8,1,200,126.9,32.1,9,18,99,12.8,10,0.362,25,0.36,9,56.3,36,0.654,12.8,11,44,0.727,32,0.857,6
2019-12-08,"Talking Stick Resort Arena, Phoenix, Arizona",Dayton,Saint Mary's,Away,53.6,15,5.7,2,106.3,76.7,23,0.663,52,0.538,28,0.231,12,0.75,9,1,200,121.9,37.5,9,16,78,7.8,5,0.462,24,0.542,13,59.3,32,0.676,20.8,15,28,0.536,15,0.875,7
2019-12-14,"University of Dayton Arena, Dayton, Ohio",Drake,Dayton,Home,70.4,19,12.1,4,67.1,85.0,34,0.582,55,0.491,27,0.273,15,0.933,14,1,200,111.4,25.0,6,16,78,8.6,6,0.509,28,0.357,10,62.5,40,0.628,18.5,14,27,0.63,17,0.889,8
2019-12-17,"University of Dayton Arena, Dayton, Ohio",North Texas,Dayton,Home,83.3,20,0.0,0,87.9,78.6,22,0.583,48,0.5,24,0.5,24,0.625,15,1,200,107.6,17.9,5,15,71,10.6,7,0.438,21,0.381,8,48.2,27,0.598,17.0,12,27,0.593,16,0.9,9
2019-12-21,"United Center, Chicago, Illinois",Dayton,Colorado,Home,46.9,15,9.3,4,105.4,63.2,24,0.555,64,0.5,32,0.109,7,0.714,5,2,225,102.7,25.0,8,16,76,8.1,6,0.297,19,0.368,7,45.7,32,0.564,17.3,14,45,0.556,25,0.818,9
2019-12-23,"University of Dayton Arena, Dayton, Ohio",Grambling,Dayton,Home,70.4,19,8.1,3,79.1,75.0,24,0.62,50,0.54,27,0.62,31,0.613,19,2,200,120.9,34.6,9,18,81,6.0,4,0.38,19,0.421,8,56.9,33,0.626,15.9,12,31,0.613,19,0.833,10
