date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Wintrust Arena, Chicago, Illinois",Alcorn State,DePaul,Home,41.4,12,11.9,5,71.1,63.0,29,0.56,58,0.5,29,0.259,15,0.467,7,0,200,94.7,23.3,7,21,72,14.5,11,0.345,20,0.35,7,47.4,36,0.553,20.8,17,38,0.579,22,1.0,1
2019-11-06,"Wintrust Arena, Chicago, Illinois","Chicago
			",DePaul,Home,48.5,16,20.8,5,75.3,81.8,36,0.643,56,0.589,33,0.321,18,0.667,12,0,200,115.1,8.3,2,18,84,11.0,8,0.304,17,0.353,6,55.9,38,0.651,16.9,13,39,0.692,27,1.0,2
2019-11-08,"Wintrust Arena, Chicago, Illinois",Fairleigh Dickinson,DePaul,Home,54.2,13,11.8,4,86.8,73.1,19,0.509,54,0.444,24,0.519,28,0.536,15,0,200,102.9,33.3,11,17,70,14.7,10,0.333,18,0.389,7,50.8,30,0.52,15.3,12,36,0.472,17,1.0,3
2019-11-11,"Carver-Hawkeye Arena, Iowa City, Iowa",DePaul,Iowa,Away,57.1,20,21.1,8,95.1,78.1,25,0.711,57,0.614,35,0.351,20,0.6,12,0,201,113.4,20.8,5,25,93,14.6,12,0.351,20,0.55,11,53.6,30,0.699,22.4,19,37,0.649,24,1.0,4
2019-11-16,"Wintrust Arena, Chicago, Illinois",Cornell,DePaul,Home,51.7,15,23.3,7,81.8,69.2,27,0.552,58,0.5,29,0.276,16,0.688,11,0,200,113.6,41.4,12,15,75,15.2,10,0.362,21,0.286,6,57.4,39,0.572,17.7,14,37,0.622,23,1.0,5
2019-11-23,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",DePaul,Boston College,Away,57.7,15,21.9,7,89.3,88.2,30,0.46,63,0.413,26,0.286,18,0.778,14,0,200,96.0,43.8,14,19,72,6.7,5,0.286,18,0.333,6,66.7,44,0.503,18.4,16,45,0.444,20,1.0,6
2019-11-26,"Wintrust Arena, Chicago, Illinois",Central Michigan,DePaul,Home,58.8,20,11.4,5,91.5,79.5,31,0.536,70,0.486,34,0.271,19,0.684,13,0,200,107.3,35.3,12,19,88,13.4,11,0.343,24,0.292,7,58.9,43,0.557,15.2,14,46,0.587,27,1.0,7
2019-11-29,"Williams Arena, Minneapolis, Minnesota",DePaul,Minnesota,Away,53.8,14,28.1,9,100.0,61.5,24,0.484,62,0.419,26,0.323,20,0.65,13,0,200,107.4,42.1,16,24,73,8.8,6,0.258,16,0.5,8,51.9,40,0.51,13.4,11,46,0.391,18,1.0,8
2019-12-04,"Wintrust Arena, Chicago, Illinois",Texas Tech,DePaul,Home,68.0,17,17.1,6,83.3,71.0,22,0.437,63,0.397,25,0.286,18,0.556,10,0,225,90.3,28.9,11,17,65,16.7,12,0.333,21,0.238,5,47.8,33,0.454,14.5,12,42,0.476,20,1.0,9
2019-12-08,"Wintrust Arena, Chicago, Illinois",Buffalo,DePaul,Away,40.7,11,28.2,11,89.2,67.5,27,0.477,65,0.415,27,0.277,18,0.389,7,1,200,83.1,19.0,8,17,69,13.3,11,0.354,23,0.348,8,42.7,35,0.469,19.8,18,42,0.452,19,0.9,9
2019-12-14,"Wintrust Arena, Chicago, Illinois",UIC,DePaul,Home,36.4,12,7.1,2,81.3,74.2,23,0.548,63,0.524,33,0.397,25,0.68,17,1,200,107.5,19.4,6,20,86,13.8,11,0.159,10,0.3,3,46.8,29,0.574,14.0,12,53,0.566,30,0.909,10
2019-12-18,"Wolstein Center, Cleveland, Ohio",DePaul,Cleveland State,Away,59.1,13,12.2,5,79.3,64.5,20,0.522,45,0.489,22,0.778,35,0.743,26,1,200,89.0,22.7,5,21,73,13.4,11,0.311,14,0.214,3,47.2,25,0.592,29.3,25,31,0.613,19,0.917,11
2019-12-21,"Wintrust Arena, Chicago, Illinois",Northwestern,DePaul,Home,61.3,19,3.0,1,105.4,82.1,23,0.493,72,0.431,31,0.278,20,0.6,12,1,200,112.2,35.7,15,16,83,8.1,6,0.333,24,0.375,9,54.3,38,0.509,9.0,8,48,0.458,22,0.923,12
2019-12-30,"Wintrust Arena, Chicago, Illinois",Seton Hall,DePaul,Away,31.8,7,20.0,6,100.0,80.0,24,0.383,64,0.344,22,0.313,20,0.85,17,2,200,89.2,34.2,13,21,66,16.2,12,0.328,21,0.238,5,54.4,37,0.449,15.2,13,43,0.395,17,0.857,12
2020-01-04,"Wintrust Arena, Chicago, Illinois",Providence,DePaul,Away,45.8,11,27.8,10,97.1,64.1,25,0.442,60,0.4,24,0.3,18,0.667,12,3,200,95.6,34.4,11,18,65,10.3,7,0.35,21,0.238,5,50.7,36,0.474,12.8,10,39,0.487,19,0.8,12
2020-01-11,"Madison Square Garden (IV), New York, New York",DePaul,St. John's (NY),Home,75.0,18,11.6,5,98.7,81.6,31,0.51,50,0.48,24,0.54,27,0.593,16,4,200,89.3,27.6,8,20,67,5.3,4,0.3,15,0.2,3,58.2,39,0.533,23.5,19,35,0.6,21,0.75,12
2020-01-14,"Finneran Pavilion, Villanova, Pennsylvania",DePaul,Villanova,Home,41.9,13,23.3,7,105.3,79.3,23,0.531,65,0.477,31,0.154,10,0.6,6,5,225,100.0,33.3,11,21,75,13.3,10,0.277,18,0.389,7,54.8,34,0.538,19.7,17,47,0.511,24,0.706,12
2020-01-18,"Wintrust Arena, Chicago, Illinois",Butler,DePaul,Home,72.7,16,9.4,3,94.3,63.3,19,0.6,45,0.489,22,0.711,32,0.781,25,5,200,112.9,21.7,5,21,79,14.3,10,0.378,17,0.588,10,45.3,24,0.656,21.3,16,28,0.429,12,0.722,13
2020-01-22,"Wintrust Arena, Chicago, Illinois",Creighton,DePaul,Away,54.2,13,17.9,5,115.3,79.3,23,0.447,57,0.421,24,0.368,21,0.81,17,6,200,94.4,32.3,10,21,68,6.9,5,0.281,16,0.188,3,55.0,33,0.508,17.4,14,41,0.512,21,0.684,13
2020-01-25,"Wintrust Arena, Chicago, Illinois",St. John's (NY),DePaul,Away,70.0,14,14.3,4,97.5,83.3,25,0.338,65,0.308,20,0.523,34,0.647,22,7,200,81.5,26.1,12,17,66,3.7,3,0.385,25,0.16,4,48.7,37,0.407,14.0,13,40,0.4,16,0.65,13
2020-01-29,"Prudential Center, Newark, New Jersey",DePaul,Seton Hall,Home,31.6,6,3.3,1,86.5,65.0,26,0.368,57,0.333,19,0.351,20,0.75,15,8,200,77.0,25.0,9,24,57,10.8,8,0.263,15,0.267,4,46.1,35,0.429,20.5,17,42,0.357,15,0.619,13
2020-02-01,"Fiserv Forum, Milwaukee, Wisconsin",DePaul,Marquette,Home,58.6,17,10.5,2,107.0,78.6,22,0.517,58,0.5,29,0.397,23,0.522,12,9,200,101.4,21.2,7,24,72,8.5,6,0.172,10,0.2,2,47.5,29,0.522,12.8,10,48,0.563,27,0.591,13
2020-02-04,"Wintrust Arena, Chicago, Illinois",Xavier,DePaul,Away,56.5,13,18.2,6,94.4,68.4,26,0.403,67,0.343,23,0.149,10,0.5,5,10,200,83.1,22.7,10,21,59,14.1,10,0.388,26,0.308,8,43.9,36,0.411,12.3,10,41,0.366,15,0.565,13
2020-02-08,"Capital One Arena, Washington, District of Columbia",DePaul,Georgetown,Home,60.7,17,7.9,3,105.6,70.0,21,0.484,63,0.444,28,0.238,15,0.733,11,11,200,100.0,37.1,13,18,72,6.9,5,0.254,16,0.313,5,52.3,34,0.513,17.7,15,47,0.489,23,0.542,13
2020-02-15,"CenturyLink Center, Omaha, Nebraska",DePaul,Creighton,Home,42.3,11,6.5,2,116.3,87.0,20,0.492,61,0.426,26,0.18,11,0.364,4,12,200,80.0,22.9,8,14,64,13.8,11,0.311,19,0.421,8,48.3,28,0.483,24.2,21,42,0.429,18,0.52,13
2020-02-19,"Wintrust Arena, Chicago, Illinois",Villanova,DePaul,Away,53.6,15,12.5,4,126.4,74.1,20,0.508,59,0.475,28,0.339,20,0.55,11,13,200,98.6,18.2,6,14,71,11.1,8,0.203,12,0.333,4,43.3,26,0.518,12.9,10,47,0.511,24,0.5,13
2020-02-22,"Wintrust Arena, Chicago, Illinois",Georgetown,DePaul,Home,59.3,16,12.8,5,100.0,63.6,21,0.5,60,0.45,27,0.383,23,0.609,14,13,200,108.8,33.3,12,21,74,10.3,7,0.25,15,0.4,6,47.8,33,0.522,11.4,9,45,0.467,21,0.519,14
2020-02-25,"Cintas Center, Cincinnati, Ohio",DePaul,Xavier,Home,48.3,14,25.8,8,109.9,79.3,23,0.525,61,0.475,29,0.098,6,0.5,3,14,200,94.4,43.8,14,18,67,11.3,8,0.295,18,0.333,6,60.7,37,0.525,24.8,21,43,0.535,23,0.5,14
2020-02-29,"Hinkle Fieldhouse, Indianapolis, Indiana",DePaul,Butler,Home,22.2,4,10.7,3,93.8,68.8,22,0.343,54,0.333,18,0.148,8,0.625,5,15,200,65.6,28.6,10,15,42,6.3,4,0.222,12,0.083,1,47.8,32,0.363,22.8,17,42,0.405,17,0.483,14
2020-03-03,"Wintrust Arena, Chicago, Illinois",Marquette,DePaul,Home,41.2,7,9.7,3,98.6,66.7,24,0.339,56,0.304,17,0.625,35,0.886,31,15,200,100.0,24.4,10,19,69,7.2,5,0.393,22,0.182,4,44.2,34,0.475,10.1,8,34,0.382,13,0.5,15
2020-03-07,"Dunkin' Donuts Center, Providence, Rhode Island",DePaul,Providence,Home,40.9,9,7.3,3,129.2,60.0,18,0.381,63,0.349,22,0.206,13,0.538,7,16,200,76.4,36.8,14,21,55,5.6,4,0.27,17,0.235,4,47.1,32,0.398,17.9,15,46,0.391,18,0.484,15
2020-03-11,"Madison Square Garden (IV), New York, New York",DePaul,Xavier,Away,64.0,16,9.3,4,95.7,83.9,26,0.509,55,0.455,25,0.327,18,0.833,15,16,200,101.4,30.0,9,14,71,8.6,6,0.327,18,0.333,6,57.4,35,0.559,17.1,13,37,0.514,19,0.5,16
