date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Liacouras Center, Philadelphia, Pennsylvania",Drexel,Temple,Home,70.8,17,12.0,6,94.6,77.1,27,0.391,69,0.348,24,0.159,11,0.727,8,1,200,83.8,32.6,15,14,62,12.2,9,0.435,30,0.2,6,51.9,42,0.418,15.9,14,39,0.462,18,0.0,0
2019-11-08,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Niagara,Drexel,Home,70.4,19,2.1,1,90.1,89.7,26,0.633,49,0.551,27,0.388,19,0.526,10,1,200,101.4,26.9,7,13,72,9.9,7,0.367,18,0.444,8,60.0,33,0.62,24.9,19,31,0.613,19,0.5,1
2019-11-10,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Abilene Christian,Drexel,Home,55.6,15,12.5,5,103.8,91.2,31,0.596,52,0.519,27,0.615,32,0.75,24,1,225,107.5,34.8,8,17,86,5.0,4,0.385,20,0.4,8,68.4,39,0.64,25.0,22,32,0.594,19,0.667,2
2019-11-13,"Louis Brown Athletic Center, New Brunswick, New Jersey",Drexel,Rutgers,Home,47.6,10,14.7,5,89.9,76.7,23,0.392,65,0.323,21,0.123,8,0.75,6,2,200,82.6,25.0,10,21,57,10.1,7,0.415,27,0.333,9,47.1,33,0.414,13.8,11,38,0.316,12,0.5,2
2019-11-16,"William Johnson Coliseum, Nacogdoches, Texas",Drexel,Stephen F. Austin,Home,55.0,11,2.3,1,101.2,66.7,22,0.563,40,0.5,20,0.75,30,0.733,22,3,200,82.7,15.4,4,20,67,7.4,6,0.35,14,0.357,5,44.1,26,0.618,36.1,30,26,0.577,15,0.4,2
2019-11-20,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Bryant,Drexel,Home,90.3,28,7.3,4,102.8,65.6,21,0.587,63,0.492,31,0.238,15,0.8,12,3,200,119.4,27.6,8,15,86,11.1,8,0.397,25,0.48,12,47.5,29,0.613,10.3,8,38,0.5,19,0.5,3
2019-11-25,"Daskalakis Athletic Center, Philadelphia, Pennsylvania","Rosemont
			",Drexel,Home,51.4,18,19.5,8,70.8,74.2,23,0.542,71,0.493,35,0.211,15,0.467,7,3,200,116.7,45.0,18,14,84,11.1,8,0.394,28,0.25,7,57.7,41,0.538,14.3,13,43,0.651,28,0.571,4
2019-11-30,"UMBC Event Center, Baltimore, Maryland",Drexel,UMBC,Home,71.4,15,10.9,5,128.8,71.4,20,0.551,49,0.429,21,0.224,11,0.545,6,4,200,90.9,27.6,8,14,60,7.6,5,0.592,29,0.414,12,49.1,28,0.553,25.1,18,20,0.45,9,0.5,4
2019-12-04,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Princeton,Drexel,Home,42.4,14,20.0,7,102.7,75.0,27,0.645,55,0.6,33,0.291,16,0.688,11,4,200,110.8,20.8,5,20,82,6.8,5,0.236,13,0.385,5,53.3,32,0.655,19.5,15,42,0.667,28,0.556,5
2019-12-07,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",La Salle,Drexel,Away,52.4,11,8.1,3,97.3,66.7,20,0.369,61,0.344,21,0.393,24,0.75,18,5,200,86.3,34.2,13,19,63,9.6,7,0.18,11,0.273,3,48.5,33,0.435,17.3,15,50,0.36,18,0.5,5
2019-12-15,"Sun Dome, Tampa, Florida",Drexel,South Florida,Home,52.6,10,2.4,1,126.6,50.0,17,0.598,41,0.463,19,0.561,23,0.522,12,6,200,95.3,20.8,5,20,61,4.7,3,0.585,24,0.458,11,37.9,22,0.587,22.7,15,17,0.471,8,0.455,5
2019-12-20,"Boardwalk Hall, Atlantic City, New Jersey",Quinnipiac,Drexel,Home,73.9,17,11.1,4,94.0,68.6,24,0.475,59,0.39,23,0.356,21,0.762,16,6,200,107.5,25.8,8,11,72,6.0,4,0.39,23,0.435,10,48.5,32,0.522,10.5,8,36,0.361,13,0.5,6
2019-12-21,"Boardwalk Hall, Atlantic City, New Jersey",Drexel,Norfolk State,Away,66.7,12,2.6,1,76.6,74.1,20,0.366,56,0.321,18,0.268,15,0.8,12,6,200,82.8,37.1,13,14,53,6.3,4,0.411,23,0.217,5,53.2,33,0.42,18.3,14,33,0.394,13,0.538,7
2019-12-28,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",College of Charleston,Drexel,Away,60.9,14,5.9,2,111.8,75.0,18,0.466,58,0.397,23,0.293,17,0.647,11,7,200,95.6,40.0,12,12,65,11.8,8,0.414,24,0.333,8,55.6,30,0.492,18.6,15,34,0.441,15,0.5,7
2019-12-30,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",UNC Wilmington,Drexel,Home,44.4,12,7.8,4,93.0,73.3,22,0.544,57,0.474,27,0.263,15,0.6,9,7,200,100.0,30.0,9,16,71,12.7,9,0.316,18,0.444,8,51.7,31,0.554,18.0,14,39,0.487,19,0.533,8
2020-01-03,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Delaware,Drexel,Home,56.5,13,2.9,1,85.9,75.0,21,0.427,62,0.371,23,0.177,11,0.727,8,7,200,95.3,47.2,17,11,61,12.5,8,0.387,24,0.292,7,59.4,38,0.454,17.3,14,38,0.421,16,0.562,9
2020-01-09,"SECU Arena, Towson, Maryland",Drexel,Towson,Home,53.8,14,2.6,1,127.1,72.0,18,0.517,58,0.448,26,0.259,15,0.867,13,8,200,104.3,24.1,7,15,73,8.6,6,0.362,21,0.381,8,46.3,25,0.56,14.6,11,37,0.486,18,0.529,9
2020-01-11,"JMU Convocation Center, Harrisonburg, Virginia",Drexel,James Madison,Away,59.3,16,10.5,4,92.2,76.9,30,0.542,60,0.45,27,0.317,19,0.684,13,8,200,101.3,25.7,9,17,78,5.2,4,0.45,27,0.407,11,52.7,39,0.565,18.0,15,33,0.485,16,0.556,10
2020-01-16,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Elon,Drexel,Home,56.5,13,5.9,2,60.3,92.1,35,0.471,51,0.451,23,0.412,21,0.714,15,8,200,92.6,23.1,6,16,63,5.9,4,0.196,10,0.2,2,64.1,41,0.517,17.7,13,41,0.512,21,0.579,11
2020-01-18,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",William & Mary,Drexel,Home,63.3,19,0.0,0,86.4,80.0,28,0.627,55,0.545,30,0.309,17,0.882,15,8,200,127.3,27.3,6,14,84,10.6,7,0.327,18,0.5,9,59.6,34,0.666,12.6,9,37,0.568,21,0.6,12
2020-01-23,"Matthews Arena, Boston, Massachusetts",Drexel,Northeastern,Home,43.8,7,0.0,0,130.8,73.1,19,0.388,49,0.327,16,0.327,16,0.875,14,9,200,80.0,21.2,7,17,52,4.6,3,0.388,19,0.316,6,44.1,26,0.459,22.2,16,30,0.333,10,0.571,12
2020-01-25,"Mack Sports Complex, Hempstead, New York",Drexel,Hofstra,Home,43.5,10,2.1,1,114.3,61.3,19,0.49,50,0.46,23,0.26,13,0.769,10,10,200,93.7,30.8,8,16,59,6.3,4,0.32,16,0.188,3,47.4,27,0.525,21.2,15,34,0.588,20,0.545,12
2020-02-01,"Bob Carpenter Center, Newark, Delaware",Drexel,Delaware,Home,42.9,12,0.0,0,109.6,75.0,21,0.477,64,0.438,28,0.188,12,0.917,11,11,200,98.6,28.6,10,16,72,12.3,9,0.281,18,0.278,5,49.2,31,0.516,14.8,12,46,0.5,23,0.522,12
2020-02-06,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",James Madison,Drexel,Home,69.0,20,12.5,6,94.4,73.7,28,0.566,61,0.475,29,0.246,15,0.6,9,11,200,109.9,29.0,9,17,78,11.3,8,0.475,29,0.379,11,53.6,37,0.572,14.0,11,32,0.563,18,0.542,13
2020-02-08,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Towson,Drexel,Away,44.4,12,4.0,2,113.4,67.7,21,0.508,60,0.45,27,0.2,12,0.667,8,12,200,103.0,19.4,6,21,69,4.5,3,0.367,22,0.318,7,43.5,27,0.525,10.9,8,38,0.526,20,0.52,13
2020-02-13,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",Drexel,William & Mary,Home,58.3,14,5.9,2,110.0,84.4,27,0.527,55,0.436,24,0.382,21,0.667,14,13,200,102.9,11.4,4,25,72,7.1,5,0.382,21,0.476,10,46.3,31,0.554,12.3,9,34,0.412,14,0.5,13
2020-02-15,"Schar Center, Elon, North Carolina",Drexel,Elon,Home,77.3,17,8.3,2,123.0,85.7,24,0.564,47,0.468,22,0.489,23,0.739,17,14,200,114.8,21.7,5,20,70,4.9,3,0.362,17,0.529,9,56.9,29,0.604,13.6,9,30,0.433,13,0.481,13
2020-02-20,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Hofstra,Drexel,Away,71.9,23,9.1,4,117.4,69.2,18,0.574,61,0.525,32,0.098,6,0.667,4,15,200,107.2,42.3,11,18,74,2.9,2,0.328,20,0.3,6,55.8,29,0.579,20.1,16,41,0.634,26,0.464,13
2020-02-22,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Northeastern,Drexel,Away,60.7,17,11.1,4,118.5,68.2,15,0.535,57,0.491,28,0.211,12,0.583,7,16,200,104.6,27.6,8,18,68,12.3,8,0.281,16,0.313,5,45.1,23,0.542,12.6,9,41,0.561,23,0.448,13
2020-02-27,"Trask Coliseum, Wilmington, North Carolina",Drexel,UNC Wilmington,Home,51.9,14,4.2,2,111.8,86.2,25,0.508,59,0.458,27,0.203,12,0.417,5,17,200,95.6,32.3,10,18,65,2.9,2,0.373,22,0.273,6,58.3,35,0.502,18.9,15,37,0.568,21,0.433,13
2020-02-29,"TD Arena, Charleston, South Carolina",Drexel,College of Charleston,Home,58.3,14,3.7,1,119.0,77.4,24,0.528,53,0.453,24,0.264,14,0.714,10,18,200,104.8,32.3,10,18,66,3.2,2,0.377,20,0.4,8,54.8,34,0.553,19.1,14,33,0.485,16,0.419,13
2020-03-07,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",UNC Wilmington,Drexel,Home,45.8,11,7.0,3,84.6,75.8,25,0.5,57,0.421,24,0.211,12,0.75,9,18,200,101.5,22.6,7,12,66,13.8,9,0.368,21,0.429,9,50.0,32,0.526,13.8,10,36,0.417,15,0.438,14
2020-03-08,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",Drexel,Hofstra,Home,33.3,6,2.4,1,103.4,73.3,22,0.339,56,0.321,18,0.125,7,0.714,5,19,200,72.9,27.0,10,9,43,8.5,5,0.393,22,0.091,2,47.8,32,0.362,15.7,11,34,0.471,16,0.424,14
