date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"CONSOL Energy Center, Pittsburgh, Pennsylvania",Princeton,Duquesne,Home,36.1,13,14.3,5,97.1,61.3,19,0.675,63,0.571,36,0.159,10,0.9,9,0,200,136.2,26.1,6,15,94,14.5,10,0.397,25,0.52,13,46.3,25,0.694,10.6,8,38,0.605,23,1.0,1
2019-11-12,"Kerr Fitness Center, Pittsburgh, Pennsylvania",Lamar,Duquesne,Home,52.4,11,18.4,7,76.7,83.3,25,0.439,57,0.368,21,0.351,20,0.8,16,0,200,90.4,34.3,12,15,66,12.3,9,0.474,27,0.296,8,56.9,37,0.496,21.5,18,30,0.433,13,1.0,2
2019-11-15,"Kerr Fitness Center, Pittsburgh, Pennsylvania",Lipscomb,Duquesne,Home,54.5,12,16.7,5,51.4,87.9,29,0.375,60,0.367,22,0.283,17,0.765,13,0,200,82.9,30.8,12,15,58,21.4,15,0.367,22,0.045,1,56.9,41,0.426,16.2,13,38,0.553,21,1.0,3
2019-11-21,"Gateway Christian Academy, Bimini",Duquesne,Indiana State,Away,40.0,8,5.6,2,101.4,81.5,22,0.48,51,0.392,20,0.627,32,0.781,25,0,200,105.7,28.1,9,23,74,10.0,7,0.471,24,0.375,9,52.5,31,0.559,13.3,10,27,0.407,11,1.0,4
2019-11-22,"Gateway Christian Academy, Bimini",Duquesne,Air Force,Away,53.6,15,18.9,7,96.9,90.6,29,0.583,54,0.519,28,0.222,12,0.5,6,0,200,106.2,19.2,5,19,69,4.6,3,0.426,23,0.304,7,58.6,34,0.578,11.9,8,31,0.677,21,1.0,5
2019-11-24,"Gateway Christian Academy, Bimini",Duquesne,Loyola Marymount,Away,50.0,13,27.3,9,83.3,73.3,22,0.561,57,0.456,26,0.14,8,0.875,7,0,200,118.3,31.0,9,13,71,15.0,9,0.509,29,0.414,12,52.5,31,0.584,12.9,9,28,0.5,14,1.0,6
2019-12-04,"Kerr Fitness Center, Pittsburgh, Pennsylvania",VMI,Duquesne,Home,60.0,15,40.0,10,89.2,75.0,24,0.509,57,0.439,25,0.263,15,0.867,13,0,200,109.2,36.4,12,7,71,9.2,6,0.456,26,0.308,8,55.4,36,0.554,17.0,13,31,0.548,17,1.0,7
2019-12-09,"Kerr Fitness Center, Pittsburgh, Pennsylvania",Columbia,Duquesne,Home,63.2,24,29.0,9,76.1,77.8,28,0.662,65,0.585,38,0.077,5,0.8,4,0,200,126.8,26.9,7,15,90,9.9,7,0.462,30,0.333,10,56.5,35,0.668,13.0,10,35,0.8,28,1.0,8
2019-12-14,"Ellet High School, Akron, Ohio",Duquesne,Radford,Away,74.1,20,17.6,6,74.2,81.6,31,0.575,53,0.509,27,0.245,13,0.769,10,0,200,107.6,28.0,7,12,71,7.6,5,0.453,24,0.292,7,60.3,38,0.6,20.3,15,29,0.69,20,1.0,9
2019-12-21,"McArthur Gymnasium, St. Petersburg, Florida",Duquesne,Austin Peay,Away,48.0,12,10.0,4,104.1,70.4,19,0.571,49,0.51,25,0.694,34,0.882,30,0,200,116.2,25.9,7,21,86,9.5,7,0.388,19,0.316,6,48.1,26,0.66,20.0,16,30,0.633,19,1.0,10
2019-12-22,"McArthur Gymnasium, St. Petersburg, Florida",Duquesne,Alabama-Birmingham,Home,60.0,12,6.1,2,105.5,65.0,13,0.409,55,0.364,20,0.545,30,0.767,23,1,200,93.2,22.6,7,24,68,16.4,12,0.491,27,0.185,5,39.2,20,0.491,13.9,11,28,0.536,15,0.909,10
2019-12-29,"Quicken Loans Arena, Cleveland, Ohio",Duquesne,Marshall,Home,30.4,7,12.0,6,110.7,65.6,21,0.36,68,0.338,23,0.235,16,0.75,12,2,200,81.3,34.1,15,7,61,10.7,8,0.235,16,0.188,3,47.4,36,0.403,15.7,14,52,0.385,20,0.833,10
2020-01-02,"UPMC Events Center, Moon, Pennsylvania",Saint Louis,Duquesne,Home,59.1,13,20.9,9,77.6,71.8,28,0.552,48,0.458,22,0.521,25,0.8,20,2,200,96.1,17.2,5,14,73,9.2,7,0.5,24,0.375,9,48.5,33,0.61,26.3,21,24,0.542,13,0.846,11
2020-01-05,"UPMC Events Center, Moon, Pennsylvania",Davidson,Duquesne,Home,69.2,18,15.2,5,100.0,72.2,26,0.547,53,0.491,26,0.321,17,0.765,13,2,200,110.9,26.9,7,11,71,9.4,6,0.377,20,0.3,6,53.2,33,0.581,14.2,10,33,0.606,20,0.857,12
2020-01-08,"Hagan Arena, Philadelphia, Pennsylvania",Duquesne,St. Joseph's,Away,50.0,15,23.7,9,85.7,58.3,28,0.567,60,0.5,30,0.25,15,0.667,10,2,200,111.4,25.8,8,17,78,5.7,4,0.45,27,0.296,8,45.6,36,0.581,9.5,7,33,0.667,22,0.867,13
2020-01-11,"Charles E. Smith Center, Washington, District of Columbia",Duquesne,George Washington,Away,63.6,14,23.3,7,89.7,87.5,28,0.53,50,0.44,22,0.38,19,0.684,13,2,200,97.1,25.0,8,11,66,10.3,7,0.38,19,0.474,9,56.3,36,0.559,22.6,17,31,0.419,13,0.875,14
2020-01-15,"CONSOL Energy Center, Pittsburgh, Pennsylvania",Fordham,Duquesne,Home,89.5,17,21.9,7,86.2,76.5,26,0.471,51,0.373,19,0.353,18,0.556,10,2,225,89.2,25.8,8,8,58,6.2,4,0.49,25,0.4,10,52.3,34,0.487,19.2,14,26,0.346,9,0.882,15
2020-01-22,"Ryan Center, Kingston, Rhode Island",Duquesne,Rhode Island,Home,44.4,8,8.2,4,113.2,75.7,28,0.373,55,0.327,18,0.4,22,0.636,14,3,200,80.9,33.3,13,18,55,1.5,1,0.418,23,0.217,5,53.9,41,0.42,18.8,15,32,0.406,13,0.833,15
2020-01-25,"Mullins Center, Amherst, Massachusetts",Duquesne,UMass,Home,59.1,13,5.6,2,101.4,59.0,23,0.425,60,0.367,22,0.417,25,0.52,13,4,200,88.9,23.3,10,25,64,5.6,4,0.383,23,0.304,7,40.2,33,0.445,12.3,10,37,0.405,15,0.789,15
2020-01-29,"CONSOL Energy Center, Pittsburgh, Pennsylvania",Dayton,Duquesne,Away,55.6,15,9.7,3,114.1,73.7,14,0.525,59,0.458,27,0.22,13,0.538,7,5,200,107.8,37.5,12,9,69,15.6,10,0.407,24,0.333,8,51.0,26,0.529,14.5,11,35,0.543,19,0.75,15
2020-02-02,"CONSOL Energy Center, Pittsburgh, Pennsylvania",La Salle,Duquesne,Home,67.9,19,17.1,6,103.0,56.8,21,0.582,55,0.509,28,0.2,11,0.636,7,5,200,106.0,28.6,8,13,71,9.0,6,0.418,23,0.348,8,44.6,29,0.589,19.0,14,32,0.625,20,0.762,16
2020-02-05,"Chaifetz Arena, St. Louis, Missouri",Duquesne,Saint Louis,Away,63.0,17,9.8,4,94.4,77.1,27,0.553,57,0.474,27,0.404,23,0.826,19,5,200,113.9,37.0,10,19,82,11.1,8,0.404,23,0.391,9,59.7,37,0.604,17.3,14,34,0.529,18,0.773,17
2020-02-08,"UPMC Events Center, Moon, Pennsylvania",St. Bonaventure,Duquesne,Away,58.3,14,20.0,8,123.9,58.6,17,0.564,55,0.436,24,0.4,22,0.818,18,6,200,119.4,13.3,4,14,80,3.0,2,0.618,34,0.412,14,35.6,21,0.611,8.5,6,21,0.476,10,0.739,17
2020-02-16,"Rose Hill Gym, Bronx, New York",Duquesne,Fordham,Away,55.0,11,12.9,4,81.8,87.1,27,0.443,53,0.377,20,0.302,16,0.75,12,6,200,89.4,26.5,9,13,59,13.6,9,0.604,32,0.219,7,55.4,36,0.487,18.9,14,21,0.619,13,0.75,18
2020-02-19,"CONSOL Energy Center, Pittsburgh, Pennsylvania",George Washington,Duquesne,Away,63.0,17,12.5,4,100.0,73.3,22,0.434,68,0.397,27,0.191,13,0.615,8,7,200,95.7,25.6,10,16,67,12.9,9,0.353,24,0.208,5,46.4,32,0.452,8.7,7,44,0.5,22,0.72,18
2020-02-22,"University of Dayton Arena, Dayton, Ohio",Duquesne,Dayton,Home,46.4,13,9.1,3,123.1,73.1,19,0.534,58,0.483,28,0.19,11,0.727,8,8,200,107.7,20.0,6,17,70,7.7,5,0.31,18,0.333,6,44.6,25,0.554,10.0,7,40,0.55,22,0.692,18
2020-02-26,"Reilly Center, St. Bonaventure, New York",Duquesne,St. Bonaventure,Away,74.2,23,8.3,4,100.0,59.5,22,0.493,73,0.425,31,0.219,16,0.563,9,8,225,105.2,31.7,13,18,81,6.5,5,0.479,35,0.286,10,44.9,35,0.502,12.1,11,38,0.553,21,0.704,19
2020-02-29,"UPMC Events Center, Moon, Pennsylvania",George Mason,Duquesne,Home,42.9,12,14.7,5,109.9,50.0,14,0.62,50,0.56,28,0.66,33,0.576,19,8,200,114.1,25.0,7,22,81,11.3,8,0.32,16,0.375,6,37.5,21,0.617,15.7,12,34,0.647,22,0.714,20
2020-03-03,"Stuart Siegel Center, Richmond, Virginia",Duquesne,VCU,Away,51.9,14,7.7,3,106.9,73.5,25,0.553,57,0.474,27,0.456,26,0.654,17,8,225,111.1,41.9,13,18,80,11.1,8,0.456,26,0.346,9,58.5,38,0.577,18.0,15,31,0.581,18,0.724,21
2020-03-06,"CONSOL Energy Center, Pittsburgh, Pennsylvania",Richmond,Duquesne,Away,61.9,13,4.5,2,97.3,69.2,27,0.433,60,0.35,21,0.417,25,0.4,10,9,200,82.7,21.3,10,14,62,8.0,6,0.5,30,0.333,10,43.0,37,0.431,15.5,13,30,0.367,11,0.7,21
