date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-14,"Athletics Center O'rena, Rochester, Michigan",EASTERN-MICHIGAN,OAKLAND,Away,35.7,10,3.6,2,104.1,58.7,30,0.5,62,0.452,28,0.468,29,0.655,19,0,200.0,109.5,30.6,8,18,81,6.8,5,0.242,15.0,0.4,6.0,46.3,38,0.534,10.7,9,47.0,0.468,22.0,1.0,1
2009-11-20,"JQH Arena, Springfield, Missouri",CITADEL,EASTERN-MICHIGAN,Away,61.9,13,6.3,2,101.6,63.3,19,0.5,47,0.447,21,0.277,13,0.692,9,1,200.0,90.3,19.2,5,19,56,9.7,6,0.468,22.0,0.227,5.0,42.9,24,0.527,24.4,17,25.0,0.64,16.0,0.5,1
2009-11-21,"JQH Arena, Springfield, Missouri",EASTERN-MICHIGAN,MARYLAND-EASTERN-SHORE,Away,75.0,21,2.6,1,77.3,70.0,29,0.571,56,0.5,28,0.393,22,0.545,12,1,200.0,115.2,40.0,11,15,76,13.6,9,0.357,20.0,0.4,8.0,57.1,40,0.572,14.3,11,36.0,0.556,20.0,0.667,2
2009-11-22,"JQH Arena, Springfield, Missouri",EASTERN-MICHIGAN,MISSOURI-STATE,Home,47.6,10,9.1,3,108.7,73.1,20,0.393,61,0.344,21,0.344,21,0.619,13,2,200.0,88.4,40.5,16,22,61,11.6,8,0.377,23.0,0.261,6.0,52.9,36,0.43,17.6,15,38.0,0.395,15.0,0.5,2
2009-11-24,"Show Me Center, Cape Girardeau, Missouri",EASTERN-MICHIGAN,SOUTHEAST-MISSOURI-STATE,Away,50.0,14,6.8,3,107.0,59.3,22,0.606,52,0.538,28,0.596,31,0.742,23,2,200.0,121.1,55.2,10,16,86,8.5,6,0.269,14.0,0.5,7.0,57.1,32,0.644,21.5,18,38.0,0.553,21.0,0.6,3
2009-11-30,"Convocation Center, Ypsilanti, Michigan",CANISIUS,EASTERN-MICHIGAN,Home,79.2,19,0.0,0,85.3,67.6,26,0.561,49,0.49,24,0.633,31,0.645,20,2,200.0,110.3,34.5,9,18,75,14.7,10,0.49,24.0,0.292,7.0,53.0,35,0.588,17.2,12,25.0,0.68,17.0,0.714,5
2009-12-05,"Value City Arena, Columbus, Ohio",EASTERN-MICHIGAN,OHIO-STATE,Home,34.8,8,3.2,1,146.1,69.2,19,0.491,53,0.434,23,0.226,12,0.667,8,3,200.0,78.9,22.6,6,22,60,5.3,4,0.396,21.0,0.286,6.0,43.9,25,0.511,29.2,24,32.0,0.531,17.0,0.625,5
2009-12-12,"Convocation Center, Ypsilanti, Michigan",JAMES-MADISON,EASTERN-MICHIGAN,Home,60.0,15,0.0,0,91.4,68.8,24,0.462,65,0.385,25,0.385,25,0.6,15,3,200.0,107.1,34.9,13,11,75,12.9,9,0.415,27.0,0.37,10.0,49.3,37,0.488,9.5,8,38.0,0.395,15.0,0.667,6
2009-12-19,"GSU Sports Arena, Atlanta, Georgia",EASTERN-MICHIGAN,GEORGIA-STATE,Home,35.3,6,5.6,2,106.5,64.0,20,0.37,50,0.34,17,0.68,34,0.824,28,4,200.0,104.8,61.3,15,19,65,6.5,4,0.34,17.0,0.176,3.0,62.5,35,0.491,18.8,15,33.0,0.424,14.0,0.6,6
2009-12-22,"Convocation Center, Ypsilanti, Michigan",SAMFORD,EASTERN-MICHIGAN,Away,65.0,13,6.3,1,116.0,68.8,12,0.521,48,0.417,20,0.188,9,0.667,6,5,200.0,112.0,47.8,10,9,56,10.0,5,0.563,27.0,0.37,10.0,56.4,22,0.536,16.1,10,21.0,0.476,10.0,0.545,6
