date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Williams Arena at Minges Coliseum, Greenville, North Carolina",VMI,East Carolina,Home,54.8,17,16.3,7,94.4,74.3,26,0.569,58,0.534,31,0.414,24,0.583,14,0,200,111.1,36.7,11,15,80,5.6,4,0.207,12,0.333,4,56.9,37,0.576,15.9,13,46,0.587,27,1.0,1
2019-11-08,"Alumni Hall, Annapolis, Maryland",East Carolina,Navy,Home,68.2,15,15.4,4,89.9,75.0,18,0.454,54,0.407,22,0.241,13,0.615,8,1,200,82.6,30.0,9,27,57,17.4,12,0.333,18,0.278,5,50.0,27,0.474,24.1,19,36,0.472,17,0.5,1
2019-11-12,"Holmes Convocation Center, Boone, North Carolina",East Carolina,Appalachian State,Home,52.4,11,8.0,2,98.6,80.0,20,0.398,59,0.356,21,0.322,19,0.789,15,2,200,89.9,26.3,10,22,62,5.8,4,0.373,22,0.227,5,47.6,30,0.456,17.2,14,37,0.432,16,0.333,1
2019-11-16,"Williams Arena at Minges Coliseum, Greenville, North Carolina",Liberty,East Carolina,Away,50.0,10,12.5,4,120.3,65.6,21,0.433,52,0.385,20,0.423,22,0.545,12,3,200,89.1,25.8,8,20,57,10.9,7,0.288,15,0.333,5,46.0,29,0.456,14.0,10,37,0.405,15,0.25,1
2019-11-22,"Baha Mar Convention Center, Nassau",Evansville,East Carolina,Home,46.7,14,5.9,1,89.5,94.1,32,0.571,56,0.536,30,0.5,28,0.75,21,3,200,111.8,29.6,8,28,85,6.6,5,0.214,12,0.333,4,65.6,40,0.613,19.0,16,44,0.591,26,0.4,2
2019-11-23,"Baha Mar Convention Center, Nassau",UMKC,East Carolina,Away,50.0,8,14.0,6,105.7,75.0,24,0.333,54,0.296,16,0.648,35,0.914,32,4,200,97.1,33.3,12,22,68,7.1,5,0.352,19,0.211,4,52.9,36,0.481,10.3,8,35,0.343,12,0.333,2
2019-11-24,"Baha Mar Convention Center, Nassau",Rice,East Carolina,Away,15.4,4,6.9,2,101.3,71.4,20,0.368,72,0.361,26,0.306,22,0.727,16,5,200,90.8,41.9,18,26,69,5.3,4,0.278,20,0.05,1,53.5,38,0.418,11.9,11,52,0.481,25,0.286,2
2019-11-30,"JMU Convocation Center, Harrisonburg, Virginia",East Carolina,James Madison,Home,60.0,18,7.7,2,132.0,78.3,18,0.553,66,0.455,30,0.273,18,0.889,16,6,200,118.7,15.6,5,23,89,6.7,5,0.409,27,0.481,13,41.8,23,0.597,9.8,8,39,0.436,17,0.25,2
2019-12-03,"Williams Arena at Minges Coliseum, Greenville, North Carolina",Coppin State,East Carolina,Away,66.7,18,9.4,3,109.0,92.0,23,0.424,72,0.375,27,0.319,23,0.609,14,7,200,96.2,32.6,14,18,75,6.4,5,0.417,30,0.233,7,54.4,37,0.452,10.9,10,42,0.476,20,0.222,2
2019-12-14,"Williams Arena at Minges Coliseum, Greenville, North Carolina",Campbell,East Carolina,Home,62.5,15,2.8,1,87.0,75.7,28,0.52,51,0.471,24,0.569,29,0.897,26,7,200,102.6,26.9,7,17,79,10.4,8,0.333,17,0.294,5,55.6,35,0.61,23.0,19,34,0.559,19,0.3,3
2019-12-17,"Williams Arena at Minges Coliseum, Greenville, North Carolina",Maryland-Eastern Shore,East Carolina,Home,78.3,18,4.9,2,75.0,73.0,27,0.49,52,0.442,23,0.481,25,0.8,20,7,200,93.4,19.4,6,23,71,9.2,7,0.365,19,0.263,5,48.5,33,0.556,22.2,18,33,0.545,18,0.364,4
