date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"United Supermarkets Arena, Lubbock, Texas",Eastern Illinois,Texas Tech,Home,43.5,10,2.3,1,114.9,85.2,23,0.456,57,0.404,23,0.228,13,0.615,8,1,200,81.1,14.7,5,20,60,6.8,5,0.281,16,0.375,6,45.9,28,0.475,18.2,14,41,0.415,17,0.0,0
2019-11-08,"Kohl Center, Madison, Wisconsin",Eastern Illinois,Wisconsin,Home,42.9,9,10.8,4,97.0,65.7,23,0.389,63,0.333,21,0.127,8,0.375,3,2,198,77.6,25.6,10,22,52,9.0,6,0.302,19,0.368,7,44.6,33,0.389,14.2,11,44,0.318,14,0.0,0
2019-11-12,"Lantz Arena, Charleston, Illinois",Chicago State,Eastern Illinois,Home,82.9,29,8.8,3,42.5,94.1,32,0.549,72,0.486,35,0.319,23,0.826,19,2,200,122.5,32.5,13,18,98,15.0,12,0.319,23,0.391,9,60.8,45,0.591,10.9,10,49,0.531,26,0.333,1
2019-11-18,"Lantz Arena, Charleston, Illinois","Indiana-Northwest
			",Eastern Illinois,Home,69.0,29,11.4,5,70.1,80.0,36,0.607,75,0.56,42,0.413,31,0.742,23,2,200,131.0,37.1,13,18,114,16.1,14,0.307,23,0.304,7,61.3,49,0.635,11.0,11,52,0.673,35,0.5,2
2019-11-22,"McDermott Center, San Antonio, Texas","St. Francis (IL)
			",Eastern Illinois,Home,55.9,19,22.2,6,66.2,84.6,33,0.653,59,0.576,34,0.271,16,0.625,10,2,200,122.5,72.0,18,10,87,8.5,6,0.305,18,0.5,9,79.7,51,0.653,23.2,20,41,0.61,25,0.6,3
2019-11-23,"McDermott Center, San Antonio, Texas",Bethune-Cookman,Eastern Illinois,Away,58.3,14,0.0,0,98.5,65.2,15,0.474,58,0.414,24,0.224,13,0.615,8,3,200,94.0,21.2,7,18,63,6.0,4,0.397,23,0.304,7,39.3,22,0.491,16.9,13,35,0.486,17,0.5,3
2019-11-24,"McDermott Center, San Antonio, Texas",Eastern Illinois,Incarnate Word,Away,56.5,13,9.4,3,90.0,78.3,18,0.422,58,0.397,23,0.552,32,0.719,23,3,200,102.9,37.8,14,13,72,17.1,12,0.328,19,0.158,3,53.3,32,0.492,11.1,9,39,0.513,20,0.571,4
2019-12-04,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",Eastern Illinois,Purdue-Fort Wayne,Home,24.1,7,6.1,2,101.4,64.5,20,0.485,65,0.446,29,0.123,8,0.75,6,4,200,94.5,32.3,10,18,69,11.0,8,0.262,17,0.294,5,48.4,30,0.501,18.0,15,48,0.5,24,0.5,4
2019-12-07,"Lantz Arena, Charleston, Illinois",Green Bay,Eastern Illinois,Home,50.0,17,11.8,4,103.9,76.5,26,0.679,56,0.607,34,0.411,23,0.739,17,4,200,120.8,50.0,11,17,93,6.5,5,0.286,16,0.5,8,66.1,37,0.695,24.1,21,40,0.65,26,0.556,5
2019-12-14,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",Eastern Illinois,Milwaukee,Away,42.9,12,17.0,8,89.5,68.8,33,0.553,57,0.491,28,0.281,16,0.75,12,4,200,98.7,41.9,13,17,75,13.2,10,0.281,16,0.438,7,58.2,46,0.58,24.7,21,41,0.512,21,0.6,6
2019-12-16,"Western Hall, Macomb, Illinois",Eastern Illinois,Western Illinois,Away,38.7,12,15.2,5,65.3,75.0,30,0.547,64,0.484,31,0.266,17,0.882,15,4,200,118.1,27.3,9,14,85,18.1,13,0.375,24,0.333,8,53.4,39,0.59,11.2,9,40,0.575,23,0.636,7
2019-12-21,"Grand Canyon University Arena, Phoenix, Arizona",Eastern Illinois,Grand Canyon,Home,68.4,13,20.5,9,114.9,72.2,26,0.383,60,0.317,19,0.45,27,0.63,17,5,200,85.1,22.7,10,19,63,6.8,5,0.5,30,0.267,8,45.0,36,0.433,13.3,11,30,0.367,11,0.583,7
