date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"McBrayer Arena, Richmond, Kentucky",Chattanooga,Eastern Kentucky,Home,37.0,10,16.3,7,82.9,72.7,32,0.577,52,0.519,27,0.481,25,0.76,19,0,200,96.3,28.0,7,21,79,7.3,6,0.269,14,0.429,6,56.5,39,0.618,27.6,24,38,0.553,21,1.0,1
2019-11-08,"Rupp Arena, Lexington, Kentucky",Eastern Kentucky,Kentucky,Home,43.8,7,0.0,0,107.1,61.3,19,0.313,64,0.25,16,0.172,11,0.818,9,1,200,57.6,7.1,3,21,49,11.8,10,0.516,33,0.242,8,30.1,22,0.354,23.4,21,31,0.258,8,0.5,1
2019-11-12,"McBrayer Arena, Richmond, Kentucky","Ohio-Chillicothe
			",Eastern Kentucky,Home,57.4,27,7.7,2,52.4,76.7,23,0.651,86,0.547,47,0.233,20,0.85,17,1,200,157.3,53.8,21,12,129,32.9,27,0.523,45,0.4,18,63.8,44,0.675,9.5,10,41,0.707,29,0.667,2
2019-11-15,"McBrayer Arena, Richmond, Kentucky",Western Kentucky,Eastern Kentucky,Away,33.3,9,5.4,2,97.5,70.0,21,0.5,61,0.443,27,0.23,14,0.714,10,2,200,87.7,18.8,6,20,71,11.1,9,0.443,27,0.259,7,43.5,27,0.525,22.1,19,34,0.588,20,0.5,2
2019-11-19,"McBrayer Arena, Richmond, Kentucky","Alice Lloyd
			",Eastern Kentucky,Home,77.1,27,4.2,2,70.8,71.4,35,0.538,79,0.443,35,0.253,20,0.7,14,2,200,111.2,19.0,8,20,99,10.1,9,0.506,40,0.375,15,47.3,43,0.559,9.3,9,39,0.513,20,0.6,3
2019-11-22,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",Florida International,Eastern Kentucky,Away,52.4,11,2.6,1,106.0,70.0,21,0.383,64,0.328,21,0.438,28,0.75,21,3,200,83.3,35.7,15,22,70,13.1,11,0.375,24,0.292,7,50.0,36,0.453,23.9,24,40,0.35,14,0.5,3
2019-11-23,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",Eastern Kentucky,Cleveland State,Home,30.8,4,12.1,4,90.3,70.0,21,0.284,51,0.255,13,0.608,31,0.71,22,4,200,70.8,17.5,7,25,51,11.1,8,0.314,16,0.188,3,40.0,28,0.388,16.7,13,35,0.286,10,0.429,3
2019-12-03,"G.B. Hodge Center, Spartanburg, South Carolina",Eastern Kentucky,USC Upstate,Home,57.9,11,2.9,1,94.0,88.6,31,0.388,58,0.328,19,0.5,29,0.759,22,5,200,79.8,12.8,5,25,67,9.5,8,0.483,28,0.25,7,48.6,36,0.467,20.3,18,30,0.4,12,0.375,3
2019-12-08,"Bank of Kentucky Center, Highland Heights, Kentucky",Eastern Kentucky,Northern Kentucky,Home,56.5,13,3.8,1,111.8,68.2,15,0.458,60,0.383,23,0.1,6,0.333,2,6,200,83.8,16.7,6,18,57,16.2,11,0.433,26,0.346,9,36.2,21,0.453,17.2,13,34,0.412,14,0.333,3
2019-12-14,"KFC Yum! Center, Louisville, Kentucky",Eastern Kentucky,Louisville,Home,52.2,12,0.0,0,143.5,40.0,8,0.437,63,0.365,23,0.238,15,0.8,12,7,200,97.1,37.8,14,20,67,11.6,8,0.429,27,0.333,9,38.6,22,0.478,15.7,13,36,0.389,14,0.3,3
2019-12-19,"Henderson Center, Huntington, West Virginia",Eastern Kentucky,Marshall,Home,30.4,7,11.6,5,103.4,58.5,24,0.406,64,0.359,23,0.5,32,0.625,20,8,200,82.8,28.9,13,22,72,13.8,12,0.328,21,0.286,6,43.0,37,0.455,22.0,22,43,0.395,17,0.273,3
