date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Schar Center, Elon, North Carolina","Mars Hill
			",Elon,Home,67.7,21,15.0,6,103.7,80.6,29,0.521,71,0.437,31,0.296,21,0.762,16,0,200,111.1,29.4,10,18,90,4.9,4,0.324,23,0.522,12,55.7,39,0.556,11.1,10,48,0.396,19,1.0,1
2019-11-08,"Schar Center, Elon, North Carolina","Milligan
			",Elon,Home,74.3,26,7.7,3,65.9,92.3,36,0.566,76,0.461,35,0.158,12,0.75,9,0,200,115.9,30.6,11,18,95,12.2,10,0.526,40,0.4,16,62.7,47,0.581,12.9,12,36,0.528,19,1.0,2
2019-11-11,"McCamish Pavilion, Atlanta, Georgia",Elon,Georgia Tech,Home,25.0,4,0.0,0,81.0,83.3,30,0.236,74,0.216,16,0.135,10,0.6,6,1,200,51.9,19.2,10,22,41,6.3,5,0.405,30,0.1,3,45.5,40,0.26,14.2,13,44,0.295,13,0.667,2
2019-11-15,"Crisler Arena, Ann Arbor, Michigan",Elon,Michigan,Home,15.0,3,0.0,0,107.7,75.9,22,0.364,59,0.339,20,0.136,8,0.875,7,2,200,76.9,12.5,4,14,50,6.2,4,0.22,13,0.231,3,42.6,26,0.398,7.4,5,46,0.37,17,0.5,2
2019-11-20,"Dean Smith Center, Chapel Hill, North Carolina",Elon,UNC,Home,55.0,11,4.1,2,102.7,53.1,17,0.413,63,0.317,20,0.143,9,1.0,9,3,200,83.6,12.5,5,22,61,6.8,5,0.508,32,0.375,12,30.6,22,0.453,13.0,10,31,0.258,8,0.4,2
2019-11-23,"Schar Center, Elon, North Carolina",Manhattan,Elon,Away,52.6,10,5.0,1,103.0,92.9,26,0.5,48,0.396,19,0.479,23,0.696,16,4,200,95.5,27.6,8,22,64,6.0,4,0.417,20,0.5,10,59.6,34,0.543,22.6,17,28,0.321,9,0.333,2
2019-11-26,"Schar Center, Elon, North Carolina",Furman,Elon,Away,55.6,10,6.5,2,126.0,74.1,20,0.402,51,0.353,18,0.471,24,0.833,20,5,200,79.2,11.1,3,13,61,9.1,7,0.471,24,0.208,5,42.6,23,0.489,23.6,19,27,0.481,13,0.286,2
2019-11-28,"Schar Center, Elon, North Carolina",Texas-Arlington,Elon,Away,47.8,11,8.8,3,113.2,76.9,20,0.491,57,0.404,23,0.246,14,0.786,11,6,200,98.5,20.6,7,19,67,4.4,3,0.474,27,0.37,10,45.0,27,0.526,16.0,12,30,0.433,13,0.25,2
2019-12-02,"Schar Center, Elon, North Carolina",Kennesaw State,Elon,Home,56.5,13,10.5,4,70.8,63.9,23,0.617,47,0.489,23,0.426,20,0.6,12,6,200,107.7,3.6,1,16,70,10.8,7,0.489,23,0.522,12,37.5,24,0.619,15.2,10,24,0.458,11,0.333,3
2019-12-05,"Millis Center, High Point, North Carolina",Elon,High Point,Home,60.9,14,10.0,3,102.9,65.6,21,0.546,54,0.426,23,0.204,11,0.636,7,7,225,97.1,17.9,5,22,66,4.4,3,0.537,29,0.448,13,43.3,26,0.557,20.3,15,25,0.4,10,0.3,3
2019-12-14,"Schar Center, Elon, North Carolina","North Carolina Wesleyan
			",Elon,Home,71.4,25,3.3,1,87.0,79.3,23,0.73,61,0.574,35,0.049,3,0.667,2,7,200,131.9,28.0,7,15,91,10.1,7,0.639,39,0.487,19,55.6,30,0.729,17.3,13,22,0.727,16,0.364,4
2019-12-17,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",Elon,Campbell,Home,56.3,9,0.0,0,93.8,82.1,23,0.413,46,0.348,16,0.261,12,0.667,8,8,200,71.9,10.7,3,19,46,4.7,3,0.522,24,0.25,6,46.4,26,0.445,24.9,17,22,0.455,10,0.333,4
2019-12-21,"Winthrop Coliseum, Rock Hill, South Carolina",Elon,Winthrop,Home,62.5,15,11.8,4,110.4,77.8,28,0.566,53,0.453,24,0.566,30,0.667,20,9,200,103.9,12.9,4,33,80,3.9,3,0.623,33,0.364,12,47.8,32,0.595,15.3,12,20,0.6,12,0.308,4
