date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-16,"University Center, Hammond, Louisiana",FLORIDA-ATLANTIC,SOUTHEASTERN-LOUISIANA,Home,36.0,9,15.0,6,115.4,71.0,23,0.396,72,0.347,25,0.361,26,0.769,20,1,200.0,98.7,37.5,17,25,77,7.7,6,0.347,25.0,0.28,7.0,50.6,40,0.456,12.6,12,47.0,0.383,18.0,0.5,1
2009-11-21,"Bender Arena, Washington, District of Columbia",FLORIDA-ATLANTIC,AMERICAN,Away,53.8,14,11.6,5,88.5,75.0,30,0.492,61,0.426,26,0.59,36,0.583,21,1,200.0,103.8,35.0,11,25,81,7.7,6,0.262,16.0,0.5,8.0,53.9,41,0.519,15.4,14,45.0,0.4,18.0,0.667,2
2009-11-23,"Draddy Gymnasium, Riverdale, New York",FLORIDA-ATLANTIC,MANHATTAN,Home,45.5,10,8.3,4,98.6,55.6,22,0.406,64,0.344,22,0.297,19,0.737,14,2,200.0,89.2,42.1,14,23,66,12.2,9,0.359,23.0,0.348,8.0,48.6,36,0.452,19.0,17,41.0,0.341,14.0,0.5,2
2009-11-27,"Sun Dome, Tampa, Florida",FLORIDA-ATLANTIC,SOUTH-FLORIDA,Home,65.0,13,19.4,7,125.8,55.6,20,0.398,59,0.339,20,0.254,15,0.733,11,3,200.0,93.5,41.7,10,11,58,1.6,1,0.288,17.0,0.412,7.0,47.6,30,0.439,13.2,10,42.0,0.31,13.0,0.4,2
2009-11-30,"FAU Arena, Boca Raton, Florida",ALBANY-NY,FLORIDA-ATLANTIC,Home,74.2,23,12.5,5,98.5,60.0,19,0.6,60,0.517,31,0.267,16,0.563,9,3,200.0,122.7,32.3,9,15,81,9.1,6,0.3,18.0,0.556,10.0,45.9,28,0.599,13.0,10,42.0,0.5,21.0,0.5,3
2009-12-19,"BankAtlantic Center, Sunrise, Florida",MIAMI-FL,FLORIDA-ATLANTIC,Away,56.5,13,22.6,12,117.6,38.5,19,0.458,59,0.39,23,0.39,23,0.652,15,5,200.0,93.2,29.4,6,26,69,10.8,8,0.39,23.0,0.348,8.0,34.2,25,0.493,15.8,13,36.0,0.417,15.0,0.5,5
2009-12-23,"Stegeman Coliseum, Athens, Georgia",FLORIDA-ATLANTIC,GEORGIA,Home,34.8,8,16.7,8,111.6,61.3,22,0.414,64,0.359,23,0.172,11,0.636,7,6,200.0,87.0,31.6,9,27,60,1.4,1,0.375,24.0,0.292,7.0,44.9,31,0.433,14.8,12,40.0,0.4,16.0,0.455,5
2009-12-27,"Comcast Center, College Park, Maryland",FLORIDA-ATLANTIC,MARYLAND,Home,26.1,6,5.3,3,101.4,55.9,22,0.37,73,0.315,23,0.123,9,0.556,5,7,200.0,83.1,48.9,20,15,59,7.0,5,0.26,19.0,0.421,8.0,51.9,42,0.382,18.1,16,54.0,0.278,15.0,0.417,5
2010-01-02,"FAU Arena, Boca Raton, Florida",SOUTH-ALABAMA,FLORIDA-ATLANTIC,Away,55.9,19,10.3,4,117.1,75.9,23,0.493,76,0.447,34,0.342,26,0.692,18,9,225.0,113.4,48.6,17,33,93,7.3,6,0.316,24.0,0.292,7.0,60.6,40,0.526,10.3,10,52.0,0.519,27.0,0.357,5
2010-01-14,"E.A. Diddle Arena, Bowling Green, Kentucky",FLORIDA-ATLANTIC,WESTERN-KENTUCKY,Home,54.2,13,5.3,2,111.3,76.7,23,0.519,52,0.462,24,0.596,31,0.581,18,10,200.0,101.4,25.0,9,27,72,8.5,6,0.308,16.0,0.375,6.0,48.5,32,0.54,16.5,13,36.0,0.5,18.0,0.412,7
2010-01-23,"FAU Arena, Boca Raton, Florida",ARKANSAS-STATE,FLORIDA-ATLANTIC,Home,64.3,18,2.1,1,94.0,64.7,23,0.508,64,0.438,28,0.281,18,0.722,13,10,200.0,116.4,36.1,12,17,78,6.0,4,0.313,20.0,0.45,9.0,50.0,35,0.538,10.0,8,44.0,0.432,19.0,0.5,10
2010-01-28,"Mitchell Center, Mobile, Alabama",FLORIDA-ATLANTIC,SOUTH-ALABAMA,Away,52.0,13,14.9,7,92.2,48.7,21,0.476,63,0.397,25,0.222,14,0.714,10,10,200.0,109.4,40.5,13,20,70,4.7,3,0.429,27.0,0.37,10.0,44.7,34,0.503,12.6,9,36.0,0.417,15.0,0.524,11
2010-01-30,"FAU Arena, Boca Raton, Florida",FLORIDA-INTERNATIONAL,FLORIDA-ATLANTIC,Home,70.3,26,8.0,4,114.3,61.9,27,0.73,61,0.607,37,0.377,23,0.739,17,10,200.0,137.7,45.5,9,21,106,6.5,5,0.492,30.0,0.5,15.0,56.3,36,0.737,16.4,13,31.0,0.71,22.0,0.545,12
2010-02-04,"Super Pit, Denton, Texas",FLORIDA-ATLANTIC,NORTH-TEXAS,Home,41.9,13,4.7,2,116.2,61.1,12,0.508,63,0.492,31,0.206,13,0.385,5,11,200.0,93.2,20.0,6,26,69,13.5,10,0.206,13.0,0.154,2.0,34.0,18,0.499,15.9,12,50.0,0.58,29.0,0.522,12
2010-02-06,"Magness Arena, Denver, Colorado",FLORIDA-ATLANTIC,DENVER,Home,40.0,8,4.5,1,121.7,88.9,18,0.512,43,0.465,20,0.581,25,0.76,19,12,200.0,105.0,24.0,4,26,63,8.3,5,0.302,13.0,0.308,4.0,51.2,22,0.574,16.9,11,30.0,0.533,16.0,0.5,12
2010-02-18,"US Century Bank Arena, Miami, Florida",FLORIDA-ATLANTIC,FLORIDA-INTERNATIONAL,Away,51.6,16,13.3,4,117.5,61.5,17,0.595,58,0.534,31,0.241,14,0.571,8,12,200.0,122.2,36.7,10,21,77,12.7,8,0.31,18.0,0.389,7.0,48.2,27,0.596,13.5,10,40.0,0.6,24.0,0.538,14
2010-03-06,"Summit Arena, Hot Springs, Arkansas",SOUTH-ALABAMA,FLORIDA-ATLANTIC,Away,66.7,12,19.4,7,81.3,70.4,24,0.318,66,0.273,18,0.273,18,0.5,9,16,200.0,79.7,53.2,20,14,51,4.7,3,0.364,24.0,0.25,6.0,59.5,44,0.342,16.9,15,42.0,0.286,12.0,0.467,14
2010-11-12,"Chiles Center, Portland, Oregon",CALIFORNIA-DAVIS,FLORIDA-ATLANTIC,Home,34.8,8,9.7,3,87.5,75.9,22,0.48,50,0.46,23,0.86,43,0.512,22,0,200.0,97.2,20.0,6,17,70,9.7,7,0.2,10.0,0.2,2.0,47.5,28,0.497,9.2,7,40.0,0.525,21.0,1.0,1
2010-11-13,"Chiles Center, Portland, Oregon",FLORIDA-ATLANTIC,MILWAUKEE,Away,37.5,9,12.1,4,100.0,65.8,25,0.441,59,0.407,24,0.78,46,0.717,33,0,200.0,111.8,36.6,15,26,85,7.9,6,0.203,12.0,0.333,4.0,50.6,40,0.526,12.2,11,47.0,0.426,20.0,1.0,2
2010-11-14,"Chiles Center, Portland, Oregon",FLORIDA-ATLANTIC,PORTLAND,Home,35.7,10,11.8,4,129.0,57.1,12,0.508,66,0.424,28,0.197,13,0.615,8,1,200.0,108.7,20.5,8,22,75,5.8,4,0.439,29.0,0.379,11.0,33.3,20,0.52,6.5,5,37.0,0.459,17.0,0.667,2
2010-11-20,"FAU Arena, Boca Raton, Florida",AMERICAN,FLORIDA-ATLANTIC,Away,42.1,8,13.2,5,112.3,73.3,22,0.352,61,0.311,19,0.59,36,0.806,29,2,200.0,98.6,31.7,13,20,72,5.5,4,0.23,14.0,0.357,5.0,49.3,35,0.461,11.5,10,47.0,0.298,14.0,0.6,3
2010-11-23,"Stephen C. O'Connell Center, Gainesville, Florida",FLORIDA-ATLANTIC,FLORIDA,Home,58.3,14,4.7,2,114.5,52.8,19,0.465,57,0.421,24,0.368,21,0.619,13,3,200.0,95.7,25.0,9,22,66,7.2,5,0.263,15.0,0.333,5.0,38.9,28,0.493,14.2,11,42.0,0.452,19.0,0.5,3
2010-11-27,"Patriot Center, Fairfax, Virginia",FLORIDA-ATLANTIC,GEORGE-MASON,Home,45.0,9,15.8,6,104.8,80.0,16,0.415,53,0.377,20,0.264,14,0.5,7,4,200.0,81.0,29.0,9,22,51,3.2,2,0.321,17.0,0.235,4.0,49.0,25,0.427,16.9,12,36.0,0.444,16.0,0.429,3
2010-11-30,"Humphrey Coliseum, Starkville, Mississippi",FLORIDA-ATLANTIC,MISSISSIPPI-STATE,Away,30.4,7,13.5,5,103.5,66.7,20,0.454,54,0.426,23,0.333,18,0.667,12,4,200.0,107.0,31.3,10,19,61,3.5,2,0.204,11.0,0.273,3.0,48.4,30,0.488,6.1,4,43.0,0.465,20.0,0.5,4
2010-12-04,"FAU Arena, Boca Raton, Florida",SOUTH-FLORIDA,FLORIDA-ATLANTIC,Home,36.8,7,11.8,4,72.4,71.0,22,0.444,45,0.422,19,0.311,14,0.714,10,4,200.0,86.2,36.0,9,15,50,10.3,6,0.2,9.0,0.222,2.0,55.4,31,0.484,23.8,16,36.0,0.472,17.0,0.556,5
2010-12-11,"Mack Sports Complex, Hempstead, New York",FLORIDA-ATLANTIC,HOFSTRA,Away,73.9,17,18.5,5,96.7,84.0,21,0.616,43,0.535,23,0.349,15,0.667,10,4,200.0,103.3,26.3,5,15,63,11.5,7,0.279,12.0,0.583,7.0,59.1,26,0.628,23.2,15,31.0,0.516,16.0,0.6,6
2010-12-13,"Times Union Center , Albany, New York",FLORIDA-ATLANTIC,SIENA,Home,42.9,12,16.7,8,102.9,70.6,24,0.484,62,0.452,28,0.226,14,0.643,9,5,200.0,98.6,31.3,10,19,69,8.6,6,0.339,21.0,0.19,4.0,51.5,34,0.503,13.9,11,41.0,0.585,24.0,0.545,6
2010-12-16,"Trojan Arena, Troy, Alabama",FLORIDA-ATLANTIC,TROY,Away,58.6,17,16.7,8,101.3,58.5,24,0.574,61,0.475,29,0.262,16,0.75,12,5,225.0,107.9,27.3,9,15,82,11.8,9,0.41,25.0,0.48,12.0,44.6,33,0.598,18.1,15,36.0,0.472,17.0,0.583,7
2010-12-19,"Fant-Ewing Coliseum, Monroe, Louisiana",FLORIDA-ATLANTIC,LOUISIANA-MONROE,Away,65.2,15,18.2,6,96.7,59.4,19,0.619,42,0.548,23,0.286,12,0.667,8,5,200.0,100.0,40.0,8,23,60,8.3,5,0.405,17.0,0.353,6.0,51.9,27,0.629,29.7,20,25.0,0.68,17.0,0.615,8
2010-12-22,"Allstate Arena, Rosemont, Illinois",FLORIDA-ATLANTIC,DEPAUL,Home,50.0,12,10.8,4,102.9,80.8,21,0.433,60,0.4,24,0.217,13,0.769,10,6,200.0,89.9,39.4,13,17,62,10.1,7,0.283,17.0,0.235,4.0,57.6,34,0.468,19.6,16,43.0,0.465,20.0,0.571,8
2011-01-06,"FAU Arena, Boca Raton, Florida",SOUTH-ALABAMA,FLORIDA-ATLANTIC,Home,80.0,16,12.8,6,86.4,42.4,14,0.511,47,0.426,20,0.532,25,0.68,17,6,200.0,98.5,24.1,7,12,65,7.6,5,0.468,22.0,0.364,8.0,33.9,21,0.552,17.1,12,25.0,0.48,12.0,0.625,10
2011-01-08,"FAU Arena, Boca Raton, Florida",ARKANSAS-STATE,FLORIDA-ATLANTIC,Home,54.2,13,17.9,7,93.4,64.7,22,0.481,54,0.444,24,0.296,16,0.563,9,6,200.0,100.0,25.8,8,14,61,9.8,6,0.222,12.0,0.333,4.0,46.2,30,0.495,12.8,9,42.0,0.476,20.0,0.647,11
2011-01-11,"FAU Arena, Boca Raton, Florida",MANHATTAN,FLORIDA-ATLANTIC,Home,41.7,10,16.0,8,84.7,52.6,20,0.464,56,0.429,24,0.232,13,0.385,5,6,200.0,96.6,37.9,11,13,57,15.3,9,0.357,20.0,0.2,4.0,46.3,31,0.458,13.9,10,36.0,0.556,20.0,0.667,12
2011-01-13,"Murphy Athletic Center, Murfreesboro, Tennessee",FLORIDA-ATLANTIC,MIDDLE-TENNESSEE,Away,48.0,12,14.6,6,89.7,61.8,21,0.561,49,0.51,25,0.449,22,0.727,16,6,200.0,104.4,28.0,7,23,71,11.8,8,0.306,15.0,0.333,5.0,47.5,28,0.597,20.4,15,34.0,0.588,20.0,0.684,13
2011-01-15,"E.A. Diddle Arena, Bowling Green, Kentucky",FLORIDA-ATLANTIC,WESTERN-KENTUCKY,Away,63.0,17,7.1,3,115.9,60.5,23,0.575,53,0.509,27,0.396,21,0.81,17,6,200.0,123.8,32.0,8,19,78,4.8,3,0.226,12.0,0.583,7.0,49.2,31,0.619,10.1,7,41.0,0.488,20.0,0.7,14
2011-01-22,"FAU Arena, Boca Raton, Florida",ARKANSAS-LITTLE-ROCK,FLORIDA-ATLANTIC,Home,72.4,21,16.1,5,106.0,88.5,23,0.569,58,0.5,29,0.638,37,0.595,22,6,200.0,131.3,38.2,13,21,88,7.5,5,0.328,19.0,0.421,8.0,60.0,36,0.582,6.3,5,39.0,0.538,21.0,0.714,15
2011-01-27,"FAU Arena, Boca Raton, Florida",MIDDLE-TENNESSEE,FLORIDA-ATLANTIC,Home,18.2,4,13.2,5,75.0,82.1,23,0.426,54,0.407,22,0.463,25,0.64,16,6,200.0,91.2,40.5,15,15,62,13.2,9,0.204,11.0,0.182,2.0,58.5,38,0.471,20.7,17,43.0,0.465,20.0,0.727,16
2011-01-29,"FAU Arena, Boca Raton, Florida",WESTERN-KENTUCKY,FLORIDA-ATLANTIC,Away,59.1,13,8.3,3,87.7,75.0,18,0.41,61,0.361,22,0.131,8,0.375,3,7,200.0,81.5,20.6,7,15,53,9.2,6,0.426,26.0,0.231,6.0,43.1,25,0.409,13.4,10,35.0,0.457,16.0,0.696,16
