date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Galen Center, Los Angeles, California",Florida A&M,USC,Home,45.0,9,2.0,1,98.7,61.0,25,0.331,62,0.323,20,0.242,15,0.467,7,1,200,61.5,24.4,10,21,48,12.8,10,0.129,8,0.125,1,42.7,35,0.347,20.8,18,54,0.352,19,0.0,0
2019-11-08,"Stan Sheriff Center, Honolulu, Hawaii",Florida A&M,Hawaii,Home,35.3,6,14.3,5,87.8,66.7,24,0.32,61,0.279,17,0.328,20,0.65,13,2,200,70.3,24.4,10,18,52,12.2,9,0.246,15,0.333,5,44.2,34,0.369,17.7,15,46,0.261,12,0.0,0
2019-11-10,"Stan Sheriff Center, Honolulu, Hawaii",Florida A&M,Pacific,Home,44.4,8,2.4,1,113.4,55.6,15,0.446,46,0.391,18,0.478,22,0.591,13,3,200,80.6,10.3,3,16,54,4.5,3,0.37,17,0.294,5,32.1,18,0.478,21.2,15,29,0.448,13,0.0,0
2019-11-11,"Stan Sheriff Center, Honolulu, Hawaii",South Dakota,Florida A&M,Away,24.1,7,0.0,0,121.4,85.0,17,0.517,59,0.492,29,0.593,35,0.6,21,4,200,117.1,23.7,9,21,82,12.9,9,0.203,12,0.25,3,44.8,26,0.542,8.6,7,47,0.553,26,0.0,0
2019-11-23,"Prudential Center, Newark, New Jersey",Florida A&M,Seton Hall,Home,41.2,7,5.1,2,111.5,64.7,22,0.31,58,0.293,17,0.397,23,0.652,15,5,200,65.4,23.8,10,24,51,11.5,9,0.241,14,0.143,2,42.1,32,0.37,21.8,19,44,0.341,15,0.0,0
2019-12-02,"Bramlage Coliseum, Manhattan, Kansas",Florida A&M,Kansas State,Home,44.0,11,0.0,0,113.4,54.2,13,0.455,56,0.446,25,0.196,11,0.636,7,6,200,86.6,29.0,9,11,58,14.9,10,0.196,11,0.091,1,40.0,22,0.474,20.8,16,45,0.533,24,0.0,0
2019-12-04,"Thompson-Boling Arena, Knoxville, Tennessee",Florida A&M,Tennessee,Home,56.3,9,5.1,2,107.5,55.9,19,0.378,45,0.356,16,0.356,16,0.563,9,7,200,64.2,16.7,5,23,43,13.4,9,0.133,6,0.333,2,37.5,24,0.409,26.7,19,39,0.359,14,0.0,0
2019-12-16,"Chiles Center, Portland, Oregon",Florida A&M,Portland,Home,52.0,13,7.4,2,90.4,87.5,28,0.388,67,0.373,25,0.164,11,0.727,8,8,200,82.2,22.9,8,24,60,5.5,4,0.179,12,0.167,2,53.7,36,0.415,13.3,11,55,0.418,23,0.0,0
2019-12-19,"Beasley Coliseum, Pullman, Washington",Florida A&M,Washington State,Home,17.9,5,2.3,1,111.5,53.3,16,0.483,60,0.467,28,0.35,21,0.714,15,9,200,93.6,14.7,5,20,73,12.8,10,0.083,5,0.4,2,32.8,21,0.522,15.8,13,55,0.473,26,0.0,0
2019-12-21,"Connolly Center, Seattle, Washington",Florida A&M,Seattle,Away,48.1,13,9.5,4,82.6,78.9,30,0.555,55,0.491,27,0.236,13,0.769,10,9,200,102.9,30.4,7,18,71,4.3,3,0.218,12,0.583,7,60.7,37,0.58,18.7,14,43,0.465,20,0.1,1
2019-12-31,"James H. Hilton Coliseum , Ames, Iowa",Florida A&M,Iowa State,Away,34.5,10,8.8,3,101.5,59.3,16,0.544,57,0.509,29,0.263,15,0.533,8,9,200,104.5,34.4,11,16,70,19.4,13,0.123,7,0.571,4,45.8,27,0.546,17.0,13,50,0.5,25,0.182,2
2020-01-04,"McLendon-McDougald Gym, Durham, North Carolina",Florida A&M,North Carolina Central,Home,31.6,6,8.3,3,92.4,81.5,22,0.404,52,0.365,19,0.135,7,0.429,3,10,200,68.2,43.8,14,12,45,9.1,6,0.308,16,0.25,4,61.0,36,0.407,29.5,23,36,0.417,15,0.167,2
2020-01-06,"Ellis Corbett Sports Center, Greensboro, North Carolina",Florida A&M,North Carolina A&T,Home,39.4,13,4.1,2,100.0,70.6,36,0.481,78,0.423,33,0.308,24,0.625,15,11,225,92.8,24.4,11,31,90,8.2,8,0.359,28,0.321,9,49.0,47,0.503,17.7,19,50,0.48,24,0.154,2
2020-01-11,"Al Lawson Center, Tallahassee, Florida",Morgan State,Florida A&M,Home,46.2,12,0.0,0,93.2,51.9,14,0.43,64,0.406,26,0.484,31,0.71,22,11,200,105.5,33.3,12,19,77,13.7,10,0.188,12,0.25,3,41.3,26,0.489,10.4,9,52,0.442,23,0.214,3
2020-01-13,"Al Lawson Center, Tallahassee, Florida",Coppin State,Florida A&M,Home,36.0,9,9.1,2,76.1,92.5,37,0.491,54,0.463,25,0.315,17,0.706,12,11,200,91.5,17.2,5,17,65,4.2,3,0.296,16,0.188,3,60.9,42,0.524,21.7,17,38,0.579,22,0.267,4
2020-01-18,"SHM Memorial Center, Orangeburg, South Carolina",Florida A&M,South Carolina State,Home,57.1,12,5.7,2,115.7,60.9,14,0.436,55,0.382,21,0.455,25,0.68,17,12,200,92.9,24.3,9,22,65,5.7,4,0.255,14,0.429,6,38.3,23,0.486,13.2,10,41,0.366,15,0.25,4
2020-01-20,"Al Lawson Center, Tallahassee, Florida",North Carolina Central,Florida A&M,Home,21.7,5,2.9,1,82.6,75.0,21,0.41,61,0.377,23,0.426,26,0.615,16,12,200,95.7,40.5,15,16,66,11.6,8,0.279,17,0.235,4,55.4,36,0.45,14.2,12,44,0.432,19,0.294,5
2020-01-25,"Burr Gymnasium, Washington, District of Columbia",Florida A&M,Howard,Away,47.1,16,3.2,1,112.2,78.3,18,0.571,63,0.54,34,0.333,21,0.714,15,12,200,117.6,41.9,13,10,87,6.8,5,0.238,15,0.267,4,57.4,31,0.596,14.2,12,48,0.625,30,0.333,6
