date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"Petersen Events Center, Pittsburgh, Pennsylvania",Florida State,Pitt,Home,28.6,6,24.0,6,95.5,67.6,23,0.453,53,0.396,21,0.283,15,0.867,13,1,200,92.4,30.0,9,27,61,6.1,4,0.377,20,0.3,6,50.0,32,0.507,20.1,15,33,0.455,15,0.0,0
2019-11-10,"Stephen C. O'Connell Center, Gainesville, Florida",Florida State,Florida,Away,55.0,11,17.9,5,77.3,76.5,26,0.409,55,0.364,20,0.418,23,0.783,18,1,200,95.5,27.3,9,17,63,12.1,8,0.309,17,0.294,5,52.2,35,0.478,12.1,9,38,0.395,15,0.5,1
2019-11-15,"Donald L. Tucker Center, Tallahassee, Florida",Western Carolina,Florida State,Home,40.0,10,16.2,6,102.8,72.4,21,0.509,55,0.455,25,0.509,28,0.821,23,1,200,109.7,33.3,9,18,79,4.2,3,0.364,20,0.3,6,53.6,30,0.578,17.2,14,35,0.543,19,0.667,2
2019-11-20,"Donald L. Tucker Center, Tallahassee, Florida",Chattanooga,Florida State,Home,58.8,20,14.3,5,74.6,77.8,28,0.6,65,0.523,34,0.262,17,0.647,11,1,200,125.4,33.3,11,7,89,14.1,10,0.385,25,0.4,10,56.5,39,0.609,13.2,11,40,0.6,24,0.75,3
2019-11-23,"Donald L. Tucker Center, Tallahassee, Florida",Saint Francis (PA),Florida State,Home,53.6,15,15.6,5,86.7,75.9,22,0.542,60,0.467,28,0.283,17,0.882,15,1,200,106.7,43.3,13,15,80,14.7,11,0.417,25,0.36,9,59.3,35,0.588,22.0,19,35,0.543,19,0.8,4
2019-11-25,"Donald L. Tucker Center, Tallahassee, Florida",Chicago State,Florida State,Home,55.3,21,7.9,3,73.7,73.7,28,0.741,58,0.655,38,0.534,31,0.871,27,1,200,148.7,63.6,14,23,113,17.1,13,0.397,23,0.435,10,70.0,42,0.777,18.3,16,35,0.8,28,0.833,5
2019-11-29,"The Arena, Niceville, Florida",Tennessee,Florida State,Home,36.8,7,10.0,2,79.2,77.8,21,0.38,54,0.352,19,0.537,29,0.655,19,1,200,83.3,21.2,7,21,60,18.1,13,0.204,11,0.273,3,46.7,28,0.443,16.3,13,43,0.372,16,0.857,6
2019-11-30,"The Arena, Niceville, Florida",Florida State,Purdue,Away,31.8,7,15.8,6,77.9,58.8,20,0.388,58,0.379,22,0.431,25,0.72,18,1,225,81.8,23.7,9,16,63,20.8,16,0.293,17,0.059,1,40.3,29,0.451,15.9,13,41,0.512,21,0.875,7
2019-12-03,"Assembly Hall, Bloomington, Indiana",Florida State,Indiana,Home,28.0,7,6.7,2,115.9,64.3,18,0.538,53,0.472,25,0.302,16,0.438,7,2,200,92.8,23.3,7,24,64,11.6,8,0.358,19,0.368,7,43.1,25,0.528,17.8,13,34,0.529,18,0.778,7
2019-12-08,"Donald L. Tucker Center, Tallahassee, Florida",Clemson,Florida State,Home,64.0,16,34.6,9,79.1,77.4,24,0.602,54,0.463,25,0.185,10,0.7,7,2,200,107.5,29.2,7,14,72,9.0,6,0.593,32,0.469,15,56.4,31,0.613,18.2,13,22,0.455,10,0.8,8
2019-12-17,"Donald L. Tucker Center, Tallahassee, Florida",North Florida,Florida State,Home,48.8,20,18.2,4,106.6,76.7,23,0.611,72,0.569,41,0.194,14,0.714,10,2,200,128.9,40.0,12,13,98,14.5,11,0.264,19,0.316,6,58.3,35,0.623,12.3,11,53,0.66,35,0.818,9
2019-12-21,"BB&T Center, Sunrise, Florida",Florida State,South Florida,Away,72.7,16,24.4,10,82.2,73.9,17,0.464,55,0.4,22,0.345,19,0.789,15,2,200,90.4,27.6,8,17,66,17.8,13,0.491,27,0.259,7,48.1,25,0.515,17.0,13,28,0.536,15,0.833,10
2019-12-28,"Donald L. Tucker Center, Tallahassee, Florida",North Alabama,Florida State,Home,53.1,17,18.8,6,95.9,76.9,20,0.555,64,0.5,32,0.266,17,1.0,17,2,200,118.9,28.6,8,15,88,12.2,9,0.328,21,0.333,7,51.9,28,0.61,14.4,12,43,0.581,25,0.846,11
2019-12-31,"Donald L. Tucker Center, Tallahassee, Florida",Georgia Tech,Florida State,Home,55.2,16,27.3,9,79.5,84.6,22,0.508,63,0.46,29,0.143,9,0.667,6,2,200,95.9,31.0,9,12,70,15.1,11,0.27,17,0.353,6,56.4,31,0.52,15.2,12,46,0.5,23,0.857,12
2020-01-04,"KFC Yum! Center, Louisville, Kentucky",Florida State,Louisville,Away,46.9,15,14.0,6,97.0,57.9,22,0.647,58,0.552,32,0.086,5,0.6,3,2,200,116.4,34.6,9,15,78,9.0,6,0.397,23,0.478,11,48.4,31,0.646,17.8,13,35,0.6,21,0.867,13
2020-01-08,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Florida State,Wake Forest,Away,37.0,10,16.7,5,94.4,73.1,19,0.484,62,0.435,27,0.387,24,0.75,18,2,200,108.3,33.3,11,22,78,13.9,10,0.371,23,0.261,6,50.8,30,0.531,12.1,10,39,0.538,21,0.875,14
2020-01-15,"Donald L. Tucker Center, Tallahassee, Florida",Virginia,Florida State,Home,55.0,11,16.1,5,78.1,85.7,18,0.444,54,0.37,20,0.148,8,0.75,6,2,200,84.4,33.3,10,10,54,15.6,10,0.407,22,0.364,8,54.9,28,0.467,21.8,16,32,0.375,12,0.882,15
2020-01-18,"BankUnited Center, Coral Gables, Florida",Florida State,Miami (FL),Away,72.4,21,26.3,10,96.3,70.0,21,0.493,69,0.42,29,0.261,18,0.833,15,2,225,101.2,31.3,10,20,83,18.3,15,0.406,28,0.357,10,50.0,31,0.535,16.3,15,41,0.463,19,0.889,16
2020-01-25,"Donald L. Tucker Center, Tallahassee, Florida",Notre Dame,Florida State,Home,50.0,15,6.3,2,107.7,70.0,21,0.554,65,0.462,30,0.215,14,0.929,13,2,200,109.0,36.4,12,21,85,11.5,9,0.277,18,0.667,12,52.4,33,0.593,20.2,18,47,0.383,18,0.895,17
2020-01-28,"John Paul Jones Arena, Charlottesville, Virginia",Florida State,Virginia,Home,42.9,9,17.2,5,96.8,81.0,17,0.454,54,0.389,21,0.204,11,0.636,7,3,200,88.9,14.7,5,20,56,14.3,9,0.37,20,0.35,7,40.0,22,0.473,10.6,7,34,0.412,14,0.85,17
2020-02-01,"Cassell Coliseum, Blacksburg, Virginia",Florida State,Virginia Tech,Away,57.1,16,17.9,5,94.0,85.2,23,0.579,57,0.491,28,0.193,11,0.727,8,3,200,110.4,15.4,4,8,74,6.0,4,0.386,22,0.455,10,50.9,27,0.595,11.5,8,35,0.514,18,0.857,18
