date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Matthew Knight Arena, Eugene, Oregon",Fresno State,Oregon,Home,73.7,14,14.9,7,100.0,58.3,21,0.427,55,0.345,19,0.255,14,0.714,10,1,200,80.3,20.0,7,19,57,7.0,5,0.655,36,0.25,9,39.4,28,0.462,21.8,17,19,0.526,10,0.0,0
2019-11-10,"Save Mart Center, Fresno, California",Winthrop,Fresno State,Home,44.0,11,10.3,3,110.4,77.8,28,0.587,52,0.481,25,0.385,20,0.8,16,1,200,114.9,33.3,8,18,77,7.5,5,0.462,24,0.458,11,60.0,36,0.626,18.7,14,28,0.5,14,0.5,1
2019-11-12,"Jenny Craig Pavillion, San Diego, California",Fresno State,San Diego,Home,47.8,11,7.9,3,91.1,83.3,30,0.406,64,0.359,23,0.328,21,0.667,14,2,225,83.5,29.3,12,21,66,6.3,5,0.469,30,0.2,6,54.5,42,0.446,18.8,17,34,0.5,17,0.333,1
2019-11-17,"Save Mart Center, Fresno, California","Cal State San Bernardino
			",Fresno State,Home,64.5,20,15.2,5,61.8,88.9,32,0.597,62,0.5,31,0.565,35,0.514,18,2,200,121.1,34.1,14,23,92,13.2,10,0.468,29,0.414,12,59.7,46,0.585,12.4,11,33,0.576,19,0.5,2
2019-11-20,"Golden 1 Center, Sacramento, California",Saint Mary's,Fresno State,Away,31.8,7,12.1,4,121.4,69.2,18,0.51,52,0.423,22,0.173,9,0.556,5,3,200,103.6,32.0,8,10,58,5.4,3,0.442,23,0.391,9,51.0,26,0.515,16.4,11,29,0.448,13,0.4,2
2019-11-30,"The Matadome, Northridge, California",Fresno State,Cal State Northridge,Home,55.6,15,7.1,2,117.7,81.3,26,0.58,56,0.482,27,0.214,12,0.583,7,4,200,116.1,24.1,7,19,72,3.2,2,0.625,35,0.314,11,54.1,33,0.583,10.3,7,21,0.762,16,0.333,2
2019-12-04,"Save Mart Center, Fresno, California",UNLV,Fresno State,Away,69.6,16,20.0,7,109.5,62.2,23,0.492,61,0.377,23,0.459,28,0.714,20,5,250,108.1,22.0,9,24,80,6.8,5,0.689,42,0.333,14,41.0,32,0.538,9.8,8,19,0.474,9,0.286,2
2019-12-07,"Dee Glen Smith Spectrum, Logan, Utah",Fresno State,Utah State,Home,40.0,10,12.2,5,100.0,74.4,29,0.419,68,0.368,25,0.221,15,0.867,13,6,225,90.9,17.5,7,26,70,9.1,7,0.5,34,0.206,7,45.6,36,0.466,11.8,10,34,0.529,18,0.25,2
2019-12-11,"Haas Pavilion, Berkeley, California",Fresno State,California,Home,27.3,6,8.3,3,113.1,80.8,21,0.455,56,0.393,22,0.321,18,0.667,12,7,200,103.3,41.9,13,18,63,1.6,1,0.339,19,0.368,7,59.6,34,0.488,14.7,11,37,0.405,15,0.222,2
2019-12-14,"Robert A. Mott Gymnasium, San Luis Obispo, California",Fresno State,Cal Poly,Away,56.5,13,9.1,3,57.8,83.8,31,0.5,53,0.434,23,0.226,12,0.75,9,7,200,96.9,45.2,14,16,62,15.6,10,0.453,24,0.292,7,66.2,45,0.528,24.6,19,29,0.552,16,0.3,3
2019-12-20,"Save Mart Center, Fresno, California",IUPUI,Fresno State,Home,65.6,21,3.3,1,90.1,84.4,27,0.556,71,0.451,32,0.239,17,0.941,16,7,200,133.8,48.7,19,20,95,15.5,11,0.549,39,0.385,15,64.8,46,0.601,11.3,10,32,0.531,17,0.364,4
2019-12-23,"Save Mart Center, Fresno, California",San Francisco,Fresno State,Away,44.4,12,25.0,7,107.6,78.8,26,0.525,60,0.45,27,0.217,13,0.462,6,8,200,104.5,44.4,16,18,69,9.1,6,0.45,27,0.333,9,60.9,42,0.521,17.6,14,33,0.545,18,0.333,4
2019-12-28,"Save Mart Center, Fresno, California",UC-Riverside,Fresno State,Away,60.0,12,16.2,6,95.2,56.0,14,0.5,48,0.417,20,0.271,13,0.692,9,9,200,90.5,15.4,4,12,57,4.8,3,0.458,22,0.364,8,35.3,18,0.526,20.7,14,26,0.462,12,0.308,4
2020-01-01,"Viejas Arena, San Diego, California",Fresno State,San Diego State,Home,22.2,4,10.8,4,95.3,75.0,21,0.385,52,0.346,18,0.308,16,0.75,12,10,200,81.3,34.3,12,15,52,7.8,5,0.385,20,0.2,4,52.4,33,0.436,21.3,16,32,0.438,14,0.286,4
2020-01-04,"Save Mart Center, Fresno, California",San Jose State,Fresno State,Home,74.1,20,3.1,1,100.0,75.8,25,0.605,57,0.474,27,0.263,15,0.667,10,10,200,123.4,28.1,9,15,79,6.3,4,0.596,34,0.441,15,52.3,34,0.616,11.2,8,23,0.522,12,0.333,5
2020-01-07,"The Pit, Albuquerque, New Mexico",Fresno State,New Mexico,Home,45.8,11,5.6,2,113.0,78.8,26,0.422,64,0.375,24,0.297,19,0.526,10,11,200,92.8,37.5,15,18,64,5.8,4,0.328,21,0.286,6,56.2,41,0.438,12.1,10,43,0.419,18,0.312,5
2020-01-14,"Save Mart Center, Fresno, California",San Diego State,Fresno State,Away,35.0,7,6.1,2,103.2,80.8,21,0.409,55,0.364,20,0.2,11,0.909,10,12,200,88.7,28.1,9,13,55,6.5,4,0.309,17,0.294,5,51.7,30,0.457,15.5,11,38,0.395,15,0.294,5
2020-01-18,"Arena-Auditorium, Laramie, Wyoming",Fresno State,Wyoming,Away,40.0,8,26.1,6,83.3,69.7,23,0.443,53,0.377,20,0.472,25,0.72,18,12,200,108.3,50.0,15,10,65,8.3,5,0.434,23,0.304,7,60.3,38,0.501,13.5,10,30,0.433,13,0.333,6
2020-01-22,"Moby Arena, Fort Collins, Colorado",Fresno State,Colorado State,Home,48.0,12,6.7,3,128.4,75.9,22,0.492,60,0.417,25,0.167,10,0.9,9,13,200,101.5,21.2,7,15,68,4.5,3,0.433,26,0.346,9,46.8,29,0.525,13.4,10,34,0.471,16,0.316,6
