date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-17,"Agganis Arena, Boston, Massachusetts",George Washington,Boston University,Away,50.0,9,17.1,6,79.7,62.8,30,0.438,48,0.375,18,0.729,35,0.771,27,0,200.0,93.2,41.9,10,22,69,16.2,12,0.333,16.0,0.375,6.0,54.1,40,0.534,24.0,19,32.0,0.375,12.0,1.0,2
2009-11-21,"Charles E. Smith Center, Washington, District of Columbia",UMBC,George Washington,Home,62.9,22,18.6,8,68.0,80.4,38,0.635,63,0.556,35,0.413,26,0.538,14,0,200.0,125.3,56.3,17,17,94,9.3,7,0.333,21.0,0.476,10.0,70.5,55,0.624,19.5,18,42.0,0.595,25.0,1.0,3
2009-11-24,"Charles E. Smith Center, Washington, District of Columbia",Princeton,George Washington,Home,80.0,16,11.5,3,76.9,82.8,26,0.51,48,0.417,20,0.354,17,0.941,16,0,200.0,100.0,41.7,8,12,65,12.3,8,0.333,16.0,0.563,9.0,64.2,34,0.58,26.5,19,32.0,0.344,11.0,1.0,4
2009-11-28,"Charles E. Smith Center, Washington, District of Columbia",Oregon State,George Washington,Away,61.9,13,14.8,4,94.1,76.5,14,0.412,57,0.368,21,0.333,19,0.526,10,1,200.0,83.8,40.5,14,23,57,19.1,13,0.368,21.0,0.238,5.0,51.9,28,0.432,21.6,18,36.0,0.444,16.0,0.8,4
2009-12-02,"Charles E. Smith Center, Washington, District of Columbia",George Mason,George Washington,Home,37.9,11,2.9,1,72.1,64.5,24,0.492,62,0.468,29,0.177,11,0.455,5,1,200.0,97.1,58.1,14,23,66,20.6,14,0.21,13.0,0.231,3.0,61.3,38,0.491,22.1,19,49.0,0.531,26.0,0.833,5
2009-12-06,"Verizon Center, Washington, District of Columbia",George Washington,Navy,Away,53.3,16,18.2,4,87.3,71.0,24,0.508,64,0.469,30,0.313,20,0.8,16,1,200.0,102.5,38.7,10,20,81,13.9,11,0.25,16.0,0.313,5.0,54.8,34,0.551,19.8,17,48.0,0.521,25.0,0.857,6
2009-12-09,"Charles E. Smith Center, Washington, District of Columbia",Providence,George Washington,Away,65.8,25,5.6,2,142.9,33.3,15,0.519,81,0.469,38,0.296,24,0.542,13,2,200.0,126.0,49.0,17,21,97,3.9,3,0.235,19.0,0.421,8.0,43.8,32,0.525,8.9,9,62.0,0.484,30.0,0.75,6
2009-12-12,"Towson Center, Towson, Maryland",George Washington,Towson,Away,44.0,11,14.7,5,98.6,59.0,25,0.54,50,0.5,25,0.6,30,0.633,19,2,200.0,104.3,37.5,10,25,73,12.9,9,0.22,11.0,0.364,4.0,49.3,35,0.568,22.2,18,39.0,0.538,21.0,0.778,7
2009-12-22,"Williams Arena at Minges Coliseum, Greenville, North Carolina",George Washington,East Carolina,Away,60.0,18,12.5,5,100.0,65.7,26,0.465,72,0.417,30,0.375,27,0.63,17,2,225.0,105.0,46.7,18,26,84,13.8,11,0.236,17.0,0.412,7.0,55.0,44,0.495,16.0,16,55.0,0.418,23.0,0.8,8
2009-12-28,"Hart Recreation Center, Worcester, Massachusetts",George Washington,Holy Cross,Away,44.0,11,8.6,3,98.6,68.8,23,0.429,63,0.397,25,0.381,24,0.667,16,2,200.0,101.4,37.1,12,22,70,4.3,3,0.317,20.0,0.2,4.0,52.2,35,0.47,9.8,7,43.0,0.488,21.0,0.818,9
