date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-12,"RBC Center, Raleigh, North Carolina",Georgia State,NC State,Home,59.1,13,3.0,1,109.5,63.6,22,0.398,59,0.373,22,0.203,12,0.5,6,1,200.0,84.1,35.0,13,23,53,7.9,5,0.271,16.0,0.188,3.0,47.9,35,0.41,15.7,12,43.0,0.442,19.0,0.0,0
2009-11-20,"Ocean Center, Daytona Beach, Florida",Drake,Georgia State,Away,55.0,11,5.0,1,106.6,73.3,12,0.361,61,0.328,20,0.344,21,0.667,14,2,200.0,95.1,59.1,25,13,58,16.4,10,0.18,11.0,0.364,4.0,62.7,37,0.409,19.5,17,50.0,0.32,16.0,0.333,1
2009-11-21,"Ocean Center, Daytona Beach, Florida",Georgia State,Howard,Away,39.1,9,12.5,4,50.0,83.3,26,0.408,60,0.383,23,0.233,14,0.571,8,2,200.0,86.4,45.7,15,19,57,7.6,5,0.133,8.0,0.375,3.0,63.1,41,0.428,20.4,17,52.0,0.385,20.0,0.5,2
2009-11-22,"Ocean Center, Daytona Beach, Florida",IUPUI,Georgia State,Away,42.9,9,10.8,4,100.0,61.3,21,0.434,53,0.396,21,0.245,13,0.769,10,3,225.0,83.6,46.7,12,21,56,9.0,6,0.321,17.0,0.235,4.0,54.1,33,0.473,27.3,22,36.0,0.472,17.0,0.4,2
2009-11-26,"Mitchell Center, Mobile, Alabama",Georgia State,South Alabama,Home,37.0,10,7.0,3,106.1,57.1,20,0.578,51,0.529,27,0.255,13,0.538,7,4,200.0,100.0,24.0,6,24,66,12.1,8,0.412,21.0,0.238,5.0,43.3,26,0.577,19.8,14,30.0,0.733,22.0,0.429,3
2009-11-30,"GSU Sports Arena, Atlanta, Georgia",Jacksonville,Georgia State,Home,59.1,13,8.9,4,83.1,53.5,24,0.545,44,0.5,22,0.545,24,0.667,16,4,200.0,98.5,33.3,7,16,64,10.8,7,0.182,8.0,0.5,4.0,46.3,31,0.578,23.8,15,36.0,0.5,18.0,0.5,4
2009-12-05,"JMU Convocation Center, Harrisonburg, Virginia",Georgia State,James Madison,Away,56.3,9,3.4,1,73.3,62.1,22,0.37,46,0.348,16,0.478,22,0.682,15,4,200.0,81.7,53.6,11,21,49,16.7,10,0.239,11.0,0.182,2.0,57.9,33,0.434,25.4,19,35.0,0.4,14.0,0.556,5
2009-12-15,"Donald L. Tucker Center, Tallahassee, Florida",Georgia State,Florida State,Home,27.8,5,6.3,2,103.3,46.2,12,0.375,56,0.321,18,0.339,19,0.684,13,6,200.0,91.7,50.0,17,21,55,13.3,8,0.411,23.0,0.261,6.0,48.3,29,0.423,14.6,11,33.0,0.364,12.0,0.455,5
2009-12-19,"GSU Sports Arena, Atlanta, Georgia",Eastern Michigan,Georgia State,Home,43.5,10,15.2,5,104.8,38.7,14,0.5,52,0.442,23,0.365,19,0.737,14,6,200.0,106.5,36.0,7,23,66,1.6,1,0.308,16.0,0.375,6.0,37.5,21,0.541,14.2,10,36.0,0.472,17.0,0.5,6
2010-01-02,"GSU Sports Arena, Atlanta, Georgia",Towson,Georgia State,Home,53.8,14,20.5,8,95.3,55.0,24,0.5,55,0.473,26,0.418,23,0.652,15,6,200.0,109.4,53.6,13,20,70,14.1,9,0.2,11.0,0.273,3.0,54.4,37,0.531,15.6,12,44.0,0.523,23.0,0.571,8
2010-01-04,"GSU Sports Arena, Atlanta, Georgia",Drexel,Georgia State,Away,25.0,5,8.8,3,126.3,52.2,16,0.452,52,0.385,20,0.269,14,0.714,10,7,200.0,100.0,41.4,8,21,57,5.3,3,0.173,9.0,0.778,7.0,46.2,24,0.486,15.9,11,43.0,0.302,13.0,0.533,8
2010-01-06,"Trask Coliseum, Wilmington, North Carolina",Georgia State,UNC Wilmington,Home,20.0,4,12.1,4,85.1,53.3,20,0.331,62,0.323,20,0.258,16,0.563,9,8,200.0,74.6,33.3,11,17,50,22.4,15,0.177,11.0,0.091,1.0,41.3,31,0.359,14.8,12,51.0,0.373,19.0,0.5,8
2010-01-09,"GSU Sports Arena, Atlanta, Georgia",Northeastern,Georgia State,Away,43.5,10,11.1,3,115.8,57.1,16,0.471,51,0.451,23,0.176,9,0.667,6,9,200.0,94.7,40.7,7,21,54,14.0,8,0.157,8.0,0.25,2.0,47.9,23,0.488,17.9,11,43.0,0.488,21.0,0.471,8
2010-01-13,"Patriot Center, Fairfax, Virginia",Georgia State,George Mason,Home,42.9,9,17.9,5,92.9,71.0,24,0.441,51,0.412,21,0.118,6,0.667,4,10,200.0,87.5,50.0,11,16,49,3.6,2,0.275,14.0,0.214,3.0,61.4,35,0.455,20.7,12,37.0,0.486,18.0,0.444,8
2010-01-16,"GSU Sports Arena, Atlanta, Georgia",VCU,Georgia State,Away,64.3,18,3.3,1,130.2,50.0,10,0.484,62,0.452,28,0.177,11,0.818,9,11,200.0,109.5,36.4,11,16,69,12.7,8,0.161,10.0,0.4,4.0,41.2,21,0.513,11.9,8,52.0,0.462,24.0,0.421,8
2010-01-20,"GSU Sports Arena, Atlanta, Georgia",UNC Wilmington,Georgia State,Home,29.6,8,7.4,2,107.2,64.7,22,0.547,53,0.509,27,0.604,32,0.656,21,11,200.0,114.5,37.9,11,21,79,11.6,8,0.17,9.0,0.444,4.0,52.4,33,0.579,14.1,11,44.0,0.523,23.0,0.45,9
2010-01-23,"Bob Carpenter Center, Newark, Delaware",Georgia State,Delaware,Home,44.8,13,5.9,2,122.6,65.4,18,0.5,65,0.446,29,0.169,11,0.818,9,12,225.0,119.4,52.9,17,17,74,6.5,4,0.262,17.0,0.412,7.0,58.3,35,0.527,11.4,9,48.0,0.458,22.0,0.429,9
2010-01-28,"Ted Constant Convocation Ctr., Norfolk, Virginia",Georgia State,Old Dominion,Home,52.9,9,2.7,1,96.6,48.4,16,0.396,48,0.354,17,0.063,3,0.667,2,13,200.0,69.0,25.0,6,15,40,8.6,5,0.292,14.0,0.286,4.0,37.3,22,0.405,24.5,16,34.0,0.382,13.0,0.409,9
2010-01-30,"Alltel Pavilion at the Stuart C. Siegel Center, Richmond, Virginia",Georgia State,VCU,Home,58.3,14,5.6,2,114.7,46.2,16,0.413,63,0.381,24,0.27,17,0.588,10,14,200.0,91.2,42.9,14,31,62,23.5,16,0.175,11.0,0.364,4.0,44.1,30,0.436,16.6,14,52.0,0.385,20.0,0.391,9
2010-02-03,"GSU Sports Arena, Atlanta, Georgia",George Mason,Georgia State,Home,71.4,15,10.3,4,90.5,68.8,23,0.433,52,0.404,21,0.404,21,0.762,16,14,200.0,96.8,36.7,10,12,61,7.9,5,0.154,8.0,0.375,3.0,53.2,33,0.492,16.4,11,44.0,0.409,18.0,0.417,10
2010-02-06,"GSU Sports Arena, Atlanta, Georgia",William & Mary,Georgia State,Away,68.2,15,4.3,1,103.5,72.4,22,0.452,52,0.423,22,0.269,14,0.643,9,15,200.0,98.2,26.7,7,15,56,8.8,5,0.212,11.0,0.273,3.0,49.2,29,0.477,10.7,7,41.0,0.463,19.0,0.4,10
2010-02-10,"Matthews Arena, Boston, Massachusetts",Georgia State,Northeastern,Home,40.0,8,7.7,2,103.3,78.3,20,0.415,53,0.377,20,0.208,11,0.818,9,16,200.0,88.3,41.4,10,18,53,10.0,6,0.283,15.0,0.267,4.0,57.7,30,0.455,20.6,15,38.0,0.421,16.0,0.385,10
2010-02-13,"Towson Center, Towson, Maryland",Georgia State,Towson,Home,65.4,17,2.2,1,105.7,56.0,16,0.491,57,0.456,26,0.281,16,0.813,13,17,225.0,98.6,48.3,12,19,69,11.4,8,0.211,12.0,0.333,4.0,51.9,28,0.534,22.9,19,45.0,0.489,22.0,0.37,10
2010-02-16,"GSU Sports Arena, Atlanta, Georgia",James Madison,Georgia State,Home,30.8,8,16.2,6,112.5,61.5,16,0.483,59,0.441,26,0.492,29,0.69,20,17,200.0,120.3,50.0,16,16,77,9.4,6,0.254,15.0,0.333,5.0,55.2,32,0.529,10.0,8,44.0,0.477,21.0,0.393,11
2010-02-23,"GSU Sports Arena, Atlanta, Georgia",Old Dominion,Georgia State,Away,32.0,8,8.6,3,113.6,69.6,19,0.459,61,0.41,25,0.18,11,0.545,6,18,200.0,93.9,37.8,11,21,62,9.1,6,0.18,11.0,0.545,6.0,50.0,30,0.468,17.5,14,50.0,0.38,19.0,0.4,12
2010-11-16,"Burton Coliseum, Lake Charles, Louisiana",Georgia State,McNeese State,Home,57.1,12,8.1,3,106.3,65.5,19,0.511,45,0.467,21,0.6,27,0.593,16,1,200.0,96.9,41.7,10,24,62,9.4,6,0.289,13.0,0.308,4.0,54.7,29,0.536,24.0,18,32.0,0.531,17.0,0.0,0
2010-11-19,"GSU Sports Arena, Atlanta, Georgia",Troy,Georgia State,Home,66.7,18,6.7,2,95.9,71.1,27,0.58,56,0.482,27,0.446,25,0.6,15,1,200.0,109.6,37.9,11,27,80,9.6,7,0.411,23.0,0.478,11.0,56.7,38,0.589,18.3,15,33.0,0.485,16.0,0.5,1
2010-11-23,"GSU Sports Arena, Atlanta, Georgia",Utah Valley,Georgia State,Home,50.0,12,17.9,5,86.2,80.0,20,0.5,54,0.444,24,0.407,22,0.682,15,1,200.0,106.2,41.2,14,19,69,13.8,9,0.259,14.0,0.429,6.0,57.6,34,0.535,19.1,15,40.0,0.45,18.0,0.667,2
2010-11-27,"GSU Sports Arena, Atlanta, Georgia",Samford,Georgia State,Away,59.1,13,14.8,4,98.6,92.6,25,0.413,63,0.349,22,0.27,17,0.529,9,2,225.0,85.9,23.8,10,28,61,5.6,4,0.365,23.0,0.348,8.0,50.7,35,0.429,13.5,11,40.0,0.35,14.0,0.5,2
2010-11-30,"Convocation Center, Hampton, Virginia",Georgia State,Hampton,Home,45.5,10,14.3,4,87.0,75.0,24,0.412,57,0.386,22,0.351,20,0.45,9,3,225.0,81.2,33.3,12,26,56,2.9,2,0.263,15.0,0.2,3.0,52.9,36,0.421,20.5,17,42.0,0.452,19.0,0.4,2
2010-12-04,"GSU Sports Arena, Atlanta, Georgia",James Madison,Georgia State,Home,53.8,14,20.9,9,82.9,69.0,29,0.466,58,0.448,26,0.345,20,0.5,10,3,200.0,84.2,30.6,11,23,64,17.1,13,0.155,9.0,0.222,2.0,51.3,40,0.474,19.3,16,49.0,0.49,24.0,0.5,3
2010-12-11,"GSU Sports Arena, Atlanta, Georgia",Western Michigan,Georgia State,Away,50.0,12,13.0,6,88.4,74.3,26,0.482,55,0.436,24,0.2,11,0.545,6,4,200.0,85.5,22.2,6,18,59,5.8,4,0.164,9.0,0.556,5.0,51.6,32,0.49,20.0,15,46.0,0.413,19.0,0.429,3
2010-12-18,"GSU Sports Arena, Atlanta, Georgia",Florida A&M,Georgia State,Home,52.0,13,18.4,7,84.8,70.6,24,0.452,62,0.403,25,0.565,35,0.571,20,4,200.0,96.2,46.2,18,23,76,12.7,10,0.242,15.0,0.4,6.0,57.5,42,0.483,17.1,16,47.0,0.404,19.0,0.5,4
2010-12-22,"Hanner Fieldhouse, Statesboro, Georgia",Georgia State,Georgia Southern,Home,57.1,16,5.0,2,104.2,71.4,20,0.564,55,0.509,28,0.345,19,0.526,10,5,225.0,101.4,39.3,11,19,72,12.7,9,0.4,22.0,0.273,6.0,55.4,31,0.562,24.9,21,33.0,0.667,22.0,0.444,4
2010-12-29,"The McKenzie Arena, Chattanooga, Tennessee",Georgia State,Texas A&M-Corpus Christi,Away,71.4,20,14.3,4,70.0,60.6,20,0.613,53,0.528,28,0.245,13,0.538,7,5,200.0,120.0,45.8,11,21,72,11.7,7,0.377,20.0,0.45,9.0,54.4,31,0.608,17.0,12,33.0,0.576,19.0,0.5,5
2010-12-30,"The McKenzie Arena, Chattanooga, Tennessee",Georgia State,Chattanooga,Away,73.3,22,8.3,2,111.8,66.7,24,0.636,55,0.545,30,0.364,20,0.55,11,5,200.0,119.1,30.0,9,20,81,7.4,5,0.436,24.0,0.417,10.0,50.0,33,0.628,15.8,12,31.0,0.645,20.0,0.545,6
2011-01-03,"GSU Sports Arena, Atlanta, Georgia",VCU,Georgia State,Home,48.1,13,14.7,5,88.0,81.3,26,0.519,53,0.509,27,0.566,30,0.7,21,5,200.0,101.3,44.0,11,17,76,5.3,4,0.151,8.0,0.125,1.0,64.9,37,0.565,20.4,17,45.0,0.578,26.0,0.583,7
2011-01-05,"Trask Coliseum, Wilmington, North Carolina",Georgia State,UNC Wilmington,Home,42.9,9,21.4,6,100.0,77.4,24,0.446,56,0.375,21,0.321,18,0.333,6,6,200.0,94.9,29.3,12,17,56,6.8,4,0.321,18.0,0.444,8.0,50.0,36,0.434,9.9,7,38.0,0.342,13.0,0.538,7
