date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-14,"McCarthey Athletic Center, Spokane, Washington",MISSISSIPPI-VALLEY-STATE,GONZAGA,Home,53.3,16,13.9,5,94.9,77.8,28,0.62,54,0.556,30,0.704,38,0.658,25,0,200.0,117.9,44.0,11,19,92,7.7,6,0.37,20.0,0.35,7.0,63.9,39,0.638,19.4,17,34.0,0.676,23.0,1.0,1
2009-11-17,"Breslin Events Center, East Lansing, Michigan",GONZAGA,MICHIGAN-STATE,Home,48.0,12,6.5,3,97.4,53.6,20,0.386,70,0.357,25,0.3,21,0.81,17,1,200.0,92.2,33.3,10,24,71,11.7,9,0.257,18.0,0.222,4.0,41.1,30,0.444,12.2,11,52.0,0.404,21.0,0.5,1
2009-11-20,"McCarthey Athletic Center, Spokane, Washington",IPFW,GONZAGA,Home,40.6,13,13.0,6,70.5,73.2,42,0.706,51,0.627,32,0.667,34,0.529,18,1,200.0,115.4,28.0,6,23,90,11.5,9,0.314,16.0,0.5,8.0,59.3,48,0.67,21.4,18,35.0,0.686,24.0,0.667,2
2009-11-23,"Lahaina Civic Center, Lahaina, Hawaii",GONZAGA,COLORADO,Away,40.9,9,2.9,1,107.5,82.6,20,0.521,47,0.468,22,0.787,37,0.73,27,1,200.0,113.4,35.7,9,17,76,10.4,7,0.255,12.0,0.417,5.0,56.9,29,0.588,14.8,11,35.0,0.486,17.0,0.75,3
2009-11-24,"Lahaina Civic Center, Lahaina, Hawaii",GONZAGA,WISCONSIN,Away,40.0,10,2.9,1,93.8,73.0,28,0.5,53,0.472,25,0.472,25,0.84,21,1,200.0,113.8,32.0,7,18,74,6.2,4,0.208,11.0,0.273,3.0,56.5,35,0.57,11.1,7,42.0,0.524,22.0,0.8,4
2009-11-25,"Lahaina Civic Center, Lahaina, Hawaii",GONZAGA,CINCINNATI,Away,45.0,9,11.8,4,88.1,77.5,32,0.479,47,0.426,20,0.489,23,0.696,16,1,225.0,91.0,18.5,4,16,61,4.5,3,0.319,15.0,0.333,5.0,53.7,36,0.527,18.5,13,32.0,0.469,15.0,0.833,5
2009-12-02,"McCarthey Athletic Center, Spokane, Washington",WASHINGTON-STATE,GONZAGA,Home,56.5,13,10.2,5,97.2,58.5,25,0.564,47,0.489,23,0.617,29,0.724,21,1,200.0,104.2,34.6,8,18,74,14.1,10,0.34,16.0,0.438,7.0,49.3,33,0.609,24.1,18,31.0,0.516,16.0,0.857,6
2009-12-05,"McCarthey Athletic Center, Spokane, Washington",WAKE-FOREST,GONZAGA,Away,56.5,13,6.3,3,111.6,57.9,25,0.529,51,0.451,23,0.667,34,0.618,21,2,200.0,108.7,28.1,6,20,75,5.8,4,0.353,18.0,0.444,8.0,44.3,31,0.558,13.2,10,33.0,0.455,15.0,0.75,6
2009-12-12,"KeyArena, Seattle, Washington",GONZAGA,DAVIDSON,Away,39.3,11,8.3,3,116.7,71.0,22,0.705,44,0.636,28,1.227,54,0.759,41,2,200.0,132.1,26.3,5,20,103,6.4,5,0.273,12.0,0.5,6.0,54.0,27,0.739,17.1,14,32.0,0.688,22.0,0.8,8
2009-12-19,"Madison Square Garden (IV), New York, New York",DUKE,GONZAGA,Away,53.3,8,4.8,2,105.6,64.3,21,0.287,54,0.278,15,0.389,21,0.476,10,3,200.0,56.9,26.2,8,19,41,12.5,9,0.185,10.0,0.1,1.0,41.4,29,0.32,22.2,18,44.0,0.318,14.0,0.727,8
