date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Hart Recreation Center, Worcester, Massachusetts",HARVARD,HOLY-CROSS,Away,65.5,19,9.1,3,122.5,72.4,23,0.5,63,0.46,29,0.302,19,0.737,14,1,200.0,108.5,33.3,8,24,77,7.0,5,0.302,19.0,0.263,5.0,52.5,31,0.535,12.3,10,44.0,0.545,24.0,0.0,0
2009-11-17,"Hagan Arena, Philadelphia, Pennsylvania",HOLY-CROSS,SAINT-JOSEPHS,Home,50.0,14,7.3,3,98.6,71.0,27,0.425,73,0.384,28,0.11,8,0.625,5,2,200.0,95.7,52.4,17,18,67,5.7,4,0.301,22.0,0.273,6.0,60.3,44,0.436,17.3,16,51.0,0.431,22.0,0.0,0
2009-11-20,"Hart Recreation Center, Worcester, Massachusetts",LOYOLA-IL,HOLY-CROSS,Away,83.3,20,12.5,5,108.6,59.4,20,0.5,56,0.429,24,0.5,28,0.607,17,3,200.0,104.3,34.3,11,18,73,10.0,7,0.339,19.0,0.421,8.0,46.3,31,0.527,14.9,12,37.0,0.432,16.0,0.0,0
2009-11-22,"Thomas M. Ryan Center, Kingston, Rhode Island",HOLY-CROSS,RHODE-ISLAND,Home,39.3,11,4.1,2,126.0,59.4,20,0.508,60,0.467,28,0.433,26,0.538,14,4,200.0,102.7,29.4,9,16,75,4.1,3,0.25,15.0,0.333,5.0,43.9,29,0.518,12.3,10,45.0,0.511,23.0,0.0,0
2009-11-25,"Thomas & Mack Center, Las Vegas, Nevada",HOLY-CROSS,NEVADA-LAS-VEGAS,Home,52.9,9,6.7,3,112.7,62.5,26,0.433,45,0.378,17,0.689,31,0.645,20,5,200.0,83.1,43.3,12,19,59,2.8,2,0.267,12.0,0.417,5.0,54.3,38,0.494,29.0,23,33.0,0.364,12.0,0.0,0
2009-11-30,"Hart Recreation Center, Worcester, Massachusetts",MARIST,HOLY-CROSS,Home,72.7,16,2.5,1,88.9,74.3,27,0.632,38,0.579,22,0.605,23,0.87,20,6,200.0,107.9,28.6,3,14,68,4.8,3,0.316,12.0,0.333,4.0,61.2,30,0.695,27.2,18,26.0,0.692,18.0,0.143,1
2009-12-02,"Pizzitola Sports Center, Providence, Rhode Island",HOLY-CROSS,BROWN,Away,35.7,10,11.4,4,100.0,82.4,29,0.477,64,0.438,28,0.469,30,0.8,24,6,225.0,107.6,29.4,9,23,85,6.3,5,0.234,15.0,0.333,5.0,55.9,38,0.543,10.4,9,49.0,0.469,23.0,0.25,2
2009-12-05,"DCU Center, Worcester, Massachusetts",MASSACHUSETTS,HOLY-CROSS,Away,47.6,10,5.6,2,120.0,70.4,20,0.381,59,0.356,21,0.492,29,0.621,18,7,200.0,90.0,23.8,9,15,63,7.1,5,0.136,8.0,0.375,3.0,42.0,29,0.433,8.9,7,51.0,0.353,18.0,0.222,2
2009-12-22,"Hart Recreation Center, Worcester, Massachusetts",SACRED-HEART,HOLY-CROSS,Away,48.3,14,5.4,3,109.3,54.3,22,0.485,66,0.439,29,0.288,19,0.789,15,9,200.0,105.3,62.9,19,20,79,6.7,5,0.182,12.0,0.5,6.0,58.6,41,0.526,23.6,23,54.0,0.426,23.0,0.182,2
2009-12-28,"Hart Recreation Center, Worcester, Massachusetts",GEORGE-WASHINGTON,HOLY-CROSS,Away,68.2,15,7.0,3,101.4,62.9,24,0.5,53,0.415,22,0.528,28,0.536,15,10,200.0,98.6,31.3,8,19,68,2.9,2,0.34,18.0,0.5,9.0,47.8,32,0.513,16.6,13,35.0,0.371,13.0,0.167,2
2009-12-31,"Pritchard Gymnasium, Stony Brook, New York",HOLY-CROSS,STONY-BROOK,Home,45.5,10,2.4,1,103.0,66.7,28,0.48,51,0.431,22,0.333,17,0.647,11,11,200.0,89.6,36.7,9,19,60,3.0,2,0.294,15.0,0.333,5.0,53.6,37,0.508,23.5,18,36.0,0.472,17.0,0.154,2
2010-01-02,"Mohegan Sun Arena, Uncasville, Connecticut",HOLY-CROSS,CENTRAL-CONNECTICUT-STATE,Away,31.0,9,17.1,7,82.8,66.7,26,0.585,53,0.547,29,0.283,15,0.533,8,11,200.0,109.4,40.0,10,21,70,3.1,2,0.245,13.0,0.308,4.0,56.3,36,0.582,19.0,14,40.0,0.625,25.0,0.214,3
2010-01-06,"RBC Center, Raleigh, North Carolina",HOLY-CROSS,NORTH-CAROLINA-STATE,Home,71.4,15,4.9,2,126.1,63.0,20,0.456,57,0.368,21,0.421,24,0.75,18,12,200.0,101.4,43.2,13,12,70,4.3,3,0.298,17.0,0.588,10.0,51.6,33,0.512,20.1,16,40.0,0.275,11.0,0.2,3
2010-01-09,"Kirby Sports Center, Easton, Pennsylvania",HOLY-CROSS,LAFAYETTE,Home,36.7,11,4.3,2,118.3,63.3,24,0.471,69,0.435,30,0.232,16,0.563,9,13,200.0,104.2,42.9,13,23,74,5.6,4,0.246,17.0,0.294,5.0,51.4,37,0.483,13.6,12,52.0,0.481,25.0,0.188,3
2010-01-13,"Hart Recreation Center, Worcester, Massachusetts",ARMY,HOLY-CROSS,Away,60.0,12,4.8,2,106.3,67.6,23,0.469,48,0.417,20,0.5,24,0.792,19,14,200.0,101.6,48.1,13,10,64,6.3,4,0.313,15.0,0.333,5.0,59.0,36,0.539,22.5,17,33.0,0.455,15.0,0.176,3
2010-01-16,"Hart Recreation Center, Worcester, Massachusetts",BUCKNELL,HOLY-CROSS,Home,57.7,15,2.6,1,104.5,83.3,22,0.58,50,0.52,26,0.6,30,0.8,24,14,200.0,124.2,44.0,9,10,82,7.6,5,0.22,11.0,0.545,6.0,63.3,31,0.638,16.0,12,39.0,0.513,20.0,0.222,4
2010-01-20,"Hart Recreation Center, Worcester, Massachusetts",NAVY,HOLY-CROSS,Home,62.1,18,2.3,1,92.3,63.9,24,0.67,47,0.617,29,0.574,27,0.593,16,14,200.0,121.5,47.8,10,16,79,6.2,4,0.191,9.0,0.556,5.0,57.6,34,0.66,22.4,17,38.0,0.632,24.0,0.263,5
