date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-14,"Tom Gola Arena, Philadelphia, Pennsylvania",Hampton,La Salle,Home,58.1,18,7.9,3,110.7,53.1,19,0.515,68,0.456,31,0.25,17,0.588,10,1,200.0,106.7,38.2,11,23,80,17.3,13,0.324,22.0,0.364,8.0,45.5,30,0.526,14.7,13,46.0,0.5,23.0,0.0,0
2009-11-23,"Convocation Center, Hampton, Virginia",VCU,Hampton,Away,59.1,13,16.1,5,90.0,65.8,27,0.371,62,0.355,22,0.258,16,0.375,6,3,200.0,74.3,31.7,11,20,52,14.3,10,0.258,16.0,0.125,2.0,48.1,38,0.374,16.9,14,46.0,0.435,20.0,0.0,0
2009-11-25,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",Hampton,William & Mary,Home,52.2,12,20.0,3,110.7,56.5,13,0.564,47,0.489,23,0.234,11,0.727,8,4,200.0,108.9,26.1,6,12,61,19.6,11,0.34,16.0,0.438,7.0,41.3,19,0.584,16.2,9,31.0,0.516,16.0,0.0,0
2009-11-27,"Arena-Auditorium, Laramie, Wyoming",Pepperdine,Hampton,Away,58.8,10,9.1,3,100.0,75.0,22,0.382,55,0.309,17,0.6,33,0.727,24,5,200.0,88.0,30.0,11,26,66,12.0,9,0.545,30.0,0.267,8.0,48.5,33,0.467,18.7,16,25.0,0.36,9.0,0.0,0
2009-11-28,"Arena-Auditorium, Laramie, Wyoming",Hampton,Wyoming,Away,66.7,18,15.8,6,85.9,59.5,24,0.535,57,0.474,27,0.509,29,0.586,17,5,200.0,100.0,22.9,6,27,78,14.1,11,0.333,19.0,0.368,7.0,41.7,30,0.551,16.7,14,38.0,0.526,20.0,0.167,1
2009-11-29,"Arena-Auditorium, Laramie, Wyoming",Hampton,Monmouth,Away,45.5,10,14.0,6,82.4,55.3,24,0.411,56,0.393,22,0.339,19,0.684,13,5,200.0,86.8,38.7,9,11,59,17.6,12,0.268,15.0,0.133,2.0,47.8,33,0.454,18.9,15,41.0,0.488,20.0,0.286,2
2009-12-02,"Sun Dome, Tampa, Florida",Hampton,South Florida,Home,57.9,11,4.7,2,110.4,62.2,23,0.439,49,0.388,19,0.592,29,0.414,12,6,200.0,82.1,30.0,9,14,55,4.5,3,0.347,17.0,0.294,5.0,47.8,32,0.438,18.5,14,32.0,0.438,14.0,0.25,2
2009-12-05,"Madison Square Garden (IV), New York, New York",Howard,Hampton,Away,42.9,9,14.6,6,84.8,52.3,23,0.489,47,0.447,21,0.298,14,0.571,8,7,200.0,81.8,36.4,8,23,54,19.7,13,0.234,11.0,0.364,4.0,47.0,31,0.503,27.3,20,36.0,0.472,17.0,0.222,2
2009-12-09,"Bob Carpenter Center, Newark, Delaware",Hampton,Delaware,Home,56.3,9,20.0,6,87.3,48.5,22,0.415,47,0.34,16,0.362,17,0.765,13,8,200.0,82.5,39.3,5,17,52,14.3,9,0.362,17.0,0.412,7.0,44.3,27,0.472,25.9,19,30.0,0.3,9.0,0.2,2
2009-12-20,"Towson Center, Towson, Maryland",Hampton,Towson,Home,46.4,13,10.2,5,109.3,50.0,19,0.429,70,0.4,28,0.357,25,0.56,14,9,200.0,98.7,37.0,14,23,74,12.0,9,0.314,22.0,0.182,4.0,42.3,33,0.452,11.0,10,48.0,0.5,24.0,0.182,2
2009-12-23,"John Paul Jones Arena, Charlottesville, Virginia",Hampton,Virginia,Home,35.0,7,10.8,4,133.3,37.0,12,0.426,54,0.37,20,0.222,12,0.667,8,10,200.0,90.0,37.5,10,12,54,10.0,6,0.389,21.0,0.286,6.0,37.3,22,0.452,18.0,13,33.0,0.424,14.0,0.167,2
