date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Arena at Harbor Yard, Bridgeport, Connecticut",Quinnipiac,Hartford,Away,25.0,6,7.1,3,114.9,62.5,20,0.51,51,0.471,24,0.608,31,0.71,22,1,200.0,100.0,31.0,9,31,74,8.1,6,0.255,13.0,0.308,4.0,47.5,29,0.563,19.8,16,38.0,0.526,20.0,0.0,0
2009-11-15,"Ferrell Center, Waco, Texas",Hartford,Baylor,Home,77.3,17,0.0,0,118.3,50.0,15,0.528,54,0.407,22,0.296,16,0.75,12,2,200.0,115.0,31.0,8,15,69,6.7,4,0.611,33.0,0.394,13.0,40.4,23,0.56,11.6,8,21.0,0.429,9.0,0.0,0
2009-11-18,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Marist,Hartford,Home,64.3,18,14.8,4,60.3,69.0,30,0.63,54,0.519,28,0.185,10,0.7,7,2,200.0,119.0,32.0,7,17,75,12.7,8,0.463,25.0,0.48,12.0,55.2,37,0.638,17.0,12,29.0,0.552,16.0,0.333,1
2009-11-21,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Fordham,Hartford,Home,57.1,12,3.0,1,91.2,79.3,25,0.48,50,0.42,21,0.6,30,0.733,22,2,200.0,102.9,34.4,9,20,70,5.9,4,0.3,15.0,0.4,6.0,55.7,34,0.545,19.2,15,35.0,0.429,15.0,0.5,2
2009-11-24,"Kirby Sports Center, Easton, Pennsylvania",Hartford,Lafayette,Home,23.5,8,8.7,2,128.4,60.9,14,0.594,64,0.531,34,0.266,17,0.353,6,3,200.0,122.4,31.4,11,28,82,7.5,5,0.266,17.0,0.471,8.0,43.1,25,0.569,10.1,8,47.0,0.553,26.0,0.4,2
2009-11-28,"Leede Arena, Hanover, New Hampshire",Hartford,Dartmouth,Home,39.1,9,7.1,2,103.0,61.5,16,0.406,64,0.359,23,0.125,8,0.5,4,4,200.0,84.8,41.0,16,23,56,15.2,10,0.422,27.0,0.222,6.0,49.2,32,0.413,17.2,14,37.0,0.459,17.0,0.333,2
2009-12-02,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Yale,Hartford,Away,38.9,7,9.4,3,94.1,54.8,17,0.466,44,0.409,18,0.295,13,0.385,5,5,200.0,90.2,21.4,6,20,46,15.7,8,0.318,14.0,0.357,5.0,39.0,23,0.458,12.3,7,30.0,0.433,13.0,0.286,2
2009-12-03,"Prudential Center, Newark, New Jersey",Hartford,Seton Hall,Home,40.0,8,0.0,0,121.9,51.5,19,0.383,60,0.333,20,0.267,16,0.625,10,6,200.0,76.7,34.2,11,22,56,8.2,6,0.283,17.0,0.353,6.0,42.3,30,0.414,20.2,16,43.0,0.326,14.0,0.25,2
2009-12-06,"Tom Gola Arena, Philadelphia, Pennsylvania",Hartford,La Salle,Home,35.0,7,4.3,1,110.3,50.0,15,0.445,55,0.364,20,0.345,19,0.684,13,7,200.0,91.2,21.9,3,23,62,10.3,7,0.382,21.0,0.429,9.0,33.3,18,0.484,14.8,10,34.0,0.324,11.0,0.222,2
2009-12-08,"Pope Physical Education Center, Brooklyn Heights, New York",Hartford,St. Francis (NY),Home,81.0,17,10.7,3,108.6,64.5,20,0.556,45,0.467,21,0.311,14,0.714,10,8,200.0,103.4,34.8,8,20,60,8.6,5,0.489,22.0,0.364,8.0,51.9,28,0.581,24.9,16,23.0,0.565,13.0,0.2,2
2009-12-11,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Sacred Heart,Hartford,Away,53.8,14,11.1,2,111.8,51.9,15,0.508,60,0.433,26,0.083,5,0.8,4,9,200.0,95.6,12.9,3,21,65,13.2,9,0.35,21.0,0.429,9.0,31.0,18,0.521,13.9,10,39.0,0.436,17.0,0.182,2
2009-12-29,"Rupp Arena, Lexington, Kentucky",Hartford,Kentucky,Home,59.1,13,0.0,0,150.7,57.1,16,0.483,58,0.379,22,0.086,5,1.0,5,10,200.0,88.4,20.6,7,14,61,4.3,3,0.5,29.0,0.414,12.0,37.1,23,0.505,18.9,13,29.0,0.345,10.0,0.167,2
2010-01-02,"Maurice Stokes Athletic Center, Loretto, Pennsylvania",Hartford,Saint Francis (PA),Home,38.9,7,10.5,2,108.5,76.5,13,0.396,53,0.34,18,0.321,17,0.588,10,11,200.0,88.1,20.0,7,24,52,16.9,10,0.491,26.0,0.231,6.0,38.5,20,0.426,9.0,5,27.0,0.444,12.0,0.154,2
2010-01-07,"Pritchard Gymnasium, Stony Brook, New York",Hartford,Stony Brook,Home,56.5,13,12.5,3,111.1,54.2,15,0.491,55,0.418,23,0.182,10,0.5,5,12,200.0,93.7,35.5,9,29,59,12.7,8,0.455,25.0,0.32,8.0,43.6,24,0.494,19.1,13,30.0,0.5,15.0,0.143,2
2010-01-09,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Boston University,Hartford,Away,60.0,15,16.0,4,115.1,72.0,20,0.444,63,0.397,25,0.381,24,0.583,14,13,200.0,95.9,26.8,9,30,70,6.8,5,0.349,22.0,0.273,6.0,43.9,29,0.47,13.0,11,41.0,0.463,19.0,0.133,2
2010-01-14,"RAC Arena, Baltimore, Maryland",Hartford,UMBC,Away,54.2,13,17.2,5,115.3,69.2,19,0.519,54,0.444,24,0.389,21,0.857,18,13,200.0,125.4,50.0,13,19,74,10.2,6,0.426,23.0,0.348,8.0,59.3,32,0.578,12.5,9,31.0,0.516,16.0,0.188,3
2010-01-16,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",New Hampshire,Hartford,Home,45.0,9,9.7,3,82.8,65.0,28,0.418,55,0.364,20,0.2,11,0.909,10,13,200.0,87.5,27.6,6,18,56,9.4,6,0.327,18.0,0.333,6.0,49.3,34,0.465,16.7,12,37.0,0.378,14.0,0.235,4
2010-01-19,"Roy L. Patrick Gymnasium, Burlington, Vermont",Hartford,Vermont,Home,34.6,9,5.3,2,118.2,48.1,14,0.462,66,0.394,26,0.152,10,0.5,5,14,200.0,100.0,30.8,11,29,66,6.1,4,0.409,27.0,0.333,9.0,37.9,25,0.466,10.2,8,39.0,0.436,17.0,0.222,4
2010-01-21,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Binghamton,Hartford,Home,57.1,12,2.7,1,98.4,77.3,19,0.51,49,0.429,21,0.327,16,0.875,14,14,200.0,100.0,25.9,5,12,64,6.3,4,0.408,20.0,0.4,8.0,49.0,24,0.565,21.1,14,29.0,0.448,13.0,0.263,5
2010-01-23,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Maine,Hartford,Away,64.0,16,12.0,3,116.7,78.9,16,0.517,60,0.417,25,0.217,13,0.538,7,15,200.0,104.5,29.4,9,19,69,10.6,7,0.467,28.0,0.429,12.0,47.2,25,0.521,13.2,10,32.0,0.406,13.0,0.25,5
2010-01-27,"SEFCU Arena, Albany, New York",Hartford,Albany (NY),Away,52.2,12,19.2,5,101.6,54.2,14,0.539,51,0.451,23,0.275,14,0.643,9,15,200.0,104.9,40.7,10,16,64,16.4,10,0.471,24.0,0.375,9.0,47.1,24,0.555,19.7,14,27.0,0.519,14.0,0.286,6
2010-02-03,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Stony Brook,Hartford,Away,66.7,12,11.1,4,87.1,62.5,17,0.385,52,0.346,18,0.25,13,0.308,4,16,200.0,71.0,34.3,10,21,44,12.9,8,0.481,25.0,0.16,4.0,45.8,27,0.378,20.6,15,27.0,0.519,14.0,0.273,6
2010-02-06,"Lundholm Gymnasium, Durham, New Hampshire",Hartford,New Hampshire,Away,36.8,7,10.0,3,94.7,52.6,23,0.457,46,0.413,19,0.522,24,0.625,15,16,200.0,100.0,25.0,4,21,57,5.3,3,0.37,17.0,0.235,4.0,40.9,27,0.497,9.6,6,29.0,0.517,15.0,0.304,7
2010-02-11,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",UMBC,Hartford,Away,57.7,15,13.8,4,111.4,75.0,24,0.471,68,0.382,26,0.25,17,0.353,6,17,200.0,100.0,36.7,15,34,70,11.4,8,0.515,35.0,0.343,12.0,50.6,39,0.46,12.7,11,33.0,0.424,14.0,0.292,7
2010-02-13,"Agganis Arena, Boston, Massachusetts",Hartford,Boston University,Home,27.8,5,6.7,3,84.1,60.5,32,0.333,57,0.316,18,0.421,24,0.708,17,18,200.0,79.7,40.0,10,22,55,5.8,4,0.263,15.0,0.133,2.0,50.6,42,0.402,18.2,15,42.0,0.381,16.0,0.28,7
2010-02-17,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Vermont,Hartford,Away,31.6,6,5.7,2,113.8,65.6,22,0.43,50,0.38,19,0.4,20,0.65,13,19,200.0,86.2,25.0,7,25,56,7.7,5,0.28,14.0,0.357,5.0,45.3,29,0.471,18.1,13,36.0,0.389,14.0,0.269,7
2010-02-21,"Alfond Arena, Orono, Maine",Hartford,Maine,Home,50.0,10,14.6,7,101.5,52.9,19,0.429,56,0.357,20,0.143,8,0.5,4,20,200.0,80.0,16.2,5,22,52,10.8,7,0.411,23.0,0.348,8.0,33.8,24,0.435,15.6,11,33.0,0.364,12.0,0.259,7
2010-02-24,"Events Center, Binghamton, New York",Hartford,Binghamton,Home,63.2,12,3.3,1,101.5,65.4,19,0.375,64,0.297,19,0.109,7,0.714,5,21,200.0,81.5,31.1,12,17,53,4.6,3,0.406,26.0,0.385,10.0,43.7,31,0.394,14.1,11,38.0,0.237,9.0,0.25,7
2010-02-28,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Albany (NY),Hartford,Home,75.0,21,12.9,4,108.2,61.5,24,0.556,62,0.452,28,0.323,20,0.8,16,21,225.0,116.4,26.5,9,22,85,8.2,6,0.5,31.0,0.419,13.0,45.2,33,0.594,12.4,9,31.0,0.484,15.0,0.276,8
2010-03-06,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Boston University,Hartford,Away,58.8,10,9.1,3,127.9,60.0,21,0.336,58,0.293,17,0.259,15,0.467,7,22,200.0,67.6,18.4,4,24,46,4.4,3,0.431,25.0,0.2,5.0,36.8,25,0.353,12.2,9,33.0,0.364,12.0,0.267,8
2010-11-13,"Mohegan Sun Arena, Uncasville, Connecticut",Central Connecticut,Hartford,Away,37.5,9,26.1,6,91.4,84.0,21,0.415,65,0.369,24,0.138,9,0.889,8,1,200.0,88.6,36.8,14,26,62,10.0,7,0.338,22.0,0.273,6.0,55.6,35,0.447,18.8,16,43.0,0.419,18.0,0.0,0
2010-11-16,"TD Bank Sports Center, Hamden, Connecticut",Hartford,Quinnipiac,Home,27.3,6,6.3,2,88.0,67.7,21,0.432,59,0.373,22,0.407,24,0.542,13,2,200.0,85.3,29.3,12,18,64,10.7,8,0.492,29.0,0.241,7.0,45.8,33,0.455,19.6,17,30.0,0.5,15.0,0.0,0
2010-11-19,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Dartmouth,Hartford,Away,50.0,10,9.1,2,118.3,55.6,10,0.461,51,0.392,20,0.235,12,0.833,10,3,200.0,95.0,31.3,10,21,57,11.7,7,0.49,25.0,0.28,7.0,40.0,20,0.503,19.9,14,26.0,0.5,13.0,0.0,0
2010-11-24,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Saint Francis (PA),Hartford,Home,57.9,11,20.7,6,79.7,63.0,17,0.441,51,0.373,19,0.471,24,0.625,15,3,200.0,87.0,25.7,9,13,60,14.5,10,0.549,28.0,0.25,7.0,41.9,26,0.481,17.4,13,23.0,0.522,12.0,0.25,1
2010-11-27,"Rose Hill Gym, Bronx, New York",Hartford,Fordham,Home,65.0,13,7.1,2,105.2,45.8,11,0.422,58,0.345,20,0.155,9,0.889,8,4,200.0,98.3,34.3,12,17,57,10.3,6,0.603,35.0,0.257,9.0,39.0,23,0.458,12.7,9,23.0,0.478,11.0,0.2,1
2010-11-30,"John J. Lee Ampitheater, New Haven, Connecticut",Hartford,Yale,Home,29.2,7,0.0,0,109.5,87.0,20,0.466,58,0.414,24,0.448,26,0.846,22,5,200.0,102.7,34.4,11,30,76,6.8,5,0.466,27.0,0.222,6.0,56.4,31,0.54,20.6,18,31.0,0.581,18.0,0.167,1
2010-12-02,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Brown,Hartford,Home,54.2,13,21.7,5,74.2,82.8,24,0.465,57,0.421,24,0.158,9,0.556,5,5,200.0,93.5,28.6,10,16,58,12.9,8,0.316,18.0,0.278,5.0,53.1,34,0.473,14.1,10,39.0,0.487,19.0,0.286,2
2010-12-05,"Donald L. Tucker Center, Tallahassee, Florida",Hartford,Florida State,Home,64.3,9,0.0,0,81.1,51.4,18,0.277,65,0.215,14,0.062,4,0.5,2,6,200.0,51.4,19.6,9,20,38,20.3,15,0.615,40.0,0.2,8.0,33.3,27,0.284,18.3,15,25.0,0.24,6.0,0.25,2
2010-12-08,"William H. Pitt Center, Fairfield, Connecticut",Hartford,Sacred Heart,Home,68.4,13,0.0,0,86.2,80.8,21,0.522,46,0.413,19,0.326,15,0.467,7,7,200.0,84.6,14.3,4,21,55,15.4,10,0.543,25.0,0.4,10.0,46.3,25,0.518,22.2,15,21.0,0.429,9.0,0.222,2
2010-12-11,"Multipurpose Activity Center, West Long Branch, New Jersey",Hartford,Monmouth,Home,66.7,18,2.6,1,97.5,70.7,29,0.436,78,0.346,27,0.231,18,0.333,6,8,250.0,92.5,37.7,20,23,74,7.5,6,0.603,47.0,0.298,14.0,52.1,49,0.427,11.3,11,31.0,0.419,13.0,0.2,2
2010-12-28,"Haas Pavilion, Berkeley, California",Hartford,California,Home,39.1,9,0.0,0,97.4,76.0,19,0.391,69,0.333,23,0.087,6,0.333,2,9,200.0,73.7,17.8,8,23,56,9.2,7,0.406,28.0,0.286,8.0,38.6,27,0.39,15.4,13,41.0,0.366,15.0,0.182,2
2010-12-31,"McKeon Pavilion, Moraga, California",Hartford,Saint Mary's,Home,66.7,16,3.7,1,131.8,53.8,14,0.509,57,0.421,24,0.193,11,0.455,5,10,200.0,95.5,17.6,6,24,63,9.1,6,0.439,25.0,0.4,10.0,33.3,20,0.506,15.1,11,32.0,0.438,14.0,0.167,2
2011-01-03,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",St. Francis (NY),Hartford,Home,62.5,15,7.7,2,96.1,76.5,26,0.561,49,0.49,24,0.816,40,0.675,27,10,200.0,106.5,39.4,13,18,82,7.8,6,0.347,17.0,0.412,7.0,58.2,39,0.603,24.8,22,32.0,0.531,17.0,0.231,3
2011-01-05,"Alfond Arena, Orono, Maine",Hartford,Maine,Away,68.2,15,0.0,0,95.2,75.0,15,0.52,51,0.431,22,0.216,11,0.727,8,10,200.0,98.4,18.5,5,8,61,8.1,5,0.392,20.0,0.45,9.0,42.6,20,0.542,16.5,11,31.0,0.419,13.0,0.286,4
