date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Stan Sheriff Center, Honolulu, Hawaii",Southern Utah,Hawaii,Home,70.8,17,13.5,5,78.7,68.0,18,0.432,59,0.407,24,0.339,20,0.7,14,0,200.0,106.6,60.6,19,13,65,9.8,6,0.271,16.0,0.188,3.0,63.8,37,0.474,15.0,11,43.0,0.488,21.0,1.0,1
2009-11-16,"Stan Sheriff Center, Honolulu, Hawaii",Northern Colorado,Hawaii,Away,43.5,10,3.2,1,109.5,78.6,22,0.45,60,0.383,23,0.467,28,0.75,21,1,200.0,101.4,42.9,15,25,75,6.8,5,0.383,23.0,0.348,8.0,58.7,37,0.512,18.1,16,37.0,0.405,15.0,0.667,2
2009-11-20,"Stan Sheriff Center, Honolulu, Hawaii",BYU,Hawaii,Away,71.4,15,4.5,2,125.8,54.2,18,0.434,53,0.396,21,0.509,27,0.704,19,2,200.0,98.5,55.9,14,17,65,6.1,4,0.226,12.0,0.333,4.0,55.2,32,0.494,23.6,19,41.0,0.415,17.0,0.5,2
2009-11-27,"Stan Sheriff Center, Honolulu, Hawaii",New Mexico,Hawaii,Away,56.0,14,7.0,3,120.3,46.3,20,0.518,55,0.455,25,0.473,26,0.538,14,3,200.0,102.9,43.8,13,22,71,8.7,6,0.327,18.0,0.389,7.0,45.2,33,0.527,17.4,14,37.0,0.486,18.0,0.4,2
2009-12-02,"Bren Events Center, Irvine, California",Hawaii,UC-Irvine,Home,50.0,12,2.9,1,121.2,80.0,13,0.465,57,0.421,24,0.439,25,0.68,17,4,200.0,106.1,37.1,12,23,70,6.1,4,0.351,20.0,0.25,5.0,50.0,25,0.508,12.8,10,37.0,0.514,19.0,0.333,2
2009-12-06,"Stan Sheriff Center, Honolulu, Hawaii",Lamar,Hawaii,Home,69.7,23,3.6,2,100.0,70.3,26,0.625,60,0.55,33,0.5,30,0.7,21,4,200.0,123.1,37.9,11,25,96,3.8,3,0.317,19.0,0.474,9.0,56.1,37,0.646,17.9,16,41.0,0.585,24.0,0.429,3
2009-12-12,"Stan Sheriff Center, Honolulu, Hawaii",Chicago State,Hawaii,Home,76.0,19,2.3,1,81.7,58.1,19,0.537,54,0.463,25,0.648,35,0.714,25,4,200.0,116.9,40.6,12,12,83,8.5,6,0.315,17.0,0.471,8.0,49.2,31,0.588,15.8,13,37.0,0.459,17.0,0.556,5
2009-12-22,"Stan Sheriff Center, Honolulu, Hawaii",College of Charleston,Hawaii,Home,62.1,18,2.1,1,93.4,72.2,28,0.656,48,0.604,29,0.646,31,0.677,21,4,200.0,110.5,42.9,7,17,84,5.3,4,0.146,7.0,0.714,5.0,61.4,35,0.67,25.4,20,41.0,0.585,24.0,0.6,6
2009-12-23,"Stan Sheriff Center, Honolulu, Hawaii",UNLV,Hawaii,Away,40.0,6,4.7,2,116.7,48.6,18,0.386,44,0.341,15,0.682,30,0.633,19,5,200.0,80.3,37.9,10,17,53,4.5,3,0.295,13.0,0.308,4.0,43.8,28,0.455,24.9,19,31.0,0.355,11.0,0.545,6
2009-12-25,"Stan Sheriff Center, Honolulu, Hawaii",Saint Mary's,Hawaii,Away,37.5,9,7.9,3,125.4,44.4,13,0.54,50,0.48,24,0.52,26,0.808,21,6,200.0,111.9,47.8,6,22,75,7.5,5,0.3,15.0,0.4,6.0,46.3,19,0.601,20.7,16,35.0,0.514,18.0,0.5,6
2009-12-28,"Stan Sheriff Center, Honolulu, Hawaii",Northwestern State,Hawaii,Home,52.4,11,10.0,5,89.9,46.5,26,0.415,59,0.356,21,0.746,44,0.727,32,6,200.0,117.4,69.2,21,24,81,2.9,2,0.373,22.0,0.318,7.0,57.3,47,0.507,17.8,16,37.0,0.378,14.0,0.538,7
2010-01-02,"Stan Sheriff Center, Honolulu, Hawaii",Idaho,Hawaii,Away,55.6,10,3.8,1,96.7,81.0,23,0.388,49,0.367,18,0.429,21,0.667,14,7,200.0,85.2,33.3,6,19,52,9.8,6,0.327,16.0,0.125,2.0,50.9,29,0.441,18.2,13,33.0,0.485,16.0,0.5,7
2010-01-04,"Stan Sheriff Center, Honolulu, Hawaii",Boise State,Hawaii,Home,57.7,15,2.2,1,93.2,70.6,25,0.491,57,0.456,26,0.456,26,0.769,20,7,200.0,104.1,34.4,10,18,76,5.5,4,0.263,15.0,0.267,4.0,53.0,35,0.548,17.0,12,42.0,0.524,22.0,0.533,8
2010-01-09,"Save Mart Center, Fresno, California",Hawaii,Fresno State,Home,80.0,16,12.2,5,113.0,64.1,26,0.536,42,0.476,20,0.619,26,0.731,19,8,200.0,92.8,25.0,5,20,64,4.3,3,0.405,17.0,0.294,5.0,49.2,31,0.589,27.2,20,25.0,0.6,15.0,0.5,8
2010-01-11,"Dee Glen Smith Spectrum, Logan, Utah",Hawaii,Utah State,Home,80.0,16,7.7,3,144.1,61.9,17,0.393,61,0.328,20,0.23,14,0.429,6,9,200.0,79.4,31.0,9,17,54,7.4,5,0.393,24.0,0.333,8.0,41.3,26,0.399,15.2,12,37.0,0.324,12.0,0.471,8
2010-01-17,"Stan Sheriff Center, Honolulu, Hawaii",San Jose State,Hawaii,Home,83.3,20,2.7,1,109.8,51.6,19,0.491,58,0.414,24,0.224,13,0.846,11,9,200.0,111.5,55.6,12,18,68,3.3,2,0.414,24.0,0.375,9.0,53.4,31,0.53,15.8,11,34.0,0.441,15.0,0.5,9
