date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Millis Center, High Point, North Carolina",William & Mary,High Point,Away,30.0,6,15.6,5,94.6,80.6,25,0.333,63,0.317,20,0.333,21,0.667,14,1,200,75.7,23.3,10,16,56,6.8,5,0.19,12,0.167,2,47.3,35,0.384,13.2,11,51,0.353,18,0.0,0
2019-11-09,"Richardson Indoor Stadium, Spartanburg, South Carolina",High Point,Wofford,Home,64.7,11,14.3,3,136.9,76.9,20,0.417,48,0.354,17,0.542,26,0.808,21,2,200,93.8,30.8,8,20,61,3.1,2,0.313,15,0.4,6,53.8,28,0.505,15.6,11,33,0.333,11,0.0,0
2019-11-13,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",High Point,Boston College,Home,50.0,6,7.5,3,81.9,75.0,30,0.292,48,0.25,12,0.167,8,0.625,5,3,200,45.8,25.7,9,15,33,8.3,6,0.396,19,0.211,4,52.0,39,0.319,35.2,28,29,0.276,8,0.0,0
2019-11-18,"Curb Event Center, Nashville, Tennessee",High Point,Belmont,Home,42.1,8,10.3,4,115.4,74.2,23,0.371,58,0.328,19,0.207,12,0.667,8,4,200,65.4,12.5,5,16,51,7.7,6,0.328,19,0.263,5,39.4,28,0.4,23.1,19,39,0.359,14,0.0,0
2019-11-20,"Chaifetz Arena, St. Louis, Missouri",High Point,Saint Louis,Home,61.9,13,12.5,4,100.0,66.7,18,0.471,51,0.412,21,0.235,12,0.583,7,5,200,82.1,25.9,7,15,55,10.4,7,0.333,17,0.353,6,46.3,25,0.485,23.2,17,34,0.441,15,0.0,0
2019-11-23,"Millis Center, High Point, North Carolina",Eastern Washington,High Point,Away,60.0,12,23.1,6,120.0,66.7,22,0.352,61,0.328,20,0.607,37,0.838,31,6,200,98.7,50.0,21,24,74,8.0,6,0.279,17,0.176,3,57.3,43,0.471,17.2,16,44,0.386,17,0.0,0
2019-11-26,"Millis Center, High Point, North Carolina","Greensboro
			",High Point,Home,58.1,18,14.7,5,88.0,76.7,23,0.471,70,0.443,31,0.443,31,0.774,24,6,200,108.4,46.2,18,15,90,14.5,12,0.271,19,0.211,4,59.4,41,0.531,15.2,15,51,0.529,27,0.143,1
2019-12-02,"UNF Arena , Jacksonville, Florida",High Point,North Florida,Home,58.3,14,15.0,3,132.9,66.7,16,0.5,52,0.462,24,0.481,25,0.72,18,7,200,100.0,29.0,9,15,70,11.4,8,0.327,17,0.235,4,45.5,25,0.548,18.2,14,35,0.571,20,0.125,1
2019-12-05,"Millis Center, High Point, North Carolina",Elon,High Point,Home,63.2,12,20.0,5,97.1,82.1,23,0.436,55,0.345,19,0.545,30,0.733,22,7,225,102.9,34.4,11,15,70,7.4,5,0.455,25,0.4,10,56.7,34,0.505,11.7,9,30,0.3,9,0.222,2
2019-12-14,"FAU Arena, Boca Raton, Florida",High Point,Florida Atlantic,Home,50.0,12,9.7,3,128.6,76.0,19,0.561,49,0.49,24,0.306,15,0.6,9,8,200,101.6,27.6,8,20,64,1.6,1,0.367,18,0.389,7,50.0,27,0.57,22.3,16,31,0.548,17,0.2,2
