date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"James H. Hilton Coliseum , Ames, Iowa",IDAHO-STATE,IOWA-STATE,Home,20.0,5,6.1,3,123.9,42.9,13,0.433,60,0.417,25,0.317,19,0.842,16,1,200.0,95.8,41.9,12,15,68,12.7,9,0.117,7.0,0.286,2.0,42.4,25,0.493,17.0,14,53.0,0.434,23.0,0.0,0
2009-11-15,"Carver Arena, Peoria, Illinois",IDAHO-STATE,BRADLEY,Home,30.0,9,8.3,2,121.3,71.4,18,0.484,64,0.469,30,0.156,10,0.7,7,2,200.0,113.1,48.6,14,24,69,4.9,3,0.203,13.0,0.154,2.0,57.1,32,0.502,13.9,11,51.0,0.549,28.0,0.0,0
2009-11-24,"Dee Glen Smith Spectrum, Logan, Utah",IDAHO-STATE,UTAH-STATE,Home,43.8,7,5.4,2,135.1,42.4,14,0.357,49,0.327,16,0.224,11,0.818,9,4,200.0,77.2,29.0,9,16,44,5.3,3,0.286,14.0,0.214,3.0,35.9,23,0.406,18.2,12,35.0,0.371,13.0,0.2,1
2009-11-28,"Municipal Auditorium, Kansas City, Missouri",IDAHO-STATE,MISSOURI-KANSAS-CITY,Away,57.1,16,7.7,3,108.3,69.2,18,0.638,47,0.596,28,0.234,11,0.727,8,4,200.0,113.3,52.9,9,11,68,6.7,4,0.17,8.0,0.5,4.0,62.8,27,0.651,24.7,17,39.0,0.615,24.0,0.333,2
2009-12-01,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",IDAHO-STATE,NOTRE-DAME,Home,61.5,16,4.5,2,123.1,69.2,18,0.569,51,0.51,26,0.294,15,0.8,12,5,200.0,107.7,16.0,4,13,70,4.6,3,0.255,13.0,0.462,6.0,43.1,22,0.602,16.0,11,38.0,0.526,20.0,0.286,2
2009-12-05,"Jon M. Huntsman Center, Salt Lake City, Utah",IDAHO-STATE,UTAH,Home,29.2,7,2.8,1,111.5,50.0,18,0.415,59,0.407,24,0.153,9,0.778,7,6,200.0,91.8,47.2,14,22,56,9.8,6,0.169,10.0,0.1,1.0,48.5,32,0.443,17.1,13,49.0,0.469,23.0,0.25,2
2009-12-11,"Galen Center, Los Angeles, California",IDAHO-STATE,SOUTHERN-CALIFORNIA,Home,15.0,3,2.9,1,93.7,44.0,17,0.377,57,0.351,20,0.368,21,0.476,10,8,200.0,84.1,44.7,11,21,53,17.5,11,0.123,7.0,0.429,3.0,44.4,28,0.396,16.4,13,50.0,0.34,17.0,0.2,2
2009-12-22,"McArthur Court, Eugene, Oregon",IDAHO-STATE,OREGON,Home,33.3,9,3.2,1,122.2,51.6,17,0.663,46,0.587,27,0.326,15,0.667,10,10,200.0,112.7,40.0,7,19,71,11.1,7,0.326,15.0,0.467,7.0,47.1,24,0.668,22.2,15,31.0,0.645,20.0,0.167,2
2009-12-31,"Holt Arena, Pocatello, Idaho",MONTANA,IDAHO-STATE,Home,29.6,8,12.5,3,114.0,61.5,17,0.547,53,0.509,27,0.34,18,0.5,9,10,200.0,117.5,41.4,11,17,67,12.3,7,0.151,8.0,0.5,4.0,50.9,28,0.544,11.6,8,45.0,0.511,23.0,0.286,4
2010-01-09,"Butler Hancock Sports Pavilion, Greeley, Colorado",IDAHO-STATE,NORTHERN-COLORADO,Home,26.9,7,15.6,5,114.7,69.7,25,0.528,54,0.481,26,0.241,13,0.692,9,13,200.0,97.1,27.6,6,21,66,5.9,4,0.315,17.0,0.294,5.0,50.0,31,0.548,22.2,17,37.0,0.568,21.0,0.235,4
2010-01-16,"Holt Arena, Pocatello, Idaho",WEBER-STATE,IDAHO-STATE,Away,53.1,17,14.6,6,114.5,50.0,25,0.578,64,0.5,32,0.547,35,0.543,19,14,275.0,112.0,42.4,10,25,93,8.4,7,0.328,21.0,0.476,10.0,46.7,35,0.577,15.9,15,43.0,0.512,22.0,0.222,4
2010-01-23,"Holt Arena, Pocatello, Idaho",PORTLAND-STATE,IDAHO-STATE,Home,64.5,20,5.4,2,115.9,54.8,24,0.702,52,0.596,31,0.346,18,0.833,15,14,225.0,127.5,36.8,6,16,88,7.2,5,0.346,18.0,0.611,11.0,49.2,30,0.727,18.9,14,34.0,0.588,20.0,0.3,6
2010-02-06,"Adams Center/Dahlberg Arena, Missoula, Montana",IDAHO-STATE,MONTANA,Home,60.9,14,5.9,2,149.2,35.3,9,0.521,48,0.479,23,0.521,25,0.72,18,17,200.0,111.5,39.3,8,17,68,9.8,6,0.25,12.0,0.333,4.0,37.8,17,0.568,14.5,10,36.0,0.528,19.0,0.261,6
2010-02-12,"Holt Arena, Pocatello, Idaho",NORTHERN-COLORADO,IDAHO-STATE,Away,55.0,11,14.3,4,109.7,38.5,14,0.467,45,0.444,20,0.556,25,0.68,17,18,200.0,95.2,40.0,4,20,59,9.7,6,0.2,9.0,0.222,2.0,39.1,18,0.519,20.0,14,36.0,0.5,18.0,0.25,6
2010-02-20,"Dee Events Center, Ogden, Utah",IDAHO-STATE,WEBER-STATE,Home,22.7,5,3.8,1,141.3,52.0,15,0.5,49,0.449,22,0.429,21,0.714,15,20,200.0,101.6,33.3,7,19,64,6.3,4,0.306,15.0,0.333,5.0,42.3,22,0.543,18.2,13,34.0,0.5,17.0,0.259,7
2010-02-26,"Peter W. Stott Center, Portland, Oregon",IDAHO-STATE,PORTLAND-STATE,Home,45.5,10,8.9,4,140.0,50.0,18,0.5,50,0.44,22,0.32,16,0.813,13,21,200.0,90.0,50.0,10,17,63,4.3,3,0.32,16.0,0.375,6.0,50.0,28,0.547,27.8,22,34.0,0.471,16.0,0.25,7
