date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-18,"Rose Arena, Mount Pleasant, Michigan",ILLINOIS-CHICAGO,CENTRAL-MICHIGAN,Home,42.9,6,3.8,1,108.1,46.7,16,0.346,52,0.269,14,0.365,19,0.632,12,1,200.0,77.4,26.8,9,17,48,11.3,7,0.5,26.0,0.308,8.0,35.2,25,0.393,15.4,11,26.0,0.231,6.0,0.5,1
2009-11-23,"UIC Pavilion, Chicago, Illinois",ILLINOIS-STATE,ILLINOIS-CHICAGO,Away,37.5,9,5.1,2,98.6,54.8,20,0.406,64,0.375,24,0.297,19,0.684,13,2,200.0,92.9,45.9,14,21,65,5.7,4,0.328,21.0,0.19,4.0,50.0,34,0.445,16.2,14,43.0,0.465,20.0,0.333,1
2009-11-28,"The SIU Arena, Carbondale, Illinois",ILLINOIS-CHICAGO,SOUTHERN-ILLINOIS,Home,43.5,10,10.3,4,101.4,58.1,20,0.466,58,0.397,23,0.259,15,0.667,10,3,200.0,87.7,40.0,12,16,64,11.0,8,0.345,20.0,0.4,8.0,48.5,32,0.491,24.5,21,38.0,0.395,15.0,0.25,1
2009-12-03,"U.S. Cellular Arena, Milwaukee, Wisconsin",ILLINOIS-CHICAGO,MILWAUKEE,Home,19.0,4,7.7,3,79.2,67.3,34,0.35,60,0.35,21,0.283,17,0.588,10,4,200.0,72.2,22.5,8,19,52,8.3,6,0.233,14.0,0.0,0.0,47.2,42,0.382,16.2,13,46.0,0.457,21.0,0.2,1
2009-12-13,"Allstate Arena, Rosemont, Illinois",ILLINOIS-CHICAGO,DEPAUL,Home,88.9,16,7.1,3,102.7,76.9,31,0.384,56,0.321,18,0.357,20,0.65,13,6,200.0,74.7,15.8,5,19,56,9.3,7,0.357,20.0,0.35,7.0,46.8,36,0.427,18.8,15,36.0,0.306,11.0,0.143,1
2009-12-16,"UIC Pavilion, Chicago, Illinois",OREGON-STATE,ILLINOIS-CHICAGO,Home,52.2,12,3.1,1,101.7,57.1,12,0.564,47,0.489,23,0.298,14,0.714,10,6,200.0,105.0,45.8,11,14,63,15.0,9,0.447,21.0,0.333,7.0,51.1,23,0.587,24.2,17,26.0,0.615,16.0,0.25,2
2009-12-19,"UIC Pavilion, Chicago, Illinois",NORTHERN-ILLINOIS,ILLINOIS-CHICAGO,Home,33.3,8,5.3,2,83.1,43.2,21,0.482,56,0.429,24,0.339,19,0.789,15,6,200.0,116.9,46.9,10,22,69,13.6,8,0.357,20.0,0.3,6.0,44.9,31,0.531,9.8,7,36.0,0.5,18.0,0.333,3
2009-12-22,"James A. Rhodes Arena, Akron, Ohio",ILLINOIS-CHICAGO,AKRON,Home,52.2,12,0.0,0,110.0,53.1,19,0.491,55,0.418,23,0.236,13,0.846,11,7,200.0,92.9,20.7,4,20,65,14.3,10,0.382,21.0,0.381,8.0,37.7,23,0.531,18.7,14,34.0,0.441,15.0,0.3,3
2009-12-27,"Kohl Center, Madison, Wisconsin",ILLINOIS-CHICAGO,WISCONSIN,Home,27.8,5,0.0,0,133.9,48.0,13,0.39,50,0.36,18,0.12,6,0.667,4,8,200.0,72.9,18.8,5,17,43,8.5,5,0.28,14.0,0.214,3.0,31.6,18,0.407,18.6,12,36.0,0.417,15.0,0.273,3
2009-12-29,"UIC Pavilion, Chicago, Illinois",TOLEDO,ILLINOIS-CHICAGO,Home,60.9,14,17.6,6,78.8,65.6,23,0.421,57,0.404,23,0.509,29,0.621,18,8,200.0,100.0,32.4,9,16,66,15.2,10,0.175,10.0,0.2,2.0,48.5,32,0.466,7.9,6,47.0,0.447,21.0,0.333,4
