date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Arena-Auditorium, Laramie, Wyoming",Idaho State,Wyoming,Home,60.0,9,3.7,1,91.5,85.0,17,0.362,47,0.319,15,0.383,18,0.333,6,1,200,67.8,21.9,7,22,40,11.9,7,0.511,24,0.167,4,46.2,24,0.36,20.3,14,23,0.478,11,0.0,0
2019-11-07,"Clune Arena , Colorado Springs, Colorado",Idaho State,Air Force,Away,46.4,13,4.9,2,111.3,73.1,19,0.607,56,0.5,28,0.446,25,0.84,21,1,200,125.4,29.6,8,23,89,9.9,7,0.518,29,0.414,12,50.9,27,0.656,14.1,11,27,0.593,16,0.5,1
2019-11-14,"Reed Gym, Pocatello, Idaho","Montana Western
			",Idaho State,Home,50.0,16,5.0,2,71.6,88.6,31,0.629,58,0.552,32,0.259,15,0.467,7,1,200,119.4,35.7,10,14,80,7.5,5,0.328,19,0.474,9,65.1,41,0.614,13.4,10,39,0.59,23,0.667,2
2019-11-17,"Beasley Coliseum, Pullman, Washington",Idaho State,Washington State,Home,43.5,10,8.5,4,107.5,64.7,22,0.491,53,0.434,23,0.226,12,0.75,9,2,200,91.0,42.3,11,14,61,6.0,4,0.396,21,0.286,6,55.0,33,0.52,24.6,19,32,0.531,17,0.5,2
2019-11-22,"Leavey Center, Santa Clara, California",Idaho State,Santa Clara,Home,68.4,13,0.0,0,101.3,87.0,20,0.441,51,0.373,19,0.588,30,0.667,20,3,200,84.4,26.7,8,13,65,10.4,8,0.333,17,0.412,7,52.8,28,0.498,24.6,21,34,0.353,12,0.4,2
2019-11-27,"Reed Gym, Pocatello, Idaho","West Coast Baptist
			",Idaho State,Home,59.1,26,5.1,2,62.3,89.2,33,0.77,61,0.721,44,0.23,14,0.571,8,3,200,147.8,42.1,8,15,102,13.0,9,0.213,13,0.462,6,73.2,41,0.754,11.8,9,48,0.792,38,0.5,3
2019-12-06,"Firestone Fieldhouse, Malibu, California",Idaho State,Pepperdine,Home,45.5,10,8.3,4,101.3,58.6,17,0.472,53,0.415,22,0.453,24,0.625,15,4,200,85.5,19.4,6,21,65,9.2,7,0.377,20,0.3,6,38.3,23,0.505,23.0,19,33,0.485,16,0.429,3
2019-12-16,"Reed Gym, Pocatello, Idaho",UCSB,Idaho State,Away,33.3,8,9.8,4,105.7,65.8,25,0.548,52,0.462,24,0.423,22,0.5,11,5,225,97.1,20.6,7,19,68,10.0,7,0.481,25,0.36,9,44.4,32,0.544,19.6,15,27,0.556,15,0.375,3
2019-12-21,"A.G. Spanos Center, Stockton, California",Idaho State,Pacific,Home,60.9,14,3.8,2,118.5,58.6,17,0.571,49,0.469,23,0.347,17,0.588,10,6,200,101.5,18.5,5,15,66,6.2,4,0.469,23,0.435,10,39.3,22,0.578,17.5,12,26,0.5,13,0.333,3
2019-12-28,"Reed Gym, Pocatello, Idaho",Idaho,Idaho State,Home,59.1,13,2.5,1,92.3,67.9,19,0.454,54,0.407,22,0.333,18,0.722,13,6,200,95.4,32.3,10,13,62,7.7,5,0.407,22,0.227,5,49.2,29,0.496,17.4,13,32,0.531,17,0.4,4
2019-12-30,"Reed Gym, Pocatello, Idaho",Eastern Washington,Idaho State,Home,59.3,16,9.8,4,95.8,77.8,28,0.685,46,0.587,27,0.457,21,0.571,12,6,200,104.2,22.7,5,20,75,4.2,3,0.37,17,0.529,9,56.9,33,0.67,25.6,19,29,0.621,18,0.455,5
2020-01-04,"The Nest, Sacramento, California",Idaho State,Sacramento State,Home,31.6,6,0.0,0,113.3,64.0,16,0.427,48,0.396,19,0.25,12,0.667,8,7,200,81.7,16.0,4,11,49,5.0,3,0.25,12,0.25,3,40.0,20,0.456,15.8,10,36,0.444,16,0.417,5
2020-01-09,"Reed Gym, Pocatello, Idaho",Southern Utah,Idaho State,Away,38.9,7,4.8,2,110.9,79.3,23,0.364,55,0.327,18,0.382,21,0.714,15,8,200,85.9,32.4,11,17,55,3.1,2,0.327,18,0.222,4,54.0,34,0.423,15.7,12,37,0.378,14,0.385,5
2020-01-11,"Walkup Skydome, Flagstaff, Arizona",Idaho State,Northern Arizona,Away,69.2,18,4.8,2,93.1,78.8,26,0.546,54,0.481,26,0.333,18,0.667,12,8,200,98.6,20.0,6,10,71,5.6,4,0.333,18,0.389,7,50.8,32,0.568,18.4,14,36,0.528,19,0.429,6
2020-01-16,"Reed Gym, Pocatello, Idaho",Weber State,Idaho State,Away,37.0,10,9.1,4,98.7,87.9,29,0.432,66,0.409,27,0.318,21,0.524,11,9,225,88.3,33.3,13,18,68,3.9,3,0.273,18,0.167,3,58.3,42,0.448,17.5,16,48,0.5,24,0.4,6
2020-01-18,"Peter W. Stott Center, Portland, Oregon",Idaho State,Portland State,Home,71.4,20,3.8,2,117.1,48.5,16,0.54,62,0.452,28,0.274,17,0.529,9,10,200,108.6,51.6,16,15,76,7.1,5,0.355,22,0.5,11,50.0,32,0.542,18.7,16,40,0.425,17,0.375,6
2020-01-23,"Reed Gym, Pocatello, Idaho",Montana,Idaho State,Away,52.2,12,11.9,5,106.9,80.6,25,0.471,52,0.442,23,0.654,34,0.735,25,11,200,102.8,30.0,9,17,74,4.2,3,0.135,7,0.429,3,55.7,34,0.543,15.2,12,45,0.444,20,0.353,6
2020-01-25,"Reed Gym, Pocatello, Idaho",Montana State,Idaho State,Away,57.1,12,4.3,2,108.7,61.3,19,0.447,57,0.368,21,0.316,18,0.722,13,12,200,92.8,30.6,11,21,64,2.9,2,0.474,27,0.333,9,44.8,30,0.488,18.8,15,30,0.4,12,0.333,6
2020-01-30,"Bank of Colorado Arena, Greeley, Colorado",Idaho State,Northern Colorado,Home,33.3,9,16.7,4,127.7,80.8,21,0.509,57,0.474,27,0.228,13,0.692,9,13,200,103.1,11.1,3,12,67,4.6,3,0.193,11,0.364,4,45.3,24,0.53,7.4,5,46,0.5,23,0.316,6
2020-02-01,"Centrum, Cedar City, Utah",Idaho State,Southern Utah,Home,37.0,10,6.5,3,112.7,65.4,17,0.517,59,0.458,27,0.356,21,0.667,14,14,200,105.6,28.1,9,18,75,5.6,4,0.39,23,0.304,7,44.8,26,0.544,15.0,12,36,0.556,20,0.3,6
2020-02-06,"Reed Gym, Pocatello, Idaho",Northern Arizona,Idaho State,Away,51.7,15,3.7,2,112.8,83.3,25,0.559,59,0.492,29,0.458,27,0.778,21,15,225,111.5,16.1,5,15,87,5.1,4,0.373,22,0.364,8,49.2,30,0.606,15.5,13,37,0.568,21,0.286,6
2020-02-08,"Reed Gym, Pocatello, Idaho",Sacramento State,Idaho State,Away,33.3,8,2.4,1,108.6,58.1,18,0.472,54,0.444,24,0.241,13,0.615,8,16,200,101.7,32.3,10,11,59,5.2,3,0.241,13,0.231,3,45.2,28,0.49,13.1,9,41,0.512,21,0.273,6
2020-02-13,"Max Worthington Arena, Bozeman, Montana",Idaho State,Montana State,Home,24.0,6,8.1,3,98.6,87.0,20,0.468,62,0.403,25,0.306,19,0.579,11,17,200,93.2,21.1,8,17,69,12.2,9,0.355,22,0.364,8,45.9,28,0.486,13.5,11,40,0.425,17,0.261,6
2020-02-15,"Adams Center/Dahlberg Arena, Missoula, Montana",Idaho State,Montana,Home,18.2,4,7.0,3,111.4,91.3,21,0.438,56,0.393,22,0.339,19,0.737,14,18,200,90.0,25.7,9,9,63,4.3,3,0.304,17,0.294,5,51.7,30,0.484,17.9,14,39,0.436,17,0.25,6
2020-02-22,"Reed Gym, Pocatello, Idaho",Northern Colorado,Idaho State,Away,29.2,7,5.1,2,126.9,81.8,18,0.51,52,0.462,24,0.462,24,0.792,19,19,200,107.5,23.1,6,13,72,0.0,0,0.212,11,0.455,5,50.0,24,0.568,13.8,10,41,0.463,19,0.24,6
2020-02-27,"Reed Gym, Pocatello, Idaho",Portland State,Idaho State,Away,44.8,13,7.4,4,109.9,67.6,23,0.56,58,0.5,29,0.276,16,0.688,11,20,200,93.8,33.3,10,14,76,11.1,9,0.293,17,0.412,7,51.6,33,0.579,27.0,24,41,0.537,22,0.231,6
2020-03-02,"Dee Events Center, Ogden, Utah",Idaho State,Weber State,Away,34.5,10,7.1,3,109.4,66.7,22,0.543,58,0.5,29,0.293,17,0.882,15,20,200,121.9,40.7,11,14,78,9.4,6,0.224,13,0.385,5,55.0,33,0.59,10.9,8,45,0.533,24,0.259,7
2020-03-05,"Reese Court, Cheney, Washington",Idaho State,Eastern Washington,Home,36.7,11,2.4,1,137.0,66.7,18,0.57,57,0.526,30,0.421,24,0.5,12,21,200,105.5,21.9,7,9,77,4.1,3,0.246,14,0.357,5,42.4,25,0.563,15.1,12,43,0.581,25,0.25,7
2020-03-07,"Cowan Spectrum, Moscow, Idaho",Idaho State,Idaho,Home,44.4,12,2.4,1,119.4,70.8,17,0.5,58,0.466,27,0.414,24,0.75,18,22,200,113.4,20.0,6,17,76,4.5,3,0.328,19,0.211,4,42.6,23,0.548,8.0,6,39,0.59,23,0.241,7
2020-03-11,"CenturyLink Arena, Boise, Idaho",Idaho State,Northern Arizona,Away,46.2,12,5.9,3,91.2,78.9,30,0.5,60,0.433,26,0.117,7,0.571,4,22,200,94.1,20.0,7,11,64,2.9,2,0.283,17,0.471,8,50.7,37,0.505,13.7,10,43,0.419,18,0.267,8
