date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Assembly Hall, Champaign, Illinois","SIU-Edwardsville
			",ILLINOIS,Home,61.1,22,15.8,6,94.5,71.8,28,0.6,65,0.554,36,0.4,26,0.692,18,0,200.0,131.5,43.3,13,20,96,4.1,3,0.277,18.0,0.333,6.0,59.4,41,0.621,10.5,9,47.0,0.638,30.0,1.0,1
2009-11-17,"Assembly Hall, Champaign, Illinois",NORTHERN-ILLINOIS,ILLINOIS,Home,55.6,15,20.4,10,78.2,61.5,26,0.468,62,0.435,27,0.484,30,0.733,22,0,200.0,102.6,37.5,10,16,80,9.0,7,0.21,13.0,0.308,4.0,50.7,36,0.525,15.7,14,49.0,0.469,23.0,1.0,2
2009-11-21,"Assembly Hall, Champaign, Illinois","Presbyterian
			",ILLINOIS,Home,69.2,27,13.3,4,76.2,77.1,28,0.618,72,0.542,39,0.097,7,0.714,5,0,200.0,149.2,76.9,19,14,94,11.1,7,0.361,26.0,0.423,11.0,77.0,47,0.624,10.7,9,46.0,0.609,28.0,1.0,3
2009-11-24,"Assembly Hall, Champaign, Illinois",WOFFORD,ILLINOIS,Home,67.9,19,12.0,3,103.2,66.7,24,0.653,49,0.571,28,0.449,22,0.636,14,0,200.0,125.8,19.0,4,16,78,8.1,5,0.286,14.0,0.571,8.0,49.1,28,0.656,12.0,8,35.0,0.571,20.0,1.0,4
2009-11-27,"Orleans Arena, Paradise, Nevada",UTAH,ILLINOIS,Away,43.5,10,2.6,1,87.0,78.6,24,0.398,59,0.39,23,0.22,13,0.846,11,1,200.0,84.1,20.0,5,19,58,7.2,5,0.153,9.0,0.111,1.0,46.0,29,0.445,13.4,10,50.0,0.44,22.0,0.8,4
2009-11-28,"Orleans Arena, Paradise, Nevada",BRADLEY,ILLINOIS,Away,44.0,11,2.9,1,101.4,77.8,30,0.429,63,0.397,25,0.238,15,0.933,14,2,200.0,95.8,41.7,13,15,68,7.0,5,0.286,18.0,0.222,4.0,59.7,43,0.485,17.7,15,45.0,0.467,21.0,0.667,4
2009-12-02,"Littlejohn Coliseum, Clemson, South Carolina",ILLINOIS,CLEMSON,Away,60.7,17,20.5,8,112.1,51.2,22,0.574,54,0.519,28,0.407,22,0.636,14,2,200.0,115.2,53.8,13,20,76,7.6,5,0.259,14.0,0.429,6.0,52.2,35,0.59,19.1,14,40.0,0.55,22.0,0.714,5
2009-12-05,"Assembly Hall, Champaign, Illinois",BOISE-STATE,ILLINOIS,Home,53.1,17,6.3,2,102.7,61.9,15,0.553,66,0.485,32,0.242,16,0.688,11,2,200.0,112.0,44.1,13,16,84,13.3,10,0.273,18.0,0.5,9.0,50.9,28,0.571,18.0,16,48.0,0.479,23.0,0.75,6
2009-12-08,"Assembly Hall, Champaign, Illinois",VANDERBILT,ILLINOIS,Home,62.5,20,14.7,5,101.5,70.0,23,0.667,54,0.593,32,0.241,13,0.538,7,2,200.0,117.9,30.4,5,13,79,7.5,5,0.278,15.0,0.533,8.0,52.8,28,0.656,19.0,14,39.0,0.615,24.0,0.778,7
2009-12-13,"Assembly Hall, Champaign, Illinois",WESTERN-MICHIGAN,ILLINOIS,Home,58.8,20,18.9,7,67.9,70.0,36,0.529,70,0.486,34,0.214,15,0.933,14,2,200.0,112.8,29.4,9,16,88,12.8,10,0.229,16.0,0.375,6.0,53.6,45,0.571,12.6,11,54.0,0.519,28.0,0.8,8
2009-12-19,"The Arena at Gwinnett Center, Duluth, Georgia",GEORGIA,ILLINOIS,Away,51.9,14,11.9,5,104.5,62.1,19,0.492,60,0.45,27,0.167,10,0.8,8,3,200.0,100.0,25.0,7,16,67,7.5,5,0.25,15.0,0.333,5.0,42.6,26,0.517,12.3,8,45.0,0.489,22.0,0.727,8
2009-12-23,"Scottrade Center, St. Louis, Missouri",MISSOURI,ILLINOIS,Away,48.1,13,4.7,2,106.6,63.2,25,0.434,68,0.397,27,0.206,14,0.643,9,4,200.0,89.5,52.6,19,14,68,11.8,9,0.265,18.0,0.278,5.0,57.9,44,0.455,22.9,21,50.0,0.44,22.0,0.667,8
2009-12-30,"Assembly Hall, Champaign, Illinois",NORTHWESTERN,ILLINOIS,Home,67.7,21,8.1,3,106.4,68.6,35,0.54,62,0.5,31,0.435,27,0.815,22,4,225.0,114.1,28.6,8,14,89,2.6,2,0.242,15.0,0.333,5.0,54.4,43,0.595,13.0,11,47.0,0.553,26.0,0.692,9
2010-01-02,"United Center, Chicago, Illinois",GONZAGA,ILLINOIS,Away,67.6,23,4.8,2,102.4,64.0,19,0.439,82,0.415,34,0.171,14,0.786,11,5,225.0,100.0,33.3,11,18,83,18.1,15,0.293,24.0,0.167,4.0,44.8,30,0.468,10.2,10,58.0,0.517,30.0,0.643,9
2010-01-05,"Assembly Hall, Champaign, Illinois",IOWA,ILLINOIS,Home,78.3,18,9.5,2,71.2,69.2,20,0.464,56,0.411,23,0.161,9,0.778,7,5,200.0,100.0,41.4,10,16,59,11.9,7,0.268,15.0,0.4,6.0,54.5,30,0.489,15.5,10,41.0,0.415,17.0,0.667,10
2010-01-09,"Assembly Hall, Bloomington, Indiana",ILLINOIS,INDIANA,Away,72.2,13,13.9,5,89.6,72.7,26,0.424,46,0.391,18,0.848,39,0.692,27,5,200.0,98.5,33.3,8,17,66,13.4,9,0.283,13.0,0.231,3.0,54.0,34,0.511,14.8,11,33.0,0.455,15.0,0.688,11
2010-01-12,"Assembly Hall, Champaign, Illinois",PENN-STATE,ILLINOIS,Home,66.7,14,23.3,7,88.3,58.8,22,0.463,54,0.389,21,0.111,6,0.667,4,5,200.0,90.0,22.2,4,8,54,6.7,4,0.278,15.0,0.533,8.0,42.6,26,0.475,15.0,10,39.0,0.333,13.0,0.706,12
2010-01-16,"Breslin Events Center, East Lansing, Michigan",ILLINOIS,MICHIGAN-STATE,Home,59.1,13,2.2,1,100.0,54.8,19,0.397,63,0.349,22,0.254,16,0.813,13,6,200.0,86.3,34.2,11,19,63,9.6,7,0.397,25.0,0.24,6.0,43.5,30,0.446,19.5,17,38.0,0.421,16.0,0.667,12
2010-01-19,"Assembly Hall, Champaign, Illinois",PURDUE,ILLINOIS,Away,48.1,13,12.5,5,112.0,52.0,16,0.462,66,0.409,27,0.439,29,0.586,17,7,200.0,104.0,42.5,14,25,78,6.7,5,0.273,18.0,0.389,7.0,46.2,30,0.489,15.1,13,48.0,0.417,20.0,0.632,12
2010-01-23,"Welsh-Ryan Arena, Evanston, Illinois",ILLINOIS,NORTHWESTERN,Home,61.5,16,16.7,4,114.1,67.7,23,0.617,47,0.553,26,0.319,15,0.667,10,8,200.0,106.3,25.0,4,26,68,4.7,3,0.34,16.0,0.375,6.0,49.1,27,0.628,23.0,15,31.0,0.645,20.0,0.6,12
2010-01-27,"Bryce Jordan Center, University Park, Pennsylvania",ILLINOIS,PENN-STATE,Away,72.0,18,12.9,4,103.1,77.8,28,0.615,48,0.521,25,0.521,25,0.72,18,8,200.0,118.5,21.7,5,18,77,3.1,2,0.375,18.0,0.5,9.0,55.9,33,0.643,13.2,8,30.0,0.533,16.0,0.619,13
