date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-09,"Tom Gola Arena, Philadelphia, Pennsylvania",Iona,La Salle,Home,61.9,13,14.0,6,86.4,68.3,28,0.357,70,0.3,21,0.286,20,0.7,14,1,225,79.0,29.8,14,23,64,12.3,10,0.571,40,0.2,8,47.7,42,0.403,17.7,17,30,0.433,13,0.0,0
2019-11-13,"Hynes Athletics Center, New Rochelle, New York",Ohio,Iona,Away,50.0,12,18.5,5,108.0,82.6,19,0.491,57,0.421,24,0.316,18,0.889,16,2,200,96.0,20.7,6,18,72,17.3,13,0.439,25,0.32,8,48.1,25,0.549,20.8,17,32,0.5,16,0.0,0
2019-11-22,"HP Field House, Orlando, Florida",Stetson,Iona,Home,78.9,15,8.0,2,85.9,83.9,26,0.479,48,0.396,19,0.563,27,0.519,14,2,200,93.8,32.4,11,15,60,7.8,5,0.604,29,0.276,8,56.9,37,0.493,18.9,14,19,0.579,11,0.333,1
2019-11-23,"HP Field House, Orlando, Florida",Iona,Kennesaw State,Away,78.3,18,14.6,7,77.6,56.8,25,0.528,53,0.434,23,0.453,24,0.792,19,2,200,111.9,44.8,13,20,75,10.4,7,0.434,23,0.435,10,52.1,38,0.582,17.0,13,30,0.433,13,0.5,2
2019-12-04,"Harry A. Gampel Pavilion, Storrs, Connecticut",Iona,UConn,Home,29.2,7,4.4,2,112.7,52.8,19,0.441,59,0.407,24,0.22,13,0.769,10,3,200,87.3,26.5,9,17,62,12.7,9,0.322,19,0.211,4,40.0,28,0.476,18.8,15,40,0.5,20,0.4,2
2019-12-17,"Barclays Center, Brooklyn, New York",Princeton,Iona,Away,53.3,16,8.3,2,113.9,87.0,20,0.604,53,0.566,30,0.547,29,0.759,22,4,225,108.9,18.2,4,21,86,11.4,9,0.302,16,0.25,4,53.3,24,0.644,20.5,17,37,0.703,26,0.333,2
2019-12-29,"Coors Events/Conference Center, Boulder, Colorado",Iona,Colorado,Home,44.4,8,9.4,3,126.9,66.7,18,0.35,60,0.3,18,0.25,15,0.8,12,5,200,69.2,7.5,3,19,54,14.1,11,0.467,28,0.214,6,31.3,21,0.402,18.4,15,32,0.375,12,0.286,2
2020-01-03,"Hynes Athletics Center, New Rochelle, New York",St. Peter's,Iona,Away,58.3,14,16.2,6,102.7,62.2,23,0.566,53,0.453,24,0.396,21,0.667,14,6,200,101.4,21.9,7,21,74,12.3,9,0.528,28,0.429,12,43.5,30,0.588,20.4,16,25,0.48,12,0.25,2
2020-01-05,"Multipurpose Activity Center, West Long Branch, New Jersey",Iona,Monmouth,Home,66.7,12,6.3,2,105.8,71.4,20,0.468,47,0.383,18,0.426,20,0.85,17,7,200,88.4,32.1,9,27,61,8.7,6,0.426,20,0.4,8,51.8,29,0.54,26.4,20,27,0.37,10,0.222,2
2020-01-10,"Alumni Gymnasium, Lawrenceville, New Jersey",Iona,Rider,Away,44.4,12,0.0,0,95.7,76.5,26,0.596,52,0.519,27,0.192,10,0.7,7,7,200,100.0,21.7,5,19,69,11.6,8,0.423,22,0.364,8,54.4,31,0.608,24.2,18,30,0.633,19,0.3,3
