date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-08,"Carver-Hawkeye Arena, Iowa City, Iowa",SIU-Edwardsville,Iowa,Home,65.4,17,9.1,4,80.0,80.0,24,0.536,56,0.464,26,0.571,32,0.844,27,0,200,116.0,24.1,7,8,87,12.0,9,0.446,25,0.32,8,52.5,31,0.611,14.6,12,31,0.581,18,1.0,1
2019-11-11,"Carver-Hawkeye Arena, Iowa City, Iowa",DePaul,Iowa,Away,50.0,12,5.4,2,113.4,79.2,19,0.482,56,0.429,24,0.571,32,0.75,24,1,201,95.1,21.9,7,16,78,12.2,10,0.321,18,0.333,6,46.4,26,0.548,21.3,19,38,0.474,18,0.5,1
2019-11-15,"Carver-Hawkeye Arena, Iowa City, Iowa",Oral Roberts,Iowa,Home,65.6,21,7.1,3,98.7,78.1,25,0.529,68,0.471,32,0.382,26,0.577,15,1,200,116.0,38.5,15,17,87,6.7,5,0.353,24,0.333,8,56.3,40,0.541,9.1,8,44,0.545,24,0.667,2
2019-11-21,"Carver-Hawkeye Arena, Iowa City, Iowa",North Florida,Iowa,Home,68.8,22,21.9,7,100.0,75.8,25,0.486,72,0.444,32,0.278,20,0.65,13,1,200,122.1,44.2,19,10,83,4.4,3,0.306,22,0.273,6,57.9,44,0.509,6.9,6,50,0.52,26,0.75,3
2019-11-24,"Carver-Hawkeye Arena, Iowa City, Iowa",Cal Poly,Iowa,Home,70.0,21,14.0,6,80.8,77.8,28,0.588,57,0.526,30,0.509,29,0.621,18,1,200,116.4,33.3,11,9,85,11.0,8,0.281,16,0.438,7,56.5,39,0.6,13.6,11,41,0.561,23,0.8,4
2019-11-28,"Orleans Arena, Paradise, Nevada",Texas Tech,Iowa,Home,87.0,20,8.1,3,82.4,76.9,30,0.509,56,0.411,23,0.339,19,0.789,15,1,200,97.3,12.5,4,21,72,10.8,8,0.482,27,0.407,11,47.9,34,0.554,17.9,14,29,0.414,12,0.833,5
2019-11-29,"Orleans Arena, Paradise, Nevada",Iowa,San Diego State,Home,69.6,16,0.0,0,120.3,76.2,16,0.482,57,0.404,23,0.351,20,0.9,18,2,200,105.8,34.4,11,20,73,11.6,8,0.404,23,0.391,9,50.9,27,0.549,16.5,13,34,0.412,14,0.714,5
2019-12-03,"Carrier Dome, Syracuse, New York",Iowa,Syracuse,Away,65.4,17,3.2,1,83.1,75.0,24,0.516,61,0.426,26,0.131,8,0.625,5,2,200,104.6,33.3,11,15,68,15.4,10,0.557,34,0.324,11,53.8,35,0.525,13.4,10,27,0.556,15,0.75,6
2019-12-06,"Crisler Arena, Ann Arbor, Michigan",Iowa,Michigan,Home,37.1,13,0.0,0,137.3,56.0,14,0.493,74,0.473,35,0.324,24,0.75,18,3,200,121.3,35.9,14,22,91,1.3,1,0.203,15,0.2,3,43.8,28,0.533,7.6,7,59,0.542,32,0.667,6
2019-12-09,"Carver-Hawkeye Arena, Iowa City, Iowa",Minnesota,Iowa,Home,76.9,20,9.4,3,78.8,76.5,26,0.508,61,0.426,26,0.23,14,0.714,10,3,200,109.1,30.3,10,13,72,9.1,6,0.344,21,0.476,10,53.7,36,0.532,10.6,8,40,0.4,16,0.7,7
