date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-17,"Pete Mathews Coliseum, Jacksonville, Alabama",ALABAMA-BIRMINGHAM,JACKSONVILLE-STATE,Away,61.9,13,16.3,7,131.8,53.3,20,0.385,61,0.344,21,0.328,20,0.75,15,1,200.0,93.9,50.0,15,22,62,7.6,5,0.262,16.0,0.313,5.0,51.5,35,0.44,16.7,14,45.0,0.356,16.0,0.5,1
2009-11-21,"Pete Mathews Coliseum, Jacksonville, Alabama",GEORGIA-SOUTHERN,JACKSONVILLE-STATE,Home,76.5,26,9.8,4,95.7,51.4,20,0.617,60,0.567,34,0.367,22,0.682,15,1,200.0,127.1,64.0,15,16,89,10.0,7,0.2,12.0,0.5,6.0,56.5,35,0.632,18.7,16,48.0,0.583,28.0,0.667,2
2009-11-24,"University Center, Hammond, Louisiana",JACKSONVILLE-STATE,SOUTHEASTERN-LOUISIANA,Home,30.8,8,2.6,1,113.2,78.3,19,0.459,61,0.426,26,0.344,21,0.81,17,2,200.0,107.4,44.4,15,18,73,7.4,5,0.262,16.0,0.25,4.0,57.6,34,0.514,15.6,13,45.0,0.489,22.0,0.5,2
2009-11-27,"Stegeman Coliseum, Athens, Georgia",JACKSONVILLE-STATE,GEORGIA,Home,36.0,9,10.3,4,103.1,68.8,23,0.519,52,0.481,25,0.327,17,0.588,10,3,200.0,98.5,18.8,5,16,64,9.2,6,0.212,11.0,0.364,4.0,43.8,28,0.533,14.4,10,41.0,0.512,21.0,0.4,2
2009-12-01,"Pete Mathews Coliseum, Jacksonville, Alabama",CHATTANOOGA,JACKSONVILLE-STATE,Away,69.6,16,15.8,6,117.6,66.7,21,0.537,54,0.426,23,0.389,21,0.619,13,4,200.0,104.4,40.6,10,20,71,8.8,6,0.556,30.0,0.4,12.0,52.5,31,0.555,20.2,15,24.0,0.458,11.0,0.333,2
2009-12-05,"Pete Mathews Coliseum, Jacksonville, Alabama",TENNESSEE-TECH,JACKSONVILLE-STATE,Home,80.0,20,7.1,3,109.1,69.7,23,0.63,46,0.543,25,0.696,32,0.781,25,4,200.0,125.8,33.3,7,18,83,3.0,2,0.348,16.0,0.5,8.0,55.6,30,0.678,15.5,11,30.0,0.567,17.0,0.429,3
2009-12-15,"Pete Mathews Coliseum, Jacksonville, Alabama",NORFOLK-STATE,JACKSONVILLE-STATE,Home,87.1,27,12.2,6,108.3,54.1,21,0.602,64,0.484,31,0.359,23,0.783,18,4,200.0,131.9,50.0,14,12,95,8.3,6,0.453,29.0,0.517,15.0,52.2,35,0.634,13.9,12,35.0,0.457,16.0,0.556,5
2009-12-21,"Pete Mathews Coliseum, Jacksonville, Alabama",NICHOLLS-STATE,JACKSONVILLE-STATE,Away,66.7,12,15.4,4,100.0,62.5,17,0.436,47,0.383,18,0.362,17,0.824,14,5,200.0,91.7,38.5,8,20,55,13.3,8,0.362,17.0,0.294,5.0,50.0,25,0.499,22.7,16,30.0,0.433,13.0,0.5,5
2009-12-29,"C.M. Tad Smith Coliseum, University, Mississippi",JACKSONVILLE-STATE,MISSISSIPPI,Home,56.0,14,5.3,2,138.5,44.1,18,0.424,66,0.379,25,0.318,21,0.905,19,6,200.0,115.4,36.6,12,17,75,9.2,6,0.242,16.0,0.375,6.0,40.0,30,0.494,5.0,4,50.0,0.38,19.0,0.455,5
2010-01-02,"Lantz Arena, Charleston, Illinois",JACKSONVILLE-STATE,EASTERN-ILLINOIS,Home,50.0,9,9.5,4,76.9,57.6,22,0.331,62,0.29,18,0.161,10,0.7,7,7,200.0,73.8,33.3,11,18,48,6.2,4,0.306,19.0,0.263,5.0,44.0,33,0.36,16.4,13,43.0,0.302,13.0,0.417,5
2010-01-09,"Pete Mathews Coliseum, Jacksonville, Alabama",MOREHEAD-STATE,JACKSONVILLE-STATE,Away,78.3,18,14.3,5,114.7,68.6,24,0.576,46,0.5,23,0.543,25,0.72,18,9,200.0,104.4,22.7,5,20,71,10.3,7,0.304,14.0,0.5,7.0,50.9,29,0.613,19.7,13,32.0,0.5,16.0,0.4,6
2010-01-14,"Regional Special Events Center, Murray, Kentucky",JACKSONVILLE-STATE,MURRAY-STATE,Home,61.9,13,11.9,5,122.7,60.0,19,0.435,54,0.389,21,0.5,27,0.778,21,10,200.0,90.7,31.3,9,19,68,10.7,8,0.315,17.0,0.294,5.0,45.2,28,0.509,21.5,18,37.0,0.432,16.0,0.375,6
2010-01-16,"Skyhawk Arena, Martin, Tennessee",JACKSONVILLE-STATE,TENNESSEE-MARTIN,Away,81.5,22,8.8,5,81.8,66.7,35,0.518,57,0.474,27,0.404,23,0.609,14,10,200.0,94.8,34.5,9,20,73,3.9,3,0.193,11.0,0.455,5.0,55.0,44,0.537,23.0,20,46.0,0.478,22.0,0.412,7
2010-01-21,"Pete Mathews Coliseum, Jacksonville, Alabama",TENNESSEE-STATE,JACKSONVILLE-STATE,Home,63.6,21,9.1,3,88.2,67.6,26,0.565,62,0.532,33,0.371,23,0.652,15,10,200.0,111.8,40.6,12,17,85,13.2,10,0.21,13.0,0.308,4.0,55.1,38,0.583,20.0,18,49.0,0.592,29.0,0.444,8
2010-01-23,"Pete Mathews Coliseum, Jacksonville, Alabama",AUSTIN-PEAY,JACKSONVILLE-STATE,Away,76.0,19,11.4,5,93.0,67.5,29,0.439,66,0.379,25,0.197,13,0.462,6,11,225.0,90.1,31.6,10,19,64,11.3,8,0.394,26.0,0.308,8.0,50.0,39,0.443,11.1,9,40.0,0.425,17.0,0.421,8
2010-01-30,"Pete Mathews Coliseum, Jacksonville, Alabama",EASTERN-ILLINOIS,JACKSONVILLE-STATE,Home,75.0,15,25.6,10,84.6,57.6,19,0.547,43,0.465,20,0.744,32,0.719,23,11,200.0,107.7,28.6,6,16,70,13.8,9,0.349,15.0,0.467,7.0,46.3,25,0.601,19.7,13,28.0,0.464,13.0,0.476,10
2010-02-04,"Ellis T. Johnson Arena, Morehead, Kentucky",JACKSONVILLE-STATE,MOREHEAD-STATE,Home,45.8,11,5.7,2,136.2,51.4,18,0.651,43,0.558,24,0.651,28,0.679,19,12,200.0,108.7,8.0,2,18,75,10.1,7,0.256,11.0,0.727,8.0,33.3,20,0.666,19.0,13,32.0,0.5,16.0,0.455,10
2010-02-11,"Pete Mathews Coliseum, Jacksonville, Alabama",TENNESSEE-MARTIN,JACKSONVILLE-STATE,Home,70.8,17,13.0,6,91.9,75.0,27,0.519,52,0.462,24,0.654,34,0.765,26,13,200.0,108.1,27.6,8,19,80,12.2,9,0.212,11.0,0.545,6.0,53.8,35,0.587,15.2,12,41.0,0.439,18.0,0.458,11
2010-02-13,"Pete Mathews Coliseum, Jacksonville, Alabama",MURRAY-STATE,JACKSONVILLE-STATE,Away,61.5,16,21.6,8,110.3,66.7,17,0.46,62,0.419,26,0.258,16,0.625,10,14,200.0,98.5,30.6,10,20,67,10.3,7,0.242,15.0,0.333,5.0,45.0,27,0.481,12.7,10,47.0,0.447,21.0,0.44,11
2010-02-15,"Winfield Dunn Center, Clarksville, Tennessee",JACKSONVILLE-STATE,AUSTIN-PEAY,Home,45.8,11,9.1,4,122.1,55.6,13,0.404,68,0.353,24,0.176,12,0.667,8,15,200.0,92.6,41.5,14,18,63,13.2,9,0.397,27.0,0.259,7.0,45.8,27,0.427,13.1,11,41.0,0.415,17.0,0.423,11
2010-02-17,"Gentry Center Complex, Nashville, Tennessee",JACKSONVILLE-STATE,TENNESSEE-STATE,Home,45.5,10,7.1,2,116.9,69.2,19,0.454,54,0.407,22,0.185,10,0.8,8,16,200.0,87.7,36.7,10,19,57,7.7,5,0.315,17.0,0.294,5.0,51.8,29,0.485,23.6,18,37.0,0.459,17.0,0.407,11
2010-02-20,"Pete Mathews Coliseum, Jacksonville, Alabama","Presbyterian
			",JACKSONVILLE-STATE,Away,73.7,14,5.9,2,92.2,87.5,23,0.4,50,0.38,19,0.36,18,0.833,15,17,200.0,85.9,31.0,7,21,55,12.5,8,0.24,12.0,0.167,2.0,56.6,30,0.47,19.5,14,38.0,0.447,17.0,0.393,11
