date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-12,"Value City Arena, Columbus, Ohio",JAMES-MADISON,OHIO-STATE,Home,37.5,6,2.0,1,105.9,65.7,25,0.346,52,0.308,16,0.231,12,0.667,8,1,200.0,64.7,23.3,5,14,44,4.4,3,0.423,22.0,0.182,4.0,46.2,30,0.381,21.8,16,30.0,0.4,12.0,0.0,0
2009-11-20,"US Century Bank Arena, Miami, Florida",MURRAY-STATE,JAMES-MADISON,Away,50.0,8,15.2,7,101.4,47.1,20,0.307,57,0.281,16,0.246,14,0.571,8,2,200.0,61.4,24.3,5,21,43,12.9,9,0.404,23.0,0.13,3.0,35.2,25,0.338,20.2,16,34.0,0.382,13.0,0.0,0
2009-11-22,"US Century Bank Arena, Miami, Florida",JAMES-MADISON,FLORIDA-INTERNATIONAL,Away,64.3,18,2.7,1,103.0,65.0,27,0.651,53,0.528,28,0.321,17,0.706,12,2,200.0,122.7,34.6,8,19,81,4.5,3,0.453,24.0,0.542,13.0,53.0,35,0.663,18.8,14,29.0,0.517,15.0,0.333,1
2009-11-23,"US Century Bank Arena, Miami, Florida",JAMES-MADISON,"North Carolina Central
			",Away,62.1,18,12.5,6,93.0,59.0,23,0.604,53,0.547,29,0.377,20,0.75,15,2,200.0,111.3,32.0,8,12,79,11.3,8,0.396,21.0,0.286,6.0,48.4,31,0.632,21.6,16,32.0,0.719,23.0,0.5,2
2009-11-28,"JMU Convocation Center, Harrisonburg, Virginia",MARYLAND-BALTIMORE-COUNTY,JAMES-MADISON,Home,83.3,15,16.3,8,79.7,60.6,23,0.44,50,0.36,18,0.32,16,0.563,9,2,200.0,82.8,27.6,5,11,53,10.9,7,0.52,26.0,0.308,8.0,45.2,28,0.46,19.7,14,24.0,0.417,10.0,0.6,3
2009-12-02,"JMU Convocation Center, Harrisonburg, Virginia",NORFOLK-STATE,JAMES-MADISON,Home,46.2,12,10.0,4,90.1,72.0,20,0.425,67,0.388,26,0.284,19,0.789,15,2,200.0,101.4,35.9,12,12,72,11.3,8,0.403,27.0,0.185,5.0,50.0,32,0.474,9.6,8,40.0,0.525,21.0,0.667,4
2009-12-05,"JMU Convocation Center, Harrisonburg, Virginia",GEORGIA-STATE,JAMES-MADISON,Away,73.3,11,14.3,5,81.7,46.4,15,0.375,44,0.341,15,0.341,15,0.733,11,3,200.0,73.3,37.9,9,19,44,11.7,7,0.341,15.0,0.2,3.0,42.1,24,0.43,27.3,18,29.0,0.414,12.0,0.571,4
2009-12-12,"Convocation Center, Ypsilanti, Michigan",JAMES-MADISON,EASTERN-MICHIGAN,Home,60.7,17,7.9,3,107.1,65.1,29,0.492,61,0.459,28,0.18,11,0.364,4,4,200.0,91.4,31.3,9,19,64,4.3,3,0.311,19.0,0.211,4.0,50.7,38,0.483,17.5,14,42.0,0.571,24.0,0.5,4
2009-12-17,"Paul Porter Arena, Boiling Springs, North Carolina",JAMES-MADISON,GARDNER-WEBB,Away,74.2,23,8.9,4,82.6,72.7,26,0.542,59,0.525,31,0.322,19,0.737,14,4,200.0,113.0,56.7,15,12,78,7.2,5,0.203,12.0,0.167,2.0,65.1,41,0.573,21.1,18,47.0,0.617,29.0,0.556,5
2009-12-23,"JMU Convocation Center, Harrisonburg, Virginia",FORDHAM,JAMES-MADISON,Home,74.1,20,8.8,5,92.4,69.8,30,0.525,59,0.458,27,0.61,36,0.639,23,4,200.0,107.6,42.4,14,17,85,5.1,4,0.373,22.0,0.364,8.0,57.9,44,0.558,17.6,16,37.0,0.514,19.0,0.6,6
2009-12-29,"Maples Pavilion, Stanford, California",JAMES-MADISON,STANFORD,Home,39.3,11,3.6,2,106.7,55.8,25,0.593,54,0.519,28,0.278,15,0.8,12,5,200.0,101.3,50.0,11,21,76,6.7,5,0.333,18.0,0.444,8.0,53.7,36,0.622,30.0,26,36.0,0.556,20.0,0.545,6
