date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"CenturyLink Center, Omaha, Nebraska",Kennesaw State,Creighton,Home,40.9,9,5.3,2,109.5,76.5,26,0.398,59,0.373,22,0.22,13,0.615,8,1,200,74.3,17.5,7,14,55,6.8,5,0.339,20,0.15,3,44.6,33,0.422,20.8,17,39,0.487,19,0.0,0
2019-11-07,"Knapp Center, Des Moines, Iowa",Kennesaw State,Drake,Home,47.4,9,13.3,4,128.4,79.2,19,0.382,55,0.345,19,0.291,16,0.813,13,2,200,82.1,23.5,8,9,55,11.9,8,0.291,16,0.25,4,46.6,27,0.439,16.2,12,39,0.385,15,0.0,0
2019-11-11,"Hawkins Arena, Macon, Georgia",Kennesaw State,Mercer,Home,47.4,9,5.3,2,94.9,69.2,27,0.358,60,0.317,19,0.45,27,0.704,19,3,200,79.5,30.0,12,22,62,6.4,5,0.233,14,0.357,5,49.4,39,0.426,20.9,19,46,0.304,14,0.0,0
2019-11-22,"HP Field House, Orlando, Florida",Monmouth,Kennesaw State,Away,36.4,4,6.1,2,101.4,83.9,26,0.255,47,0.234,11,0.404,19,0.842,16,4,200,57.1,14.7,5,20,40,2.9,2,0.34,16,0.125,2,47.7,31,0.357,26.5,20,31,0.29,9,0.0,0
2019-11-23,"HP Field House, Orlando, Florida",Iona,Kennesaw State,Away,61.9,13,0.0,0,111.9,55.2,16,0.363,62,0.339,21,0.306,19,0.368,7,5,200,77.6,43.2,19,18,52,9.0,6,0.226,14,0.214,3,47.9,35,0.366,19.5,17,48,0.375,18,0.0,0
2019-12-02,"Schar Center, Elon, North Carolina",Kennesaw State,Elon,Home,23.5,4,12.5,3,107.7,96.4,27,0.321,56,0.304,17,0.232,13,0.769,10,6,200,70.8,36.1,13,20,46,7.7,5,0.321,18,0.111,2,62.5,40,0.37,20.6,16,38,0.395,15,0.0,0
2019-12-04,"Fleming Gymnasium, Greensboro, North Carolina",Kennesaw State,UNC Greensboro,Home,26.7,4,0.0,0,110.8,62.1,18,0.434,38,0.395,15,0.895,34,0.618,21,7,200,83.1,39.3,11,20,54,10.8,7,0.211,8,0.375,3,50.9,29,0.499,26.4,19,30,0.4,12,0.0,0
2019-12-07,"KSU Convocation Center , Kennesaw, Georgia",Florida International,Kennesaw State,Away,35.7,10,10.4,5,105.0,65.7,23,0.469,64,0.438,28,0.516,33,0.636,21,8,200,101.3,48.6,18,20,81,8.8,7,0.203,13,0.308,4,56.9,41,0.508,16.0,15,51,0.471,24,0.0,0
2019-12-13,"KSU Convocation Center , Kennesaw, Georgia",Gardner-Webb,Kennesaw State,Home,62.1,18,2.6,1,89.7,79.5,31,0.574,61,0.475,29,0.311,19,0.789,15,8,200,125.0,27.6,8,15,85,2.9,2,0.459,28,0.429,12,57.4,39,0.607,8.0,6,33,0.515,17,0.111,1
2019-12-16,"CFSB Center, Murray, Kentucky",Kennesaw State,Murray State,Home,27.3,3,2.9,1,105.7,78.4,29,0.267,45,0.244,11,0.467,21,0.667,14,9,200,54.3,8.3,3,16,38,1.4,1,0.333,15,0.133,2,43.8,32,0.346,23.9,17,30,0.3,9,0.1,1
2019-12-18,"Curb Event Center, Nashville, Tennessee",Kennesaw State,Belmont,Home,35.0,7,2.5,1,113.7,88.9,24,0.339,62,0.323,20,0.065,4,0.5,2,10,200,60.3,26.8,11,12,44,6.8,5,0.274,17,0.118,2,51.5,35,0.344,23.0,19,45,0.4,18,0.091,1
2019-12-22,"KSU Convocation Center , Kennesaw, Georgia",Wofford,Kennesaw State,Away,45.5,10,7.9,3,122.1,61.1,22,0.553,47,0.468,22,0.489,23,0.783,18,11,200,102.9,11.1,3,18,70,5.9,4,0.426,20,0.4,8,39.7,25,0.604,16.1,11,27,0.519,14,0.083,1
2019-12-29,"Carver-Hawkeye Arena, Iowa City, Iowa",Kennesaw State,Iowa,Home,36.8,7,2.0,1,129.2,71.4,20,0.398,54,0.352,19,0.185,10,0.8,8,12,200,70.8,30.3,10,15,51,2.8,2,0.333,18,0.278,5,49.2,30,0.434,29.1,24,36,0.389,14,0.077,1
2020-01-02,"KSU Convocation Center , Kennesaw, Georgia",North Florida,Kennesaw State,Away,57.1,12,2.5,1,113.4,70.6,24,0.426,54,0.389,21,0.278,15,0.733,11,13,200,85.1,31.3,10,13,57,1.5,1,0.222,12,0.333,4,51.5,34,0.466,20.9,16,42,0.405,17,0.071,1
2020-01-04,"KSU Convocation Center , Kennesaw, Georgia",Stetson,Kennesaw State,Away,40.0,8,10.3,3,86.4,70.0,14,0.429,56,0.357,20,0.25,14,0.429,6,14,200,81.8,23.3,7,18,54,7.6,5,0.375,21,0.381,8,42.0,21,0.431,13.9,10,35,0.343,12,0.067,1
2020-01-09,"Allen Arena, Nashville, Tennessee",Kennesaw State,Lipscomb,Home,33.3,9,12.8,5,118.1,64.7,22,0.555,55,0.491,27,0.291,16,0.75,12,15,200,101.4,7.4,2,13,73,8.3,6,0.345,19,0.368,7,39.3,24,0.583,15.1,11,36,0.556,20,0.062,1
2020-01-16,"Alico Arena, Fort Myers, Florida",Kennesaw State,Florida Gulf Coast,Home,35.7,5,4.5,2,94.8,56.8,21,0.239,67,0.209,14,0.328,22,0.864,19,16,200,66.2,26.5,13,19,51,16.9,13,0.313,21,0.19,4,39.5,34,0.329,14.5,13,46,0.217,10,0.059,1
2020-01-18,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",Kennesaw State,NJIT,Home,35.3,6,2.7,1,101.5,70.6,24,0.336,55,0.309,17,0.236,13,0.846,11,17,200,73.8,25.0,8,16,48,10.8,7,0.327,18,0.167,3,48.5,32,0.392,16.5,12,37,0.378,14,0.056,1
2020-01-23,"KSU Convocation Center , Kennesaw, Georgia",North Alabama,Kennesaw State,Away,31.6,6,6.9,2,96.3,70.0,14,0.351,57,0.333,19,0.491,28,0.643,18,18,200,71.6,13.5,5,20,58,11.1,9,0.246,14,0.143,2,33.3,19,0.413,18.8,16,43,0.395,17,0.053,1
2020-01-25,"KSU Convocation Center , Kennesaw, Georgia",Jacksonville,Kennesaw State,Away,33.3,7,5.6,2,118.6,69.2,18,0.393,56,0.375,21,0.429,24,0.833,20,19,200,91.4,20.0,6,19,64,10.0,7,0.214,12,0.167,2,42.9,24,0.475,13.1,10,44,0.432,19,0.05,1
2020-01-30,"Vines Center, Lynchburg, Virginia",Kennesaw State,Liberty,Home,50.0,8,0.0,0,140.7,47.6,10,0.419,43,0.372,16,0.302,13,0.692,9,20,200,76.3,14.8,4,17,45,5.1,3,0.302,13,0.308,4,29.2,14,0.458,21.1,13,30,0.4,12,0.048,1
2020-02-01,"UNF Arena , Jacksonville, Florida",Kennesaw State,North Florida,Home,33.3,6,0.0,0,130.3,67.9,19,0.286,63,0.286,18,0.222,14,0.643,9,21,200,68.2,28.6,12,23,45,4.5,3,0.111,7,0.0,0,44.3,31,0.323,11.5,9,56,0.321,18,0.045,1
2020-02-08,"KSU Convocation Center , Kennesaw, Georgia",Lipscomb,Kennesaw State,Away,33.3,8,0.0,0,104.3,76.7,23,0.418,61,0.393,24,0.328,20,0.75,15,22,200,95.7,25.7,9,20,66,7.2,5,0.262,16,0.188,3,49.2,32,0.468,10.3,8,45,0.467,21,0.043,1
2020-02-13,"KSU Convocation Center , Kennesaw, Georgia",Florida Gulf Coast,Kennesaw State,Away,59.1,13,8.1,3,112.9,57.1,16,0.49,50,0.44,22,0.3,15,0.6,9,23,200,93.5,9.4,3,12,58,9.7,6,0.32,16,0.313,5,31.7,19,0.508,15.0,10,34,0.5,17,0.042,1
2020-02-15,"Edmunds Center, DeLand, Florida",Kennesaw State,Stetson,Home,50.0,8,6.1,2,92.2,78.6,22,0.385,48,0.333,16,0.229,11,0.455,5,24,200,65.6,12.9,4,19,42,9.4,6,0.438,21,0.238,5,44.1,26,0.395,23.2,16,27,0.407,11,0.04,1
2020-02-20,"Flowers Hall, Florence, Alabama",Kennesaw State,North Alabama,Home,31.3,5,8.6,3,101.6,61.3,19,0.38,46,0.348,16,0.37,17,0.647,11,25,200,71.9,3.3,1,22,46,6.3,4,0.326,15,0.2,3,32.8,20,0.425,18.3,12,31,0.419,13,0.038,1
2020-02-22,"Swisher Gymnasium, Jacksonville, Florida",Kennesaw State,Jacksonville,Home,41.2,7,5.1,2,98.6,65.6,21,0.373,55,0.309,17,0.327,18,0.778,14,26,200,78.6,15.4,6,9,55,7.1,5,0.455,25,0.28,7,38.0,27,0.433,17.1,13,30,0.333,10,0.037,1
