date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Maravich Assembly Center, Baton Rouge, Louisiana",LOUISIANA-MONROE,LOUISIANA-STATE,Home,61.3,19,9.1,4,83.8,65.6,25,0.5,67,0.463,31,0.299,20,0.75,15,0,200.0,110.8,48.5,12,16,82,14.9,11,0.313,21.0,0.238,5.0,56.9,37,0.536,14.6,13,46.0,0.565,26.0,1.0,1
2009-11-16,"Maravich Assembly Center, Baton Rouge, Louisiana",INDIANA-STATE,LOUISIANA-STATE,Home,30.4,7,9.7,3,77.6,79.3,24,0.343,67,0.343,23,0.179,12,0.833,10,0,200.0,96.6,58.5,23,16,56,6.9,4,0.224,15.0,0.0,0.0,67.1,47,0.385,12.2,8,52.0,0.442,23.0,1.0,2
2009-11-17,"Maravich Assembly Center, Baton Rouge, Louisiana",WESTERN-KENTUCKY,LOUISIANA-STATE,Home,54.2,13,7.3,3,92.3,67.5,29,0.52,51,0.471,24,0.451,23,0.783,18,0,200.0,109.2,39.3,9,9,71,6.2,4,0.294,15.0,0.333,5.0,55.9,38,0.573,17.5,12,36.0,0.528,19.0,1.0,3
2009-11-25,"Madison Square Garden (IV), New York, New York",CONNECTICUT,LOUISIANA-STATE,Away,39.1,9,7.3,4,117.4,44.1,19,0.387,62,0.371,23,0.21,13,0.538,7,1,200.0,79.7,30.8,8,21,55,10.1,7,0.161,10.0,0.2,2.0,37.0,27,0.403,15.1,12,52.0,0.404,21.0,0.75,3
2009-11-27,"Madison Square Garden (IV), New York, New York",ARIZONA-STATE,LOUISIANA-STATE,Away,58.8,10,7.4,2,124.6,65.0,14,0.433,45,0.378,17,0.467,21,0.619,13,2,200.0,91.2,39.3,10,21,52,7.0,4,0.222,10.0,0.5,5.0,50.0,24,0.473,19.3,12,35.0,0.343,12.0,0.6,3
2009-12-01,"Maravich Assembly Center, Baton Rouge, Louisiana",LOUISIANA-LAFAYETTE,LOUISIANA-STATE,Home,57.1,12,6.8,3,95.1,65.6,26,0.452,52,0.404,21,0.538,28,0.679,19,2,200.0,108.2,61.3,14,14,66,9.8,6,0.231,12.0,0.417,5.0,63.5,40,0.505,16.8,12,40.0,0.4,16.0,0.667,4
2009-12-12,"Maravich Assembly Center, Baton Rouge, Louisiana",NORTHWESTERN-STATE,LOUISIANA-STATE,Home,46.2,12,7.9,3,92.5,80.6,26,0.5,56,0.464,26,0.464,26,0.654,17,2,200.0,109.0,54.3,18,20,73,13.4,9,0.232,13.0,0.308,4.0,66.7,44,0.534,20.1,17,43.0,0.512,22.0,0.714,5
2009-12-14,"Maravich Assembly Center, Baton Rouge, Louisiana",SOUTHEASTERN-LOUISIANA,LOUISIANA-STATE,Home,53.8,14,2.7,1,89.6,77.1,28,0.536,55,0.473,26,0.545,30,0.6,18,2,200.0,114.9,33.3,11,18,77,7.5,5,0.327,18.0,0.389,7.0,54.9,39,0.556,11.7,9,37.0,0.514,19.0,0.75,6
2009-12-17,"Maravich Assembly Center, Baton Rouge, Louisiana",NICHOLLS-STATE,LOUISIANA-STATE,Home,64.0,16,20.0,6,101.7,67.7,22,0.651,43,0.581,25,0.256,11,0.636,7,2,200.0,106.8,36.8,6,10,63,3.4,2,0.326,14.0,0.429,6.0,56.0,28,0.653,26.2,17,29.0,0.655,19.0,0.778,7
2009-12-19,"Maravich Assembly Center, Baton Rouge, Louisiana",RICE,LOUISIANA-STATE,Home,56.5,13,16.3,7,100.0,57.1,22,0.5,52,0.442,23,0.385,20,0.65,13,2,200.0,106.6,42.9,10,16,65,9.8,6,0.385,20.0,0.3,6.0,50.8,32,0.528,15.3,11,32.0,0.531,17.0,0.8,8
