date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-14,"UTPA Fieldhouse, Edinburg, Texas",LOUISIANA-TECH,TEXAS-PAN-AMERICAN,Away,43.3,13,11.1,3,91.2,75.0,24,0.653,49,0.612,30,0.49,24,0.667,16,0,200.0,117.6,42.9,9,20,80,14.7,10,0.286,14.0,0.286,4.0,62.3,33,0.662,22.2,15,35.0,0.743,26.0,1.0,1
2009-11-20,"The Pit/Bob King Court, Albuquerque, New Mexico",LOUISIANA-TECH,MIAMI-OH,Away,47.8,11,14.8,4,92.5,76.7,25,0.5,54,0.426,23,0.537,29,0.69,20,0,200.0,110.4,32.3,8,20,74,11.9,8,0.333,18.0,0.444,8.0,54.1,33,0.546,10.7,8,36.0,0.417,15.0,1.0,2
2009-11-21,"The Pit/Bob King Court, Albuquerque, New Mexico",LOUISIANA-TECH,NEW-MEXICO,Home,52.6,10,4.3,2,120.9,50.0,20,0.336,64,0.297,19,0.172,11,0.818,9,1,200.0,77.6,31.0,9,20,52,6.0,4,0.422,27.0,0.185,5.0,39.2,29,0.376,13.8,11,37.0,0.378,14.0,0.667,2
2009-11-22,"The Pit/Bob King Court, Albuquerque, New Mexico",LOUISIANA-TECH,NICHOLLS-STATE,Away,42.3,11,7.1,2,69.2,87.9,29,0.577,52,0.5,26,0.365,19,0.895,17,1,200.0,118.5,54.2,13,12,77,6.2,4,0.308,16.0,0.5,8.0,73.7,42,0.631,23.0,18,36.0,0.5,18.0,0.75,3
2009-11-25,"Thomas Assembly Center, Ruston, Louisiana",ARKANSAS-LITTLE-ROCK,LOUISIANA-TECH,Home,60.7,17,6.3,2,97.1,70.8,17,0.594,53,0.528,28,0.604,32,0.719,23,1,200.0,126.5,37.9,11,17,86,16.2,11,0.283,15.0,0.467,7.0,52.8,28,0.63,15.2,12,38.0,0.553,21.0,0.8,4
2009-11-28,"Daniel-Meyer Coliseum, Fort Worth, Texas",LOUISIANA-TECH,TEXAS-CHRISTIAN,Away,60.0,15,17.6,6,101.6,54.5,23,0.411,62,0.403,25,0.339,21,0.81,17,1,200.0,109.7,50.0,11,17,68,6.5,4,0.21,13.0,0.077,1.0,52.3,34,0.472,7.8,6,49.0,0.49,24.0,0.833,5
2009-12-02,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-TECH,LOUISIANA-MONROE,Away,51.9,14,10.8,4,101.4,65.7,24,0.5,61,0.443,27,0.41,25,0.6,15,1,200.0,105.6,50.0,17,24,76,9.7,7,0.328,20.0,0.35,7.0,57.7,41,0.521,18.2,16,41.0,0.488,20.0,0.857,6
2009-12-05,"Thomas Assembly Center, Ruston, Louisiana",NORTHWESTERN-STATE,LOUISIANA-TECH,Home,61.1,22,7.5,3,90.9,62.5,27,0.593,70,0.514,36,0.357,25,0.6,15,1,200.0,127.3,48.6,16,16,98,14.3,11,0.286,20.0,0.55,11.0,55.8,43,0.598,13.8,13,50.0,0.5,25.0,0.875,7
2009-12-09,"McKale Center, Tucson, Arizona",LOUISIANA-TECH,ARIZONA,Home,50.0,12,7.9,3,113.7,67.7,22,0.402,66,0.364,24,0.288,19,0.737,14,2,200.0,91.8,37.5,14,17,67,6.8,5,0.348,23.0,0.217,5.0,50.7,36,0.447,13.9,12,43.0,0.442,19.0,0.778,7
2009-12-12,"Gold Dome, Shreveport, Louisiana",LOUISIANA-TECH,CENTENARY-LA,Away,37.1,13,15.2,5,118.5,66.7,20,0.606,66,0.53,35,0.47,31,0.71,22,2,250.0,125.9,40.0,12,17,102,12.3,10,0.303,20.0,0.5,10.0,51.6,32,0.632,15.8,15,46.0,0.543,25.0,0.8,8
2009-12-15,"Thomas Assembly Center, Ruston, Louisiana",MURRAY-STATE,LOUISIANA-TECH,Home,37.5,9,15.4,6,102.5,65.6,21,0.643,42,0.571,24,1.071,45,0.733,33,2,200.0,110.1,27.8,5,19,87,8.9,7,0.31,13.0,0.462,6.0,52.0,26,0.686,24.4,20,29.0,0.621,18.0,0.818,9
2009-12-19,"Thomas Assembly Center, Ruston, Louisiana",MCNEESE-STATE,LOUISIANA-TECH,Home,46.2,12,15.7,8,77.3,56.8,29,0.467,61,0.426,26,0.541,33,0.667,22,2,200.0,105.3,51.6,12,15,79,14.7,11,0.279,17.0,0.294,5.0,54.7,41,0.515,15.6,14,44.0,0.477,21.0,0.833,10
2009-12-22,"Thomas Assembly Center, Ruston, Louisiana",TEXAS-PAN-AMERICAN,LOUISIANA-TECH,Home,55.2,16,16.3,7,92.3,76.3,30,0.623,53,0.547,29,0.434,23,0.652,15,2,200.0,124.6,38.5,9,13,81,6.2,4,0.358,19.0,0.421,8.0,60.9,39,0.634,13.7,10,34.0,0.618,21.0,0.846,11
2009-12-29,"Hofheinz Pavilion, Houston, Texas",LOUISIANA-TECH,HOUSTON,Away,41.7,15,3.7,2,113.3,64.3,32,0.55,70,0.514,36,0.386,27,0.815,22,2,200.0,119.3,58.3,16,14,99,4.8,4,0.2,14.0,0.357,5.0,61.5,48,0.598,19.6,20,56.0,0.554,31.0,0.857,12
2010-01-02,"Thomas Assembly Center, Ruston, Louisiana",NEVADA,LOUISIANA-TECH,Home,32.1,9,8.7,4,95.9,58.5,25,0.492,60,0.467,28,0.467,28,0.643,18,2,200.0,104.1,35.5,10,14,77,10.8,8,0.217,13.0,0.231,3.0,48.6,35,0.525,14.2,12,47.0,0.532,25.0,0.867,13
2010-01-04,"Thomas Assembly Center, Ruston, Louisiana",UTAH-STATE,LOUISIANA-TECH,Home,53.1,17,4.4,2,88.2,78.1,28,0.592,60,0.533,32,0.25,15,0.733,11,2,200.0,120.6,40.0,9,12,82,10.3,7,0.233,14.0,0.5,7.0,59.7,37,0.611,16.3,13,46.0,0.543,25.0,0.875,14
2010-01-09,"Cowan Spectrum, Moscow, Idaho",LOUISIANA-TECH,IDAHO,Away,14.3,4,4.7,2,102.9,58.1,18,0.612,49,0.571,28,0.49,24,0.708,17,2,200.0,111.6,37.5,9,23,77,15.9,11,0.286,14.0,0.286,4.0,49.1,27,0.637,22.2,17,35.0,0.686,24.0,0.882,15
2010-01-11,"Taco Bell Arena, Boise, Idaho",LOUISIANA-TECH,BOISE-STATE,Away,28.1,9,5.7,3,91.4,70.6,28,0.556,62,0.516,32,0.194,12,0.833,10,2,200.0,112.9,34.5,6,10,79,8.6,6,0.242,15.0,0.333,5.0,54.0,34,0.583,14.1,11,47.0,0.574,27.0,0.889,16
2010-01-14,"Thomas Assembly Center, Ruston, Louisiana",FRESNO-STATE,LOUISIANA-TECH,Home,44.0,11,5.3,2,98.6,70.6,25,0.565,54,0.463,25,0.481,26,0.769,20,2,200.0,109.5,44.0,10,17,81,8.1,6,0.426,23.0,0.478,11.0,59.3,35,0.61,21.6,13,31.0,0.452,14.0,0.895,17
2010-01-21,"The Event Center, San Jose, California",LOUISIANA-TECH,SAN-JOSE-STATE,Home,62.1,18,2.8,1,127.9,47.4,11,0.523,65,0.446,29,0.185,12,0.667,8,3,200.0,111.8,50.0,14,21,76,8.8,6,0.338,22.0,0.455,10.0,49.0,25,0.537,16.6,14,43.0,0.442,19.0,0.85,17
2010-01-23,"Stan Sheriff Center, Honolulu, Hawaii",LOUISIANA-TECH,HAWAII,Away,48.0,12,2.0,1,95.2,69.2,28,0.481,54,0.463,25,0.407,22,0.591,13,3,200.0,103.2,45.2,13,18,65,3.2,2,0.185,10.0,0.2,2.0,58.6,41,0.504,14.7,11,44.0,0.523,23.0,0.857,18
2010-01-30,"Thomas Assembly Center, Ruston, Louisiana",NEW-MEXICO-STATE,LOUISIANA-TECH,Away,46.7,14,2.1,1,123.0,65.7,24,0.433,75,0.4,30,0.213,16,0.75,12,4,200.0,104.1,38.6,16,15,77,8.1,6,0.36,27.0,0.185,5.0,50.6,40,0.466,11.8,11,48.0,0.521,25.0,0.818,18
2010-02-04,"Thomas Assembly Center, Ruston, Louisiana",SAN-JOSE-STATE,LOUISIANA-TECH,Home,59.3,16,13.3,6,92.8,58.6,19,0.483,59,0.458,27,0.322,19,0.737,14,4,200.0,102.9,39.4,11,13,71,11.6,8,0.203,12.0,0.25,3.0,48.4,30,0.522,17.2,14,47.0,0.511,24.0,0.826,19
2010-02-08,"Pan American Center, Las Cruces, New Mexico",LOUISIANA-TECH,NEW-MEXICO-STATE,Home,63.0,17,2.4,1,101.4,66.7,22,0.476,63,0.429,27,0.286,18,0.444,8,5,200.0,98.6,34.1,12,12,68,8.7,6,0.27,17.0,0.353,6.0,47.9,34,0.475,14.5,12,46.0,0.457,21.0,0.792,19
2010-02-13,"Thomas Assembly Center, Ruston, Louisiana",HAWAII,LOUISIANA-TECH,Home,43.5,10,2.6,1,90.9,59.4,21,0.44,58,0.397,23,0.5,29,0.517,15,5,200.0,100.0,50.0,17,19,66,6.1,4,0.345,20.0,0.25,5.0,54.3,38,0.46,15.5,13,38.0,0.474,18.0,0.8,20
2010-02-17,"Dee Glen Smith Spectrum, Logan, Utah",LOUISIANA-TECH,UTAH-STATE,Home,61.9,13,7.0,3,108.1,71.0,24,0.429,56,0.375,21,0.268,15,0.867,13,6,200.0,98.4,21.2,5,14,61,8.1,5,0.393,22.0,0.273,6.0,45.3,29,0.483,10.1,7,34.0,0.441,15.0,0.769,20
2010-02-20,"Matthews Arena, Boston, Massachusetts",LOUISIANA-TECH,NORTHEASTERN,Away,48.0,12,2.7,1,111.7,60.9,15,0.604,48,0.521,25,0.333,16,0.75,12,6,200.0,116.7,37.5,8,10,70,11.7,7,0.292,14.0,0.571,8.0,48.9,23,0.629,19.1,13,34.0,0.5,17.0,0.778,21
