date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-16,"Montagne Center, Beaumont, Texas",Texas-Rio Grande Valley,Lamar,Home,59.3,16,17.1,6,100.0,69.7,23,0.5,57,0.474,27,0.439,25,0.8,20,0,200.0,106.9,51.6,16,20,77,6.9,5,0.228,13.0,0.231,3.0,60.9,39,0.559,21.8,19,44.0,0.545,24.0,1.0,2
2009-11-19,"Murphy Athletic Center, Murfreesboro, Tennessee",Lamar,Middle Tennessee,Home,50.0,13,2.3,1,107.2,63.6,23,0.518,55,0.473,26,0.345,19,0.474,9,1,200.0,95.7,32.3,8,24,66,7.2,5,0.255,14.0,0.357,5.0,48.4,31,0.515,19.1,15,41.0,0.512,21.0,0.667,2
2009-11-21,"United Spirit Arena, Lubbock, Texas",Lamar,Texas Tech,Home,47.6,10,6.3,3,106.9,68.6,25,0.402,56,0.375,21,0.393,22,0.409,9,2,200.0,75.0,43.2,15,22,54,9.7,7,0.232,13.0,0.231,3.0,55.6,40,0.406,24.2,21,43.0,0.419,18.0,0.5,2
2009-11-23,"Convocation Center, Athens, Ohio",Lamar,Ohio,Home,50.0,8,4.8,2,95.9,57.6,21,0.27,63,0.254,16,0.254,16,0.75,12,3,200.0,62.2,38.6,15,18,46,10.8,8,0.19,12.0,0.167,2.0,46.8,36,0.326,22.2,20,51.0,0.275,14.0,0.4,2
2009-11-25,"Henderson Center, Huntington, West Virginia",Lamar,Marshall,Home,44.4,12,8.5,4,119.2,63.6,22,0.408,71,0.38,27,0.352,25,0.64,16,4,200.0,101.4,48.0,23,21,74,6.8,5,0.169,12.0,0.333,4.0,54.2,45,0.446,14.6,14,59.0,0.39,23.0,0.333,2
2009-11-28,"Montagne Center, Beaumont, Texas",North Carolina A&T,Lamar,Home,72.0,18,20.5,8,102.8,62.2,25,0.466,59,0.424,25,0.424,25,0.76,19,4,200.0,104.2,50.0,16,12,74,14.1,10,0.237,14.0,0.357,5.0,56.2,41,0.522,20.5,16,45.0,0.444,20.0,0.429,3
2009-12-02,"Magness Arena, Denver, Colorado",Lamar,Denver,Home,41.2,7,3.2,1,100.0,92.3,24,0.5,37,0.459,17,0.703,26,0.692,18,5,200.0,88.7,18.2,4,22,55,9.7,6,0.243,9.0,0.333,3.0,58.3,28,0.557,26.0,16,28.0,0.5,14.0,0.375,3
2009-12-06,"Stan Sheriff Center, Honolulu, Hawaii",Lamar,Hawaii,Home,46.2,12,2.4,1,123.1,62.1,19,0.413,63,0.413,26,0.54,34,0.765,26,6,200.0,100.0,29.7,10,22,78,12.8,10,0.127,8.0,0.0,0.0,43.9,29,0.493,10.3,9,55.0,0.473,26.0,0.333,3
2009-12-19,"Montagne Center, Beaumont, Texas",Louisiana,Lamar,Away,52.6,10,9.8,4,101.5,65.8,26,0.43,50,0.38,19,0.46,23,0.739,17,7,200.0,89.6,40.0,11,18,60,6.0,4,0.28,14.0,0.357,5.0,54.4,37,0.492,23.0,18,36.0,0.389,14.0,0.364,4
2009-12-23,"Montagne Center, Beaumont, Texas",Rice,Lamar,Home,65.4,17,21.1,8,82.4,65.9,30,0.547,53,0.491,26,0.491,26,0.731,19,7,200.0,104.1,44.8,10,16,77,17.6,13,0.302,16.0,0.375,6.0,57.1,40,0.589,23.7,19,37.0,0.541,20.0,0.417,5
2010-01-02,"Montagne Center, Beaumont, Texas",Tulane,Lamar,Home,43.5,10,8.3,3,101.5,61.5,24,0.479,48,0.479,23,0.75,36,0.667,24,7,200.0,106.1,39.3,11,23,70,4.5,3,0.229,11.0,0.0,0.0,52.2,35,0.538,15.8,12,37.0,0.622,23.0,0.5,7
2010-01-04,"Montagne Center, Beaumont, Texas",Arkansas State,Lamar,Home,68.6,24,10.9,5,94.4,72.1,31,0.569,65,0.538,35,0.292,19,0.684,13,7,200.0,120.8,36.7,11,24,87,6.9,5,0.231,15.0,0.267,4.0,57.5,42,0.588,9.8,8,50.0,0.62,31.0,0.533,8
2010-01-09,"University Center, Hammond, Louisiana",Lamar,Southeastern Louisiana,Home,66.7,12,0.0,0,121.9,65.0,16,0.352,54,0.333,18,0.481,26,0.692,18,8,200.0,87.5,52.6,17,13,56,12.5,8,0.222,12.0,0.167,2.0,56.9,33,0.422,20.6,15,42.0,0.381,16.0,0.5,8
2010-01-13,"Montagne Center, Beaumont, Texas",Texas-Arlington,Lamar,Home,90.5,19,19.6,9,93.2,60.4,32,0.408,60,0.35,21,0.6,36,0.611,22,8,200.0,97.3,43.9,15,23,71,9.6,7,0.283,17.0,0.412,7.0,52.8,47,0.46,16.5,15,43.0,0.326,14.0,0.529,9
2010-01-16,"Montagne Center, Beaumont, Texas",McNeese State,Lamar,Home,60.9,14,9.8,5,121.9,56.7,20,0.49,51,0.451,23,0.784,40,0.725,29,8,200.0,123.4,42.4,11,18,79,10.9,7,0.294,15.0,0.267,4.0,49.2,31,0.564,8.0,6,36.0,0.528,19.0,0.556,10
2010-01-20,"American Bank Center, Corpus Christi, Texas",Lamar,Texas A&M-Corpus Christi,Home,50.0,13,2.2,1,122.7,48.4,17,0.551,49,0.531,26,0.388,19,0.526,10,9,200.0,97.0,44.0,9,17,64,10.6,7,0.122,6.0,0.333,2.0,46.4,26,0.551,24.9,18,43.0,0.558,24.0,0.526,10
2010-01-23,"Montagne Center, Beaumont, Texas",Texas State,Lamar,Away,60.0,21,10.0,5,111.5,52.9,28,0.567,67,0.522,35,0.418,28,0.571,16,10,225.0,105.7,45.7,15,23,92,9.2,8,0.194,13.0,0.462,6.0,50.0,43,0.573,22.5,23,54.0,0.537,29.0,0.5,10
2010-01-27,"Johnson Coliseum, Huntsville, Texas",Lamar,Sam Houston State,Home,85.0,17,10.5,4,112.5,74.1,21,0.391,55,0.364,20,0.618,34,0.588,20,11,200.0,78.8,23.8,9,22,63,10.0,8,0.218,12.0,0.25,3.0,43.5,30,0.443,20.5,18,43.0,0.395,17.0,0.476,10
2010-01-30,"Convocation Center, San Antonio, Texas",Lamar,UTSA,Away,60.0,15,6.7,3,91.9,71.1,28,0.561,49,0.51,25,0.245,12,0.75,9,11,200.0,103.2,45.5,9,18,64,3.2,2,0.327,16.0,0.313,5.0,61.7,37,0.585,23.8,15,33.0,0.606,20.0,0.5,11
2010-02-03,"Montagne Center, Beaumont, Texas","Central Arkansas
			",Lamar,Home,76.0,19,10.5,4,100.0,73.5,25,0.561,49,0.51,25,0.429,21,0.857,18,11,200.0,112.3,38.1,8,16,73,3.1,2,0.286,14.0,0.357,5.0,60.0,33,0.619,19.4,14,35.0,0.571,20.0,0.522,12
2010-02-06,"Montagne Center, Beaumont, Texas",Stephen F. Austin,Lamar,Home,42.9,6,0.0,0,86.8,74.2,23,0.385,39,0.359,14,0.667,26,0.731,19,11,200.0,92.5,50.0,14,13,49,7.5,4,0.282,11.0,0.182,2.0,62.7,37,0.477,21.7,14,28.0,0.429,12.0,0.542,13
2010-02-13,"Strahan Coliseum, San Marcos, Texas",Lamar,Texas State,Home,20.0,4,4.3,2,100.0,65.7,24,0.418,55,0.364,20,0.545,30,0.7,21,12,200.0,82.7,31.6,11,23,67,6.2,5,0.291,16.0,0.375,6.0,47.9,35,0.484,25.2,22,39.0,0.359,14.0,0.538,14
2010-02-17,"Montagne Center, Beaumont, Texas",Sam Houston State,Lamar,Away,94.1,16,12.9,4,98.5,56.7,18,0.373,51,0.333,17,0.392,20,0.8,16,13,200.0,80.6,25.0,7,15,54,13.4,9,0.275,14.0,0.286,4.0,40.3,25,0.446,19.0,14,37.0,0.351,13.0,0.519,14
2010-02-20,"Prather Coliseum, Natchitoches, Louisiana",Lamar,Northwestern State,Home,44.8,13,4.7,2,102.5,62.9,26,0.414,76,0.382,29,0.355,27,0.593,16,14,200.0,98.8,43.1,18,25,79,11.3,9,0.303,23.0,0.217,5.0,51.2,44,0.445,13.7,14,53.0,0.453,24.0,0.5,14
2010-02-24,"Texas Hall, Arlington, Texas",Lamar,Texas-Arlington,Home,39.1,9,5.9,2,101.4,82.8,25,0.398,64,0.359,23,0.516,33,0.606,20,15,200.0,95.9,50.0,22,25,71,5.4,4,0.406,26.0,0.192,5.0,62.7,47,0.446,18.6,18,38.0,0.474,18.0,0.483,14
2010-02-27,"Montagne Center, Beaumont, Texas",UTSA,Lamar,Away,76.9,20,2.9,1,116.9,77.3,17,0.509,55,0.473,26,0.491,27,0.667,18,16,200.0,113.8,34.4,11,17,74,6.2,4,0.255,14.0,0.286,4.0,51.9,28,0.546,11.9,9,41.0,0.537,22.0,0.467,14
2010-03-03,"Montagne Center, Beaumont, Texas",Texas A&M-Corpus Christi,Lamar,Away,58.8,10,4.9,2,119.7,45.5,15,0.394,47,0.362,17,0.638,30,0.6,18,17,200.0,83.3,43.3,8,16,55,12.1,8,0.34,16.0,0.188,3.0,44.2,23,0.449,21.0,15,31.0,0.452,14.0,0.452,14
2010-11-19,"Moody Coliseum, Dallas, Texas",UC-Riverside,Lamar,Home,54.2,13,7.5,4,86.2,61.4,27,0.399,69,0.348,24,0.594,41,0.854,35,0,200.0,103.4,38.3,18,28,90,5.7,5,0.348,24.0,0.292,7.0,49.5,45,0.509,15.5,16,45.0,0.378,17.0,1.0,2
2010-11-20,"Moody Coliseum, Dallas, Texas",Lamar,Portland State,Home,50.0,18,8.0,4,113.3,76.7,23,0.506,77,0.468,36,0.351,27,0.741,20,1,200.0,108.9,31.1,14,33,98,6.7,6,0.299,23.0,0.261,6.0,49.3,37,0.546,12.8,13,54.0,0.556,30.0,0.667,2
2010-11-21,"Moody Coliseum, Dallas, Texas",Lamar,SMU,Home,50.0,12,0.0,0,145.7,71.4,10,0.466,59,0.407,24,0.441,26,0.577,15,2,200.0,100.0,33.3,12,26,70,5.7,4,0.356,21.0,0.333,7.0,44.0,22,0.491,13.5,11,38.0,0.447,17.0,0.5,2
2010-11-23,"UTPA Fieldhouse, Edinburg, Texas",Lamar,Texas-Rio Grande Valley,Away,46.4,13,10.3,4,115.5,67.7,21,0.606,52,0.538,28,0.654,34,0.647,22,2,200.0,119.7,22.2,6,26,85,4.2,3,0.231,12.0,0.583,7.0,46.6,27,0.624,13.0,10,40.0,0.525,21.0,0.6,3
2010-12-01,"Frank Erwin Center, Austin, Texas",Lamar,Texas,Home,16.7,3,5.7,2,89.4,68.8,22,0.264,70,0.257,18,0.329,23,0.783,18,3,200.0,64.7,30.0,15,24,55,14.1,12,0.129,9.0,0.111,1.0,45.1,37,0.34,20.8,21,61.0,0.279,17.0,0.571,4
2010-12-04,"Tudor Fieldhouse, Houston, Texas",Lamar,Rice,Home,48.0,12,9.7,3,113.6,63.3,19,0.567,52,0.481,25,0.385,20,0.7,14,4,200.0,110.6,19.2,5,25,73,6.1,4,0.346,18.0,0.5,9.0,42.9,24,0.593,14.1,10,34.0,0.471,16.0,0.5,4
2010-12-19,"Cajundome, Lafayette, Louisiana",Lamar,Louisiana,Home,36.4,8,10.0,4,89.5,67.7,21,0.391,64,0.344,22,0.438,28,0.536,15,5,200.0,85.5,40.5,17,25,65,10.5,8,0.25,16.0,0.375,6.0,52.1,38,0.42,18.2,17,48.0,0.333,16.0,0.5,5
2010-12-22,"Montagne Center, Beaumont, Texas",Canisius,Lamar,Away,54.2,13,4.2,2,105.4,61.1,22,0.427,62,0.387,24,0.371,23,0.826,19,6,200.0,97.3,24.3,9,15,72,5.4,4,0.306,19.0,0.263,5.0,42.5,31,0.494,12.2,10,43.0,0.442,19.0,0.455,5
2010-12-30,"Avron B. Fogelman Arena, New Orleans, Louisiana",Lamar,Tulane,Home,53.6,15,8.2,4,106.9,61.5,24,0.412,74,0.378,28,0.297,22,0.727,16,7,200.0,88.5,24.4,11,30,77,13.8,12,0.27,20.0,0.25,5.0,41.7,35,0.456,14.3,14,54.0,0.426,23.0,0.417,5
2011-01-08,"Jeff Farris Center, Conway, Arkansas",Lamar,Central Arkansas,Away,56.4,22,9.5,4,92.6,80.6,29,0.58,75,0.52,39,0.24,18,0.667,12,7,200.0,122.2,55.9,19,20,99,3.7,3,0.293,22.0,0.409,9.0,68.6,48,0.592,17.0,17,53.0,0.566,30.0,0.5,7
2011-01-12,"Montagne Center, Beaumont, Texas",McNeese State,Lamar,Away,58.3,14,8.9,4,108.3,55.6,15,0.467,60,0.4,24,0.467,28,0.714,20,8,200.0,105.6,35.9,14,19,76,11.1,8,0.35,21.0,0.381,8.0,43.9,29,0.518,15.2,13,39.0,0.41,16.0,0.467,7
2011-01-15,"Texas Hall, Arlington, Texas",Lamar,Texas-Arlington,Away,54.5,12,18.5,10,91.1,58.1,25,0.491,53,0.415,22,0.566,30,0.8,24,8,200.0,96.2,53.3,16,22,76,12.7,10,0.491,26.0,0.308,8.0,56.2,41,0.565,28.2,26,27.0,0.519,14.0,0.5,8
2011-01-17,"Convocation Center, Jonesboro, Arkansas",Lamar,Arkansas State,Home,25.9,7,13.9,5,106.8,67.5,27,0.561,57,0.474,27,0.351,20,0.55,11,9,200.0,102.7,39.4,13,19,75,11.0,8,0.404,23.0,0.435,10.0,54.8,40,0.564,23.3,20,34.0,0.5,17.0,0.471,8
