date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-08,"Vines Center, Lynchburg, Virginia",Radford,Liberty,Home,65.0,13,13.9,5,95.2,78.8,26,0.547,43,0.465,20,0.674,29,0.655,19,0,200,104.8,14.8,4,20,66,6.3,4,0.512,22,0.318,7,50.0,30,0.581,13.9,9,21,0.619,13,1.0,1
2019-11-10,"Vines Center, Lynchburg, Virginia",Maryland-Eastern Shore,Liberty,Home,57.7,15,5.6,2,91.7,75.9,22,0.6,50,0.52,26,0.2,10,0.6,6,0,200,110.0,32.0,8,10,66,13.3,8,0.48,24,0.333,8,55.6,30,0.603,18.1,12,26,0.692,18,1.0,2
2019-11-12,"Vines Center, Lynchburg, Virginia",South Carolina State,Liberty,Home,51.9,14,8.6,3,61.9,88.2,30,0.516,61,0.443,27,0.098,6,0.333,2,0,200,103.2,36.1,13,10,65,11.1,7,0.361,22,0.409,9,61.4,43,0.509,14.7,11,39,0.462,18,1.0,3
2019-11-16,"Williams Arena at Minges Coliseum, Greenville, North Carolina",Liberty,East Carolina,Away,61.5,16,8.1,3,89.1,74.2,23,0.573,55,0.473,26,0.345,19,0.737,14,0,200,120.3,34.4,11,19,77,6.3,4,0.418,23,0.478,11,54.0,34,0.601,13.6,10,32,0.469,15,1.0,4
2019-11-19,"Vines Center, Lynchburg, Virginia",Navy,Liberty,Home,47.1,8,20.0,4,84.2,70.0,21,0.418,49,0.347,17,0.347,17,0.824,14,0,200,96.5,9.4,3,14,55,12.3,7,0.449,22,0.318,7,38.7,24,0.482,6.6,4,27,0.37,10,1.0,5
2019-11-22,"Baha Mar Convention Center, Nassau",Liberty,Morgan State,Away,45.8,11,0.0,0,66.7,73.5,25,0.636,44,0.545,24,1.068,47,0.702,33,0,200,123.6,23.1,6,20,89,5.6,4,0.386,17,0.471,8,51.7,31,0.671,15.6,12,27,0.593,16,1.0,6
2019-11-23,"Baha Mar Convention Center, Nassau",Liberty,Rice,Away,46.2,12,12.0,3,85.5,77.4,24,0.536,55,0.473,26,0.327,18,0.667,12,0,200,102.9,17.6,6,10,71,8.7,6,0.418,23,0.304,7,46.2,30,0.559,12.5,9,32,0.594,19,1.0,7
2019-11-24,"Baha Mar Convention Center, Nassau",Liberty,UMKC,Away,55.0,11,3.1,1,81.7,91.7,22,0.479,47,0.426,20,0.404,19,0.895,17,0,200,103.3,23.1,6,12,62,10.0,6,0.298,14,0.357,5,56.0,28,0.553,14.0,9,33,0.455,15,1.0,8
2019-11-29,"Vines Center, Lynchburg, Virginia","Kentucky Christian
			",Liberty,Home,64.5,20,18.8,6,60.0,86.8,33,0.661,59,0.525,31,0.254,15,0.667,10,0,200,125.7,27.6,8,11,88,10.0,7,0.475,28,0.571,16,61.2,41,0.665,14.4,11,31,0.484,15,1.0,9
2019-12-02,"Vines Center, Lynchburg, Virginia","Trinity Baptist
			",Liberty,Home,72.7,24,26.5,9,47.5,86.8,33,0.723,56,0.589,33,0.143,8,0.75,6,0,200,147.5,52.4,11,6,87,3.4,2,0.482,27,0.556,15,74.6,44,0.727,14.4,10,29,0.621,18,1.0,10
2019-12-08,"Talking Stick Resort Arena, Phoenix, Arizona",Liberty,Grand Canyon,Away,59.1,13,3.1,1,95.3,77.4,24,0.542,48,0.458,22,0.583,28,0.643,18,0,200,109.4,20.0,6,15,70,4.7,3,0.396,19,0.421,8,49.2,30,0.571,13.0,9,29,0.483,14,1.0,11
2019-12-14,"Memorial Gymnasium, Nashville, Tennessee",Liberty,Vanderbilt,Away,36.4,8,11.1,3,84.8,84.8,28,0.462,53,0.415,22,0.226,12,1.0,12,0,200,92.4,21.4,6,15,61,7.6,5,0.415,22,0.227,5,55.7,34,0.52,18.2,13,31,0.548,17,1.0,12
2019-12-20,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",Towson,Liberty,Home,56.0,14,3.6,1,85.7,82.1,23,0.528,54,0.463,25,0.241,13,0.692,9,0,200,104.8,17.2,5,14,66,7.9,5,0.463,25,0.28,7,49.1,28,0.548,13.1,9,29,0.621,18,1.0,13
2019-12-21,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",Akron,Liberty,Home,41.2,14,11.1,3,108.1,87.1,27,0.725,51,0.667,34,0.157,8,0.75,6,0,200,129.0,5.9,1,12,80,8.1,5,0.235,12,0.5,6,58.3,28,0.73,12.8,8,39,0.718,28,1.0,14
2019-12-29,"Maravich Assembly Center, Baton Rouge, Louisiana",Liberty,LSU,Home,50.0,10,4.0,2,121.3,70.4,19,0.49,49,0.408,20,0.184,9,1.0,9,1,200,93.4,20.7,6,11,57,4.9,3,0.51,25,0.32,8,44.6,25,0.535,19.7,13,24,0.5,12,0.933,14
2020-01-02,"Alico Arena, Fort Myers, Florida",Liberty,Florida Gulf Coast,Away,60.0,15,14.3,3,82.1,77.3,17,0.585,47,0.532,25,0.191,9,0.444,4,1,200,105.4,18.2,4,12,59,21.4,12,0.34,16,0.313,5,47.7,21,0.575,13.6,8,31,0.645,20,0.938,15
2020-01-04,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",Liberty,NJIT,Away,48.0,12,8.8,3,61.3,88.9,32,0.547,53,0.472,25,0.208,11,0.636,7,1,200,104.8,14.8,4,16,65,8.1,5,0.377,20,0.4,8,57.1,36,0.558,10.8,7,33,0.515,17,0.941,16
2020-01-09,"Vines Center, Lynchburg, Virginia",North Alabama,Liberty,Home,59.1,13,12.5,3,82.5,91.3,21,0.471,52,0.423,22,0.365,19,0.737,14,1,200,100.0,22.6,7,13,63,11.1,7,0.365,19,0.263,5,51.9,28,0.516,13.0,9,33,0.515,17,0.944,17
2020-01-11,"Vines Center, Lynchburg, Virginia",Jacksonville,Liberty,Home,47.6,10,5.3,2,64.9,68.8,22,0.49,50,0.42,21,0.14,7,0.714,5,1,200,94.7,27.6,8,12,54,15.8,9,0.38,19,0.368,7,49.2,30,0.506,17.2,11,31,0.452,14,0.947,18
