date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Allen Arena, Nashville, Tennessee","Rhodes
			",Lipscomb,Home,43.9,18,10.9,6,63.2,85.1,40,0.587,75,0.547,41,0.307,23,0.696,16,0,200,119.5,32.4,11,12,104,6.9,6,0.24,18,0.333,6,63.0,51,0.605,10.5,10,57,0.614,35,1.0,1
2019-11-09,"Allen Arena, Nashville, Tennessee",Middle Tennessee,Lipscomb,Away,50.0,12,22.2,6,92.4,82.4,28,0.445,64,0.375,24,0.25,16,0.813,13,1,200,88.6,26.3,10,16,70,5.1,4,0.5,32,0.281,9,52.8,38,0.489,20.2,18,32,0.469,15,0.5,1
2019-11-12,"Gentry Center Complex, Nashville, Tennessee",Lipscomb,Tennessee State,Home,33.3,9,2.7,1,105.3,55.6,15,0.565,54,0.5,27,0.444,24,0.708,17,2,200,104.0,14.3,4,12,78,4.0,3,0.37,20,0.35,7,34.5,19,0.596,16.8,13,34,0.588,20,0.333,1
2019-11-15,"Kerr Fitness Center, Pittsburgh, Pennsylvania",Lipscomb,Duquesne,Home,28.6,4,7.9,3,82.9,69.2,27,0.292,48,0.292,14,0.25,12,0.667,8,3,200,51.4,12.1,4,16,36,11.4,8,0.375,18,0.0,0,43.1,31,0.335,28.3,21,30,0.467,14,0.25,1
2019-11-20,"Allen Arena, Nashville, Tennessee",Belmont,Lipscomb,Away,39.1,9,2.7,1,101.4,68.9,31,0.41,61,0.377,23,0.459,28,0.607,17,4,200,93.1,33.3,14,15,67,6.9,5,0.328,20,0.2,4,51.7,45,0.451,13.0,11,41,0.463,19,0.2,1
2019-11-22,"Alumni Hall, Annapolis, Maryland",Lipscomb,Navy,Away,57.7,15,18.8,6,98.4,60.0,21,0.585,53,0.491,26,0.132,7,0.429,3,4,200,104.8,16.7,4,15,65,8.1,5,0.396,21,0.476,10,42.4,25,0.577,15.1,10,32,0.5,16,0.333,2
2019-11-25,"Eblen Center, Cookeville, Tennessee",Lipscomb,Tennessee Tech,Away,53.3,16,2.9,1,92.9,67.4,29,0.583,60,0.5,30,0.2,12,0.667,8,4,200,111.4,22.6,7,10,78,7.1,5,0.433,26,0.385,10,48.6,36,0.594,13.3,10,34,0.588,20,0.429,3
2019-11-30,"Cintas Center, Cincinnati, Ohio",Lipscomb,Xavier,Home,48.0,12,0.0,0,120.8,48.8,20,0.429,63,0.397,25,0.175,11,0.727,8,5,200,86.1,40.0,14,13,62,8.3,6,0.238,15,0.267,4,44.7,34,0.454,20.0,17,48,0.438,21,0.375,3
2019-12-03,"Curb Event Center, Nashville, Tennessee",Lipscomb,Belmont,Home,32.3,10,6.9,2,101.3,88.5,23,0.5,69,0.449,31,0.101,7,0.857,6,6,200,94.9,21.6,8,18,75,11.4,9,0.406,28,0.25,7,49.2,31,0.518,17.2,15,41,0.585,24,0.333,3
2019-12-08,"Allen Arena, Nashville, Tennessee","Trevecca Nazarene
			",Lipscomb,Home,48.6,18,16.1,5,98.6,81.8,27,0.669,62,0.597,37,0.29,18,0.722,13,6,200,131.5,39.1,9,15,96,8.2,6,0.323,20,0.45,9,64.3,36,0.68,14.6,12,42,0.667,28,0.4,4
2019-12-17,"Allen Arena, Nashville, Tennessee",Tennessee Tech,Lipscomb,Home,64.3,18,13.3,4,83.3,75.8,25,0.609,55,0.509,28,0.309,17,0.647,11,6,200,108.3,22.2,6,15,78,8.3,6,0.455,25,0.44,11,51.7,31,0.618,21.4,17,30,0.567,17,0.455,5
2019-12-20,"Roy L. Patrick Gymnasium, Burlington, Vermont",Lipscomb,Vermont,Home,76.2,16,2.7,1,114.7,68.8,22,0.4,65,0.323,21,0.246,16,0.688,11,7,200,84.0,20.0,9,23,63,8.0,6,0.415,27,0.37,10,40.3,31,0.434,13.2,11,38,0.289,11,0.417,5
2019-12-29,"Auburn Arena, Auburn, Alabama",Lipscomb,Auburn,Home,45.5,10,0.0,0,128.4,48.4,15,0.43,57,0.386,22,0.263,15,0.667,10,8,200,88.1,28.1,9,20,59,9.0,6,0.368,21,0.238,5,38.1,24,0.46,17.0,13,36,0.472,17,0.385,5
2020-01-02,"Edmunds Center, DeLand, Florida",Lipscomb,Stetson,Away,90.0,18,7.7,3,98.4,69.6,16,0.543,47,0.426,20,0.468,22,0.682,15,8,200,103.1,25.0,6,15,66,7.8,5,0.638,30,0.367,11,46.8,22,0.574,16.3,11,17,0.529,9,0.429,6
2020-01-04,"Alico Arena, Fort Myers, Florida",Lipscomb,Florida Gulf Coast,Home,54.2,13,10.7,3,100.0,72.0,18,0.444,63,0.381,24,0.159,10,0.5,5,9,200,89.7,28.9,11,13,61,11.8,8,0.429,27,0.296,8,46.0,29,0.45,16.2,13,36,0.444,16,0.4,6
2020-01-09,"Allen Arena, Nashville, Tennessee",Kennesaw State,Lipscomb,Home,62.5,20,5.6,2,101.4,92.6,25,0.592,65,0.492,32,0.215,14,0.571,8,9,200,118.1,35.3,12,13,85,5.6,4,0.4,26,0.5,13,60.7,37,0.593,15.4,13,39,0.487,19,0.438,7
2020-01-11,"Allen Arena, Nashville, Tennessee",North Alabama,Lipscomb,Away,61.9,13,10.8,4,115.5,72.7,24,0.455,55,0.382,21,0.564,31,0.613,19,10,200,97.2,26.3,10,19,69,5.6,4,0.364,20,0.4,8,47.9,34,0.495,12.7,10,35,0.371,13,0.412,7
2020-01-16,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",Lipscomb,NJIT,Home,45.0,9,0.0,0,119.0,75.0,18,0.396,53,0.377,20,0.321,17,0.882,15,11,200,90.5,14.7,5,13,57,9.5,6,0.283,15,0.133,2,39.7,23,0.467,11.7,8,38,0.474,18,0.389,7
2020-01-18,"Vines Center, Lynchburg, Virginia",Lipscomb,Liberty,Home,60.0,12,0.0,0,108.1,71.4,25,0.543,46,0.435,20,0.304,14,0.714,10,12,200,96.8,16.7,4,19,60,4.8,3,0.565,26,0.385,10,49.2,29,0.57,22.3,15,20,0.5,10,0.368,7
2020-01-23,"Allen Arena, Nashville, Tennessee",Jacksonville,Lipscomb,Away,43.3,13,7.9,3,112.7,74.2,23,0.486,70,0.429,30,0.357,25,0.68,17,13,225,107.6,21.1,8,23,85,10.1,8,0.286,20,0.4,8,44.9,31,0.519,8.0,7,50,0.44,22,0.35,7
2020-01-25,"Allen Arena, Nashville, Tennessee",North Florida,Lipscomb,Home,51.6,16,7.4,2,101.4,82.9,34,0.531,64,0.484,31,0.344,22,0.773,17,13,200,118.1,28.1,9,14,85,5.6,4,0.141,9,0.667,6,58.9,43,0.571,9.8,8,55,0.455,25,0.381,8
2020-02-01,"Allen Arena, Nashville, Tennessee",Stetson,Lipscomb,Away,50.0,9,6.1,2,100.0,84.0,21,0.457,47,0.383,18,0.255,12,0.833,10,14,200,96.4,39.3,11,13,53,7.3,4,0.489,23,0.304,7,60.4,32,0.503,22.3,15,24,0.458,11,0.364,8
2020-02-06,"Flowers Hall, Florence, Alabama",Lipscomb,North Alabama,Away,50.0,15,4.5,2,94.7,69.0,29,0.522,67,0.448,30,0.164,11,0.273,3,14,200,97.3,25.0,9,18,73,5.3,4,0.358,24,0.417,10,48.7,38,0.505,16.3,14,43,0.465,20,0.391,9
2020-02-08,"KSU Convocation Center , Kennesaw, Georgia",Lipscomb,Kennesaw State,Away,29.6,8,6.7,3,95.7,74.3,26,0.519,54,0.5,27,0.407,22,0.727,16,14,200,104.3,23.3,7,15,72,4.3,3,0.278,15,0.133,2,50.8,33,0.559,15.9,12,39,0.641,25,0.417,10
2020-02-13,"Allen Arena, Nashville, Tennessee",NJIT,Lipscomb,Home,54.8,17,5.0,2,91.3,74.4,29,0.609,55,0.564,31,0.236,13,0.769,10,14,200,111.6,18.2,4,16,77,7.2,5,0.291,16,0.313,5,54.1,33,0.629,16.5,12,39,0.667,26,0.44,11
2020-02-15,"Allen Arena, Nashville, Tennessee",Florida Gulf Coast,Lipscomb,Home,60.0,12,3.7,1,80.6,76.5,26,0.452,52,0.385,20,0.404,21,0.81,17,14,200,95.5,18.8,6,11,64,14.9,10,0.404,21,0.333,7,48.5,32,0.516,14.0,10,31,0.419,13,0.462,12
