date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"C.M. Tad Smith Coliseum, University, Mississippi",Little Rock,Ole Miss,Home,52.4,11,4.5,2,122.7,62.9,26,0.46,50,0.42,21,0.62,31,0.581,18,1,200.0,85.3,34.4,7,20,64,5.3,4,0.18,9.0,0.444,4.0,49.3,33,0.494,25.7,22,41.0,0.415,17.0,0.0,0
2009-11-17,"Donald W. Reynolds Center, Tulsa, Oklahoma",Little Rock,Tulsa,Home,37.5,6,0.0,0,88.1,83.3,26,0.398,49,0.327,16,0.224,11,0.545,6,2,200.0,67.2,15.2,4,12,45,9.0,6,0.388,19.0,0.368,7.0,47.6,30,0.415,22.9,16,30.0,0.3,9.0,0.0,0
2009-11-22,"Qwest Center OMAHA, Omaha, Nebraska",Little Rock,Creighton,Home,52.6,10,7.1,2,114.3,62.9,23,0.489,47,0.404,19,0.553,26,0.731,19,3,200.0,92.9,27.3,8,19,65,7.1,5,0.426,20.0,0.4,8.0,45.6,31,0.548,23.5,17,27.0,0.407,11.0,0.25,1
2009-11-25,"Thomas Assembly Center, Ruston, Louisiana",Little Rock,Louisiana Tech,Home,41.7,10,5.3,2,126.5,62.1,18,0.563,48,0.5,24,0.438,21,0.571,12,4,200.0,97.1,29.2,7,23,66,10.3,7,0.333,16.0,0.375,6.0,47.2,25,0.569,21.8,16,32.0,0.563,18.0,0.2,1
2009-11-28,"Jack Stephens Center, Little Rock, Arkansas",Cal Poly,Little Rock,Home,81.8,18,6.7,2,100.0,74.1,23,0.551,49,0.449,22,0.408,20,0.85,17,4,200.0,114.5,37.0,7,14,71,6.5,4,0.388,19.0,0.526,10.0,55.6,30,0.607,18.4,13,30.0,0.4,12.0,0.333,2
2009-11-30,"Jack Stephens Center, Little Rock, Arkansas",Oral Roberts,Little Rock,Home,69.2,18,6.5,2,103.0,70.4,19,0.646,48,0.542,26,0.375,18,0.611,11,4,200.0,110.6,9.5,2,18,73,10.6,7,0.292,14.0,0.714,10.0,43.8,21,0.645,15.2,10,34.0,0.471,16.0,0.429,3
2009-12-02,"Jack Stephens Center, Little Rock, Arkansas",Missouri State,Little Rock,Away,73.7,14,2.6,1,119.0,62.5,16,0.467,45,0.422,19,0.533,24,0.833,20,5,200.0,98.4,26.9,6,18,62,12.7,8,0.289,13.0,0.308,4.0,44.0,22,0.55,19.0,13,32.0,0.469,15.0,0.375,3
2009-12-12,"Alltel Arena, North Little Rock, Arkansas",Memphis,Little Rock,Away,46.2,12,0.0,0,125.8,73.1,21,0.468,62,0.419,26,0.274,17,0.765,13,6,200.0,107.6,48.4,13,24,71,4.5,3,0.226,14.0,0.429,6.0,59.6,34,0.507,14.7,12,48.0,0.417,20.0,0.4,4
2009-12-16,"Mitchell Center, Mobile, Alabama",Little Rock,South Alabama,Home,43.5,10,6.7,3,105.7,56.8,21,0.465,57,0.404,23,0.421,24,0.75,18,7,200.0,101.4,22.6,7,24,71,8.6,6,0.368,21.0,0.333,7.0,41.2,28,0.519,10.6,8,36.0,0.444,16.0,0.364,4
2009-12-20,"Convocation Center, Jonesboro, Arkansas",Little Rock,Arkansas State,Home,34.8,8,7.7,3,95.8,63.9,23,0.433,60,0.383,23,0.283,17,0.529,9,8,200.0,84.7,30.6,11,23,61,11.1,8,0.283,17.0,0.353,6.0,47.2,34,0.448,18.2,15,43.0,0.395,17.0,0.333,4
