date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"John Paul Jones Arena, Charlottesville, Virginia",Longwood,Virginia,Home,41.4,12,2.8,1,116.4,76.2,17,0.541,61,0.475,29,0.164,10,0.6,6,1,200.0,98.6,9.1,2,19,72,12.3,9,0.361,22.0,0.364,8.0,35.2,19,0.548,14.4,11,39.0,0.538,21.0,0.0,0
2009-11-15,"Willett Hall, Farmville, Virginia",Navy,Longwood,Away,73.1,19,8.1,3,96.3,64.5,24,0.438,64,0.406,26,0.359,23,0.87,20,2,200.0,92.7,27.8,6,31,76,14.6,12,0.313,20.0,0.2,4.0,44.8,30,0.507,20.4,18,44.0,0.5,22.0,0.0,0
2009-11-17,"Ted Constant Convocation Ctr., Norfolk, Virginia",Longwood,Old Dominion,Home,50.0,12,1.7,1,138.0,48.6,17,0.408,60,0.4,24,0.3,18,0.556,10,3,200.0,83.1,28.9,11,17,59,4.2,3,0.267,16.0,0.063,1.0,38.4,28,0.43,16.1,13,44.0,0.523,23.0,0.0,0
2009-11-20,"Levien Gym, New York, New York",Longwood,Columbia,Home,52.2,12,5.9,3,105.9,54.2,17,0.413,63,0.365,23,0.206,13,0.692,9,4,200.0,89.7,30.8,8,17,61,2.9,2,0.365,23.0,0.261,6.0,39.7,25,0.441,13.8,11,40.0,0.425,17.0,0.0,0
2009-11-24,"Robins Center, Richmond, Virginia",Longwood,Richmond,Home,75.0,15,0.0,0,95.6,59.3,20,0.364,59,0.339,20,0.203,12,0.75,9,5,200.0,76.5,37.5,11,22,52,5.9,4,0.237,14.0,0.214,3.0,46.3,31,0.402,22.8,19,45.0,0.378,17.0,0.0,0
2009-11-28,"South Padre Island Convention Centre, South Padre Island, Texas",Chattanooga,Longwood,Away,73.1,19,0.0,0,98.7,66.7,17,0.423,71,0.366,26,0.155,11,0.909,10,7,200.0,93.3,40.5,14,20,70,10.7,8,0.437,31.0,0.258,8.0,49.2,31,0.459,16.5,14,40.0,0.45,18.0,0.0,0
2009-12-02,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",Longwood,William & Mary,Home,73.9,17,0.0,0,123.5,67.7,21,0.518,55,0.418,23,0.236,13,0.615,8,8,200.0,95.6,20.6,7,21,65,10.3,7,0.455,25.0,0.44,11.0,43.1,28,0.531,16.5,11,30.0,0.4,12.0,0.0,0
2009-12-12,"Willett Hall, Farmville, Virginia",Stephen F. Austin,Longwood,Away,56.5,13,8.9,4,107.4,66.7,21,0.55,50,0.46,23,0.42,21,0.667,14,9,200.0,101.5,27.6,7,24,69,4.4,3,0.38,19.0,0.474,9.0,47.5,28,0.575,22.3,17,31.0,0.452,14.0,0.1,1
2009-12-22,"Willett Hall, Farmville, Virginia",Campbell,Longwood,Home,54.5,18,2.2,1,101.3,66.7,20,0.581,62,0.532,33,0.355,22,0.727,16,9,200.0,111.4,41.9,13,22,88,15.2,12,0.371,23.0,0.261,6.0,54.1,33,0.607,21.8,20,39.0,0.692,27.0,0.25,3
2009-12-28,"Willett Hall, Farmville, Virginia",Lehigh,Longwood,Away,53.1,17,2.6,1,120.3,62.5,22,0.481,77,0.416,32,0.117,9,0.444,4,10,200.0,105.4,33.3,13,18,78,12.2,9,0.26,20.0,0.5,10.0,45.5,35,0.48,8.0,7,57.0,0.386,22.0,0.231,3
