date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Fant-Ewing Coliseum, Monroe, Louisiana","Louisiana College
			",Louisiana-Monroe,Home,24.0,6,23.1,6,59.4,92.3,36,0.429,63,0.397,25,0.238,15,0.667,10,0,200,92.8,50.0,17,16,64,8.7,6,0.302,19,0.211,4,72.6,53,0.456,18.7,16,44,0.477,21,1.0,1
2019-11-09,"Fant-Ewing Coliseum, Monroe, Louisiana",Alcorn State,Louisiana-Monroe,Home,42.9,12,6.0,3,96.0,70.7,29,0.558,52,0.538,28,0.481,25,0.6,15,0,225,97.3,19.2,5,12,73,6.7,5,0.212,11,0.182,2,50.7,34,0.571,18.2,14,41,0.634,26,1.0,2
2019-11-11,"Reed Arena, College Station, Texas",Louisiana-Monroe,Texas A&M,Home,52.2,12,16.7,7,92.6,70.6,24,0.491,55,0.418,23,0.091,5,0.6,3,1,200,83.8,30.0,9,17,57,13.2,9,0.509,28,0.286,8,51.6,33,0.497,25.9,20,27,0.556,15,0.667,2
2019-11-14,"Humphrey Coliseum, Starkville, Mississippi",Louisiana-Monroe,Mississippi State,Home,50.0,9,5.4,2,96.9,64.5,20,0.402,51,0.353,18,0.235,12,0.333,4,2,200,70.3,30.6,11,23,45,6.3,4,0.314,16,0.313,5,46.3,31,0.397,23.2,17,35,0.371,13,0.5,2
2019-11-26,"Fant-Ewing Coliseum, Monroe, Louisiana",Northwestern State,Louisiana-Monroe,Home,64.0,16,14.0,6,100.0,66.7,26,0.484,61,0.41,25,0.361,22,0.818,18,2,200,111.6,21.9,7,20,77,7.2,5,0.393,24,0.375,9,46.5,33,0.539,9.0,7,37,0.432,16,0.6,3
2019-12-04,"Fant-Ewing Coliseum, Monroe, Louisiana","Millsaps
			",Louisiana-Monroe,Home,39.3,11,9.1,3,87.5,72.4,21,0.533,60,0.467,28,0.483,29,0.759,22,2,200,119.4,33.3,11,17,86,11.1,8,0.35,21,0.381,8,51.6,32,0.583,12.1,10,39,0.513,20,0.667,4
2019-12-10,"Fant-Ewing Coliseum, Monroe, Louisiana",Grambling,Louisiana-Monroe,Away,55.0,11,3.8,2,100.0,65.6,21,0.511,47,0.426,20,0.383,18,0.722,13,3,200,92.4,23.1,6,12,61,6.1,4,0.319,15,0.533,8,46.6,27,0.549,22.6,16,32,0.375,12,0.571,4
2019-12-14,"William Johnson Coliseum, Nacogdoches, Texas",Louisiana-Monroe,Stephen F. Austin,Home,44.4,8,4.2,1,108.2,65.6,21,0.561,41,0.439,18,0.439,18,0.722,13,4,200,96.7,17.4,4,17,59,9.8,6,0.463,19,0.526,10,45.5,25,0.595,25.8,17,22,0.364,8,0.5,4
2019-12-19,"Fant-Ewing Coliseum, Monroe, Louisiana",Little Rock,Louisiana-Monroe,Away,57.7,15,0.0,0,104.3,88.0,22,0.615,48,0.542,26,0.458,22,0.591,13,5,200,102.9,20.8,5,21,72,5.7,4,0.25,12,0.583,7,55.1,27,0.616,22.8,17,36,0.528,19,0.444,4
2019-12-21,"Fant-Ewing Coliseum, Monroe, Louisiana",Arkansas State,Louisiana-Monroe,Away,57.1,12,10.3,4,98.4,71.0,22,0.489,45,0.467,21,0.467,21,0.714,15,6,200,93.7,20.0,5,14,59,7.9,5,0.222,10,0.2,2,48.2,27,0.537,21.7,15,35,0.543,19,0.4,4
