date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-12-01,"Maravich Assembly Center, Baton Rouge, Louisiana",Louisiana,LSU,Home,27.3,6,15.0,6,108.2,38.7,14,0.439,57,0.386,22,0.193,11,0.727,8,4,200.0,95.1,34.4,9,20,58,16.4,10,0.228,13.0,0.462,6.0,36.5,23,0.466,15.1,11,44.0,0.364,16.0,0.2,1
2009-12-19,"Montagne Center, Beaumont, Texas",Louisiana,Lamar,Away,60.7,17,8.3,3,89.6,60.0,19,0.492,65,0.431,28,0.108,7,0.571,4,5,200.0,101.5,34.2,12,18,68,14.9,10,0.369,24.0,0.333,8.0,45.6,31,0.498,13.9,11,41.0,0.488,20.0,0.444,4
2009-12-21,"Cajundome, Lafayette, Louisiana",Tulane,Louisiana,Away,55.6,15,11.5,3,114.1,60.9,14,0.615,48,0.563,27,0.313,15,0.733,11,6,200.0,109.4,27.8,5,16,70,6.3,4,0.292,14.0,0.357,5.0,46.3,19,0.635,20.4,14,34.0,0.647,22.0,0.4,4
2009-12-23,"Freedom Hall, Louisville, Kentucky",Louisiana,Louisville,Home,50.0,11,2.3,1,121.7,43.2,20,0.528,53,0.415,22,0.264,14,0.929,13,7,200.0,100.0,30.0,8,24,69,4.3,3,0.528,28.0,0.429,12.0,37.8,28,0.578,23.3,18,25.0,0.4,10.0,0.364,4
2009-12-31,"E.A. Diddle Arena, Bowling Green, Kentucky",Louisiana,Western Kentucky,Home,34.8,8,10.6,5,118.5,62.1,19,0.52,50,0.46,23,0.32,16,0.813,13,9,200.0,100.0,42.3,10,17,65,6.2,4,0.34,17.0,0.353,6.0,52.7,29,0.564,24.0,18,33.0,0.515,17.0,0.308,4
2010-01-07,"Cajundome, Lafayette, Louisiana",North Texas,Louisiana,Home,42.3,11,19.4,7,104.3,44.0,12,0.549,51,0.51,26,0.49,25,0.72,18,10,200.0,107.2,31.8,6,25,74,14.5,10,0.176,9.0,0.444,4.0,38.3,18,0.588,15.1,11,42.0,0.524,22.0,0.333,5
2010-01-14,"Cajundome, Lafayette, Louisiana",Denver,Louisiana,Home,61.1,11,31.0,9,80.3,81.3,27,0.6,35,0.514,18,0.629,22,0.591,13,10,200.0,90.2,26.7,3,16,55,6.6,4,0.343,12.0,0.5,6.0,63.8,30,0.605,28.7,18,23.0,0.522,12.0,0.375,6
2010-01-28,"Convocation Center, Jonesboro, Arkansas",Louisiana,Arkansas State,Home,28.0,7,16.7,7,88.6,68.8,24,0.39,68,0.368,25,0.176,12,0.583,7,12,200.0,85.7,48.6,15,20,60,15.7,11,0.25,17.0,0.176,3.0,58.2,39,0.407,16.0,14,51.0,0.431,22.0,0.4,8
2010-02-04,"Cajundome, Lafayette, Louisiana",Florida International,Louisiana,Home,50.0,17,17.9,7,90.0,71.9,24,0.639,61,0.557,34,0.197,12,0.417,5,12,200.0,118.6,37.0,9,18,83,12.9,9,0.344,21.0,0.476,10.0,55.9,33,0.622,16.4,13,40.0,0.6,24.0,0.455,10
2010-02-13,"Mitchell Center, Mobile, Alabama",Louisiana,South Alabama,Home,40.0,10,21.9,7,101.5,61.1,22,0.509,56,0.446,25,0.179,10,0.8,8,14,200.0,98.5,23.3,7,20,65,12.1,8,0.25,14.0,0.5,7.0,43.9,29,0.535,18.8,14,42.0,0.429,18.0,0.44,11
