date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-17,"Scottrade Center, St. Louis, Missouri",LOUISVILLE,ARKANSAS,Away,73.5,25,11.1,5,86.8,69.4,30,0.568,73,0.466,34,0.247,18,0.722,13,0,200.0,126.3,48.5,11,24,96,10.5,8,0.521,38.0,0.395,15.0,59.4,41,0.589,11.0,10,35.0,0.543,19.0,1.0,1
2009-11-21,"Freedom Hall, Louisville, Kentucky",EAST-TENNESSEE-STATE,LOUISVILLE,Home,58.3,14,23.7,9,81.2,52.5,22,0.409,66,0.364,24,0.333,22,0.682,15,0,200.0,100.0,52.5,20,18,69,13.0,9,0.455,30.0,0.2,6.0,52.5,42,0.451,15.6,14,36.0,0.5,18.0,1.0,2
2009-11-22,"Freedom Hall, Louisville, Kentucky",MORGAN-STATE,LOUISVILLE,Home,57.7,15,7.8,4,100.0,66.7,30,0.46,62,0.419,26,0.661,41,0.805,33,0,200.0,111.1,31.7,11,22,90,9.9,8,0.194,12.0,0.417,5.0,49.4,41,0.552,14.0,13,50.0,0.42,21.0,1.0,3
2009-11-23,"Freedom Hall, Louisville, Kentucky",APPALACHIAN-STATE,LOUISVILLE,Home,55.2,16,7.4,2,80.3,80.0,28,0.639,54,0.537,29,0.315,17,0.647,11,0,200.0,121.2,33.3,9,11,80,10.6,7,0.5,27.0,0.407,11.0,59.7,37,0.644,17.5,13,27.0,0.667,18.0,1.0,4
2009-11-28,"Thomas & Mack Center, Las Vegas, Nevada",LOUISVILLE,NEVADA-LAS-VEGAS,Home,41.7,10,2.9,1,107.0,66.7,22,0.45,60,0.4,24,0.433,26,0.654,17,1,200.0,100.0,45.9,15,25,71,7.0,5,0.35,21.0,0.286,6.0,55.2,37,0.491,18.3,16,39.0,0.462,18.0,0.8,4
2009-12-02,"Freedom Hall, Louisville, Kentucky",STETSON,LOUISVILLE,Home,55.2,16,14.8,4,75.0,71.4,25,0.691,47,0.617,29,0.426,20,0.75,15,1,200.0,125.0,45.0,9,14,80,7.8,5,0.298,14.0,0.5,7.0,61.8,34,0.708,22.3,16,33.0,0.667,22.0,0.833,5
2009-12-05,"Freedom Hall, Louisville, Kentucky",CHARLOTTE,LOUISVILLE,Away,39.1,9,9.5,4,129.9,47.4,18,0.414,64,0.359,23,0.266,17,0.706,12,2,200.0,97.0,39.5,17,18,65,14.9,10,0.438,28.0,0.25,7.0,43.2,35,0.451,13.3,11,36.0,0.444,16.0,0.714,5
2009-12-12,"Freedom Hall, Louisville, Kentucky",WESTERN-CAROLINA,LOUISVILLE,Away,72.4,21,0.0,0,109.6,73.3,24,0.558,60,0.483,29,0.45,27,0.593,16,3,200.0,100.0,30.6,9,28,83,10.8,9,0.433,26.0,0.346,9.0,50.0,33,0.57,22.6,20,34.0,0.588,20.0,0.625,5
2009-12-16,"Freedom Hall, Louisville, Kentucky",ORAL-ROBERTS,LOUISVILLE,Home,74.3,26,10.8,4,76.0,71.1,29,0.603,68,0.515,35,0.206,14,0.857,12,3,200.0,125.3,45.2,12,23,94,12.0,9,0.471,32.0,0.375,12.0,59.4,41,0.63,16.8,15,36.0,0.639,23.0,0.667,6
2009-12-19,"Freedom Hall, Louisville, Kentucky",WESTERN-KENTUCKY,LOUISVILLE,Home,65.7,23,18.5,5,101.4,56.7,17,0.619,63,0.556,35,0.619,39,0.615,24,3,200.0,137.8,57.6,19,22,102,13.5,10,0.349,22.0,0.364,8.0,57.1,36,0.626,14.0,13,41.0,0.659,27.0,0.7,7
